1, memory_percent: 1.6121426026667365, cpu_percent: 100.0
2, memory_percent: 1.8585582917830474, cpu_percent: 99.8
3, memory_percent: 1.86094714522313, cpu_percent: 100.0
4, memory_percent: 1.86094714522313, cpu_percent: 100.0
5, memory_percent: 1.86094714522313, cpu_percent: 100.0
6, memory_percent: 1.86094714522313, cpu_percent: 100.0
7, memory_percent: 1.86094714522313, cpu_percent: 100.0
8, memory_percent: 1.86094714522313, cpu_percent: 100.0
9, memory_percent: 1.86094714522313, cpu_percent: 100.0
10, memory_percent: 1.86094714522313, cpu_percent: 100.0
11, memory_percent: 1.86094714522313, cpu_percent: 100.0
12, memory_percent: 1.86094714522313, cpu_percent: 100.0
13, memory_percent: 1.86094714522313, cpu_percent: 100.0
14, memory_percent: 1.86094714522313, cpu_percent: 100.0
15, memory_percent: 1.86094714522313, cpu_percent: 100.0
16, memory_percent: 1.86094714522313, cpu_percent: 100.0
17, memory_percent: 1.86094714522313, cpu_percent: 100.0
18, memory_percent: 1.86094714522313, cpu_percent: 100.0
19, memory_percent: 1.86094714522313, cpu_percent: 100.0
20, memory_percent: 1.86094714522313, cpu_percent: 100.0
21, memory_percent: 1.86094714522313, cpu_percent: 100.0
22, memory_percent: 1.86094714522313, cpu_percent: 100.0
23, memory_percent: 1.86094714522313, cpu_percent: 100.0
24, memory_percent: 1.86094714522313, cpu_percent: 100.0
25, memory_percent: 1.86094714522313, cpu_percent: 100.0
26, memory_percent: 1.86094714522313, cpu_percent: 100.0
27, memory_percent: 1.86094714522313, cpu_percent: 100.0
28, memory_percent: 1.86094714522313, cpu_percent: 100.0
29, memory_percent: 1.86094714522313, cpu_percent: 100.0
30, memory_percent: 1.86094714522313, cpu_percent: 100.0
31, memory_percent: 1.86094714522313, cpu_percent: 100.0
32, memory_percent: 1.86094714522313, cpu_percent: 100.0
33, memory_percent: 1.86094714522313, cpu_percent: 100.0
34, memory_percent: 1.86094714522313, cpu_percent: 100.0
35, memory_percent: 1.86094714522313, cpu_percent: 100.0
36, memory_percent: 1.86094714522313, cpu_percent: 100.0
37, memory_percent: 1.86094714522313, cpu_percent: 100.0
38, memory_percent: 1.86094714522313, cpu_percent: 100.0
39, memory_percent: 1.86094714522313, cpu_percent: 100.0
40, memory_percent: 1.86094714522313, cpu_percent: 100.0
41, memory_percent: 1.86094714522313, cpu_percent: 100.0
42, memory_percent: 1.86094714522313, cpu_percent: 100.0
43, memory_percent: 1.86094714522313, cpu_percent: 100.0
44, memory_percent: 1.86094714522313, cpu_percent: 100.0
45, memory_percent: 1.86094714522313, cpu_percent: 100.0
46, memory_percent: 1.86094714522313, cpu_percent: 100.0
47, memory_percent: 1.86094714522313, cpu_percent: 100.0
48, memory_percent: 1.86094714522313, cpu_percent: 100.0
49, memory_percent: 1.86094714522313, cpu_percent: 100.0
50, memory_percent: 1.86094714522313, cpu_percent: 100.0
51, memory_percent: 1.86094714522313, cpu_percent: 100.0
52, memory_percent: 1.86094714522313, cpu_percent: 100.0
53, memory_percent: 1.86094714522313, cpu_percent: 100.0
54, memory_percent: 1.86094714522313, cpu_percent: 100.0
55, memory_percent: 1.86094714522313, cpu_percent: 100.0
56, memory_percent: 1.86094714522313, cpu_percent: 100.0
57, memory_percent: 1.86094714522313, cpu_percent: 100.0
58, memory_percent: 1.86094714522313, cpu_percent: 100.0
59, memory_percent: 1.86094714522313, cpu_percent: 100.0
60, memory_percent: 1.86094714522313, cpu_percent: 100.0
61, memory_percent: 1.86094714522313, cpu_percent: 100.0
62, memory_percent: 1.86094714522313, cpu_percent: 100.0
63, memory_percent: 1.86094714522313, cpu_percent: 100.0
64, memory_percent: 1.86094714522313, cpu_percent: 100.0
65, memory_percent: 1.86094714522313, cpu_percent: 100.0
66, memory_percent: 1.86094714522313, cpu_percent: 100.0
67, memory_percent: 1.86094714522313, cpu_percent: 100.0
68, memory_percent: 1.86094714522313, cpu_percent: 100.0
69, memory_percent: 1.86094714522313, cpu_percent: 100.0
70, memory_percent: 1.86094714522313, cpu_percent: 100.0
71, memory_percent: 1.86094714522313, cpu_percent: 100.0
72, memory_percent: 1.86094714522313, cpu_percent: 100.0
73, memory_percent: 1.86094714522313, cpu_percent: 100.0
74, memory_percent: 1.86094714522313, cpu_percent: 100.0
75, memory_percent: 1.86094714522313, cpu_percent: 100.0
76, memory_percent: 1.86094714522313, cpu_percent: 100.0
77, memory_percent: 1.86094714522313, cpu_percent: 100.0
78, memory_percent: 1.86094714522313, cpu_percent: 100.0
79, memory_percent: 1.86094714522313, cpu_percent: 100.0
80, memory_percent: 1.86094714522313, cpu_percent: 100.0
81, memory_percent: 1.86094714522313, cpu_percent: 100.0
82, memory_percent: 1.86094714522313, cpu_percent: 100.0
83, memory_percent: 1.86094714522313, cpu_percent: 100.0
84, memory_percent: 1.86094714522313, cpu_percent: 100.0
85, memory_percent: 1.86094714522313, cpu_percent: 100.0
86, memory_percent: 1.86094714522313, cpu_percent: 100.0
87, memory_percent: 1.86094714522313, cpu_percent: 100.0
88, memory_percent: 1.86094714522313, cpu_percent: 100.0
89, memory_percent: 1.86094714522313, cpu_percent: 100.0
90, memory_percent: 1.86094714522313, cpu_percent: 100.0
91, memory_percent: 1.86094714522313, cpu_percent: 100.0
92, memory_percent: 1.86094714522313, cpu_percent: 100.0
93, memory_percent: 1.86094714522313, cpu_percent: 100.0
94, memory_percent: 1.86094714522313, cpu_percent: 100.0
95, memory_percent: 1.86094714522313, cpu_percent: 100.0
96, memory_percent: 1.86094714522313, cpu_percent: 100.0
97, memory_percent: 1.86094714522313, cpu_percent: 100.0
98, memory_percent: 1.86094714522313, cpu_percent: 100.0
99, memory_percent: 1.86094714522313, cpu_percent: 100.0
100, memory_percent: 1.86094714522313, cpu_percent: 100.0
101, memory_percent: 1.86094714522313, cpu_percent: 100.0
102, memory_percent: 1.86094714522313, cpu_percent: 100.0
103, memory_percent: 1.86094714522313, cpu_percent: 100.0
104, memory_percent: 1.86094714522313, cpu_percent: 100.0
105, memory_percent: 1.86094714522313, cpu_percent: 100.0
106, memory_percent: 1.86094714522313, cpu_percent: 100.0
107, memory_percent: 1.86094714522313, cpu_percent: 100.0
108, memory_percent: 1.86094714522313, cpu_percent: 100.0
109, memory_percent: 1.86094714522313, cpu_percent: 100.0
110, memory_percent: 1.86094714522313, cpu_percent: 100.0
111, memory_percent: 1.86094714522313, cpu_percent: 100.0
112, memory_percent: 1.86094714522313, cpu_percent: 100.0
113, memory_percent: 1.86094714522313, cpu_percent: 100.0
114, memory_percent: 1.86094714522313, cpu_percent: 100.0
115, memory_percent: 1.86094714522313, cpu_percent: 100.0
116, memory_percent: 1.86094714522313, cpu_percent: 100.0
117, memory_percent: 1.86094714522313, cpu_percent: 100.0
118, memory_percent: 1.86094714522313, cpu_percent: 100.0
119, memory_percent: 1.86094714522313, cpu_percent: 100.0
120, memory_percent: 1.86094714522313, cpu_percent: 100.0
121, memory_percent: 1.86094714522313, cpu_percent: 100.0
122, memory_percent: 1.86094714522313, cpu_percent: 100.0
123, memory_percent: 1.86094714522313, cpu_percent: 100.0
124, memory_percent: 1.86094714522313, cpu_percent: 100.0
125, memory_percent: 1.86094714522313, cpu_percent: 100.0
126, memory_percent: 1.86094714522313, cpu_percent: 100.0
127, memory_percent: 1.86094714522313, cpu_percent: 100.0
128, memory_percent: 1.86094714522313, cpu_percent: 100.0
129, memory_percent: 1.86094714522313, cpu_percent: 100.0
130, memory_percent: 1.86094714522313, cpu_percent: 100.0
131, memory_percent: 1.86094714522313, cpu_percent: 100.0
132, memory_percent: 1.86094714522313, cpu_percent: 100.0
133, memory_percent: 1.86094714522313, cpu_percent: 100.0
134, memory_percent: 1.86094714522313, cpu_percent: 100.0
135, memory_percent: 1.86094714522313, cpu_percent: 100.0
136, memory_percent: 1.86094714522313, cpu_percent: 100.0
137, memory_percent: 1.86094714522313, cpu_percent: 100.0
138, memory_percent: 1.86094714522313, cpu_percent: 100.0
139, memory_percent: 1.86094714522313, cpu_percent: 100.0
140, memory_percent: 1.86094714522313, cpu_percent: 100.0
141, memory_percent: 1.86094714522313, cpu_percent: 100.0
142, memory_percent: 1.86094714522313, cpu_percent: 100.0
143, memory_percent: 1.86094714522313, cpu_percent: 100.0
144, memory_percent: 1.86094714522313, cpu_percent: 100.0
145, memory_percent: 1.86094714522313, cpu_percent: 100.0
146, memory_percent: 1.86094714522313, cpu_percent: 100.0
147, memory_percent: 1.86094714522313, cpu_percent: 100.0
148, memory_percent: 1.86094714522313, cpu_percent: 100.0
149, memory_percent: 1.86094714522313, cpu_percent: 100.0
150, memory_percent: 1.86094714522313, cpu_percent: 100.0
151, memory_percent: 1.86094714522313, cpu_percent: 100.0
152, memory_percent: 1.86094714522313, cpu_percent: 100.0
153, memory_percent: 1.86094714522313, cpu_percent: 100.0
154, memory_percent: 1.86094714522313, cpu_percent: 100.0
155, memory_percent: 1.86094714522313, cpu_percent: 100.0
156, memory_percent: 1.86094714522313, cpu_percent: 100.0
157, memory_percent: 1.86094714522313, cpu_percent: 100.0
158, memory_percent: 1.86094714522313, cpu_percent: 100.0
159, memory_percent: 1.86094714522313, cpu_percent: 100.0
160, memory_percent: 1.86094714522313, cpu_percent: 100.0
161, memory_percent: 1.86094714522313, cpu_percent: 100.0
162, memory_percent: 1.86094714522313, cpu_percent: 100.0
163, memory_percent: 1.86094714522313, cpu_percent: 100.0
164, memory_percent: 1.86094714522313, cpu_percent: 100.0
165, memory_percent: 1.86094714522313, cpu_percent: 100.0
166, memory_percent: 1.86094714522313, cpu_percent: 100.0
167, memory_percent: 1.86094714522313, cpu_percent: 100.0
168, memory_percent: 1.86094714522313, cpu_percent: 100.0
169, memory_percent: 1.86094714522313, cpu_percent: 100.0
170, memory_percent: 1.86094714522313, cpu_percent: 100.0
171, memory_percent: 1.86094714522313, cpu_percent: 100.0
172, memory_percent: 1.86094714522313, cpu_percent: 100.0
173, memory_percent: 1.86094714522313, cpu_percent: 100.0
174, memory_percent: 1.86094714522313, cpu_percent: 100.0
175, memory_percent: 1.86094714522313, cpu_percent: 100.0
176, memory_percent: 1.86094714522313, cpu_percent: 100.0
177, memory_percent: 1.86094714522313, cpu_percent: 100.0
178, memory_percent: 1.86094714522313, cpu_percent: 100.0
179, memory_percent: 1.86094714522313, cpu_percent: 100.0
180, memory_percent: 1.86094714522313, cpu_percent: 100.0
181, memory_percent: 1.86094714522313, cpu_percent: 100.0
182, memory_percent: 1.86094714522313, cpu_percent: 100.0
183, memory_percent: 1.86094714522313, cpu_percent: 100.0
184, memory_percent: 1.86094714522313, cpu_percent: 100.0
185, memory_percent: 1.86094714522313, cpu_percent: 100.0
186, memory_percent: 1.86094714522313, cpu_percent: 100.0
187, memory_percent: 1.86094714522313, cpu_percent: 100.0
188, memory_percent: 1.86094714522313, cpu_percent: 100.0
189, memory_percent: 1.86094714522313, cpu_percent: 100.0
190, memory_percent: 1.86094714522313, cpu_percent: 100.0
191, memory_percent: 1.86094714522313, cpu_percent: 100.0
192, memory_percent: 1.86094714522313, cpu_percent: 100.0
193, memory_percent: 1.86094714522313, cpu_percent: 100.0
194, memory_percent: 1.86094714522313, cpu_percent: 100.0
195, memory_percent: 1.86094714522313, cpu_percent: 100.0
196, memory_percent: 1.86094714522313, cpu_percent: 100.0
197, memory_percent: 1.86094714522313, cpu_percent: 100.0
198, memory_percent: 1.86094714522313, cpu_percent: 99.9
199, memory_percent: 1.86094714522313, cpu_percent: 100.0
200, memory_percent: 1.86094714522313, cpu_percent: 100.0
201, memory_percent: 1.86094714522313, cpu_percent: 100.0
202, memory_percent: 1.86094714522313, cpu_percent: 100.0
203, memory_percent: 1.86094714522313, cpu_percent: 100.0
204, memory_percent: 1.86094714522313, cpu_percent: 100.0
205, memory_percent: 1.86094714522313, cpu_percent: 100.0
206, memory_percent: 1.86094714522313, cpu_percent: 100.0
207, memory_percent: 1.86094714522313, cpu_percent: 100.0
208, memory_percent: 1.86094714522313, cpu_percent: 100.0
209, memory_percent: 1.86094714522313, cpu_percent: 100.0
210, memory_percent: 1.86094714522313, cpu_percent: 100.0
211, memory_percent: 1.86094714522313, cpu_percent: 100.0
212, memory_percent: 1.86094714522313, cpu_percent: 100.0
213, memory_percent: 1.86094714522313, cpu_percent: 100.0
214, memory_percent: 1.86094714522313, cpu_percent: 100.0
215, memory_percent: 1.86094714522313, cpu_percent: 100.0
216, memory_percent: 1.86094714522313, cpu_percent: 100.0
217, memory_percent: 1.86094714522313, cpu_percent: 100.0
218, memory_percent: 1.86094714522313, cpu_percent: 100.0
219, memory_percent: 1.86094714522313, cpu_percent: 100.0
220, memory_percent: 1.86094714522313, cpu_percent: 100.0
221, memory_percent: 1.86094714522313, cpu_percent: 100.0
222, memory_percent: 1.86094714522313, cpu_percent: 100.0
223, memory_percent: 1.86094714522313, cpu_percent: 100.0
224, memory_percent: 1.86094714522313, cpu_percent: 100.0
225, memory_percent: 1.86094714522313, cpu_percent: 100.0
226, memory_percent: 1.86094714522313, cpu_percent: 100.0
227, memory_percent: 1.86094714522313, cpu_percent: 100.0
228, memory_percent: 1.86094714522313, cpu_percent: 100.0
229, memory_percent: 1.86094714522313, cpu_percent: 100.0
230, memory_percent: 1.86094714522313, cpu_percent: 100.0
231, memory_percent: 1.86094714522313, cpu_percent: 100.0
232, memory_percent: 1.86094714522313, cpu_percent: 100.0
233, memory_percent: 1.86094714522313, cpu_percent: 100.0
234, memory_percent: 1.86094714522313, cpu_percent: 100.0
235, memory_percent: 1.86094714522313, cpu_percent: 100.0
236, memory_percent: 1.86094714522313, cpu_percent: 100.0
237, memory_percent: 1.86094714522313, cpu_percent: 100.0
238, memory_percent: 1.86094714522313, cpu_percent: 100.0
239, memory_percent: 1.86094714522313, cpu_percent: 100.0
240, memory_percent: 1.86094714522313, cpu_percent: 100.0
241, memory_percent: 1.86094714522313, cpu_percent: 100.0
242, memory_percent: 1.86094714522313, cpu_percent: 100.0
243, memory_percent: 1.86094714522313, cpu_percent: 100.0
244, memory_percent: 1.86094714522313, cpu_percent: 100.0
245, memory_percent: 1.86094714522313, cpu_percent: 100.0
246, memory_percent: 1.86094714522313, cpu_percent: 100.0
247, memory_percent: 1.86094714522313, cpu_percent: 100.0
248, memory_percent: 1.86094714522313, cpu_percent: 100.0
