1, memory_percent: 0.32292735047916016, cpu_percent: 54.5
2, memory_percent: 0.3307639648289903, cpu_percent: 50.1
3, memory_percent: 0.3309078300676732, cpu_percent: 44.2
4, memory_percent: 0.3309078300676732, cpu_percent: 48.7
5, memory_percent: 0.3309078300676732, cpu_percent: 46.5
6, memory_percent: 0.33080437641289, cpu_percent: 46.0
7, memory_percent: 0.33080760933960196, cpu_percent: 46.7
8, memory_percent: 0.33080760933960196, cpu_percent: 46.9
9, memory_percent: 0.33080760933960196, cpu_percent: 49.1
10, memory_percent: 0.33080760933960196, cpu_percent: 47.4
11, memory_percent: 0.33080760933960196, cpu_percent: 47.5
12, memory_percent: 0.33080760933960196, cpu_percent: 45.9
13, memory_percent: 0.33080760933960196, cpu_percent: 46.8
14, memory_percent: 0.33080760933960196, cpu_percent: 49.1
15, memory_percent: 0.33080760933960196, cpu_percent: 46.6
16, memory_percent: 0.33080760933960196, cpu_percent: 49.1
17, memory_percent: 0.33080760933960196, cpu_percent: 46.4
18, memory_percent: 0.33080760933960196, cpu_percent: 49.6
19, memory_percent: 0.33080760933960196, cpu_percent: 40.4
20, memory_percent: 0.33080760933960196, cpu_percent: 49.3
21, memory_percent: 0.33080760933960196, cpu_percent: 44.6
22, memory_percent: 0.33080760933960196, cpu_percent: 47.4
23, memory_percent: 0.33080760933960196, cpu_percent: 49.0
24, memory_percent: 0.33080760933960196, cpu_percent: 46.8
25, memory_percent: 0.33080760933960196, cpu_percent: 46.8
26, memory_percent: 0.33080760933960196, cpu_percent: 49.1
27, memory_percent: 0.33080760933960196, cpu_percent: 46.3
28, memory_percent: 0.33080760933960196, cpu_percent: 50.0
29, memory_percent: 0.33080760933960196, cpu_percent: 45.7
30, memory_percent: 0.33080760933960196, cpu_percent: 47.1
31, memory_percent: 0.33080760933960196, cpu_percent: 50.0
32, memory_percent: 0.33080760933960196, cpu_percent: 46.7
33, memory_percent: 0.33080760933960196, cpu_percent: 48.8
34, memory_percent: 0.33080760933960196, cpu_percent: 45.2
35, memory_percent: 0.33080760933960196, cpu_percent: 47.3
36, memory_percent: 0.33080760933960196, cpu_percent: 48.4
37, memory_percent: 0.33080760933960196, cpu_percent: 46.8
38, memory_percent: 0.33080760933960196, cpu_percent: 50.0
39, memory_percent: 0.33080760933960196, cpu_percent: 40.1
40, memory_percent: 0.33080760933960196, cpu_percent: 47.0
41, memory_percent: 0.33080760933960196, cpu_percent: 47.7
42, memory_percent: 0.33080760933960196, cpu_percent: 46.8
43, memory_percent: 0.33080760933960196, cpu_percent: 44.7
44, memory_percent: 0.33080760933960196, cpu_percent: 46.0
45, memory_percent: 0.33080760933960196, cpu_percent: 47.0
46, memory_percent: 0.33080760933960196, cpu_percent: 48.7
47, memory_percent: 0.33080760933960196, cpu_percent: 46.7
48, memory_percent: 0.33080760933960196, cpu_percent: 48.2
49, memory_percent: 0.33080760933960196, cpu_percent: 46.5
50, memory_percent: 0.33080760933960196, cpu_percent: 49.3
51, memory_percent: 0.33080760933960196, cpu_percent: 39.3
52, memory_percent: 0.33080760933960196, cpu_percent: 46.3
53, memory_percent: 0.33080760933960196, cpu_percent: 47.5
54, memory_percent: 0.33080760933960196, cpu_percent: 47.0
55, memory_percent: 0.33080760933960196, cpu_percent: 50.0
56, memory_percent: 0.33080760933960196, cpu_percent: 46.7
57, memory_percent: 0.33080760933960196, cpu_percent: 50.0
58, memory_percent: 0.33080760933960196, cpu_percent: 45.2
59, memory_percent: 0.33080760933960196, cpu_percent: 47.1
60, memory_percent: 0.33080760933960196, cpu_percent: 44.2
61, memory_percent: 0.33080760933960196, cpu_percent: 45.8
62, memory_percent: 0.33080760933960196, cpu_percent: 46.3
63, memory_percent: 0.33080760933960196, cpu_percent: 44.5
64, memory_percent: 0.33080760933960196, cpu_percent: 47.5
65, memory_percent: 0.33080760933960196, cpu_percent: 48.5
66, memory_percent: 0.33080760933960196, cpu_percent: 46.8
67, memory_percent: 0.33080760933960196, cpu_percent: 46.0
68, memory_percent: 0.33080760933960196, cpu_percent: 45.3
69, memory_percent: 0.33080760933960196, cpu_percent: 46.8
70, memory_percent: 0.33080760933960196, cpu_percent: 48.1
71, memory_percent: 0.33080760933960196, cpu_percent: 46.6
72, memory_percent: 0.33080760933960196, cpu_percent: 48.4
73, memory_percent: 0.33080760933960196, cpu_percent: 40.5
74, memory_percent: 0.33080760933960196, cpu_percent: 46.1
75, memory_percent: 0.33080760933960196, cpu_percent: 48.7
76, memory_percent: 0.33080760933960196, cpu_percent: 46.9
77, memory_percent: 0.33080760933960196, cpu_percent: 47.5
78, memory_percent: 0.33080760933960196, cpu_percent: 46.0
79, memory_percent: 0.33080760933960196, cpu_percent: 49.1
80, memory_percent: 0.33080760933960196, cpu_percent: 42.1
81, memory_percent: 0.33080760933960196, cpu_percent: 46.6
82, memory_percent: 0.33080760933960196, cpu_percent: 50.1
