1, memory_percent: 2.74573699388, cpu_percent: 42.9
2, memory_percent: 4.85164955546, cpu_percent: 14.9
3, memory_percent: 4.85187609162, cpu_percent: 14.1
4, memory_percent: 4.85187609162, cpu_percent: 13.1
5, memory_percent: 4.85187609162, cpu_percent: 13.2
6, memory_percent: 4.85187609162, cpu_percent: 13.0
7, memory_percent: 4.85608319185, cpu_percent: 13.3
8, memory_percent: 4.85608319185, cpu_percent: 13.3
9, memory_percent: 4.85608319185, cpu_percent: 13.1
10, memory_percent: 4.85608319185, cpu_percent: 13.2
11, memory_percent: 4.85608319185, cpu_percent: 13.0
12, memory_percent: 4.85608319185, cpu_percent: 13.2
13, memory_percent: 4.85608319185, cpu_percent: 13.0
14, memory_percent: 4.85608319185, cpu_percent: 13.1
15, memory_percent: 4.85608319185, cpu_percent: 13.1
16, memory_percent: 4.85608319185, cpu_percent: 13.0
17, memory_percent: 4.85608319185, cpu_percent: 13.5
18, memory_percent: 4.85608319185, cpu_percent: 13.1
19, memory_percent: 4.85608319185, cpu_percent: 13.0
20, memory_percent: 4.85608319185, cpu_percent: 13.3
21, memory_percent: 4.85608319185, cpu_percent: 13.2
22, memory_percent: 4.85608319185, cpu_percent: 13.2
23, memory_percent: 4.85608319185, cpu_percent: 13.3
24, memory_percent: 4.85608319185, cpu_percent: 13.3
25, memory_percent: 4.85608319185, cpu_percent: 13.0
26, memory_percent: 4.85608319185, cpu_percent: 13.0
27, memory_percent: 4.85608319185, cpu_percent: 12.9
28, memory_percent: 4.85608319185, cpu_percent: 13.1
29, memory_percent: 4.85608319185, cpu_percent: 13.1
30, memory_percent: 4.85608319185, cpu_percent: 13.4
31, memory_percent: 4.85608319185, cpu_percent: 13.6
32, memory_percent: 4.85608319185, cpu_percent: 13.2
33, memory_percent: 4.85608319185, cpu_percent: 13.3
34, memory_percent: 4.85608319185, cpu_percent: 13.2
35, memory_percent: 4.85608319185, cpu_percent: 13.0
36, memory_percent: 4.85608319185, cpu_percent: 13.4
37, memory_percent: 4.85608319185, cpu_percent: 13.2
38, memory_percent: 4.85608319185, cpu_percent: 13.4
39, memory_percent: 4.85608319185, cpu_percent: 13.7
40, memory_percent: 4.85608319185, cpu_percent: 13.0
41, memory_percent: 4.85608319185, cpu_percent: 13.1
42, memory_percent: 4.85608319185, cpu_percent: 13.3
43, memory_percent: 4.85608319185, cpu_percent: 13.1
44, memory_percent: 4.85608319185, cpu_percent: 13.6
45, memory_percent: 4.85608319185, cpu_percent: 13.4
46, memory_percent: 4.85608319185, cpu_percent: 13.3
47, memory_percent: 4.85608319185, cpu_percent: 13.4
48, memory_percent: 4.85608319185, cpu_percent: 13.1
49, memory_percent: 4.85608319185, cpu_percent: 13.1
50, memory_percent: 4.85608319185, cpu_percent: 13.2
51, memory_percent: 4.85608319185, cpu_percent: 13.0
52, memory_percent: 4.85608319185, cpu_percent: 13.5
