1, gpu_percent:    3% | 157MB
2, gpu_percent:    9% | 453MB
3, gpu_percent:   89% | 469MB
4, gpu_percent:   89% | 469MB
5, gpu_percent:   90% | 469MB
6, gpu_percent:   90% | 469MB
7, gpu_percent:   89% | 537MB
8, gpu_percent:   88% | 537MB
9, gpu_percent:   90% | 537MB
10, gpu_percent:   89% | 537MB
11, gpu_percent:   76% | 537MB
12, gpu_percent:   89% | 537MB
13, gpu_percent:   89% | 537MB
14, gpu_percent:   89% | 537MB
15, gpu_percent:   89% | 537MB
16, gpu_percent:   88% | 537MB
17, gpu_percent:   88% | 537MB
18, gpu_percent:   90% | 537MB
19, gpu_percent:   89% | 537MB
20, gpu_percent:   76% | 537MB
21, gpu_percent:   89% | 537MB
22, gpu_percent:   89% | 537MB
23, gpu_percent:   88% | 537MB
24, gpu_percent:   89% | 537MB
25, gpu_percent:   90% | 537MB
26, gpu_percent:   90% | 537MB
27, gpu_percent:   89% | 537MB
28, gpu_percent:   89% | 537MB
29, gpu_percent:   78% | 537MB
30, gpu_percent:   88% | 537MB
31, gpu_percent:   90% | 537MB
32, gpu_percent:   90% | 537MB
33, gpu_percent:   89% | 537MB
34, gpu_percent:   89% | 537MB
35, gpu_percent:   88% | 537MB
36, gpu_percent:   89% | 537MB
37, gpu_percent:   89% | 537MB
38, gpu_percent:   77% | 537MB
39, gpu_percent:   90% | 537MB
40, gpu_percent:   90% | 537MB
41, gpu_percent:   90% | 537MB
42, gpu_percent:   88% | 537MB
43, gpu_percent:   89% | 537MB
44, gpu_percent:   89% | 537MB
45, gpu_percent:   89% | 537MB
46, gpu_percent:   89% | 537MB
47, gpu_percent:   80% | 537MB
48, gpu_percent:   89% | 537MB
49, gpu_percent:   88% | 537MB
50, gpu_percent:   88% | 537MB
51, gpu_percent:   89% | 537MB
52, gpu_percent:   86% | 537MB
53, gpu_percent:   89% | 537MB
54, gpu_percent:   89% | 537MB
55, gpu_percent:   88% | 537MB
56, gpu_percent:   79% | 537MB
57, gpu_percent:   90% | 537MB
58, gpu_percent:   90% | 537MB
59, gpu_percent:   89% | 537MB
60, gpu_percent:   89% | 537MB
61, gpu_percent:   90% | 537MB
62, gpu_percent:   89% | 537MB
63, gpu_percent:   90% | 537MB
64, gpu_percent:   88% | 537MB
65, gpu_percent:   87% | 537MB
66, gpu_percent:   88% | 537MB
67, gpu_percent:   88% | 537MB
68, gpu_percent:   88% | 537MB
69, gpu_percent:   89% | 537MB
70, gpu_percent:   78% | 537MB
71, gpu_percent:   89% | 537MB
72, gpu_percent:   89% | 537MB
73, gpu_percent:   89% | 537MB
74, gpu_percent:   89% | 537MB
75, gpu_percent:   89% | 537MB
76, gpu_percent:   89% | 537MB
77, gpu_percent:   89% | 537MB
78, gpu_percent:   90% | 537MB
79, gpu_percent:   83% | 537MB
80, gpu_percent:   89% | 537MB
81, gpu_percent:   90% | 537MB
82, gpu_percent:   88% | 537MB
83, gpu_percent:   90% | 537MB
84, gpu_percent:   89% | 537MB
85, gpu_percent:   89% | 537MB
86, gpu_percent:   90% | 537MB
87, gpu_percent:   90% | 537MB
88, gpu_percent:   77% | 537MB
89, gpu_percent:   90% | 537MB
90, gpu_percent:   90% | 537MB
91, gpu_percent:   89% | 537MB
92, gpu_percent:   89% | 537MB
93, gpu_percent:   89% | 537MB
94, gpu_percent:   89% | 537MB
95, gpu_percent:   89% | 537MB
96, gpu_percent:   89% | 537MB
97, gpu_percent:   78% | 537MB
98, gpu_percent:   88% | 537MB
99, gpu_percent:   89% | 537MB
100, gpu_percent:   89% | 537MB
101, gpu_percent:   88% | 537MB
102, gpu_percent:   90% | 537MB
103, gpu_percent:   90% | 537MB
104, gpu_percent:   88% | 537MB
105, gpu_percent:   88% | 537MB
106, gpu_percent:   77% | 537MB
107, gpu_percent:   88% | 537MB
108, gpu_percent:   89% | 537MB
109, gpu_percent:   89% | 537MB
110, gpu_percent:   89% | 537MB
111, gpu_percent:   89% | 537MB
112, gpu_percent:   90% | 537MB
113, gpu_percent:   89% | 537MB
114, gpu_percent:   89% | 537MB
115, gpu_percent:   78% | 537MB
116, gpu_percent:   89% | 537MB
117, gpu_percent:   88% | 537MB
118, gpu_percent:   88% | 537MB
119, gpu_percent:   89% | 537MB
120, gpu_percent:   88% | 537MB
121, gpu_percent:   89% | 537MB
122, gpu_percent:   89% | 537MB
123, gpu_percent:   88% | 537MB
124, gpu_percent:   75% | 537MB
125, gpu_percent:   90% | 537MB
126, gpu_percent:   89% | 537MB
127, gpu_percent:   88% | 537MB
128, gpu_percent:   90% | 537MB
129, gpu_percent:   88% | 537MB
130, gpu_percent:   89% | 537MB
131, gpu_percent:   89% | 537MB
132, gpu_percent:   89% | 537MB
133, gpu_percent:   81% | 537MB
134, gpu_percent:   88% | 537MB
135, gpu_percent:   89% | 537MB
136, gpu_percent:   89% | 537MB
137, gpu_percent:   89% | 537MB
138, gpu_percent:   89% | 537MB
139, gpu_percent:   88% | 537MB
140, gpu_percent:   89% | 537MB
141, gpu_percent:   89% | 537MB
142, gpu_percent:   78% | 537MB
143, gpu_percent:   89% | 537MB
144, gpu_percent:   89% | 537MB
145, gpu_percent:   90% | 537MB
146, gpu_percent:   89% | 537MB
147, gpu_percent:   88% | 537MB
148, gpu_percent:   89% | 537MB
149, gpu_percent:   89% | 537MB
150, gpu_percent:   89% | 537MB
151, gpu_percent:   88% | 537MB
152, gpu_percent:   89% | 537MB
153, gpu_percent:   90% | 537MB
154, gpu_percent:   89% | 537MB
155, gpu_percent:   89% | 537MB
156, gpu_percent:   89% | 537MB
157, gpu_percent:   89% | 537MB
158, gpu_percent:   89% | 537MB
159, gpu_percent:   88% | 537MB
160, gpu_percent:   86% | 537MB
161, gpu_percent:   90% | 537MB
162, gpu_percent:   89% | 537MB
163, gpu_percent:   89% | 537MB
164, gpu_percent:   89% | 537MB
165, gpu_percent:   81% | 537MB
166, gpu_percent:   89% | 537MB
167, gpu_percent:   89% | 537MB
168, gpu_percent:   88% | 537MB
169, gpu_percent:   88% | 537MB
170, gpu_percent:   89% | 537MB
171, gpu_percent:   88% | 537MB
172, gpu_percent:   88% | 537MB
173, gpu_percent:   89% | 537MB
174, gpu_percent:   81% | 537MB
175, gpu_percent:   89% | 537MB
176, gpu_percent:   89% | 537MB
177, gpu_percent:   89% | 537MB
178, gpu_percent:   89% | 537MB
179, gpu_percent:   89% | 537MB
180, gpu_percent:   88% | 537MB
181, gpu_percent:   88% | 537MB
182, gpu_percent:   87% | 537MB
183, gpu_percent:   75% | 537MB
184, gpu_percent:   88% | 537MB
185, gpu_percent:   87% | 537MB
186, gpu_percent:   88% | 537MB
187, gpu_percent:   88% | 537MB
188, gpu_percent:   88% | 537MB
189, gpu_percent:   88% | 537MB
190, gpu_percent:   87% | 537MB
191, gpu_percent:   88% | 537MB
192, gpu_percent:   81% | 537MB
193, gpu_percent:   88% | 537MB
194, gpu_percent:   88% | 537MB
195, gpu_percent:   88% | 537MB
196, gpu_percent:   89% | 537MB
197, gpu_percent:   85% | 537MB
198, gpu_percent:   89% | 537MB
199, gpu_percent:   89% | 537MB
200, gpu_percent:   89% | 537MB
201, gpu_percent:   80% | 537MB
202, gpu_percent:   88% | 537MB
203, gpu_percent:   89% | 537MB
204, gpu_percent:   89% | 537MB
205, gpu_percent:   89% | 537MB
206, gpu_percent:   84% | 537MB
207, gpu_percent:   88% | 537MB
208, gpu_percent:   89% | 537MB
209, gpu_percent:   89% | 537MB
210, gpu_percent:   89% | 537MB
211, gpu_percent:   89% | 537MB
212, gpu_percent:   89% | 537MB
213, gpu_percent:   89% | 537MB
214, gpu_percent:   89% | 537MB
215, gpu_percent:   77% | 537MB
216, gpu_percent:   89% | 537MB
217, gpu_percent:   89% | 537MB
218, gpu_percent:   88% | 537MB
219, gpu_percent:   89% | 537MB
220, gpu_percent:   89% | 537MB
221, gpu_percent:   89% | 537MB
222, gpu_percent:   89% | 537MB
223, gpu_percent:   89% | 537MB
224, gpu_percent:   78% | 537MB
225, gpu_percent:   89% | 537MB
226, gpu_percent:   90% | 537MB
227, gpu_percent:   88% | 537MB
228, gpu_percent:   90% | 537MB
229, gpu_percent:   90% | 537MB
230, gpu_percent:   88% | 537MB
231, gpu_percent:   89% | 537MB
232, gpu_percent:   89% | 537MB
233, gpu_percent:   76% | 537MB
234, gpu_percent:   89% | 537MB
235, gpu_percent:   89% | 537MB
236, gpu_percent:   89% | 537MB
237, gpu_percent:   89% | 537MB
238, gpu_percent:   88% | 537MB
239, gpu_percent:   89% | 537MB
240, gpu_percent:   89% | 537MB
241, gpu_percent:   89% | 537MB
242, gpu_percent:   76% | 537MB
243, gpu_percent:   89% | 537MB
244, gpu_percent:   89% | 537MB
245, gpu_percent:   89% | 537MB
246, gpu_percent:   89% | 537MB
247, gpu_percent:   89% | 537MB
248, gpu_percent:   89% | 537MB
249, gpu_percent:   90% | 537MB
250, gpu_percent:   88% | 537MB
251, gpu_percent:   76% | 537MB
252, gpu_percent:   90% | 537MB
253, gpu_percent:   90% | 537MB
254, gpu_percent:   88% | 537MB
255, gpu_percent:   88% | 537MB
256, gpu_percent:   88% | 537MB
257, gpu_percent:   89% | 537MB
258, gpu_percent:   89% | 537MB
259, gpu_percent:   90% | 537MB
260, gpu_percent:   81% | 537MB
261, gpu_percent:   90% | 537MB
262, gpu_percent:   87% | 537MB
263, gpu_percent:   89% | 537MB
264, gpu_percent:   89% | 537MB
265, gpu_percent:   83% | 537MB
266, gpu_percent:   89% | 537MB
267, gpu_percent:   89% | 537MB
268, gpu_percent:   89% | 537MB
269, gpu_percent:   89% | 537MB
270, gpu_percent:   89% | 537MB
