1, memory_percent: 4.66759431429, cpu_percent: 55.6
2, memory_percent: 5.6085931856, cpu_percent: 14.4
3, memory_percent: 6.9788780915, cpu_percent: 13.3
4, memory_percent: 6.97912620254, cpu_percent: 12.9
5, memory_percent: 6.97912620254, cpu_percent: 13.6
6, memory_percent: 6.98016179644, cpu_percent: 14.0
7, memory_percent: 6.98016179644, cpu_percent: 13.3
8, memory_percent: 6.98016179644, cpu_percent: 14.1
9, memory_percent: 6.99182301528, cpu_percent: 11.6
10, memory_percent: 6.99250262377, cpu_percent: 13.3
11, memory_percent: 6.99250262377, cpu_percent: 14.1
12, memory_percent: 6.99250262377, cpu_percent: 13.9
13, memory_percent: 6.99250262377, cpu_percent: 13.2
14, memory_percent: 6.99250262377, cpu_percent: 14.1
15, memory_percent: 6.99250262377, cpu_percent: 13.4
16, memory_percent: 6.99250262377, cpu_percent: 12.3
17, memory_percent: 6.99250262377, cpu_percent: 14.1
18, memory_percent: 6.99250262377, cpu_percent: 13.8
19, memory_percent: 6.99250262377, cpu_percent: 13.3
20, memory_percent: 6.99250262377, cpu_percent: 13.9
21, memory_percent: 6.99250262377, cpu_percent: 13.5
22, memory_percent: 6.99674208631, cpu_percent: 12.3
23, memory_percent: 6.99674208631, cpu_percent: 14.3
24, memory_percent: 6.99674208631, cpu_percent: 13.6
25, memory_percent: 6.99674208631, cpu_percent: 13.6
26, memory_percent: 6.99674208631, cpu_percent: 15.1
27, memory_percent: 6.99674208631, cpu_percent: 12.5
28, memory_percent: 6.99674208631, cpu_percent: 13.2
29, memory_percent: 6.99674208631, cpu_percent: 12.4
30, memory_percent: 6.99674208631, cpu_percent: 13.7
31, memory_percent: 6.99674208631, cpu_percent: 13.4
32, memory_percent: 6.99674208631, cpu_percent: 13.6
33, memory_percent: 6.99674208631, cpu_percent: 13.5
34, memory_percent: 6.99674208631, cpu_percent: 13.3
35, memory_percent: 6.99674208631, cpu_percent: 11.7
36, memory_percent: 6.99674208631, cpu_percent: 13.0
37, memory_percent: 6.99674208631, cpu_percent: 13.5
38, memory_percent: 6.99729224557, cpu_percent: 12.9
39, memory_percent: 6.99729224557, cpu_percent: 13.3
40, memory_percent: 6.99729224557, cpu_percent: 13.7
41, memory_percent: 6.99729224557, cpu_percent: 12.0
42, memory_percent: 6.99729224557, cpu_percent: 13.3
43, memory_percent: 6.99729224557, cpu_percent: 13.1
44, memory_percent: 6.99729224557, cpu_percent: 13.8
45, memory_percent: 6.99729224557, cpu_percent: 13.7
46, memory_percent: 6.99729224557, cpu_percent: 14.4
47, memory_percent: 6.99729224557, cpu_percent: 13.2
48, memory_percent: 6.99729224557, cpu_percent: 13.4
49, memory_percent: 6.99729224557, cpu_percent: 13.0
50, memory_percent: 6.99729224557, cpu_percent: 13.6
51, memory_percent: 6.99729224557, cpu_percent: 14.7
52, memory_percent: 6.99729224557, cpu_percent: 13.7
53, memory_percent: 6.99729224557, cpu_percent: 13.1
54, memory_percent: 6.99729224557, cpu_percent: 12.6
55, memory_percent: 6.99729224557, cpu_percent: 13.3
56, memory_percent: 6.99729224557, cpu_percent: 13.3
57, memory_percent: 6.99729224557, cpu_percent: 14.6
58, memory_percent: 6.99729224557, cpu_percent: 13.8
59, memory_percent: 6.99729224557, cpu_percent: 14.3
60, memory_percent: 6.99729224557, cpu_percent: 12.2
61, memory_percent: 6.99729224557, cpu_percent: 14.0
62, memory_percent: 6.99729224557, cpu_percent: 14.3
63, memory_percent: 6.99729224557, cpu_percent: 13.9
64, memory_percent: 6.99729224557, cpu_percent: 14.1
65, memory_percent: 6.99729224557, cpu_percent: 14.2
66, memory_percent: 6.99729224557, cpu_percent: 12.8
67, memory_percent: 6.99729224557, cpu_percent: 12.2
68, memory_percent: 6.99729224557, cpu_percent: 13.9
69, memory_percent: 6.99729224557, cpu_percent: 13.7
70, memory_percent: 6.99729224557, cpu_percent: 13.6
71, memory_percent: 6.99729224557, cpu_percent: 14.1
72, memory_percent: 6.99729224557, cpu_percent: 14.3
73, memory_percent: 6.99729224557, cpu_percent: 12.1
74, memory_percent: 6.99729224557, cpu_percent: 13.6
75, memory_percent: 6.99729224557, cpu_percent: 13.0
76, memory_percent: 6.99729224557, cpu_percent: 14.1
77, memory_percent: 6.99729224557, cpu_percent: 14.2
78, memory_percent: 6.99729224557, cpu_percent: 13.4
79, memory_percent: 6.99729224557, cpu_percent: 11.7
80, memory_percent: 6.99729224557, cpu_percent: 13.6
81, memory_percent: 6.99729224557, cpu_percent: 13.8
82, memory_percent: 6.99729224557, cpu_percent: 13.5
83, memory_percent: 6.99729224557, cpu_percent: 13.4
84, memory_percent: 6.99729224557, cpu_percent: 13.8
85, memory_percent: 6.99729224557, cpu_percent: 13.5
86, memory_percent: 6.99729224557, cpu_percent: 11.8
87, memory_percent: 6.99747563199, cpu_percent: 13.0
88, memory_percent: 6.99747563199, cpu_percent: 13.2
89, memory_percent: 6.99747563199, cpu_percent: 14.0
90, memory_percent: 6.99747563199, cpu_percent: 13.3
91, memory_percent: 6.99747563199, cpu_percent: 13.3
92, memory_percent: 6.99747563199, cpu_percent: 11.8
93, memory_percent: 6.99800421638, cpu_percent: 13.1
94, memory_percent: 6.99800421638, cpu_percent: 14.5
95, memory_percent: 6.99800421638, cpu_percent: 13.7
96, memory_percent: 6.99800421638, cpu_percent: 14.1
97, memory_percent: 6.99800421638, cpu_percent: 13.1
98, memory_percent: 6.99800421638, cpu_percent: 12.4
99, memory_percent: 6.99800421638, cpu_percent: 13.5
100, memory_percent: 6.99800421638, cpu_percent: 13.7
101, memory_percent: 6.99800421638, cpu_percent: 13.4
102, memory_percent: 6.99800421638, cpu_percent: 13.7
103, memory_percent: 6.99800421638, cpu_percent: 13.2
104, memory_percent: 6.99800421638, cpu_percent: 14.3
105, memory_percent: 6.99800421638, cpu_percent: 11.8
106, memory_percent: 6.99800421638, cpu_percent: 13.3
107, memory_percent: 6.99800421638, cpu_percent: 13.8
108, memory_percent: 6.99800421638, cpu_percent: 13.4
109, memory_percent: 6.99800421638, cpu_percent: 13.4
110, memory_percent: 6.99800421638, cpu_percent: 14.7
111, memory_percent: 6.99800421638, cpu_percent: 12.5
112, memory_percent: 6.99800421638, cpu_percent: 13.2
113, memory_percent: 6.99800421638, cpu_percent: 14.3
114, memory_percent: 6.99800421638, cpu_percent: 13.5
115, memory_percent: 6.99800421638, cpu_percent: 14.3
116, memory_percent: 6.99800421638, cpu_percent: 13.4
117, memory_percent: 6.99800421638, cpu_percent: 13.9
118, memory_percent: 6.99800421638, cpu_percent: 12.4
119, memory_percent: 6.99800421638, cpu_percent: 14.5
120, memory_percent: 6.99800421638, cpu_percent: 14.1
121, memory_percent: 6.99800421638, cpu_percent: 14.6
122, memory_percent: 6.99800421638, cpu_percent: 13.6
123, memory_percent: 6.99800421638, cpu_percent: 14.3
124, memory_percent: 6.99800421638, cpu_percent: 12.7
125, memory_percent: 6.99803657869, cpu_percent: 14.7
126, memory_percent: 6.99803657869, cpu_percent: 13.5
127, memory_percent: 6.99803657869, cpu_percent: 13.5
128, memory_percent: 6.99803657869, cpu_percent: 13.7
129, memory_percent: 6.99803657869, cpu_percent: 14.0
130, memory_percent: 6.99803657869, cpu_percent: 14.2
131, memory_percent: 6.99803657869, cpu_percent: 13.0
132, memory_percent: 6.99803657869, cpu_percent: 13.4
133, memory_percent: 6.99803657869, cpu_percent: 13.3
134, memory_percent: 6.99803657869, cpu_percent: 13.4
135, memory_percent: 6.99803657869, cpu_percent: 13.5
136, memory_percent: 6.99803657869, cpu_percent: 13.8
137, memory_percent: 6.99803657869, cpu_percent: 12.5
138, memory_percent: 6.99803657869, cpu_percent: 13.2
139, memory_percent: 6.99803657869, cpu_percent: 14.4
140, memory_percent: 6.99803657869, cpu_percent: 13.3
141, memory_percent: 6.99803657869, cpu_percent: 13.3
142, memory_percent: 6.99803657869, cpu_percent: 13.9
143, memory_percent: 6.99803657869, cpu_percent: 12.2
144, memory_percent: 6.99803657869, cpu_percent: 13.5
145, memory_percent: 6.99803657869, cpu_percent: 13.6
146, memory_percent: 6.99803657869, cpu_percent: 15.1
147, memory_percent: 6.99803657869, cpu_percent: 13.9
148, memory_percent: 6.99803657869, cpu_percent: 14.7
149, memory_percent: 6.99803657869, cpu_percent: 13.3
150, memory_percent: 6.99803657869, cpu_percent: 12.7
