1, gpu_percent:    0% | 7241MB
2, gpu_percent:    7% | 7303MB
3, gpu_percent:   72% | 7399MB
4, gpu_percent:   74% | 7399MB
5, gpu_percent:   72% | 7399MB
6, gpu_percent:   75% | 7399MB
7, gpu_percent:   73% | 7399MB
8, gpu_percent:   74% | 7399MB
9, gpu_percent:   57% | 7399MB
10, gpu_percent:   73% | 7399MB
11, gpu_percent:   72% | 7399MB
12, gpu_percent:   72% | 7399MB
13, gpu_percent:   72% | 7399MB
14, gpu_percent:   72% | 7399MB
15, gpu_percent:   73% | 7399MB
16, gpu_percent:   72% | 7399MB
17, gpu_percent:   73% | 7399MB
18, gpu_percent:   73% | 7399MB
19, gpu_percent:   73% | 7399MB
20, gpu_percent:   74% | 7399MB
21, gpu_percent:   74% | 7399MB
22, gpu_percent:   72% | 7399MB
23, gpu_percent:   73% | 7399MB
24, gpu_percent:   75% | 7399MB
25, gpu_percent:   73% | 7399MB
26, gpu_percent:   73% | 7399MB
27, gpu_percent:   73% | 7399MB
28, gpu_percent:   60% | 7399MB
29, gpu_percent:   72% | 7399MB
30, gpu_percent:   73% | 7399MB
31, gpu_percent:   73% | 7399MB
32, gpu_percent:   74% | 7399MB
33, gpu_percent:   72% | 7399MB
34, gpu_percent:   57% | 7399MB
35, gpu_percent:   72% | 7399MB
36, gpu_percent:   72% | 7399MB
37, gpu_percent:   74% | 7399MB
38, gpu_percent:   74% | 7399MB
39, gpu_percent:   72% | 7399MB
40, gpu_percent:   72% | 7399MB
41, gpu_percent:   72% | 7399MB
42, gpu_percent:   73% | 7399MB
43, gpu_percent:   72% | 7399MB
44, gpu_percent:   73% | 7399MB
45, gpu_percent:   73% | 7399MB
46, gpu_percent:   73% | 7399MB
47, gpu_percent:   74% | 7399MB
48, gpu_percent:   72% | 7399MB
49, gpu_percent:   72% | 7399MB
50, gpu_percent:   73% | 7399MB
51, gpu_percent:   73% | 7399MB
52, gpu_percent:   73% | 7399MB
53, gpu_percent:   57% | 7399MB
54, gpu_percent:   72% | 7399MB
55, gpu_percent:   72% | 7399MB
56, gpu_percent:   74% | 7399MB
57, gpu_percent:   73% | 7399MB
58, gpu_percent:   73% | 7399MB
59, gpu_percent:   59% | 7399MB
60, gpu_percent:   72% | 7399MB
61, gpu_percent:   72% | 7399MB
62, gpu_percent:   73% | 7399MB
63, gpu_percent:   72% | 7399MB
64, gpu_percent:   72% | 7399MB
65, gpu_percent:   74% | 7399MB
66, gpu_percent:   73% | 7399MB
67, gpu_percent:   72% | 7399MB
68, gpu_percent:   74% | 7399MB
69, gpu_percent:   73% | 7399MB
70, gpu_percent:   74% | 7399MB
71, gpu_percent:   75% | 7399MB
72, gpu_percent:   69% | 7399MB
73, gpu_percent:   74% | 7399MB
74, gpu_percent:   73% | 7399MB
75, gpu_percent:   72% | 7399MB
