1, memory_percent: 5.26523986998, cpu_percent: 60.0
2, memory_percent: 5.30744032147, cpu_percent: 17.6
3, memory_percent: 5.30744032147, cpu_percent: 17.1
4, memory_percent: 5.30744032147, cpu_percent: 16.1
5, memory_percent: 5.30744032147, cpu_percent: 16.5
6, memory_percent: 5.30752662097, cpu_percent: 16.3
7, memory_percent: 5.30752662097, cpu_percent: 16.2
8, memory_percent: 5.30758055815, cpu_percent: 16.2
9, memory_percent: 5.30758055815, cpu_percent: 16.0
10, memory_percent: 5.30760213302, cpu_percent: 16.5
11, memory_percent: 5.30760213302, cpu_percent: 16.2
12, memory_percent: 5.30760213302, cpu_percent: 16.7
13, memory_percent: 5.30760213302, cpu_percent: 16.5
14, memory_percent: 5.42294140383, cpu_percent: 15.6
15, memory_percent: 5.61730943427, cpu_percent: 15.3
16, memory_percent: 5.30297432277, cpu_percent: 15.9
17, memory_percent: 5.30297432277, cpu_percent: 15.5
18, memory_percent: 5.3036323564, cpu_percent: 16.3
19, memory_percent: 5.3036323564, cpu_percent: 15.9
20, memory_percent: 5.3036323564, cpu_percent: 15.4
21, memory_percent: 5.3036323564, cpu_percent: 16.3
22, memory_percent: 5.3036323564, cpu_percent: 15.8
23, memory_percent: 5.3036323564, cpu_percent: 15.2
24, memory_percent: 5.3036323564, cpu_percent: 15.5
25, memory_percent: 5.3036323564, cpu_percent: 16.2
26, memory_percent: 5.3036323564, cpu_percent: 16.3
27, memory_percent: 5.30368629358, cpu_percent: 16.1
28, memory_percent: 5.30378338051, cpu_percent: 16.2
29, memory_percent: 5.30378338051, cpu_percent: 15.7
30, memory_percent: 5.30378338051, cpu_percent: 15.8
31, memory_percent: 5.30378338051, cpu_percent: 16.0
32, memory_percent: 5.30378338051, cpu_percent: 16.1
33, memory_percent: 5.30378338051, cpu_percent: 16.3
34, memory_percent: 5.30378338051, cpu_percent: 16.5
35, memory_percent: 5.30378338051, cpu_percent: 16.1
36, memory_percent: 5.30378338051, cpu_percent: 16.2
37, memory_percent: 5.30378338051, cpu_percent: 16.0
38, memory_percent: 5.30378338051, cpu_percent: 15.5
39, memory_percent: 5.30378338051, cpu_percent: 15.8
40, memory_percent: 5.52734221405, cpu_percent: 15.7
