1, memory_percent: 5.63413783518, cpu_percent: 55.6
2, memory_percent: 5.66735235209, cpu_percent: 21.3
3, memory_percent: 5.66789172391, cpu_percent: 18.9
4, memory_percent: 5.66789172391, cpu_percent: 18.9
5, memory_percent: 5.66789172391, cpu_percent: 19.7
6, memory_percent: 5.66789172391, cpu_percent: 18.6
7, memory_percent: 5.66789172391, cpu_percent: 18.8
8, memory_percent: 5.66789172391, cpu_percent: 19.0
9, memory_percent: 5.66652171948, cpu_percent: 24.2
10, memory_percent: 5.66652171948, cpu_percent: 23.8
11, memory_percent: 5.67204488695, cpu_percent: 23.2
12, memory_percent: 5.67204488695, cpu_percent: 23.6
13, memory_percent: 5.67204488695, cpu_percent: 24.0
14, memory_percent: 5.67204488695, cpu_percent: 24.2
15, memory_percent: 5.67204488695, cpu_percent: 24.4
16, memory_percent: 5.67204488695, cpu_percent: 24.0
17, memory_percent: 5.67204488695, cpu_percent: 24.5
18, memory_percent: 5.67204488695, cpu_percent: 24.7
19, memory_percent: 5.67204488695, cpu_percent: 24.4
20, memory_percent: 5.67204488695, cpu_percent: 22.8
21, memory_percent: 5.67204488695, cpu_percent: 23.8
22, memory_percent: 5.67204488695, cpu_percent: 23.4
23, memory_percent: 5.67204488695, cpu_percent: 24.1
24, memory_percent: 5.67204488695, cpu_percent: 25.0
25, memory_percent: 5.67204488695, cpu_percent: 24.2
26, memory_percent: 5.67204488695, cpu_percent: 23.9
27, memory_percent: 5.67204488695, cpu_percent: 24.0
28, memory_percent: 5.6747201712, cpu_percent: 21.4
29, memory_percent: 5.6747201712, cpu_percent: 19.2
30, memory_percent: 5.6747201712, cpu_percent: 18.7
31, memory_percent: 5.6747201712, cpu_percent: 18.7
32, memory_percent: 5.6747201712, cpu_percent: 19.2
33, memory_percent: 5.6747201712, cpu_percent: 19.6
34, memory_percent: 5.6747201712, cpu_percent: 19.1
35, memory_percent: 5.6733609542, cpu_percent: 20.9
36, memory_percent: 5.6733609542, cpu_percent: 26.5
37, memory_percent: 5.6733609542, cpu_percent: 25.0
38, memory_percent: 5.6733609542, cpu_percent: 24.6
39, memory_percent: 5.6733609542, cpu_percent: 24.3
40, memory_percent: 5.6733609542, cpu_percent: 23.9
41, memory_percent: 5.6733609542, cpu_percent: 24.5
42, memory_percent: 5.6733609542, cpu_percent: 24.8
43, memory_percent: 5.6733609542, cpu_percent: 24.5
44, memory_percent: 5.6733609542, cpu_percent: 24.2
45, memory_percent: 5.6733609542, cpu_percent: 24.7
46, memory_percent: 5.6733609542, cpu_percent: 23.8
47, memory_percent: 5.6733609542, cpu_percent: 24.3
48, memory_percent: 5.6733609542, cpu_percent: 25.2
49, memory_percent: 5.6733609542, cpu_percent: 24.0
50, memory_percent: 5.6733609542, cpu_percent: 25.4
51, memory_percent: 5.6733609542, cpu_percent: 23.7
52, memory_percent: 5.6733609542, cpu_percent: 24.1
53, memory_percent: 5.6733609542, cpu_percent: 24.1
54, memory_percent: 5.67474174607, cpu_percent: 22.5
55, memory_percent: 5.67474174607, cpu_percent: 19.4
56, memory_percent: 5.67474174607, cpu_percent: 19.2
57, memory_percent: 5.67474174607, cpu_percent: 18.5
58, memory_percent: 5.67474174607, cpu_percent: 18.9
59, memory_percent: 5.67474174607, cpu_percent: 19.7
60, memory_percent: 5.67474174607, cpu_percent: 19.2
61, memory_percent: 5.6733609542, cpu_percent: 20.1
62, memory_percent: 5.6733609542, cpu_percent: 25.8
63, memory_percent: 5.6733609542, cpu_percent: 24.3
64, memory_percent: 5.6733609542, cpu_percent: 26.2
65, memory_percent: 5.6733609542, cpu_percent: 24.7
66, memory_percent: 5.6733609542, cpu_percent: 24.3
67, memory_percent: 5.6733609542, cpu_percent: 24.4
68, memory_percent: 5.6733609542, cpu_percent: 25.1
69, memory_percent: 5.6733609542, cpu_percent: 24.5
70, memory_percent: 5.6733609542, cpu_percent: 25.6
71, memory_percent: 5.6733609542, cpu_percent: 24.8
72, memory_percent: 5.6733609542, cpu_percent: 24.0
73, memory_percent: 5.6733609542, cpu_percent: 25.1
74, memory_percent: 5.6733609542, cpu_percent: 25.5
75, memory_percent: 5.6733609542, cpu_percent: 23.5
76, memory_percent: 5.6733609542, cpu_percent: 24.0
77, memory_percent: 5.6733609542, cpu_percent: 24.1
78, memory_percent: 5.6733609542, cpu_percent: 23.5
79, memory_percent: 5.6733609542, cpu_percent: 24.3
80, memory_percent: 5.67474174607, cpu_percent: 24.3
81, memory_percent: 5.67474174607, cpu_percent: 19.9
82, memory_percent: 5.67474174607, cpu_percent: 18.8
83, memory_percent: 5.67474174607, cpu_percent: 19.0
84, memory_percent: 5.67474174607, cpu_percent: 19.1
85, memory_percent: 5.67474174607, cpu_percent: 19.8
86, memory_percent: 5.67474174607, cpu_percent: 18.8
87, memory_percent: 5.67474174607, cpu_percent: 19.8
88, memory_percent: 5.67337174164, cpu_percent: 24.8
89, memory_percent: 5.67337174164, cpu_percent: 24.0
90, memory_percent: 5.67337174164, cpu_percent: 24.4
91, memory_percent: 5.67337174164, cpu_percent: 24.3
92, memory_percent: 5.67337174164, cpu_percent: 23.8
93, memory_percent: 5.67337174164, cpu_percent: 25.2
94, memory_percent: 5.67337174164, cpu_percent: 23.9
95, memory_percent: 5.67337174164, cpu_percent: 25.9
96, memory_percent: 5.67337174164, cpu_percent: 24.4
97, memory_percent: 5.67340410395, cpu_percent: 24.2
98, memory_percent: 5.67337174164, cpu_percent: 24.1
99, memory_percent: 5.67337174164, cpu_percent: 24.3
100, memory_percent: 5.67337174164, cpu_percent: 24.1
101, memory_percent: 5.67337174164, cpu_percent: 23.8
102, memory_percent: 5.67337174164, cpu_percent: 23.9
103, memory_percent: 5.67337174164, cpu_percent: 24.6
104, memory_percent: 5.67337174164, cpu_percent: 26.3
105, memory_percent: 5.67337174164, cpu_percent: 25.3
106, memory_percent: 5.67337174164, cpu_percent: 23.5
107, memory_percent: 5.67477410838, cpu_percent: 21.3
108, memory_percent: 5.67477410838, cpu_percent: 20.4
109, memory_percent: 5.67477410838, cpu_percent: 19.6
110, memory_percent: 5.67477410838, cpu_percent: 18.7
111, memory_percent: 5.67477410838, cpu_percent: 18.8
112, memory_percent: 5.67477410838, cpu_percent: 19.8
113, memory_percent: 5.67477410838, cpu_percent: 19.0
114, memory_percent: 5.67340410395, cpu_percent: 21.7
115, memory_percent: 5.67340410395, cpu_percent: 24.0
116, memory_percent: 5.67340410395, cpu_percent: 24.5
117, memory_percent: 5.67340410395, cpu_percent: 23.5
118, memory_percent: 5.67340410395, cpu_percent: 23.9
119, memory_percent: 5.67340410395, cpu_percent: 24.3
120, memory_percent: 5.67340410395, cpu_percent: 24.2
121, memory_percent: 5.67343646626, cpu_percent: 24.6
122, memory_percent: 5.67340410395, cpu_percent: 24.3
123, memory_percent: 5.67340410395, cpu_percent: 23.3
124, memory_percent: 5.67340410395, cpu_percent: 23.7
125, memory_percent: 5.67340410395, cpu_percent: 24.1
126, memory_percent: 5.67340410395, cpu_percent: 25.3
127, memory_percent: 5.67340410395, cpu_percent: 24.3
128, memory_percent: 5.67340410395, cpu_percent: 23.6
129, memory_percent: 5.67340410395, cpu_percent: 23.8
130, memory_percent: 5.67340410395, cpu_percent: 25.4
131, memory_percent: 5.67340410395, cpu_percent: 24.2
132, memory_percent: 5.67340410395, cpu_percent: 24.5
133, memory_percent: 5.67478489582, cpu_percent: 23.3
134, memory_percent: 5.67478489582, cpu_percent: 19.6
135, memory_percent: 5.67478489582, cpu_percent: 18.7
136, memory_percent: 5.67478489582, cpu_percent: 19.1
137, memory_percent: 5.67478489582, cpu_percent: 18.9
138, memory_percent: 5.67478489582, cpu_percent: 18.9
139, memory_percent: 5.67478489582, cpu_percent: 18.9
140, memory_percent: 5.67478489582, cpu_percent: 18.5
141, memory_percent: 5.67340410395, cpu_percent: 24.8
142, memory_percent: 5.67340410395, cpu_percent: 25.9
143, memory_percent: 5.67340410395, cpu_percent: 25.1
144, memory_percent: 5.67340410395, cpu_percent: 24.5
145, memory_percent: 5.67340410395, cpu_percent: 25.1
146, memory_percent: 5.67340410395, cpu_percent: 24.2
147, memory_percent: 5.67340410395, cpu_percent: 23.3
148, memory_percent: 5.67340410395, cpu_percent: 24.1
149, memory_percent: 5.67340410395, cpu_percent: 24.7
150, memory_percent: 5.67340410395, cpu_percent: 25.2
151, memory_percent: 5.67340410395, cpu_percent: 23.7
152, memory_percent: 5.67340410395, cpu_percent: 23.7
153, memory_percent: 5.67340410395, cpu_percent: 23.9
154, memory_percent: 5.67340410395, cpu_percent: 24.2
155, memory_percent: 5.67340410395, cpu_percent: 24.5
156, memory_percent: 5.67340410395, cpu_percent: 24.7
157, memory_percent: 5.67340410395, cpu_percent: 24.9
158, memory_percent: 5.67340410395, cpu_percent: 24.4
159, memory_percent: 5.67340410395, cpu_percent: 25.2
160, memory_percent: 5.67478489582, cpu_percent: 19.6
161, memory_percent: 5.67478489582, cpu_percent: 19.3
162, memory_percent: 5.67478489582, cpu_percent: 19.9
163, memory_percent: 5.67478489582, cpu_percent: 19.1
164, memory_percent: 5.67478489582, cpu_percent: 18.8
165, memory_percent: 5.67478489582, cpu_percent: 19.7
166, memory_percent: 5.67478489582, cpu_percent: 20.9
167, memory_percent: 5.67341489139, cpu_percent: 21.6
168, memory_percent: 5.67341489139, cpu_percent: 24.8
169, memory_percent: 5.67341489139, cpu_percent: 23.1
170, memory_percent: 5.67341489139, cpu_percent: 25.0
171, memory_percent: 5.67341489139, cpu_percent: 24.7
172, memory_percent: 5.67341489139, cpu_percent: 25.2
173, memory_percent: 5.67341489139, cpu_percent: 24.6
174, memory_percent: 5.67341489139, cpu_percent: 24.4
175, memory_percent: 5.67341489139, cpu_percent: 25.0
176, memory_percent: 5.67341489139, cpu_percent: 23.6
177, memory_percent: 5.67341489139, cpu_percent: 23.7
178, memory_percent: 5.67341489139, cpu_percent: 25.2
179, memory_percent: 5.67341489139, cpu_percent: 24.8
180, memory_percent: 5.67341489139, cpu_percent: 24.8
181, memory_percent: 5.67341489139, cpu_percent: 23.5
182, memory_percent: 5.67341489139, cpu_percent: 23.1
183, memory_percent: 5.67341489139, cpu_percent: 25.6
184, memory_percent: 5.67341489139, cpu_percent: 25.9
185, memory_percent: 5.67341489139, cpu_percent: 23.6
186, memory_percent: 5.67480647069, cpu_percent: 22.7
187, memory_percent: 5.67480647069, cpu_percent: 19.0
188, memory_percent: 5.67480647069, cpu_percent: 19.7
189, memory_percent: 5.67480647069, cpu_percent: 17.8
190, memory_percent: 5.67480647069, cpu_percent: 19.5
191, memory_percent: 5.67480647069, cpu_percent: 19.8
192, memory_percent: 5.67480647069, cpu_percent: 19.2
193, memory_percent: 5.67342567882, cpu_percent: 20.0
194, memory_percent: 5.67342567882, cpu_percent: 25.4
195, memory_percent: 5.67342567882, cpu_percent: 24.0
196, memory_percent: 5.67342567882, cpu_percent: 25.0
197, memory_percent: 5.67342567882, cpu_percent: 23.7
198, memory_percent: 5.67342567882, cpu_percent: 23.8
199, memory_percent: 5.67342567882, cpu_percent: 24.3
200, memory_percent: 5.67342567882, cpu_percent: 23.4
201, memory_percent: 5.67342567882, cpu_percent: 24.4
202, memory_percent: 5.67342567882, cpu_percent: 24.3
203, memory_percent: 5.67342567882, cpu_percent: 24.8
204, memory_percent: 5.67342567882, cpu_percent: 23.5
205, memory_percent: 5.67342567882, cpu_percent: 24.7
206, memory_percent: 5.67342567882, cpu_percent: 23.7
207, memory_percent: 5.67342567882, cpu_percent: 24.7
