1, gpu_percent:    7% | 465MB
2, gpu_percent:   61% | 647MB
3, gpu_percent:   59% | 647MB
4, gpu_percent:   60% | 647MB
5, gpu_percent:   55% | 647MB
6, gpu_percent:   59% | 647MB
7, gpu_percent:   59% | 647MB
8, gpu_percent:   63% | 647MB
9, gpu_percent:   14% | 647MB
10, gpu_percent:   14% | 647MB
11, gpu_percent:   14% | 647MB
12, gpu_percent:   16% | 647MB
13, gpu_percent:   16% | 647MB
14, gpu_percent:   16% | 647MB
15, gpu_percent:   14% | 647MB
16, gpu_percent:   16% | 647MB
17, gpu_percent:   16% | 647MB
18, gpu_percent:   15% | 647MB
19, gpu_percent:   15% | 647MB
20, gpu_percent:   15% | 647MB
21, gpu_percent:   15% | 647MB
22, gpu_percent:   15% | 647MB
23, gpu_percent:   16% | 647MB
24, gpu_percent:   14% | 647MB
25, gpu_percent:   16% | 647MB
26, gpu_percent:   16% | 647MB
27, gpu_percent:   16% | 647MB
28, gpu_percent:   60% | 647MB
29, gpu_percent:   63% | 647MB
30, gpu_percent:   61% | 647MB
31, gpu_percent:   60% | 647MB
32, gpu_percent:   59% | 647MB
33, gpu_percent:   59% | 647MB
34, gpu_percent:   59% | 647MB
35, gpu_percent:   13% | 647MB
36, gpu_percent:   13% | 647MB
37, gpu_percent:   14% | 647MB
38, gpu_percent:   13% | 647MB
39, gpu_percent:   13% | 647MB
40, gpu_percent:   14% | 647MB
41, gpu_percent:   14% | 647MB
42, gpu_percent:   13% | 647MB
43, gpu_percent:   14% | 647MB
44, gpu_percent:   13% | 647MB
45, gpu_percent:   13% | 647MB
46, gpu_percent:   13% | 647MB
47, gpu_percent:   14% | 647MB
48, gpu_percent:   14% | 647MB
49, gpu_percent:   13% | 647MB
50, gpu_percent:   13% | 647MB
51, gpu_percent:   12% | 647MB
52, gpu_percent:   13% | 647MB
53, gpu_percent:   13% | 647MB
54, gpu_percent:   61% | 647MB
55, gpu_percent:   59% | 647MB
56, gpu_percent:   59% | 647MB
57, gpu_percent:   60% | 647MB
58, gpu_percent:   61% | 647MB
