1, memory_percent: 6.60893517084, cpu_percent: 33.3
2, memory_percent: 8.25121485439, cpu_percent: 15.0
3, memory_percent: 8.89268990288, cpu_percent: 12.2
4, memory_percent: 8.89268990288, cpu_percent: 12.2
5, memory_percent: 8.89268990288, cpu_percent: 11.7
6, memory_percent: 8.89268990288, cpu_percent: 12.1
7, memory_percent: 8.89268990288, cpu_percent: 12.0
8, memory_percent: 8.89268990288, cpu_percent: 12.6
9, memory_percent: 8.91038130252, cpu_percent: 13.0
10, memory_percent: 8.91038130252, cpu_percent: 11.4
11, memory_percent: 8.91038130252, cpu_percent: 11.7
12, memory_percent: 8.91038130252, cpu_percent: 12.1
13, memory_percent: 8.91038130252, cpu_percent: 11.6
14, memory_percent: 8.91038130252, cpu_percent: 12.1
15, memory_percent: 8.91098539909, cpu_percent: 12.0
16, memory_percent: 8.91098539909, cpu_percent: 13.7
17, memory_percent: 8.91098539909, cpu_percent: 11.7
18, memory_percent: 8.91098539909, cpu_percent: 11.6
19, memory_percent: 8.91098539909, cpu_percent: 11.4
20, memory_percent: 8.91098539909, cpu_percent: 12.2
21, memory_percent: 8.91098539909, cpu_percent: 11.1
22, memory_percent: 8.91098539909, cpu_percent: 12.4
23, memory_percent: 8.91098539909, cpu_percent: 12.0
24, memory_percent: 8.91098539909, cpu_percent: 11.5
25, memory_percent: 8.91098539909, cpu_percent: 11.9
26, memory_percent: 8.91098539909, cpu_percent: 11.6
27, memory_percent: 8.91098539909, cpu_percent: 11.4
28, memory_percent: 8.91117957299, cpu_percent: 12.3
29, memory_percent: 8.91120114787, cpu_percent: 13.0
30, memory_percent: 8.91120114787, cpu_percent: 12.0
31, memory_percent: 8.91120114787, cpu_percent: 11.4
32, memory_percent: 8.91120114787, cpu_percent: 12.2
33, memory_percent: 8.91120114787, cpu_percent: 11.9
34, memory_percent: 8.91120114787, cpu_percent: 12.2
35, memory_percent: 8.91258194004, cpu_percent: 13.2
36, memory_percent: 8.91258194004, cpu_percent: 11.5
37, memory_percent: 8.91258194004, cpu_percent: 12.5
38, memory_percent: 8.91258194004, cpu_percent: 11.3
39, memory_percent: 8.91258194004, cpu_percent: 11.7
40, memory_percent: 8.91258194004, cpu_percent: 11.4
41, memory_percent: 8.91258194004, cpu_percent: 12.2
42, memory_percent: 8.91258194004, cpu_percent: 12.7
43, memory_percent: 8.91258194004, cpu_percent: 12.3
44, memory_percent: 8.91258194004, cpu_percent: 11.9
45, memory_percent: 8.91258194004, cpu_percent: 11.9
46, memory_percent: 8.91258194004, cpu_percent: 11.7
47, memory_percent: 8.91258194004, cpu_percent: 12.2
48, memory_percent: 8.91258194004, cpu_percent: 12.8
49, memory_percent: 8.91258194004, cpu_percent: 11.3
50, memory_percent: 8.91258194004, cpu_percent: 11.5
51, memory_percent: 8.91258194004, cpu_percent: 12.4
52, memory_percent: 8.91258194004, cpu_percent: 12.4
53, memory_percent: 8.91258194004, cpu_percent: 12.2
54, memory_percent: 8.91258194004, cpu_percent: 12.5
55, memory_percent: 8.91258194004, cpu_percent: 12.1
56, memory_percent: 8.91258194004, cpu_percent: 11.9
57, memory_percent: 8.91258194004, cpu_percent: 12.2
58, memory_percent: 8.91258194004, cpu_percent: 11.4
59, memory_percent: 8.91258194004, cpu_percent: 12.2
60, memory_percent: 8.91258194004, cpu_percent: 11.7
61, memory_percent: 8.91258194004, cpu_percent: 13.4
62, memory_percent: 8.91258194004, cpu_percent: 12.3
63, memory_percent: 8.91258194004, cpu_percent: 11.6
64, memory_percent: 8.91258194004, cpu_percent: 12.5
65, memory_percent: 8.91258194004, cpu_percent: 11.5
66, memory_percent: 8.91258194004, cpu_percent: 12.2
67, memory_percent: 8.91303501247, cpu_percent: 13.4
68, memory_percent: 8.91303501247, cpu_percent: 13.5
69, memory_percent: 8.91303501247, cpu_percent: 12.0
70, memory_percent: 8.91303501247, cpu_percent: 11.3
71, memory_percent: 8.91303501247, cpu_percent: 12.1
72, memory_percent: 8.91303501247, cpu_percent: 11.5
73, memory_percent: 8.91303501247, cpu_percent: 12.4
