1, memory_percent: 5.352024796432983, cpu_percent: 0.0
2, memory_percent: 5.352553380820348, cpu_percent: 16.4
3, memory_percent: 5.352553380820348, cpu_percent: 12.9
4, memory_percent: 5.352553380820348, cpu_percent: 12.7
5, memory_percent: 5.352553380820348, cpu_percent: 13.0
6, memory_percent: 5.352553380820348, cpu_percent: 13.1
7, memory_percent: 5.352553380820348, cpu_percent: 13.0
8, memory_percent: 5.352553380820348, cpu_percent: 12.8
9, memory_percent: 5.352553380820348, cpu_percent: 13.7
10, memory_percent: 5.352553380820348, cpu_percent: 12.9
11, memory_percent: 5.352553380820348, cpu_percent: 13.0
12, memory_percent: 5.352553380820348, cpu_percent: 12.8
13, memory_percent: 5.352553380820348, cpu_percent: 12.7
14, memory_percent: 5.352553380820348, cpu_percent: 13.3
15, memory_percent: 5.352553380820348, cpu_percent: 13.1
16, memory_percent: 5.352553380820348, cpu_percent: 12.8
17, memory_percent: 5.352553380820348, cpu_percent: 12.8
18, memory_percent: 5.352553380820348, cpu_percent: 13.6
19, memory_percent: 5.352553380820348, cpu_percent: 12.8
20, memory_percent: 5.352553380820348, cpu_percent: 12.8
21, memory_percent: 5.352553380820348, cpu_percent: 13.4
22, memory_percent: 5.352553380820348, cpu_percent: 12.9
23, memory_percent: 5.352553380820348, cpu_percent: 13.0
24, memory_percent: 5.352553380820348, cpu_percent: 13.1
25, memory_percent: 5.352553380820348, cpu_percent: 12.8
26, memory_percent: 5.352553380820348, cpu_percent: 13.2
27, memory_percent: 5.352553380820348, cpu_percent: 12.6
28, memory_percent: 5.352564168256825, cpu_percent: 12.7
29, memory_percent: 5.352564168256825, cpu_percent: 13.3
30, memory_percent: 5.352564168256825, cpu_percent: 12.8
31, memory_percent: 5.352564168256825, cpu_percent: 13.4
32, memory_percent: 5.352564168256825, cpu_percent: 12.8
33, memory_percent: 5.352564168256825, cpu_percent: 13.0
34, memory_percent: 5.352564168256825, cpu_percent: 13.0
35, memory_percent: 5.352564168256825, cpu_percent: 12.8
36, memory_percent: 5.352564168256825, cpu_percent: 12.9
37, memory_percent: 5.352564168256825, cpu_percent: 12.9
38, memory_percent: 5.352564168256825, cpu_percent: 13.3
39, memory_percent: 5.352564168256825, cpu_percent: 12.6
40, memory_percent: 5.352564168256825, cpu_percent: 13.2
41, memory_percent: 5.352564168256825, cpu_percent: 12.8
42, memory_percent: 5.352564168256825, cpu_percent: 13.3
43, memory_percent: 5.352564168256825, cpu_percent: 12.9
44, memory_percent: 5.352564168256825, cpu_percent: 13.0
45, memory_percent: 5.352564168256825, cpu_percent: 12.7
46, memory_percent: 5.352564168256825, cpu_percent: 13.0
47, memory_percent: 5.352564168256825, cpu_percent: 13.1
48, memory_percent: 5.352564168256825, cpu_percent: 13.0
49, memory_percent: 5.352564168256825, cpu_percent: 13.0
50, memory_percent: 5.352564168256825, cpu_percent: 12.8
51, memory_percent: 5.352564168256825, cpu_percent: 13.0
52, memory_percent: 5.352564168256825, cpu_percent: 12.8
53, memory_percent: 5.352564168256825, cpu_percent: 12.9
54, memory_percent: 5.352564168256825, cpu_percent: 13.0
55, memory_percent: 5.352564168256825, cpu_percent: 13.4
56, memory_percent: 5.352564168256825, cpu_percent: 12.9
57, memory_percent: 5.352564168256825, cpu_percent: 13.1
58, memory_percent: 5.352564168256825, cpu_percent: 12.8
59, memory_percent: 5.352564168256825, cpu_percent: 13.4
60, memory_percent: 5.352564168256825, cpu_percent: 13.2
61, memory_percent: 5.352564168256825, cpu_percent: 13.0
62, memory_percent: 5.352564168256825, cpu_percent: 12.8
63, memory_percent: 5.352564168256825, cpu_percent: 12.8
64, memory_percent: 5.352564168256825, cpu_percent: 13.3
65, memory_percent: 5.352564168256825, cpu_percent: 12.9
66, memory_percent: 5.352564168256825, cpu_percent: 13.1
67, memory_percent: 5.352564168256825, cpu_percent: 13.1
68, memory_percent: 5.352564168256825, cpu_percent: 13.0
69, memory_percent: 5.352564168256825, cpu_percent: 13.1
