1, gpu_percent:    0% | 7517MB
2, gpu_percent:   93% | 7517MB
3, gpu_percent:   94% | 7517MB
4, gpu_percent:   94% | 7517MB
5, gpu_percent:   94% | 7517MB
6, gpu_percent:   94% | 7517MB
7, gpu_percent:   93% | 7517MB
8, gpu_percent:   94% | 7517MB
9, gpu_percent:   83% | 7517MB
10, gpu_percent:   93% | 7517MB
11, gpu_percent:   94% | 7517MB
12, gpu_percent:   93% | 7517MB
13, gpu_percent:   93% | 7517MB
14, gpu_percent:   94% | 7517MB
15, gpu_percent:   93% | 7517MB
16, gpu_percent:   94% | 7517MB
17, gpu_percent:   86% | 7517MB
18, gpu_percent:   94% | 7517MB
19, gpu_percent:   94% | 7517MB
20, gpu_percent:   94% | 7517MB
21, gpu_percent:   94% | 7517MB
22, gpu_percent:   92% | 7517MB
23, gpu_percent:   93% | 7517MB
24, gpu_percent:   93% | 7517MB
25, gpu_percent:   93% | 7517MB
26, gpu_percent:   94% | 7517MB
27, gpu_percent:   94% | 7517MB
28, gpu_percent:   94% | 7517MB
29, gpu_percent:   93% | 7517MB
30, gpu_percent:   93% | 7517MB
31, gpu_percent:   94% | 7517MB
32, gpu_percent:   94% | 7517MB
33, gpu_percent:   94% | 7517MB
34, gpu_percent:   93% | 7517MB
35, gpu_percent:   93% | 7517MB
36, gpu_percent:   94% | 7517MB
37, gpu_percent:   93% | 7517MB
38, gpu_percent:   93% | 7517MB
39, gpu_percent:   93% | 7517MB
40, gpu_percent:   94% | 7517MB
41, gpu_percent:   94% | 7517MB
42, gpu_percent:   94% | 7517MB
43, gpu_percent:   94% | 7517MB
44, gpu_percent:   94% | 7517MB
45, gpu_percent:   94% | 7517MB
46, gpu_percent:   93% | 7517MB
47, gpu_percent:   94% | 7517MB
48, gpu_percent:   93% | 7517MB
49, gpu_percent:   93% | 7517MB
50, gpu_percent:   94% | 7517MB
51, gpu_percent:   93% | 7517MB
52, gpu_percent:   94% | 7517MB
53, gpu_percent:   93% | 7517MB
54, gpu_percent:   92% | 7517MB
55, gpu_percent:   93% | 7517MB
56, gpu_percent:   94% | 7517MB
57, gpu_percent:   93% | 7517MB
58, gpu_percent:   93% | 7517MB
59, gpu_percent:   93% | 7517MB
60, gpu_percent:   94% | 7517MB
61, gpu_percent:   93% | 7517MB
62, gpu_percent:   94% | 7517MB
63, gpu_percent:   93% | 7517MB
64, gpu_percent:   93% | 7517MB
65, gpu_percent:   93% | 7517MB
66, gpu_percent:   93% | 7517MB
67, gpu_percent:   93% | 7517MB
68, gpu_percent:   94% | 7517MB
69, gpu_percent:   93% | 7517MB
70, gpu_percent:   94% | 7517MB
71, gpu_percent:   94% | 7517MB
72, gpu_percent:   84% | 7517MB
73, gpu_percent:   92% | 7517MB
74, gpu_percent:   92% | 7517MB
75, gpu_percent:   93% | 7517MB
76, gpu_percent:   93% | 7517MB
77, gpu_percent:   93% | 7517MB
78, gpu_percent:   94% | 7517MB
79, gpu_percent:   94% | 7517MB
80, gpu_percent:   87% | 7517MB
81, gpu_percent:   93% | 7517MB
82, gpu_percent:   93% | 7517MB
83, gpu_percent:   93% | 7517MB
84, gpu_percent:   93% | 7517MB
85, gpu_percent:   93% | 7517MB
86, gpu_percent:   93% | 7517MB
87, gpu_percent:   94% | 7517MB
88, gpu_percent:   73% | 7517MB
89, gpu_percent:   94% | 7517MB
90, gpu_percent:   94% | 7517MB
91, gpu_percent:   93% | 7517MB
92, gpu_percent:   93% | 7517MB
