1, gpu_percent:    0% | 7241MB
2, gpu_percent:    8% | 7309MB
3, gpu_percent:   73% | 7397MB
4, gpu_percent:   74% | 7397MB
5, gpu_percent:   73% | 7397MB
6, gpu_percent:   72% | 7397MB
7, gpu_percent:   73% | 7397MB
8, gpu_percent:   74% | 7397MB
9, gpu_percent:   55% | 7397MB
10, gpu_percent:   72% | 7397MB
11, gpu_percent:   72% | 7397MB
12, gpu_percent:   70% | 7397MB
13, gpu_percent:   72% | 7397MB
14, gpu_percent:   72% | 7397MB
15, gpu_percent:   72% | 7397MB
16, gpu_percent:   71% | 7397MB
17, gpu_percent:   70% | 7397MB
18, gpu_percent:   72% | 7397MB
19, gpu_percent:   73% | 7397MB
20, gpu_percent:   72% | 7397MB
21, gpu_percent:   72% | 7397MB
22, gpu_percent:   61% | 7397MB
23, gpu_percent:   72% | 7397MB
24, gpu_percent:   74% | 7397MB
25, gpu_percent:   72% | 7397MB
26, gpu_percent:   74% | 7397MB
27, gpu_percent:   73% | 7397MB
28, gpu_percent:   59% | 7397MB
29, gpu_percent:   73% | 7397MB
30, gpu_percent:   72% | 7397MB
31, gpu_percent:   72% | 7397MB
32, gpu_percent:   74% | 7397MB
33, gpu_percent:   74% | 7397MB
34, gpu_percent:   72% | 7397MB
35, gpu_percent:   72% | 7397MB
36, gpu_percent:   73% | 7397MB
37, gpu_percent:   72% | 7397MB
38, gpu_percent:   73% | 7397MB
39, gpu_percent:   73% | 7397MB
40, gpu_percent:   73% | 7397MB
41, gpu_percent:   74% | 7397MB
42, gpu_percent:   73% | 7397MB
43, gpu_percent:   73% | 7397MB
44, gpu_percent:   73% | 7397MB
45, gpu_percent:   73% | 7397MB
46, gpu_percent:   74% | 7397MB
47, gpu_percent:   59% | 7397MB
48, gpu_percent:   71% | 7397MB
49, gpu_percent:   73% | 7397MB
50, gpu_percent:   73% | 7397MB
51, gpu_percent:   71% | 7397MB
52, gpu_percent:   72% | 7397MB
53, gpu_percent:   69% | 7397MB
54, gpu_percent:   73% | 7397MB
55, gpu_percent:   72% | 7397MB
56, gpu_percent:   70% | 7397MB
57, gpu_percent:   73% | 7397MB
58, gpu_percent:   73% | 7397MB
59, gpu_percent:   72% | 7397MB
60, gpu_percent:   72% | 7397MB
61, gpu_percent:   73% | 7397MB
62, gpu_percent:   73% | 7397MB
63, gpu_percent:   73% | 7397MB
64, gpu_percent:   74% | 7397MB
65, gpu_percent:   73% | 7397MB
66, gpu_percent:   61% | 7397MB
67, gpu_percent:   72% | 7397MB
68, gpu_percent:   73% | 7397MB
69, gpu_percent:   75% | 7397MB
70, gpu_percent:   73% | 7397MB
71, gpu_percent:   73% | 7397MB
72, gpu_percent:   58% | 7397MB
73, gpu_percent:   74% | 7397MB
74, gpu_percent:   74% | 7397MB
75, gpu_percent:   72% | 7397MB
76, gpu_percent:   71% | 7397MB
77, gpu_percent:   73% | 7397MB
