1, memory_percent: 5.27278028807, cpu_percent: 55.6
2, memory_percent: 5.314398218, cpu_percent: 19.8
3, memory_percent: 5.314398218, cpu_percent: 19.0
4, memory_percent: 5.314398218, cpu_percent: 19.2
5, memory_percent: 5.314398218, cpu_percent: 19.6
6, memory_percent: 5.314398218, cpu_percent: 18.8
7, memory_percent: 5.314398218, cpu_percent: 19.0
8, memory_percent: 5.31443058031, cpu_percent: 18.5
9, memory_percent: 5.31443058031, cpu_percent: 18.9
10, memory_percent: 5.31443058031, cpu_percent: 19.0
11, memory_percent: 5.31443058031, cpu_percent: 19.4
12, memory_percent: 5.31443058031, cpu_percent: 18.4
13, memory_percent: 5.31445215518, cpu_percent: 19.2
14, memory_percent: 5.4847102651, cpu_percent: 15.1
15, memory_percent: 5.62496851417, cpu_percent: 16.5
16, memory_percent: 5.31048237856, cpu_percent: 15.6
17, memory_percent: 5.31107568757, cpu_percent: 15.6
18, memory_percent: 5.31107568757, cpu_percent: 16.0
19, memory_percent: 5.31107568757, cpu_percent: 15.3
20, memory_percent: 5.31107568757, cpu_percent: 15.6
21, memory_percent: 5.31107568757, cpu_percent: 15.6
22, memory_percent: 5.31107568757, cpu_percent: 15.8
23, memory_percent: 5.31107568757, cpu_percent: 15.5
24, memory_percent: 5.31107568757, cpu_percent: 15.8
25, memory_percent: 5.31107568757, cpu_percent: 16.4
26, memory_percent: 5.31107568757, cpu_percent: 16.2
27, memory_percent: 5.31142088553, cpu_percent: 19.0
28, memory_percent: 5.31142088553, cpu_percent: 18.4
29, memory_percent: 5.31142088553, cpu_percent: 18.9
30, memory_percent: 5.31142088553, cpu_percent: 18.9
31, memory_percent: 5.31142088553, cpu_percent: 18.4
32, memory_percent: 5.31142088553, cpu_percent: 18.3
33, memory_percent: 5.31142088553, cpu_percent: 18.2
34, memory_percent: 5.31142088553, cpu_percent: 18.7
35, memory_percent: 5.31142088553, cpu_percent: 18.1
36, memory_percent: 5.31142088553, cpu_percent: 18.4
37, memory_percent: 5.31142088553, cpu_percent: 18.0
38, memory_percent: 5.31142088553, cpu_percent: 19.0
39, memory_percent: 5.3940094992, cpu_percent: 17.6
40, memory_percent: 5.59336132529, cpu_percent: 16.3
41, memory_percent: 5.31156112221, cpu_percent: 16.4
42, memory_percent: 5.31156112221, cpu_percent: 16.0
43, memory_percent: 5.31156112221, cpu_percent: 15.7
44, memory_percent: 5.31156112221, cpu_percent: 15.9
45, memory_percent: 5.31156112221, cpu_percent: 15.8
46, memory_percent: 5.31156112221, cpu_percent: 15.7
47, memory_percent: 5.31156112221, cpu_percent: 15.7
48, memory_percent: 5.31156112221, cpu_percent: 15.5
49, memory_percent: 5.31156112221, cpu_percent: 16.0
50, memory_percent: 5.31156112221, cpu_percent: 16.1
51, memory_percent: 5.31156112221, cpu_percent: 16.0
52, memory_percent: 5.31156112221, cpu_percent: 17.9
53, memory_percent: 5.31166899657, cpu_percent: 18.0
54, memory_percent: 5.31166899657, cpu_percent: 18.2
55, memory_percent: 5.31166899657, cpu_percent: 18.1
56, memory_percent: 5.31166899657, cpu_percent: 18.4
57, memory_percent: 5.31166899657, cpu_percent: 18.2
58, memory_percent: 5.31166899657, cpu_percent: 18.0
59, memory_percent: 5.31166899657, cpu_percent: 18.7
60, memory_percent: 5.31166899657, cpu_percent: 18.8
61, memory_percent: 5.31166899657, cpu_percent: 18.3
62, memory_percent: 5.31166899657, cpu_percent: 18.1
63, memory_percent: 5.31166899657, cpu_percent: 18.7
64, memory_percent: 5.3615069531, cpu_percent: 17.9
65, memory_percent: 5.58933761149, cpu_percent: 15.4
66, memory_percent: 5.31167978401, cpu_percent: 16.0
67, memory_percent: 5.31167978401, cpu_percent: 16.4
68, memory_percent: 5.31167978401, cpu_percent: 16.0
69, memory_percent: 5.31167978401, cpu_percent: 16.5
70, memory_percent: 5.31167978401, cpu_percent: 15.4
71, memory_percent: 5.31167978401, cpu_percent: 16.3
72, memory_percent: 5.31167978401, cpu_percent: 16.0
73, memory_percent: 5.31167978401, cpu_percent: 16.2
74, memory_percent: 5.31167978401, cpu_percent: 16.0
75, memory_percent: 5.31167978401, cpu_percent: 16.6
76, memory_percent: 5.31167978401, cpu_percent: 14.6
77, memory_percent: 5.31167978401, cpu_percent: 17.4
78, memory_percent: 5.31167978401, cpu_percent: 18.0
79, memory_percent: 5.31167978401, cpu_percent: 19.1
80, memory_percent: 5.31167978401, cpu_percent: 18.5
81, memory_percent: 5.31167978401, cpu_percent: 18.4
82, memory_percent: 5.31167978401, cpu_percent: 18.3
83, memory_percent: 5.31167978401, cpu_percent: 18.9
84, memory_percent: 5.31167978401, cpu_percent: 18.6
85, memory_percent: 5.31167978401, cpu_percent: 18.9
86, memory_percent: 5.31167978401, cpu_percent: 19.2
87, memory_percent: 5.31167978401, cpu_percent: 18.5
88, memory_percent: 5.31167978401, cpu_percent: 18.2
89, memory_percent: 5.31239175482, cpu_percent: 19.3
90, memory_percent: 5.44268241258, cpu_percent: 16.5
