1, gpu_percent:    7% | 443MB
2, gpu_percent:   34% | 571MB
3, gpu_percent:   39% | 571MB
4, gpu_percent:   37% | 571MB
5, gpu_percent:   34% | 571MB
6, gpu_percent:   39% | 571MB
7, gpu_percent:   36% | 571MB
8, gpu_percent:   40% | 571MB
9, gpu_percent:   37% | 571MB
10, gpu_percent:   41% | 571MB
11, gpu_percent:   34% | 571MB
12, gpu_percent:   39% | 571MB
13, gpu_percent:   39% | 617MB
14, gpu_percent:    0% | 647MB
15, gpu_percent:   62% | 653MB
16, gpu_percent:   11% | 653MB
17, gpu_percent:   12% | 657MB
18, gpu_percent:   12% | 657MB
19, gpu_percent:   14% | 657MB
20, gpu_percent:   12% | 657MB
21, gpu_percent:   14% | 657MB
22, gpu_percent:   11% | 657MB
23, gpu_percent:   12% | 657MB
24, gpu_percent:   12% | 657MB
25, gpu_percent:   14% | 657MB
26, gpu_percent:   37% | 657MB
27, gpu_percent:   40% | 657MB
28, gpu_percent:   44% | 657MB
29, gpu_percent:   35% | 657MB
30, gpu_percent:   42% | 657MB
31, gpu_percent:   40% | 657MB
32, gpu_percent:   37% | 657MB
33, gpu_percent:   33% | 657MB
34, gpu_percent:   34% | 657MB
35, gpu_percent:   35% | 657MB
36, gpu_percent:   36% | 657MB
37, gpu_percent:   34% | 665MB
38, gpu_percent:   28% | 665MB
39, gpu_percent:    0% | 665MB
40, gpu_percent:   80% | 665MB
41, gpu_percent:   12% | 665MB
42, gpu_percent:   12% | 665MB
43, gpu_percent:   12% | 665MB
44, gpu_percent:   11% | 665MB
45, gpu_percent:   10% | 665MB
46, gpu_percent:   12% | 665MB
47, gpu_percent:   13% | 665MB
48, gpu_percent:   13% | 665MB
49, gpu_percent:   13% | 665MB
50, gpu_percent:   11% | 665MB
51, gpu_percent:   38% | 665MB
52, gpu_percent:   37% | 665MB
53, gpu_percent:   36% | 665MB
54, gpu_percent:   36% | 665MB
55, gpu_percent:   34% | 665MB
56, gpu_percent:   38% | 665MB
57, gpu_percent:   36% | 665MB
58, gpu_percent:   34% | 665MB
59, gpu_percent:   34% | 665MB
60, gpu_percent:   36% | 665MB
61, gpu_percent:   40% | 665MB
62, gpu_percent:   37% | 665MB
63, gpu_percent:   41% | 665MB
64, gpu_percent:    0% | 665MB
65, gpu_percent:   64% | 665MB
66, gpu_percent:   11% | 665MB
67, gpu_percent:   13% | 665MB
68, gpu_percent:   12% | 665MB
69, gpu_percent:   12% | 665MB
70, gpu_percent:   12% | 665MB
71, gpu_percent:   12% | 665MB
72, gpu_percent:   14% | 665MB
73, gpu_percent:   13% | 665MB
74, gpu_percent:   12% | 665MB
75, gpu_percent:   14% | 665MB
76, gpu_percent:   33% | 665MB
77, gpu_percent:   37% | 665MB
78, gpu_percent:   35% | 665MB
79, gpu_percent:   36% | 665MB
80, gpu_percent:   37% | 665MB
81, gpu_percent:   37% | 665MB
82, gpu_percent:   36% | 665MB
83, gpu_percent:   36% | 665MB
84, gpu_percent:   38% | 665MB
85, gpu_percent:   40% | 665MB
86, gpu_percent:   35% | 665MB
87, gpu_percent:   38% | 665MB
88, gpu_percent:   37% | 665MB
89, gpu_percent:    0% | 665MB
90, gpu_percent:   70% | 665MB
91, gpu_percent:   13% | 665MB
92, gpu_percent:   12% | 665MB
93, gpu_percent:   11% | 665MB
94, gpu_percent:   12% | 665MB
95, gpu_percent:   11% | 665MB
96, gpu_percent:   13% | 665MB
97, gpu_percent:   11% | 665MB
98, gpu_percent:   11% | 665MB
99, gpu_percent:   11% | 665MB
100, gpu_percent:   11% | 665MB
101, gpu_percent:   34% | 665MB
102, gpu_percent:   36% | 665MB
103, gpu_percent:   35% | 665MB
104, gpu_percent:   39% | 665MB
105, gpu_percent:   34% | 665MB
106, gpu_percent:   34% | 665MB
107, gpu_percent:   34% | 665MB
108, gpu_percent:   34% | 665MB
109, gpu_percent:   37% | 665MB
110, gpu_percent:   34% | 665MB
111, gpu_percent:   34% | 665MB
112, gpu_percent:   40% | 665MB
113, gpu_percent:   36% | 665MB
114, gpu_percent:    0% | 665MB
115, gpu_percent:   80% | 665MB
116, gpu_percent:   11% | 665MB
117, gpu_percent:   11% | 665MB
