1, memory_percent: 6.61488983706, cpu_percent: 42.9
2, memory_percent: 8.20301657781, cpu_percent: 14.6
3, memory_percent: 8.89781393631, cpu_percent: 12.3
4, memory_percent: 8.89781393631, cpu_percent: 11.4
5, memory_percent: 8.89781393631, cpu_percent: 11.6
6, memory_percent: 8.89781393631, cpu_percent: 12.1
7, memory_percent: 8.89781393631, cpu_percent: 11.3
8, memory_percent: 8.89904370434, cpu_percent: 11.4
9, memory_percent: 8.89945362701, cpu_percent: 13.9
10, memory_percent: 8.89945362701, cpu_percent: 11.2
11, memory_percent: 8.89945362701, cpu_percent: 12.1
12, memory_percent: 8.89945362701, cpu_percent: 11.2
13, memory_percent: 8.89945362701, cpu_percent: 12.3
14, memory_percent: 8.89945362701, cpu_percent: 11.5
15, memory_percent: 8.89945362701, cpu_percent: 11.2
16, memory_percent: 8.89945362701, cpu_percent: 13.0
17, memory_percent: 8.89945362701, cpu_percent: 11.6
18, memory_percent: 8.89945362701, cpu_percent: 11.9
19, memory_percent: 8.89945362701, cpu_percent: 11.6
20, memory_percent: 8.89945362701, cpu_percent: 11.5
21, memory_percent: 8.89945362701, cpu_percent: 12.3
22, memory_percent: 8.90774916745, cpu_percent: 13.6
23, memory_percent: 8.90774916745, cpu_percent: 12.1
24, memory_percent: 8.90774916745, cpu_percent: 11.6
25, memory_percent: 8.90774916745, cpu_percent: 11.8
26, memory_percent: 8.90774916745, cpu_percent: 12.4
27, memory_percent: 8.90774916745, cpu_percent: 11.6
28, memory_percent: 8.91331548588, cpu_percent: 12.2
29, memory_percent: 8.91331548588, cpu_percent: 12.5
30, memory_percent: 8.91331548588, cpu_percent: 11.6
31, memory_percent: 8.91331548588, cpu_percent: 12.2
32, memory_percent: 8.91335863563, cpu_percent: 12.4
33, memory_percent: 8.91335863563, cpu_percent: 11.5
34, memory_percent: 8.91335863563, cpu_percent: 12.4
35, memory_percent: 8.91335863563, cpu_percent: 13.4
36, memory_percent: 8.91335863563, cpu_percent: 11.7
37, memory_percent: 8.91335863563, cpu_percent: 11.6
38, memory_percent: 8.91335863563, cpu_percent: 10.8
39, memory_percent: 8.91335863563, cpu_percent: 12.2
40, memory_percent: 8.91335863563, cpu_percent: 11.6
41, memory_percent: 8.91335863563, cpu_percent: 12.3
42, memory_percent: 8.91335863563, cpu_percent: 12.0
43, memory_percent: 8.91335863563, cpu_percent: 12.2
44, memory_percent: 8.91335863563, cpu_percent: 11.5
45, memory_percent: 8.91335863563, cpu_percent: 12.2
46, memory_percent: 8.91335863563, cpu_percent: 12.0
47, memory_percent: 8.91335863563, cpu_percent: 12.1
48, memory_percent: 8.91335863563, cpu_percent: 13.2
49, memory_percent: 8.91335863563, cpu_percent: 11.9
50, memory_percent: 8.91335863563, cpu_percent: 11.9
51, memory_percent: 8.91335863563, cpu_percent: 11.7
52, memory_percent: 8.91335863563, cpu_percent: 11.5
53, memory_percent: 8.91335863563, cpu_percent: 12.1
54, memory_percent: 8.91380092062, cpu_percent: 12.7
55, memory_percent: 8.91380092062, cpu_percent: 11.9
56, memory_percent: 8.91380092062, cpu_percent: 11.7
57, memory_percent: 8.91380092062, cpu_percent: 11.5
58, memory_percent: 8.91380092062, cpu_percent: 12.1
59, memory_percent: 8.91380092062, cpu_percent: 11.7
60, memory_percent: 8.91380092062, cpu_percent: 12.1
61, memory_percent: 8.91380092062, cpu_percent: 14.0
62, memory_percent: 8.91380092062, cpu_percent: 11.9
63, memory_percent: 8.91380092062, cpu_percent: 11.8
64, memory_percent: 8.91380092062, cpu_percent: 11.3
65, memory_percent: 8.91380092062, cpu_percent: 11.9
66, memory_percent: 8.91380092062, cpu_percent: 11.7
67, memory_percent: 8.91511698816, cpu_percent: 13.4
68, memory_percent: 8.91511698816, cpu_percent: 12.4
69, memory_percent: 8.91511698816, cpu_percent: 10.8
70, memory_percent: 8.91511698816, cpu_percent: 11.7
71, memory_percent: 8.91511698816, cpu_percent: 11.9
72, memory_percent: 8.91511698816, cpu_percent: 10.9
73, memory_percent: 8.91575344705, cpu_percent: 12.2
74, memory_percent: 8.91575344705, cpu_percent: 13.2
75, memory_percent: 8.91575344705, cpu_percent: 12.3
76, memory_percent: 8.91575344705, cpu_percent: 11.7
