1, memory_percent: 5.24467901605203, cpu_percent: 0.0
2, memory_percent: 5.24518602556644, cpu_percent: 15.7
3, memory_percent: 5.24518602556644, cpu_percent: 13.0
4, memory_percent: 5.24518602556644, cpu_percent: 13.4
5, memory_percent: 5.24518602556644, cpu_percent: 13.1
6, memory_percent: 5.24518602556644, cpu_percent: 12.8
7, memory_percent: 5.24518602556644, cpu_percent: 13.1
8, memory_percent: 5.24518602556644, cpu_percent: 12.9
9, memory_percent: 5.24518602556644, cpu_percent: 13.6
10, memory_percent: 5.2451968130029165, cpu_percent: 13.2
11, memory_percent: 5.2451968130029165, cpu_percent: 13.2
12, memory_percent: 5.2451968130029165, cpu_percent: 12.8
13, memory_percent: 5.2451968130029165, cpu_percent: 13.8
14, memory_percent: 5.2451968130029165, cpu_percent: 12.6
15, memory_percent: 5.2451968130029165, cpu_percent: 13.3
16, memory_percent: 5.2451968130029165, cpu_percent: 12.8
17, memory_percent: 5.2451968130029165, cpu_percent: 12.7
18, memory_percent: 5.2451968130029165, cpu_percent: 13.0
19, memory_percent: 5.2451968130029165, cpu_percent: 12.9
20, memory_percent: 5.2451968130029165, cpu_percent: 13.4
21, memory_percent: 5.2451968130029165, cpu_percent: 13.0
22, memory_percent: 5.2451968130029165, cpu_percent: 12.7
23, memory_percent: 5.2451968130029165, cpu_percent: 13.8
24, memory_percent: 5.2451968130029165, cpu_percent: 12.8
25, memory_percent: 5.2451968130029165, cpu_percent: 12.7
26, memory_percent: 5.2451968130029165, cpu_percent: 13.4
27, memory_percent: 5.2451968130029165, cpu_percent: 12.5
28, memory_percent: 5.2451968130029165, cpu_percent: 13.4
29, memory_percent: 5.2451968130029165, cpu_percent: 13.0
30, memory_percent: 5.2451968130029165, cpu_percent: 12.7
31, memory_percent: 5.2451968130029165, cpu_percent: 13.0
32, memory_percent: 5.2451968130029165, cpu_percent: 13.3
33, memory_percent: 5.2451968130029165, cpu_percent: 12.8
34, memory_percent: 5.2451968130029165, cpu_percent: 12.7
35, memory_percent: 5.2451968130029165, cpu_percent: 12.5
