1, memory_percent: 2.9851965088, cpu_percent: 42.9
2, memory_percent: 4.94958869123, cpu_percent: 14.9
3, memory_percent: 4.95010648818, cpu_percent: 14.4
4, memory_percent: 4.95010648818, cpu_percent: 15.2
5, memory_percent: 4.95010648818, cpu_percent: 15.3
6, memory_percent: 4.95010648818, cpu_percent: 14.8
7, memory_percent: 4.95010648818, cpu_percent: 15.0
8, memory_percent: 4.95010648818, cpu_percent: 15.7
9, memory_percent: 4.95010648818, cpu_percent: 15.5
10, memory_percent: 4.95010648818, cpu_percent: 15.4
11, memory_percent: 4.95010648818, cpu_percent: 16.3
12, memory_percent: 4.95010648818, cpu_percent: 15.7
13, memory_percent: 4.95010648818, cpu_percent: 15.2
14, memory_percent: 4.95010648818, cpu_percent: 15.0
15, memory_percent: 4.95010648818, cpu_percent: 15.1
16, memory_percent: 4.95010648818, cpu_percent: 14.9
17, memory_percent: 4.95010648818, cpu_percent: 15.9
18, memory_percent: 4.95010648818, cpu_percent: 15.3
19, memory_percent: 4.95010648818, cpu_percent: 15.0
20, memory_percent: 4.95010648818, cpu_percent: 16.0
21, memory_percent: 4.95010648818, cpu_percent: 15.9
22, memory_percent: 4.95010648818, cpu_percent: 15.8
23, memory_percent: 4.95010648818, cpu_percent: 15.9
24, memory_percent: 4.95010648818, cpu_percent: 16.2
25, memory_percent: 4.95010648818, cpu_percent: 16.8
26, memory_percent: 4.95010648818, cpu_percent: 16.3
27, memory_percent: 4.95010648818, cpu_percent: 16.3
28, memory_percent: 4.95010648818, cpu_percent: 16.3
29, memory_percent: 4.95010648818, cpu_percent: 16.0
30, memory_percent: 4.95010648818, cpu_percent: 16.4
31, memory_percent: 4.95010648818, cpu_percent: 15.9
32, memory_percent: 4.95010648818, cpu_percent: 16.9
33, memory_percent: 4.95010648818, cpu_percent: 16.9
34, memory_percent: 4.95010648818, cpu_percent: 16.4
35, memory_percent: 4.95010648818, cpu_percent: 16.3
36, memory_percent: 4.95010648818, cpu_percent: 15.8
37, memory_percent: 4.95010648818, cpu_percent: 14.4
38, memory_percent: 4.9555541436, cpu_percent: 14.9
39, memory_percent: 4.9555541436, cpu_percent: 17.7
40, memory_percent: 4.9555541436, cpu_percent: 17.0
41, memory_percent: 4.9555541436, cpu_percent: 16.1
42, memory_percent: 4.9555541436, cpu_percent: 16.7
43, memory_percent: 4.9555541436, cpu_percent: 17.2
44, memory_percent: 4.9555541436, cpu_percent: 16.7
45, memory_percent: 4.9555541436, cpu_percent: 16.6
46, memory_percent: 4.9555541436, cpu_percent: 17.2
47, memory_percent: 4.9555541436, cpu_percent: 16.6
48, memory_percent: 4.9555541436, cpu_percent: 17.5
49, memory_percent: 4.9555541436, cpu_percent: 16.8
50, memory_percent: 4.9555541436, cpu_percent: 16.1
51, memory_percent: 4.9555541436, cpu_percent: 16.5
52, memory_percent: 4.9555541436, cpu_percent: 16.9
53, memory_percent: 4.9555541436, cpu_percent: 16.5
54, memory_percent: 4.9555541436, cpu_percent: 16.1
55, memory_percent: 4.9555541436, cpu_percent: 15.3
56, memory_percent: 4.9555541436, cpu_percent: 15.6
57, memory_percent: 4.9555541436, cpu_percent: 16.6
