1, gpu_percent:    6% | 269MB
2, gpu_percent:   24% | 999MB
3, gpu_percent:   99% | 1127MB
4, gpu_percent:   98% | 1127MB
5, gpu_percent:   99% | 1127MB
6, gpu_percent:   99% | 1127MB
7, gpu_percent:   99% | 1127MB
8, gpu_percent:   98% | 1127MB
9, gpu_percent:   99% | 1127MB
10, gpu_percent:   99% | 1127MB
11, gpu_percent:   99% | 1127MB
12, gpu_percent:   99% | 1127MB
13, gpu_percent:   99% | 1127MB
14, gpu_percent:   98% | 1127MB
15, gpu_percent:   99% | 1127MB
16, gpu_percent:   98% | 1127MB
17, gpu_percent:   99% | 1127MB
18, gpu_percent:   99% | 1127MB
19, gpu_percent:   99% | 1127MB
20, gpu_percent:   99% | 1127MB
21, gpu_percent:   98% | 1127MB
22, gpu_percent:   99% | 1127MB
23, gpu_percent:   98% | 1127MB
24, gpu_percent:   99% | 1127MB
25, gpu_percent:   99% | 1127MB
26, gpu_percent:   99% | 1127MB
27, gpu_percent:   98% | 1127MB
28, gpu_percent:   99% | 1127MB
29, gpu_percent:   99% | 1127MB
30, gpu_percent:   99% | 1127MB
31, gpu_percent:   99% | 1127MB
32, gpu_percent:   99% | 1127MB
33, gpu_percent:   99% | 1127MB
34, gpu_percent:   99% | 1127MB
35, gpu_percent:   97% | 1335MB
36, gpu_percent:   97% | 1399MB
37, gpu_percent:   96% | 1399MB
38, gpu_percent:   99% | 1399MB
39, gpu_percent:   99% | 1399MB
40, gpu_percent:   99% | 1399MB
41, gpu_percent:   99% | 1399MB
42, gpu_percent:   99% | 1399MB
43, gpu_percent:   99% | 1399MB
44, gpu_percent:   99% | 1399MB
45, gpu_percent:   99% | 1399MB
46, gpu_percent:   98% | 1399MB
47, gpu_percent:   99% | 1399MB
48, gpu_percent:   99% | 1399MB
49, gpu_percent:   98% | 1399MB
50, gpu_percent:   99% | 1399MB
51, gpu_percent:   98% | 1399MB
52, gpu_percent:   98% | 1399MB
53, gpu_percent:   99% | 1399MB
54, gpu_percent:   99% | 1399MB
55, gpu_percent:   99% | 1399MB
56, gpu_percent:   98% | 1399MB
57, gpu_percent:   99% | 1399MB
58, gpu_percent:   99% | 1399MB
59, gpu_percent:   99% | 1399MB
60, gpu_percent:   99% | 1399MB
61, gpu_percent:   99% | 1399MB
62, gpu_percent:   99% | 1399MB
63, gpu_percent:   98% | 1399MB
64, gpu_percent:   99% | 1399MB
65, gpu_percent:   99% | 1399MB
66, gpu_percent:   99% | 1399MB
67, gpu_percent:   99% | 1399MB
68, gpu_percent:   99% | 1399MB
69, gpu_percent:   99% | 1399MB
70, gpu_percent:   99% | 1399MB
71, gpu_percent:   96% | 1399MB
72, gpu_percent:   95% | 1399MB
73, gpu_percent:   96% | 1399MB
74, gpu_percent:   99% | 1399MB
75, gpu_percent:   99% | 1399MB
76, gpu_percent:   99% | 1399MB
77, gpu_percent:   99% | 1399MB
78, gpu_percent:   99% | 1399MB
79, gpu_percent:   99% | 1399MB
80, gpu_percent:   99% | 1399MB
81, gpu_percent:   99% | 1399MB
82, gpu_percent:   99% | 1399MB
83, gpu_percent:   99% | 1399MB
84, gpu_percent:   99% | 1399MB
85, gpu_percent:   99% | 1399MB
86, gpu_percent:   99% | 1399MB
87, gpu_percent:   99% | 1399MB
88, gpu_percent:   99% | 1399MB
89, gpu_percent:   99% | 1399MB
90, gpu_percent:   99% | 1399MB
91, gpu_percent:   99% | 1399MB
92, gpu_percent:   99% | 1399MB
93, gpu_percent:   99% | 1399MB
94, gpu_percent:   99% | 1399MB
95, gpu_percent:   98% | 1399MB
96, gpu_percent:   99% | 1399MB
97, gpu_percent:   99% | 1399MB
98, gpu_percent:   98% | 1399MB
99, gpu_percent:   99% | 1399MB
100, gpu_percent:   99% | 1399MB
101, gpu_percent:   99% | 1399MB
102, gpu_percent:   99% | 1399MB
103, gpu_percent:   99% | 1399MB
104, gpu_percent:   99% | 1399MB
105, gpu_percent:   99% | 1399MB
106, gpu_percent:   99% | 1399MB
107, gpu_percent:   95% | 1399MB
108, gpu_percent:   95% | 1399MB
109, gpu_percent:   99% | 1399MB
110, gpu_percent:   99% | 1399MB
111, gpu_percent:   99% | 1399MB
112, gpu_percent:   99% | 1399MB
113, gpu_percent:   99% | 1399MB
114, gpu_percent:   99% | 1399MB
115, gpu_percent:   99% | 1399MB
116, gpu_percent:   99% | 1399MB
117, gpu_percent:   99% | 1399MB
118, gpu_percent:   99% | 1399MB
119, gpu_percent:   98% | 1399MB
120, gpu_percent:   99% | 1399MB
121, gpu_percent:   99% | 1399MB
122, gpu_percent:   99% | 1399MB
123, gpu_percent:   99% | 1399MB
124, gpu_percent:   99% | 1399MB
125, gpu_percent:   99% | 1399MB
126, gpu_percent:   99% | 1399MB
127, gpu_percent:   99% | 1399MB
128, gpu_percent:   99% | 1399MB
129, gpu_percent:   99% | 1399MB
130, gpu_percent:   99% | 1399MB
131, gpu_percent:   99% | 1399MB
132, gpu_percent:   99% | 1399MB
133, gpu_percent:   99% | 1399MB
134, gpu_percent:   99% | 1399MB
135, gpu_percent:   99% | 1399MB
136, gpu_percent:   99% | 1399MB
137, gpu_percent:   98% | 1399MB
138, gpu_percent:   99% | 1399MB
139, gpu_percent:   99% | 1399MB
140, gpu_percent:   99% | 1399MB
141, gpu_percent:   99% | 1399MB
142, gpu_percent:   99% | 1399MB
143, gpu_percent:   99% | 1399MB
144, gpu_percent:   95% | 1399MB
145, gpu_percent:   95% | 1399MB
146, gpu_percent:   99% | 1399MB
147, gpu_percent:   99% | 1399MB
148, gpu_percent:   98% | 1399MB
149, gpu_percent:   99% | 1399MB
150, gpu_percent:   99% | 1399MB
151, gpu_percent:   99% | 1399MB
152, gpu_percent:   99% | 1399MB
153, gpu_percent:   99% | 1399MB
154, gpu_percent:   99% | 1399MB
155, gpu_percent:   99% | 1399MB
156, gpu_percent:   99% | 1399MB
157, gpu_percent:   99% | 1399MB
158, gpu_percent:   99% | 1399MB
159, gpu_percent:   98% | 1399MB
160, gpu_percent:   99% | 1399MB
161, gpu_percent:   99% | 1399MB
162, gpu_percent:   98% | 1399MB
