1, memory_percent: 4.729967272, cpu_percent: 50.0
2, memory_percent: 5.00058090345, cpu_percent: 14.9
3, memory_percent: 6.96401300404, cpu_percent: 12.8
4, memory_percent: 7.0643145884, cpu_percent: 13.0
5, memory_percent: 7.06679569879, cpu_percent: 10.4
6, memory_percent: 7.06765869371, cpu_percent: 10.9
7, memory_percent: 7.06765869371, cpu_percent: 10.3
8, memory_percent: 7.06765869371, cpu_percent: 10.2
9, memory_percent: 7.06772341833, cpu_percent: 10.8
10, memory_percent: 7.0677449932, cpu_percent: 10.2
11, memory_percent: 7.0677449932, cpu_percent: 10.7
12, memory_percent: 7.06776656807, cpu_percent: 10.3
13, memory_percent: 7.06776656807, cpu_percent: 10.6
14, memory_percent: 7.06794995449, cpu_percent: 10.3
15, memory_percent: 7.06794995449, cpu_percent: 10.3
16, memory_percent: 7.06794995449, cpu_percent: 10.5
17, memory_percent: 7.06794995449, cpu_percent: 10.5
18, memory_percent: 7.06794995449, cpu_percent: 9.9
19, memory_percent: 7.06794995449, cpu_percent: 10.3
20, memory_percent: 7.06794995449, cpu_percent: 10.1
21, memory_percent: 7.06796074193, cpu_percent: 10.7
22, memory_percent: 7.06796074193, cpu_percent: 10.4
23, memory_percent: 7.06796074193, cpu_percent: 10.6
24, memory_percent: 7.06796074193, cpu_percent: 10.2
25, memory_percent: 7.06796074193, cpu_percent: 10.6
26, memory_percent: 7.0679823168, cpu_percent: 10.5
27, memory_percent: 7.0679823168, cpu_percent: 10.5
28, memory_percent: 7.0679823168, cpu_percent: 10.6
29, memory_percent: 7.0679823168, cpu_percent: 10.8
30, memory_percent: 7.06799310424, cpu_percent: 10.7
31, memory_percent: 7.06799310424, cpu_percent: 10.6
32, memory_percent: 7.06799310424, cpu_percent: 10.8
33, memory_percent: 7.06799310424, cpu_percent: 11.0
34, memory_percent: 7.06864035043, cpu_percent: 11.7
35, memory_percent: 7.07734581166, cpu_percent: 6.9
36, memory_percent: 7.07734581166, cpu_percent: 3.8
37, memory_percent: 7.07788518349, cpu_percent: 8.4
38, memory_percent: 7.07788518349, cpu_percent: 10.3
39, memory_percent: 7.07788518349, cpu_percent: 11.1
40, memory_percent: 7.07788518349, cpu_percent: 10.4
41, memory_percent: 7.07788518349, cpu_percent: 10.2
42, memory_percent: 7.07788518349, cpu_percent: 10.6
43, memory_percent: 7.07788518349, cpu_percent: 10.8
44, memory_percent: 7.07788518349, cpu_percent: 10.7
45, memory_percent: 7.07788518349, cpu_percent: 9.9
46, memory_percent: 7.07788518349, cpu_percent: 10.4
47, memory_percent: 7.07788518349, cpu_percent: 9.8
48, memory_percent: 7.07788518349, cpu_percent: 10.9
49, memory_percent: 7.07788518349, cpu_percent: 10.7
50, memory_percent: 7.07788518349, cpu_percent: 10.2
51, memory_percent: 7.07788518349, cpu_percent: 10.3
52, memory_percent: 7.07788518349, cpu_percent: 10.3
53, memory_percent: 7.07788518349, cpu_percent: 10.9
54, memory_percent: 7.07788518349, cpu_percent: 10.4
55, memory_percent: 7.07788518349, cpu_percent: 10.7
56, memory_percent: 7.07788518349, cpu_percent: 9.9
57, memory_percent: 7.07790675836, cpu_percent: 10.2
58, memory_percent: 7.0779175458, cpu_percent: 10.3
59, memory_percent: 7.0779175458, cpu_percent: 10.3
60, memory_percent: 7.0779175458, cpu_percent: 10.1
