1, memory_percent: 5.69080423899, cpu_percent: 50.0
2, memory_percent: 5.72993027109, cpu_percent: 19.3
3, memory_percent: 5.72993027109, cpu_percent: 16.8
4, memory_percent: 5.72993027109, cpu_percent: 15.6
5, memory_percent: 5.72993027109, cpu_percent: 16.5
6, memory_percent: 5.72993027109, cpu_percent: 17.0
7, memory_percent: 5.72993027109, cpu_percent: 16.8
8, memory_percent: 5.72993027109, cpu_percent: 16.7
9, memory_percent: 5.72994105853, cpu_percent: 18.4
10, memory_percent: 5.72994105853, cpu_percent: 18.9
11, memory_percent: 5.72994105853, cpu_percent: 20.0
12, memory_percent: 5.72994105853, cpu_percent: 19.7
13, memory_percent: 5.72994105853, cpu_percent: 19.9
14, memory_percent: 5.72994105853, cpu_percent: 19.5
15, memory_percent: 5.72994105853, cpu_percent: 19.2
16, memory_percent: 5.72994105853, cpu_percent: 19.2
17, memory_percent: 5.72994105853, cpu_percent: 19.1
18, memory_percent: 5.72994105853, cpu_percent: 19.3
19, memory_percent: 5.72994105853, cpu_percent: 19.5
20, memory_percent: 5.72994105853, cpu_percent: 19.1
21, memory_percent: 5.72994105853, cpu_percent: 18.7
22, memory_percent: 5.72994105853, cpu_percent: 19.4
23, memory_percent: 5.72994105853, cpu_percent: 19.8
24, memory_percent: 5.72994105853, cpu_percent: 19.0
25, memory_percent: 5.72994105853, cpu_percent: 19.7
26, memory_percent: 5.72995184596, cpu_percent: 19.5
27, memory_percent: 5.72995184596, cpu_percent: 18.9
28, memory_percent: 5.72995184596, cpu_percent: 19.7
29, memory_percent: 5.72995184596, cpu_percent: 19.4
30, memory_percent: 5.72995184596, cpu_percent: 19.5
31, memory_percent: 5.72995184596, cpu_percent: 19.1
32, memory_percent: 5.72995184596, cpu_percent: 19.6
33, memory_percent: 5.72995184596, cpu_percent: 19.4
34, memory_percent: 5.72995184596, cpu_percent: 20.1
35, memory_percent: 5.72995184596, cpu_percent: 19.8
36, memory_percent: 5.72995184596, cpu_percent: 19.8
37, memory_percent: 5.72995184596, cpu_percent: 20.1
38, memory_percent: 5.72995184596, cpu_percent: 20.0
39, memory_percent: 5.72981160929, cpu_percent: 23.1
40, memory_percent: 5.72981160929, cpu_percent: 28.2
41, memory_percent: 5.73073932883, cpu_percent: 26.5
42, memory_percent: 5.73073932883, cpu_percent: 20.6
43, memory_percent: 5.73073932883, cpu_percent: 21.6
44, memory_percent: 5.73073932883, cpu_percent: 20.0
45, memory_percent: 5.73073932883, cpu_percent: 20.7
46, memory_percent: 5.73073932883, cpu_percent: 19.1
47, memory_percent: 5.73073932883, cpu_percent: 20.7
48, memory_percent: 5.73073932883, cpu_percent: 20.1
49, memory_percent: 5.73073932883, cpu_percent: 21.1
50, memory_percent: 5.73073932883, cpu_percent: 19.7
51, memory_percent: 5.73073932883, cpu_percent: 21.0
52, memory_percent: 5.73073932883, cpu_percent: 20.6
53, memory_percent: 5.73073932883, cpu_percent: 21.2
54, memory_percent: 5.73073932883, cpu_percent: 21.0
55, memory_percent: 5.73073932883, cpu_percent: 19.4
56, memory_percent: 5.73073932883, cpu_percent: 21.4
57, memory_percent: 5.73073932883, cpu_percent: 23.9
58, memory_percent: 5.73073932883, cpu_percent: 21.3
59, memory_percent: 5.73073932883, cpu_percent: 21.5
60, memory_percent: 5.73073932883, cpu_percent: 20.8
61, memory_percent: 5.73073932883, cpu_percent: 20.1
62, memory_percent: 5.73073932883, cpu_percent: 20.3
63, memory_percent: 5.73073932883, cpu_percent: 20.9
64, memory_percent: 5.73073932883, cpu_percent: 20.7
65, memory_percent: 5.73073932883, cpu_percent: 22.5
66, memory_percent: 5.73073932883, cpu_percent: 23.2
67, memory_percent: 5.73073932883, cpu_percent: 19.8
68, memory_percent: 5.73073932883, cpu_percent: 20.6
69, memory_percent: 5.73073932883, cpu_percent: 20.2
70, memory_percent: 5.73073932883, cpu_percent: 20.7
71, memory_percent: 5.73073932883, cpu_percent: 20.4
72, memory_percent: 5.73073932883, cpu_percent: 19.9
73, memory_percent: 5.73073932883, cpu_percent: 20.0
74, memory_percent: 5.73073932883, cpu_percent: 22.0
75, memory_percent: 5.73073932883, cpu_percent: 20.2
76, memory_percent: 5.73073932883, cpu_percent: 20.0
77, memory_percent: 5.73073932883, cpu_percent: 20.7
78, memory_percent: 5.73075011626, cpu_percent: 24.5
79, memory_percent: 5.73075011626, cpu_percent: 27.7
80, memory_percent: 5.73078247857, cpu_percent: 22.5
81, memory_percent: 5.73078247857, cpu_percent: 21.3
82, memory_percent: 5.73078247857, cpu_percent: 19.9
83, memory_percent: 5.73078247857, cpu_percent: 20.2
84, memory_percent: 5.73078247857, cpu_percent: 20.6
85, memory_percent: 5.73078247857, cpu_percent: 19.8
86, memory_percent: 5.73078247857, cpu_percent: 19.6
87, memory_percent: 5.73078247857, cpu_percent: 21.1
88, memory_percent: 5.73078247857, cpu_percent: 20.3
89, memory_percent: 5.73078247857, cpu_percent: 19.9
90, memory_percent: 5.73078247857, cpu_percent: 20.0
91, memory_percent: 5.73078247857, cpu_percent: 19.5
92, memory_percent: 5.73078247857, cpu_percent: 20.3
93, memory_percent: 5.73078247857, cpu_percent: 21.4
94, memory_percent: 5.73078247857, cpu_percent: 20.1
95, memory_percent: 5.73078247857, cpu_percent: 21.7
96, memory_percent: 5.73078247857, cpu_percent: 21.1
97, memory_percent: 5.73078247857, cpu_percent: 19.8
98, memory_percent: 5.73078247857, cpu_percent: 20.8
99, memory_percent: 5.73078247857, cpu_percent: 21.8
100, memory_percent: 5.73078247857, cpu_percent: 19.6
101, memory_percent: 5.73078247857, cpu_percent: 19.3
102, memory_percent: 5.73078247857, cpu_percent: 20.9
103, memory_percent: 5.73078247857, cpu_percent: 20.3
104, memory_percent: 5.73078247857, cpu_percent: 20.2
105, memory_percent: 5.73078247857, cpu_percent: 20.9
106, memory_percent: 5.73078247857, cpu_percent: 21.2
107, memory_percent: 5.73078247857, cpu_percent: 21.7
108, memory_percent: 5.73078247857, cpu_percent: 21.4
109, memory_percent: 5.73078247857, cpu_percent: 21.3
110, memory_percent: 5.73078247857, cpu_percent: 20.1
111, memory_percent: 5.73078247857, cpu_percent: 21.5
112, memory_percent: 5.73078247857, cpu_percent: 21.4
113, memory_percent: 5.73078247857, cpu_percent: 21.9
114, memory_percent: 5.73078247857, cpu_percent: 20.4
115, memory_percent: 5.73078247857, cpu_percent: 20.9
116, memory_percent: 5.73078247857, cpu_percent: 20.8
117, memory_percent: 5.73077169113, cpu_percent: 22.4
118, memory_percent: 5.73077169113, cpu_percent: 27.3
119, memory_percent: 5.7307609037, cpu_percent: 25.8
120, memory_percent: 5.7307609037, cpu_percent: 22.4
121, memory_percent: 5.7307609037, cpu_percent: 20.3
122, memory_percent: 5.7307609037, cpu_percent: 21.3
123, memory_percent: 5.7307609037, cpu_percent: 20.8
124, memory_percent: 5.7307609037, cpu_percent: 20.9
125, memory_percent: 5.7307609037, cpu_percent: 21.8
126, memory_percent: 5.7307609037, cpu_percent: 20.9
127, memory_percent: 5.7307609037, cpu_percent: 20.6
128, memory_percent: 5.7307609037, cpu_percent: 20.3
129, memory_percent: 5.7307609037, cpu_percent: 21.5
130, memory_percent: 5.7307609037, cpu_percent: 21.0
131, memory_percent: 5.7307609037, cpu_percent: 21.1
132, memory_percent: 5.7307609037, cpu_percent: 21.0
133, memory_percent: 5.7307609037, cpu_percent: 19.2
134, memory_percent: 5.7307609037, cpu_percent: 20.5
135, memory_percent: 5.7307609037, cpu_percent: 20.0
136, memory_percent: 5.7307609037, cpu_percent: 19.4
137, memory_percent: 5.7307609037, cpu_percent: 19.4
138, memory_percent: 5.7307609037, cpu_percent: 21.4
139, memory_percent: 5.7307609037, cpu_percent: 21.4
140, memory_percent: 5.7307609037, cpu_percent: 21.7
141, memory_percent: 5.7307609037, cpu_percent: 20.4
142, memory_percent: 5.7307609037, cpu_percent: 20.1
143, memory_percent: 5.7307609037, cpu_percent: 22.0
144, memory_percent: 5.7307609037, cpu_percent: 20.9
145, memory_percent: 5.7307609037, cpu_percent: 19.6
146, memory_percent: 5.7307609037, cpu_percent: 20.2
147, memory_percent: 5.7307609037, cpu_percent: 22.6
148, memory_percent: 5.7307609037, cpu_percent: 22.0
149, memory_percent: 5.7307609037, cpu_percent: 21.7
150, memory_percent: 5.7307609037, cpu_percent: 20.0
151, memory_percent: 5.7307609037, cpu_percent: 23.1
152, memory_percent: 5.7307609037, cpu_percent: 20.9
153, memory_percent: 5.7307609037, cpu_percent: 22.1
154, memory_percent: 5.7307609037, cpu_percent: 21.7
155, memory_percent: 5.7307609037, cpu_percent: 22.0
156, memory_percent: 5.7307609037, cpu_percent: 20.8
157, memory_percent: 5.73080405344, cpu_percent: 22.7
158, memory_percent: 5.73080405344, cpu_percent: 26.0
159, memory_percent: 5.73029704393, cpu_percent: 24.3
160, memory_percent: 5.73081484088, cpu_percent: 22.2
161, memory_percent: 5.73081484088, cpu_percent: 22.0
162, memory_percent: 5.73081484088, cpu_percent: 20.2
163, memory_percent: 5.73081484088, cpu_percent: 20.9
164, memory_percent: 5.73081484088, cpu_percent: 20.7
165, memory_percent: 5.73081484088, cpu_percent: 20.6
166, memory_percent: 5.73081484088, cpu_percent: 19.9
167, memory_percent: 5.73081484088, cpu_percent: 21.3
168, memory_percent: 5.73081484088, cpu_percent: 20.3
169, memory_percent: 5.73081484088, cpu_percent: 20.6
170, memory_percent: 5.73081484088, cpu_percent: 21.7
171, memory_percent: 5.73081484088, cpu_percent: 20.0
172, memory_percent: 5.73081484088, cpu_percent: 21.7
173, memory_percent: 5.73081484088, cpu_percent: 20.4
174, memory_percent: 5.73081484088, cpu_percent: 20.2
175, memory_percent: 5.73081484088, cpu_percent: 21.5
176, memory_percent: 5.73081484088, cpu_percent: 21.1
177, memory_percent: 5.73081484088, cpu_percent: 20.6
178, memory_percent: 5.73081484088, cpu_percent: 20.0
179, memory_percent: 5.73081484088, cpu_percent: 20.5
180, memory_percent: 5.73081484088, cpu_percent: 20.3
181, memory_percent: 5.73081484088, cpu_percent: 20.2
182, memory_percent: 5.73081484088, cpu_percent: 20.7
183, memory_percent: 5.73081484088, cpu_percent: 20.7
184, memory_percent: 5.73081484088, cpu_percent: 20.9
