1, memory_percent: 2.5859642722261373, cpu_percent: 33.3
2, memory_percent: 2.72389243501891, cpu_percent: 11.9
3, memory_percent: 2.723946372201294, cpu_percent: 12.6
4, memory_percent: 2.723946372201294, cpu_percent: 12.6
5, memory_percent: 2.723946372201294, cpu_percent: 12.6
6, memory_percent: 2.723946372201294, cpu_percent: 12.7
7, memory_percent: 2.723946372201294, cpu_percent: 12.6
8, memory_percent: 2.723946372201294, cpu_percent: 12.7
9, memory_percent: 2.723946372201294, cpu_percent: 12.5
10, memory_percent: 2.723946372201294, cpu_percent: 12.6
11, memory_percent: 2.723946372201294, cpu_percent: 12.6
12, memory_percent: 2.723946372201294, cpu_percent: 12.5
13, memory_percent: 2.723946372201294, cpu_percent: 12.7
14, memory_percent: 2.723946372201294, cpu_percent: 12.6
15, memory_percent: 2.723946372201294, cpu_percent: 12.6
16, memory_percent: 2.723946372201294, cpu_percent: 12.6
17, memory_percent: 2.723946372201294, cpu_percent: 12.8
18, memory_percent: 2.723946372201294, cpu_percent: 13.0
19, memory_percent: 2.723946372201294, cpu_percent: 12.6
20, memory_percent: 2.723946372201294, cpu_percent: 12.5
21, memory_percent: 2.723946372201294, cpu_percent: 12.6
22, memory_percent: 2.723946372201294, cpu_percent: 12.6
23, memory_percent: 2.723946372201294, cpu_percent: 12.5
24, memory_percent: 2.723946372201294, cpu_percent: 12.7
25, memory_percent: 2.723946372201294, cpu_percent: 12.7
26, memory_percent: 2.723946372201294, cpu_percent: 12.6
27, memory_percent: 2.723946372201294, cpu_percent: 12.6
28, memory_percent: 2.723946372201294, cpu_percent: 12.7
29, memory_percent: 2.723946372201294, cpu_percent: 12.5
30, memory_percent: 2.723946372201294, cpu_percent: 12.7
31, memory_percent: 2.723946372201294, cpu_percent: 12.7
32, memory_percent: 2.723946372201294, cpu_percent: 12.6
33, memory_percent: 2.723946372201294, cpu_percent: 12.8
34, memory_percent: 2.723946372201294, cpu_percent: 12.6
35, memory_percent: 2.723946372201294, cpu_percent: 12.6
36, memory_percent: 2.723946372201294, cpu_percent: 12.6
37, memory_percent: 2.723946372201294, cpu_percent: 12.6
38, memory_percent: 2.723946372201294, cpu_percent: 12.5
39, memory_percent: 2.723946372201294, cpu_percent: 12.8
40, memory_percent: 2.723946372201294, cpu_percent: 12.6
41, memory_percent: 2.723946372201294, cpu_percent: 12.5
42, memory_percent: 2.723946372201294, cpu_percent: 12.6
43, memory_percent: 2.723946372201294, cpu_percent: 12.8
44, memory_percent: 2.723946372201294, cpu_percent: 12.6
45, memory_percent: 2.723946372201294, cpu_percent: 12.7
46, memory_percent: 2.723946372201294, cpu_percent: 12.7
47, memory_percent: 2.723946372201294, cpu_percent: 12.6
48, memory_percent: 2.723946372201294, cpu_percent: 12.5
49, memory_percent: 2.723946372201294, cpu_percent: 12.7
50, memory_percent: 2.723946372201294, cpu_percent: 12.6
51, memory_percent: 2.723946372201294, cpu_percent: 12.7
52, memory_percent: 2.723946372201294, cpu_percent: 12.6
53, memory_percent: 2.723946372201294, cpu_percent: 12.8
54, memory_percent: 2.723946372201294, cpu_percent: 12.5
55, memory_percent: 2.723946372201294, cpu_percent: 13.0
56, memory_percent: 2.723946372201294, cpu_percent: 12.6
57, memory_percent: 2.723946372201294, cpu_percent: 12.6
58, memory_percent: 2.723946372201294, cpu_percent: 12.8
59, memory_percent: 2.723946372201294, cpu_percent: 12.6
60, memory_percent: 2.723946372201294, cpu_percent: 12.6
61, memory_percent: 2.723946372201294, cpu_percent: 12.5
62, memory_percent: 2.723946372201294, cpu_percent: 12.7
63, memory_percent: 2.723946372201294, cpu_percent: 12.7
64, memory_percent: 2.723946372201294, cpu_percent: 12.5
65, memory_percent: 2.723946372201294, cpu_percent: 12.5
66, memory_percent: 2.723946372201294, cpu_percent: 12.7
67, memory_percent: 2.723946372201294, cpu_percent: 12.5
68, memory_percent: 2.723946372201294, cpu_percent: 12.6
69, memory_percent: 2.723946372201294, cpu_percent: 12.7
70, memory_percent: 2.723946372201294, cpu_percent: 12.6
71, memory_percent: 2.723946372201294, cpu_percent: 12.7
72, memory_percent: 2.723946372201294, cpu_percent: 12.7
73, memory_percent: 2.723946372201294, cpu_percent: 12.5
74, memory_percent: 2.723946372201294, cpu_percent: 12.7
75, memory_percent: 2.723946372201294, cpu_percent: 12.6
76, memory_percent: 2.723946372201294, cpu_percent: 12.8
77, memory_percent: 2.723946372201294, cpu_percent: 12.5
78, memory_percent: 2.723946372201294, cpu_percent: 12.6
79, memory_percent: 2.723946372201294, cpu_percent: 12.5
80, memory_percent: 2.723946372201294, cpu_percent: 12.7
81, memory_percent: 2.723946372201294, cpu_percent: 12.5
82, memory_percent: 2.723946372201294, cpu_percent: 12.6
83, memory_percent: 2.723946372201294, cpu_percent: 12.7
84, memory_percent: 2.723946372201294, cpu_percent: 12.6
85, memory_percent: 2.723946372201294, cpu_percent: 12.5
86, memory_percent: 2.723946372201294, cpu_percent: 12.7
87, memory_percent: 2.723946372201294, cpu_percent: 12.7
88, memory_percent: 2.723946372201294, cpu_percent: 12.6
89, memory_percent: 2.723946372201294, cpu_percent: 12.7
90, memory_percent: 2.723946372201294, cpu_percent: 12.6
91, memory_percent: 2.723946372201294, cpu_percent: 12.7
92, memory_percent: 2.723946372201294, cpu_percent: 13.0
93, memory_percent: 2.723946372201294, cpu_percent: 12.6
94, memory_percent: 2.723946372201294, cpu_percent: 12.7
95, memory_percent: 2.723946372201294, cpu_percent: 12.5
96, memory_percent: 2.723946372201294, cpu_percent: 12.7
97, memory_percent: 2.723946372201294, cpu_percent: 12.7
98, memory_percent: 2.723946372201294, cpu_percent: 12.6
99, memory_percent: 2.723946372201294, cpu_percent: 12.6
100, memory_percent: 2.723946372201294, cpu_percent: 13.0
101, memory_percent: 2.723946372201294, cpu_percent: 12.5
102, memory_percent: 2.723946372201294, cpu_percent: 12.5
103, memory_percent: 2.723946372201294, cpu_percent: 12.7
104, memory_percent: 2.723946372201294, cpu_percent: 12.6
105, memory_percent: 2.723946372201294, cpu_percent: 12.5
106, memory_percent: 2.723946372201294, cpu_percent: 12.5
107, memory_percent: 2.723946372201294, cpu_percent: 12.7
108, memory_percent: 2.723946372201294, cpu_percent: 12.8
109, memory_percent: 2.723946372201294, cpu_percent: 12.7
110, memory_percent: 2.723946372201294, cpu_percent: 12.6
111, memory_percent: 2.723946372201294, cpu_percent: 12.6
112, memory_percent: 2.723946372201294, cpu_percent: 12.5
113, memory_percent: 2.723946372201294, cpu_percent: 13.0
