1, gpu_percent:    1% | 143MB
2, gpu_percent:    6% | 231MB
3, gpu_percent:    7% | 263MB
4, gpu_percent:    6% | 283MB
5, gpu_percent:    2% | 289MB
6, gpu_percent:   11% | 305MB
7, gpu_percent:   11% | 305MB
8, gpu_percent:    7% | 305MB
9, gpu_percent:    6% | 305MB
10, gpu_percent:    5% | 305MB
11, gpu_percent:    5% | 305MB
12, gpu_percent:    5% | 305MB
13, gpu_percent:    6% | 305MB
14, gpu_percent:    5% | 305MB
15, gpu_percent:    6% | 305MB
16, gpu_percent:    5% | 305MB
17, gpu_percent:    5% | 305MB
18, gpu_percent:    5% | 305MB
19, gpu_percent:    5% | 305MB
20, gpu_percent:    5% | 305MB
21, gpu_percent:    5% | 305MB
22, gpu_percent:    5% | 305MB
23, gpu_percent:    4% | 305MB
24, gpu_percent:    6% | 305MB
25, gpu_percent:    5% | 305MB
26, gpu_percent:    6% | 305MB
27, gpu_percent:    7% | 305MB
28, gpu_percent:    7% | 305MB
29, gpu_percent:    7% | 305MB
30, gpu_percent:    3% | 305MB
31, gpu_percent:   10% | 305MB
32, gpu_percent:   11% | 305MB
33, gpu_percent:    7% | 305MB
34, gpu_percent:    7% | 305MB
35, gpu_percent:    5% | 305MB
36, gpu_percent:    5% | 305MB
37, gpu_percent:    5% | 305MB
38, gpu_percent:    4% | 305MB
39, gpu_percent:    5% | 305MB
40, gpu_percent:    6% | 305MB
41, gpu_percent:    5% | 305MB
42, gpu_percent:    5% | 305MB
43, gpu_percent:    7% | 305MB
44, gpu_percent:    8% | 305MB
45, gpu_percent:    6% | 305MB
46, gpu_percent:    6% | 305MB
47, gpu_percent:    6% | 305MB
48, gpu_percent:   11% | 305MB
49, gpu_percent:   12% | 305MB
50, gpu_percent:    6% | 305MB
51, gpu_percent:    7% | 305MB
52, gpu_percent:    5% | 305MB
53, gpu_percent:    5% | 305MB
54, gpu_percent:    5% | 305MB
55, gpu_percent:    5% | 305MB
56, gpu_percent:    3% | 305MB
57, gpu_percent:    6% | 305MB
58, gpu_percent:    5% | 305MB
59, gpu_percent:    7% | 305MB
60, gpu_percent:    6% | 305MB
61, gpu_percent:    4% | 305MB
62, gpu_percent:    7% | 305MB
63, gpu_percent:   11% | 305MB
64, gpu_percent:    7% | 305MB
65, gpu_percent:   11% | 305MB
66, gpu_percent:    6% | 305MB
67, gpu_percent:    6% | 305MB
68, gpu_percent:    5% | 305MB
69, gpu_percent:    5% | 305MB
70, gpu_percent:    4% | 305MB
71, gpu_percent:    5% | 305MB
72, gpu_percent:    5% | 305MB
73, gpu_percent:    7% | 305MB
74, gpu_percent:    7% | 305MB
75, gpu_percent:    6% | 305MB
76, gpu_percent:    5% | 305MB
77, gpu_percent:   10% | 305MB
78, gpu_percent:    7% | 305MB
79, gpu_percent:    7% | 305MB
80, gpu_percent:    6% | 305MB
81, gpu_percent:   11% | 305MB
82, gpu_percent:    6% | 305MB
83, gpu_percent:    5% | 305MB
84, gpu_percent:    5% | 305MB
85, gpu_percent:    5% | 305MB
86, gpu_percent:    5% | 305MB
87, gpu_percent:    5% | 305MB
88, gpu_percent:    5% | 305MB
89, gpu_percent:    7% | 305MB
90, gpu_percent:    6% | 305MB
91, gpu_percent:    3% | 305MB
92, gpu_percent:    7% | 305MB
93, gpu_percent:   10% | 305MB
94, gpu_percent:   11% | 305MB
