1, memory_percent: 6.747455216766523, cpu_percent: 0.0
2, memory_percent: 6.7871853453106965, cpu_percent: 24.2
3, memory_percent: 6.788015977919412, cpu_percent: 23.0
4, memory_percent: 6.788015977919412, cpu_percent: 23.0
5, memory_percent: 6.788015977919412, cpu_percent: 22.0
6, memory_percent: 6.788015977919412, cpu_percent: 22.5
7, memory_percent: 6.788015977919412, cpu_percent: 22.8
8, memory_percent: 6.788015977919412, cpu_percent: 21.2
9, memory_percent: 6.788015977919412, cpu_percent: 22.2
10, memory_percent: 6.788015977919412, cpu_percent: 21.3
11, memory_percent: 6.788015977919412, cpu_percent: 21.9
12, memory_percent: 6.788015977919412, cpu_percent: 22.7
13, memory_percent: 6.788015977919412, cpu_percent: 22.0
14, memory_percent: 6.788015977919412, cpu_percent: 22.6
15, memory_percent: 6.788015977919412, cpu_percent: 22.6
16, memory_percent: 6.788015977919412, cpu_percent: 23.4
17, memory_percent: 6.788015977919412, cpu_percent: 22.3
18, memory_percent: 6.788015977919412, cpu_percent: 21.8
19, memory_percent: 6.788015977919412, cpu_percent: 22.8
20, memory_percent: 6.788015977919412, cpu_percent: 22.8
21, memory_percent: 6.788015977919412, cpu_percent: 22.5
22, memory_percent: 6.7748984551635845, cpu_percent: 22.0
23, memory_percent: 6.7748984551635845, cpu_percent: 23.7
24, memory_percent: 6.7748984551635845, cpu_percent: 22.6
25, memory_percent: 6.7748984551635845, cpu_percent: 23.0
26, memory_percent: 6.7748984551635845, cpu_percent: 22.4
27, memory_percent: 6.7748984551635845, cpu_percent: 22.6
28, memory_percent: 6.7748984551635845, cpu_percent: 22.1
29, memory_percent: 6.7748984551635845, cpu_percent: 23.3
30, memory_percent: 6.7748984551635845, cpu_percent: 23.1
31, memory_percent: 6.7748984551635845, cpu_percent: 22.9
32, memory_percent: 6.7748984551635845, cpu_percent: 20.2
33, memory_percent: 6.775610425971055, cpu_percent: 22.3
34, memory_percent: 6.775610425971055, cpu_percent: 22.0
35, memory_percent: 6.775610425971055, cpu_percent: 22.5
36, memory_percent: 6.775610425971055, cpu_percent: 23.3
37, memory_percent: 6.775610425971055, cpu_percent: 22.3
38, memory_percent: 6.775610425971055, cpu_percent: 20.2
39, memory_percent: 6.775610425971055, cpu_percent: 21.6
40, memory_percent: 6.775610425971055, cpu_percent: 23.8
41, memory_percent: 6.775610425971055, cpu_percent: 22.7
42, memory_percent: 6.775610425971055, cpu_percent: 23.3
43, memory_percent: 6.775610425971055, cpu_percent: 21.1
44, memory_percent: 6.775610425971055, cpu_percent: 21.6
45, memory_percent: 6.775610425971055, cpu_percent: 23.1
46, memory_percent: 6.775610425971055, cpu_percent: 22.2
47, memory_percent: 6.775610425971055, cpu_percent: 23.1
48, memory_percent: 6.775610425971055, cpu_percent: 23.0
49, memory_percent: 6.775610425971055, cpu_percent: 22.7
50, memory_percent: 6.775610425971055, cpu_percent: 23.8
51, memory_percent: 6.774920030036538, cpu_percent: 21.9
52, memory_percent: 6.774920030036538, cpu_percent: 22.3
53, memory_percent: 6.774920030036538, cpu_percent: 21.9
54, memory_percent: 6.774920030036538, cpu_percent: 22.5
55, memory_percent: 6.774920030036538, cpu_percent: 22.5
56, memory_percent: 6.774920030036538, cpu_percent: 23.3
57, memory_percent: 6.774920030036538, cpu_percent: 22.2
58, memory_percent: 6.774920030036538, cpu_percent: 22.7
59, memory_percent: 6.774920030036538, cpu_percent: 21.5
60, memory_percent: 6.774920030036538, cpu_percent: 23.3
61, memory_percent: 6.774920030036538, cpu_percent: 21.9
62, memory_percent: 6.774920030036538, cpu_percent: 21.7
63, memory_percent: 6.774920030036538, cpu_percent: 21.9
64, memory_percent: 6.774920030036538, cpu_percent: 22.4
65, memory_percent: 6.774920030036538, cpu_percent: 22.8
66, memory_percent: 6.774920030036538, cpu_percent: 20.8
67, memory_percent: 6.774920030036538, cpu_percent: 22.1
68, memory_percent: 6.774920030036538, cpu_percent: 22.6
69, memory_percent: 6.774920030036538, cpu_percent: 22.3
70, memory_percent: 6.774920030036538, cpu_percent: 23.3
71, memory_percent: 6.774920030036538, cpu_percent: 22.6
72, memory_percent: 6.774920030036538, cpu_percent: 22.7
73, memory_percent: 6.774920030036538, cpu_percent: 23.4
74, memory_percent: 6.774920030036538, cpu_percent: 22.5
75, memory_percent: 6.774920030036538, cpu_percent: 23.1
