1, gpu_percent:    1% | 453MB
2, gpu_percent:   13% | 649MB
3, gpu_percent:   12% | 649MB
4, gpu_percent:   11% | 649MB
5, gpu_percent:   19% | 649MB
6, gpu_percent:    7% | 649MB
7, gpu_percent:   13% | 649MB
8, gpu_percent:   24% | 649MB
9, gpu_percent:    7% | 663MB
10, gpu_percent:   10% | 663MB
11, gpu_percent:   24% | 663MB
12, gpu_percent:   26% | 663MB
13, gpu_percent:   20% | 663MB
14, gpu_percent:   53% | 663MB
15, gpu_percent:   40% | 663MB
16, gpu_percent:   18% | 663MB
17, gpu_percent:   10% | 663MB
18, gpu_percent:   11% | 663MB
19, gpu_percent:   10% | 663MB
20, gpu_percent:   55% | 663MB
21, gpu_percent:   30% | 663MB
22, gpu_percent:   25% | 663MB
23, gpu_percent:   11% | 663MB
24, gpu_percent:    9% | 663MB
25, gpu_percent:   24% | 663MB
26, gpu_percent:   34% | 663MB
27, gpu_percent:   54% | 663MB
28, gpu_percent:   36% | 663MB
29, gpu_percent:   10% | 663MB
30, gpu_percent:   11% | 663MB
31, gpu_percent:    7% | 663MB
32, gpu_percent:    7% | 663MB
33, gpu_percent:   50% | 663MB
34, gpu_percent:   20% | 663MB
35, gpu_percent:   10% | 663MB
36, gpu_percent:   11% | 663MB
37, gpu_percent:    6% | 663MB
38, gpu_percent:   13% | 663MB
39, gpu_percent:   11% | 663MB
40, gpu_percent:   24% | 663MB
41, gpu_percent:   41% | 663MB
42, gpu_percent:   53% | 663MB
43, gpu_percent:    8% | 663MB
44, gpu_percent:   29% | 663MB
45, gpu_percent:   22% | 663MB
46, gpu_percent:   37% | 663MB
47, gpu_percent:   51% | 663MB
48, gpu_percent:   23% | 663MB
49, gpu_percent:   11% | 663MB
50, gpu_percent:    9% | 663MB
51, gpu_percent:    7% | 663MB
52, gpu_percent:    7% | 663MB
53, gpu_percent:   47% | 663MB
54, gpu_percent:   28% | 663MB
55, gpu_percent:   11% | 663MB
56, gpu_percent:   11% | 663MB
57, gpu_percent:   11% | 663MB
58, gpu_percent:   53% | 663MB
59, gpu_percent:   34% | 663MB
60, gpu_percent:   53% | 663MB
61, gpu_percent:   52% | 663MB
62, gpu_percent:   53% | 663MB
63, gpu_percent:   54% | 663MB
64, gpu_percent:   37% | 663MB
65, gpu_percent:   51% | 663MB
66, gpu_percent:   52% | 663MB
67, gpu_percent:   42% | 663MB
68, gpu_percent:   14% | 663MB
69, gpu_percent:   11% | 663MB
70, gpu_percent:   10% | 663MB
71, gpu_percent:   18% | 663MB
72, gpu_percent:   50% | 663MB
73, gpu_percent:   41% | 663MB
74, gpu_percent:   11% | 663MB
75, gpu_percent:   12% | 663MB
76, gpu_percent:   44% | 663MB
77, gpu_percent:    7% | 663MB
78, gpu_percent:   11% | 663MB
79, gpu_percent:   11% | 663MB
80, gpu_percent:   12% | 663MB
81, gpu_percent:   24% | 663MB
82, gpu_percent:   52% | 663MB
83, gpu_percent:   37% | 663MB
84, gpu_percent:   22% | 663MB
85, gpu_percent:   39% | 663MB
86, gpu_percent:   41% | 663MB
87, gpu_percent:   52% | 663MB
88, gpu_percent:   54% | 663MB
89, gpu_percent:   28% | 663MB
90, gpu_percent:   11% | 663MB
91, gpu_percent:   11% | 663MB
92, gpu_percent:   28% | 663MB
93, gpu_percent:   54% | 663MB
94, gpu_percent:   31% | 663MB
95, gpu_percent:    9% | 663MB
96, gpu_percent:   11% | 663MB
97, gpu_percent:   53% | 663MB
98, gpu_percent:   37% | 663MB
99, gpu_percent:   29% | 663MB
100, gpu_percent:   27% | 663MB
101, gpu_percent:   10% | 663MB
102, gpu_percent:   11% | 663MB
103, gpu_percent:   11% | 663MB
104, gpu_percent:   11% | 663MB
105, gpu_percent:   12% | 663MB
106, gpu_percent:    7% | 663MB
107, gpu_percent:   12% | 663MB
108, gpu_percent:   24% | 663MB
109, gpu_percent:   16% | 663MB
110, gpu_percent:    8% | 663MB
111, gpu_percent:   14% | 663MB
112, gpu_percent:    7% | 663MB
113, gpu_percent:    7% | 663MB
114, gpu_percent:    9% | 663MB
115, gpu_percent:   25% | 663MB
116, gpu_percent:   35% | 663MB
117, gpu_percent:   38% | 663MB
118, gpu_percent:   53% | 663MB
119, gpu_percent:   29% | 663MB
120, gpu_percent:   29% | 663MB
121, gpu_percent:    9% | 663MB
122, gpu_percent:   10% | 663MB
123, gpu_percent:    9% | 663MB
124, gpu_percent:    9% | 663MB
125, gpu_percent:   24% | 663MB
126, gpu_percent:   35% | 663MB
127, gpu_percent:   42% | 663MB
128, gpu_percent:   49% | 663MB
129, gpu_percent:   54% | 663MB
130, gpu_percent:   48% | 663MB
131, gpu_percent:   10% | 663MB
132, gpu_percent:   12% | 663MB
