1, gpu_percent:    2% | 781MB
2, gpu_percent:   51% | 859MB
3, gpu_percent:   53% | 889MB
4, gpu_percent:   54% | 889MB
5, gpu_percent:   52% | 889MB
6, gpu_percent:   53% | 889MB
7, gpu_percent:   51% | 889MB
8, gpu_percent:   54% | 889MB
9, gpu_percent:   54% | 889MB
10, gpu_percent:   54% | 889MB
11, gpu_percent:   54% | 889MB
12, gpu_percent:   55% | 889MB
13, gpu_percent:   56% | 889MB
14, gpu_percent:   52% | 889MB
15, gpu_percent:   40% | 889MB
16, gpu_percent:   42% | 889MB
17, gpu_percent:   39% | 889MB
18, gpu_percent:   42% | 889MB
19, gpu_percent:   39% | 889MB
20, gpu_percent:   39% | 889MB
21, gpu_percent:   53% | 889MB
22, gpu_percent:   51% | 889MB
23, gpu_percent:   52% | 889MB
24, gpu_percent:   51% | 889MB
25, gpu_percent:   51% | 889MB
26, gpu_percent:   51% | 889MB
27, gpu_percent:   51% | 889MB
28, gpu_percent:   51% | 889MB
29, gpu_percent:   52% | 889MB
30, gpu_percent:   54% | 889MB
31, gpu_percent:   52% | 889MB
32, gpu_percent:   51% | 889MB
33, gpu_percent:   53% | 889MB
34, gpu_percent:   54% | 889MB
35, gpu_percent:   42% | 889MB
36, gpu_percent:   41% | 889MB
37, gpu_percent:   41% | 889MB
38, gpu_percent:   41% | 889MB
39, gpu_percent:   43% | 889MB
40, gpu_percent:   42% | 889MB
41, gpu_percent:   55% | 889MB
42, gpu_percent:   55% | 889MB
43, gpu_percent:   56% | 889MB
44, gpu_percent:   53% | 889MB
45, gpu_percent:   54% | 889MB
46, gpu_percent:   54% | 889MB
47, gpu_percent:   51% | 889MB
48, gpu_percent:   52% | 889MB
49, gpu_percent:   51% | 889MB
50, gpu_percent:   52% | 889MB
51, gpu_percent:   51% | 889MB
52, gpu_percent:   51% | 889MB
53, gpu_percent:   51% | 889MB
54, gpu_percent:   41% | 889MB
55, gpu_percent:   42% | 889MB
56, gpu_percent:   40% | 889MB
57, gpu_percent:   41% | 889MB
58, gpu_percent:   41% | 889MB
59, gpu_percent:   40% | 889MB
60, gpu_percent:   54% | 889MB
61, gpu_percent:   51% | 889MB
62, gpu_percent:   55% | 889MB
63, gpu_percent:   54% | 889MB
64, gpu_percent:   51% | 889MB
65, gpu_percent:   53% | 889MB
66, gpu_percent:   50% | 889MB
67, gpu_percent:   52% | 889MB
68, gpu_percent:   52% | 889MB
69, gpu_percent:   55% | 889MB
70, gpu_percent:   51% | 889MB
71, gpu_percent:   51% | 889MB
72, gpu_percent:   51% | 889MB
73, gpu_percent:   52% | 889MB
74, gpu_percent:   42% | 889MB
75, gpu_percent:   43% | 889MB
76, gpu_percent:   42% | 889MB
77, gpu_percent:   40% | 889MB
78, gpu_percent:   41% | 889MB
79, gpu_percent:   41% | 889MB
80, gpu_percent:   54% | 889MB
81, gpu_percent:   53% | 889MB
82, gpu_percent:   53% | 889MB
83, gpu_percent:   54% | 889MB
84, gpu_percent:   53% | 889MB
85, gpu_percent:   53% | 889MB
86, gpu_percent:   52% | 889MB
87, gpu_percent:   52% | 889MB
88, gpu_percent:   52% | 889MB
89, gpu_percent:   52% | 889MB
90, gpu_percent:   53% | 889MB
91, gpu_percent:   54% | 889MB
92, gpu_percent:   53% | 889MB
93, gpu_percent:   53% | 889MB
94, gpu_percent:   40% | 889MB
95, gpu_percent:   42% | 889MB
96, gpu_percent:   39% | 889MB
97, gpu_percent:   41% | 889MB
98, gpu_percent:   40% | 889MB
99, gpu_percent:   40% | 889MB
100, gpu_percent:   53% | 889MB
101, gpu_percent:   54% | 889MB
102, gpu_percent:   54% | 889MB
103, gpu_percent:   54% | 889MB
104, gpu_percent:   54% | 889MB
105, gpu_percent:   53% | 889MB
106, gpu_percent:   54% | 889MB
107, gpu_percent:   54% | 889MB
108, gpu_percent:   53% | 889MB
109, gpu_percent:   51% | 889MB
110, gpu_percent:   52% | 889MB
111, gpu_percent:   52% | 889MB
112, gpu_percent:   53% | 889MB
113, gpu_percent:   41% | 889MB
114, gpu_percent:   41% | 889MB
115, gpu_percent:   41% | 889MB
116, gpu_percent:   40% | 889MB
117, gpu_percent:   41% | 889MB
118, gpu_percent:   40% | 889MB
119, gpu_percent:   52% | 889MB
120, gpu_percent:   53% | 889MB
121, gpu_percent:   52% | 889MB
122, gpu_percent:   51% | 889MB
123, gpu_percent:   53% | 889MB
124, gpu_percent:   53% | 889MB
125, gpu_percent:   53% | 889MB
126, gpu_percent:   53% | 889MB
127, gpu_percent:   53% | 889MB
128, gpu_percent:   51% | 889MB
129, gpu_percent:   51% | 889MB
130, gpu_percent:   51% | 889MB
131, gpu_percent:   52% | 889MB
132, gpu_percent:   51% | 889MB
133, gpu_percent:   40% | 889MB
134, gpu_percent:   41% | 889MB
135, gpu_percent:   40% | 889MB
136, gpu_percent:   41% | 889MB
137, gpu_percent:   42% | 889MB
138, gpu_percent:   44% | 889MB
139, gpu_percent:   56% | 889MB
140, gpu_percent:   52% | 889MB
141, gpu_percent:   51% | 889MB
142, gpu_percent:   51% | 889MB
143, gpu_percent:   51% | 889MB
144, gpu_percent:   51% | 889MB
145, gpu_percent:   52% | 889MB
146, gpu_percent:   50% | 889MB
147, gpu_percent:   51% | 889MB
148, gpu_percent:   51% | 889MB
149, gpu_percent:   54% | 889MB
150, gpu_percent:   52% | 889MB
151, gpu_percent:   54% | 889MB
152, gpu_percent:   52% | 889MB
153, gpu_percent:   41% | 889MB
154, gpu_percent:   41% | 889MB
155, gpu_percent:   40% | 889MB
156, gpu_percent:   41% | 889MB
157, gpu_percent:   39% | 889MB
158, gpu_percent:   41% | 889MB
159, gpu_percent:   51% | 889MB
160, gpu_percent:   52% | 889MB
161, gpu_percent:   53% | 889MB
162, gpu_percent:   55% | 889MB
163, gpu_percent:   53% | 889MB
164, gpu_percent:   54% | 889MB
165, gpu_percent:   53% | 889MB
166, gpu_percent:   54% | 889MB
167, gpu_percent:   54% | 889MB
168, gpu_percent:   54% | 889MB
169, gpu_percent:   54% | 889MB
170, gpu_percent:   55% | 889MB
171, gpu_percent:   55% | 889MB
172, gpu_percent:   44% | 889MB
173, gpu_percent:   42% | 889MB
174, gpu_percent:   41% | 889MB
175, gpu_percent:   41% | 889MB
176, gpu_percent:   42% | 889MB
177, gpu_percent:   41% | 889MB
178, gpu_percent:   53% | 889MB
179, gpu_percent:   53% | 889MB
180, gpu_percent:   52% | 889MB
181, gpu_percent:   52% | 889MB
182, gpu_percent:   53% | 889MB
183, gpu_percent:   53% | 889MB
184, gpu_percent:   51% | 889MB
185, gpu_percent:   54% | 889MB
186, gpu_percent:   51% | 889MB
187, gpu_percent:   52% | 889MB
188, gpu_percent:   53% | 889MB
189, gpu_percent:   55% | 889MB
190, gpu_percent:   53% | 889MB
191, gpu_percent:   51% | 889MB
192, gpu_percent:   40% | 889MB
193, gpu_percent:   41% | 889MB
194, gpu_percent:   40% | 889MB
195, gpu_percent:   41% | 889MB
196, gpu_percent:   42% | 889MB
197, gpu_percent:   41% | 889MB
198, gpu_percent:   54% | 889MB
199, gpu_percent:   53% | 889MB
200, gpu_percent:   56% | 889MB
201, gpu_percent:   56% | 889MB
202, gpu_percent:   55% | 889MB
203, gpu_percent:   54% | 889MB
204, gpu_percent:   53% | 889MB
205, gpu_percent:   51% | 889MB
206, gpu_percent:   51% | 889MB
207, gpu_percent:   53% | 889MB
208, gpu_percent:   52% | 889MB
209, gpu_percent:   51% | 889MB
210, gpu_percent:   51% | 889MB
211, gpu_percent:   41% | 889MB
212, gpu_percent:   41% | 889MB
213, gpu_percent:   41% | 889MB
214, gpu_percent:   40% | 889MB
215, gpu_percent:   40% | 889MB
216, gpu_percent:   41% | 889MB
217, gpu_percent:   51% | 889MB
218, gpu_percent:   51% | 889MB
219, gpu_percent:   54% | 889MB
220, gpu_percent:   54% | 889MB
221, gpu_percent:   51% | 889MB
222, gpu_percent:   50% | 889MB
223, gpu_percent:   54% | 889MB
224, gpu_percent:   53% | 889MB
225, gpu_percent:   52% | 889MB
226, gpu_percent:   51% | 889MB
227, gpu_percent:   51% | 889MB
228, gpu_percent:   54% | 889MB
229, gpu_percent:   55% | 889MB
230, gpu_percent:   53% | 889MB
231, gpu_percent:   41% | 889MB
232, gpu_percent:   41% | 889MB
233, gpu_percent:   42% | 889MB
234, gpu_percent:   42% | 889MB
235, gpu_percent:   42% | 889MB
236, gpu_percent:   43% | 889MB
237, gpu_percent:   56% | 889MB
238, gpu_percent:   54% | 889MB
239, gpu_percent:   56% | 889MB
240, gpu_percent:   52% | 889MB
241, gpu_percent:   51% | 889MB
242, gpu_percent:   54% | 889MB
243, gpu_percent:   54% | 889MB
244, gpu_percent:   54% | 889MB
245, gpu_percent:   53% | 889MB
246, gpu_percent:   54% | 889MB
247, gpu_percent:   55% | 889MB
248, gpu_percent:   54% | 889MB
249, gpu_percent:   53% | 889MB
250, gpu_percent:   54% | 889MB
251, gpu_percent:   41% | 889MB
252, gpu_percent:   40% | 889MB
253, gpu_percent:   40% | 889MB
254, gpu_percent:   40% | 889MB
255, gpu_percent:   38% | 889MB
256, gpu_percent:   48% | 889MB
257, gpu_percent:   52% | 889MB
258, gpu_percent:   51% | 889MB
259, gpu_percent:   52% | 889MB
260, gpu_percent:   55% | 889MB
261, gpu_percent:   52% | 889MB
262, gpu_percent:   51% | 889MB
263, gpu_percent:   53% | 889MB
264, gpu_percent:   55% | 889MB
265, gpu_percent:   52% | 889MB
266, gpu_percent:   51% | 889MB
267, gpu_percent:   51% | 889MB
268, gpu_percent:   53% | 889MB
269, gpu_percent:   56% | 889MB
270, gpu_percent:   43% | 889MB
271, gpu_percent:   42% | 889MB
272, gpu_percent:   41% | 889MB
273, gpu_percent:   39% | 889MB
274, gpu_percent:   41% | 889MB
275, gpu_percent:   39% | 889MB
276, gpu_percent:   53% | 889MB
277, gpu_percent:   51% | 889MB
