1, memory_percent: 4.276194679182109, cpu_percent: 0.0
2, memory_percent: 4.595912790461229, cpu_percent: 12.6
3, memory_percent: 4.613582615222522, cpu_percent: 32.1
4, memory_percent: 4.624758401823681, cpu_percent: 32.5
5, memory_percent: 4.628965502957323, cpu_percent: 32.0
6, memory_percent: 4.631748662168808, cpu_percent: 31.5
7, memory_percent: 4.633884575052042, cpu_percent: 31.3
8, memory_percent: 4.635222217463763, cpu_percent: 31.7
9, memory_percent: 4.637358130346996, cpu_percent: 30.5
10, memory_percent: 4.637358130346996, cpu_percent: 31.3
11, memory_percent: 4.637358130346996, cpu_percent: 32.3
12, memory_percent: 4.637358130346996, cpu_percent: 32.9
13, memory_percent: 4.637358130346996, cpu_percent: 32.3
14, memory_percent: 4.637358130346996, cpu_percent: 32.8
15, memory_percent: 4.637358130346996, cpu_percent: 31.2
16, memory_percent: 4.637358130346996, cpu_percent: 31.1
17, memory_percent: 4.637358130346996, cpu_percent: 31.7
18, memory_percent: 4.639666642251097, cpu_percent: 33.0
19, memory_percent: 4.639666642251097, cpu_percent: 31.8
20, memory_percent: 4.639666642251097, cpu_percent: 30.8
21, memory_percent: 4.6403786132121745, cpu_percent: 33.0
22, memory_percent: 4.6403786132121745, cpu_percent: 32.6
23, memory_percent: 4.6403786132121745, cpu_percent: 32.9
24, memory_percent: 4.6403786132121745, cpu_percent: 31.8
25, memory_percent: 4.6403786132121745, cpu_percent: 32.7
26, memory_percent: 4.641090584173253, cpu_percent: 32.3
27, memory_percent: 4.641090584173253, cpu_percent: 30.3
28, memory_percent: 4.641090584173253, cpu_percent: 32.1
29, memory_percent: 4.641090584173253, cpu_percent: 33.2
30, memory_percent: 4.641090584173253, cpu_percent: 30.9
31, memory_percent: 4.641791767695526, cpu_percent: 30.9
32, memory_percent: 4.641791767695526, cpu_percent: 32.6
33, memory_percent: 4.641791767695526, cpu_percent: 32.4
34, memory_percent: 4.641791767695526, cpu_percent: 31.6
35, memory_percent: 4.641791767695526, cpu_percent: 30.7
36, memory_percent: 4.641791767695526, cpu_percent: 31.3
37, memory_percent: 4.641791767695526, cpu_percent: 32.0
38, memory_percent: 4.641791767695526, cpu_percent: 32.3
39, memory_percent: 4.641791767695526, cpu_percent: 31.8
40, memory_percent: 4.641791767695526, cpu_percent: 31.0
41, memory_percent: 4.641791767695526, cpu_percent: 31.7
42, memory_percent: 4.641791767695526, cpu_percent: 31.9
43, memory_percent: 4.641791767695526, cpu_percent: 31.8
44, memory_percent: 4.641791767695526, cpu_percent: 31.8
45, memory_percent: 4.641791767695526, cpu_percent: 32.3
46, memory_percent: 4.642287989880519, cpu_percent: 32.5
47, memory_percent: 4.642287989880519, cpu_percent: 32.4
48, memory_percent: 4.642287989880519, cpu_percent: 31.0
49, memory_percent: 4.642287989880519, cpu_percent: 32.0
50, memory_percent: 4.642287989880519, cpu_percent: 33.5
51, memory_percent: 4.642287989880519, cpu_percent: 32.1
52, memory_percent: 4.642287989880519, cpu_percent: 32.0
53, memory_percent: 4.642287989880519, cpu_percent: 31.1
54, memory_percent: 4.642287989880519, cpu_percent: 33.4
55, memory_percent: 4.642287989880519, cpu_percent: 32.2
56, memory_percent: 4.642287989880519, cpu_percent: 30.8
57, memory_percent: 4.642287989880519, cpu_percent: 31.4
58, memory_percent: 4.642287989880519, cpu_percent: 32.9
59, memory_percent: 4.642287989880519, cpu_percent: 31.9
60, memory_percent: 4.642287989880519, cpu_percent: 32.2
61, memory_percent: 4.642287989880519, cpu_percent: 32.6
62, memory_percent: 4.642287989880519, cpu_percent: 32.7
63, memory_percent: 4.642287989880519, cpu_percent: 32.4
64, memory_percent: 4.642287989880519, cpu_percent: 32.2
65, memory_percent: 4.642287989880519, cpu_percent: 30.9
66, memory_percent: 4.642287989880519, cpu_percent: 31.4
67, memory_percent: 4.642287989880519, cpu_percent: 32.8
68, memory_percent: 4.642287989880519, cpu_percent: 31.6
69, memory_percent: 4.642287989880519, cpu_percent: 32.0
