1, memory_percent: 4.110013297672945, cpu_percent: 25.0
2, memory_percent: 4.110121172037713, cpu_percent: 16.6
3, memory_percent: 4.11013195947419, cpu_percent: 12.6
4, memory_percent: 4.11013195947419, cpu_percent: 12.6
5, memory_percent: 4.11013195947419, cpu_percent: 12.7
6, memory_percent: 4.11013195947419, cpu_percent: 12.8
7, memory_percent: 4.11013195947419, cpu_percent: 12.6
8, memory_percent: 4.11013195947419, cpu_percent: 12.7
9, memory_percent: 4.11013195947419, cpu_percent: 12.6
10, memory_percent: 4.11013195947419, cpu_percent: 12.7
11, memory_percent: 4.11013195947419, cpu_percent: 12.5
12, memory_percent: 4.11013195947419, cpu_percent: 12.7
13, memory_percent: 4.11013195947419, cpu_percent: 12.6
14, memory_percent: 4.11013195947419, cpu_percent: 12.6
15, memory_percent: 4.11013195947419, cpu_percent: 12.7
16, memory_percent: 4.11013195947419, cpu_percent: 12.6
17, memory_percent: 4.11013195947419, cpu_percent: 12.6
18, memory_percent: 4.11013195947419, cpu_percent: 12.6
19, memory_percent: 4.11013195947419, cpu_percent: 12.8
20, memory_percent: 4.11013195947419, cpu_percent: 12.7
21, memory_percent: 4.11013195947419, cpu_percent: 12.6
22, memory_percent: 4.11013195947419, cpu_percent: 12.5
23, memory_percent: 4.11013195947419, cpu_percent: 12.7
24, memory_percent: 4.11013195947419, cpu_percent: 12.8
25, memory_percent: 4.11013195947419, cpu_percent: 12.6
26, memory_percent: 4.11013195947419, cpu_percent: 12.6
27, memory_percent: 4.11013195947419, cpu_percent: 12.6
28, memory_percent: 4.11013195947419, cpu_percent: 12.9
29, memory_percent: 4.11013195947419, cpu_percent: 12.7
30, memory_percent: 4.11013195947419, cpu_percent: 12.6
31, memory_percent: 4.11013195947419, cpu_percent: 12.6
32, memory_percent: 4.11013195947419, cpu_percent: 12.6
33, memory_percent: 4.11013195947419, cpu_percent: 12.6
34, memory_percent: 4.11013195947419, cpu_percent: 12.6
35, memory_percent: 4.11013195947419, cpu_percent: 12.6
36, memory_percent: 4.11013195947419, cpu_percent: 12.6
37, memory_percent: 4.11013195947419, cpu_percent: 12.6
38, memory_percent: 4.11013195947419, cpu_percent: 12.6
39, memory_percent: 4.11013195947419, cpu_percent: 12.6
40, memory_percent: 4.11013195947419, cpu_percent: 12.8
41, memory_percent: 4.11013195947419, cpu_percent: 13.5
42, memory_percent: 4.11013195947419, cpu_percent: 12.8
43, memory_percent: 4.11013195947419, cpu_percent: 12.6
44, memory_percent: 4.11013195947419, cpu_percent: 12.7
45, memory_percent: 4.11013195947419, cpu_percent: 12.7
46, memory_percent: 4.11013195947419, cpu_percent: 12.5
47, memory_percent: 4.11013195947419, cpu_percent: 12.7
48, memory_percent: 4.11013195947419, cpu_percent: 12.9
49, memory_percent: 4.11013195947419, cpu_percent: 12.7
50, memory_percent: 4.11013195947419, cpu_percent: 12.6
51, memory_percent: 4.11013195947419, cpu_percent: 12.6
52, memory_percent: 4.11013195947419, cpu_percent: 12.7
53, memory_percent: 4.11013195947419, cpu_percent: 12.7
54, memory_percent: 4.11013195947419, cpu_percent: 12.5
55, memory_percent: 4.11013195947419, cpu_percent: 12.6
56, memory_percent: 4.11013195947419, cpu_percent: 12.7
57, memory_percent: 4.11013195947419, cpu_percent: 12.7
58, memory_percent: 4.11013195947419, cpu_percent: 12.7
59, memory_percent: 4.11013195947419, cpu_percent: 12.5
60, memory_percent: 4.11013195947419, cpu_percent: 12.6
61, memory_percent: 4.11013195947419, cpu_percent: 12.7
62, memory_percent: 4.11013195947419, cpu_percent: 12.5
63, memory_percent: 4.11013195947419, cpu_percent: 12.7
64, memory_percent: 4.11013195947419, cpu_percent: 12.7
65, memory_percent: 4.11013195947419, cpu_percent: 12.6
66, memory_percent: 4.11013195947419, cpu_percent: 12.6
67, memory_percent: 4.11016432178362, cpu_percent: 12.6
68, memory_percent: 4.11016432178362, cpu_percent: 12.6
69, memory_percent: 4.11016432178362, cpu_percent: 12.7
70, memory_percent: 4.11016432178362, cpu_percent: 12.5
71, memory_percent: 4.11016432178362, cpu_percent: 12.7
72, memory_percent: 4.11016432178362, cpu_percent: 12.6
73, memory_percent: 4.11016432178362, cpu_percent: 12.6
74, memory_percent: 4.110207471529527, cpu_percent: 12.6
75, memory_percent: 4.110207471529527, cpu_percent: 12.6
76, memory_percent: 4.110229046402482, cpu_percent: 12.7
77, memory_percent: 4.110229046402482, cpu_percent: 12.6
78, memory_percent: 4.110229046402482, cpu_percent: 12.6
79, memory_percent: 4.110229046402482, cpu_percent: 12.6
80, memory_percent: 4.110229046402482, cpu_percent: 12.6
81, memory_percent: 4.110229046402482, cpu_percent: 12.5
82, memory_percent: 4.110229046402482, cpu_percent: 12.7
83, memory_percent: 4.110229046402482, cpu_percent: 12.6
84, memory_percent: 4.110229046402482, cpu_percent: 12.7
85, memory_percent: 4.110229046402482, cpu_percent: 12.6
86, memory_percent: 4.110229046402482, cpu_percent: 12.6
87, memory_percent: 4.110229046402482, cpu_percent: 12.7
88, memory_percent: 4.110229046402482, cpu_percent: 12.5
89, memory_percent: 4.110229046402482, cpu_percent: 12.6
90, memory_percent: 4.110229046402482, cpu_percent: 12.6
91, memory_percent: 4.110229046402482, cpu_percent: 12.6
92, memory_percent: 4.110229046402482, cpu_percent: 12.6
93, memory_percent: 4.110229046402482, cpu_percent: 12.6
94, memory_percent: 4.110229046402482, cpu_percent: 12.6
95, memory_percent: 4.110229046402482, cpu_percent: 12.7
96, memory_percent: 4.110229046402482, cpu_percent: 12.6
97, memory_percent: 4.110229046402482, cpu_percent: 12.8
98, memory_percent: 4.110229046402482, cpu_percent: 12.8
99, memory_percent: 4.110229046402482, cpu_percent: 12.6
100, memory_percent: 4.110229046402482, cpu_percent: 12.6
101, memory_percent: 4.110229046402482, cpu_percent: 12.6
102, memory_percent: 4.110229046402482, cpu_percent: 12.7
103, memory_percent: 4.110229046402482, cpu_percent: 12.6
104, memory_percent: 4.110229046402482, cpu_percent: 12.7
105, memory_percent: 4.110229046402482, cpu_percent: 12.6
106, memory_percent: 4.110229046402482, cpu_percent: 12.6
107, memory_percent: 4.110229046402482, cpu_percent: 12.6
108, memory_percent: 4.110229046402482, cpu_percent: 12.7
109, memory_percent: 4.110229046402482, cpu_percent: 12.6
110, memory_percent: 4.110229046402482, cpu_percent: 12.5
111, memory_percent: 4.110229046402482, cpu_percent: 12.8
112, memory_percent: 4.110229046402482, cpu_percent: 12.6
113, memory_percent: 4.110229046402482, cpu_percent: 12.6
114, memory_percent: 4.110229046402482, cpu_percent: 12.5
115, memory_percent: 4.110229046402482, cpu_percent: 12.8
116, memory_percent: 4.110229046402482, cpu_percent: 12.7
117, memory_percent: 4.110229046402482, cpu_percent: 12.6
118, memory_percent: 4.110229046402482, cpu_percent: 12.6
119, memory_percent: 4.110229046402482, cpu_percent: 13.0
120, memory_percent: 4.110229046402482, cpu_percent: 12.6
121, memory_percent: 4.110229046402482, cpu_percent: 12.7
122, memory_percent: 4.110229046402482, cpu_percent: 12.6
123, memory_percent: 4.110229046402482, cpu_percent: 12.6
124, memory_percent: 4.110229046402482, cpu_percent: 12.6
125, memory_percent: 4.110229046402482, cpu_percent: 12.6
126, memory_percent: 4.110229046402482, cpu_percent: 12.7
127, memory_percent: 4.110229046402482, cpu_percent: 12.7
128, memory_percent: 4.110229046402482, cpu_percent: 12.8
129, memory_percent: 4.110229046402482, cpu_percent: 12.6
130, memory_percent: 4.110229046402482, cpu_percent: 12.7
131, memory_percent: 4.110229046402482, cpu_percent: 12.6
132, memory_percent: 4.110229046402482, cpu_percent: 12.6
133, memory_percent: 4.110229046402482, cpu_percent: 12.7
134, memory_percent: 4.110229046402482, cpu_percent: 12.6
135, memory_percent: 4.110229046402482, cpu_percent: 12.5
136, memory_percent: 4.110229046402482, cpu_percent: 12.7
137, memory_percent: 4.110229046402482, cpu_percent: 12.6
138, memory_percent: 4.110229046402482, cpu_percent: 12.7
139, memory_percent: 4.110229046402482, cpu_percent: 12.7
140, memory_percent: 4.110229046402482, cpu_percent: 12.6
141, memory_percent: 4.110229046402482, cpu_percent: 12.5
142, memory_percent: 4.110229046402482, cpu_percent: 12.6
143, memory_percent: 4.110229046402482, cpu_percent: 12.6
144, memory_percent: 4.110229046402482, cpu_percent: 12.7
145, memory_percent: 4.110229046402482, cpu_percent: 12.5
146, memory_percent: 4.110229046402482, cpu_percent: 12.8
147, memory_percent: 4.110229046402482, cpu_percent: 12.5
148, memory_percent: 4.110229046402482, cpu_percent: 12.7
149, memory_percent: 4.110229046402482, cpu_percent: 12.8
150, memory_percent: 4.110229046402482, cpu_percent: 12.5
151, memory_percent: 4.11030455845782, cpu_percent: 12.7
152, memory_percent: 4.11030455845782, cpu_percent: 12.6
153, memory_percent: 4.11030455845782, cpu_percent: 12.7
154, memory_percent: 4.11030455845782, cpu_percent: 12.7
155, memory_percent: 4.11030455845782, cpu_percent: 12.6
156, memory_percent: 4.11030455845782, cpu_percent: 12.5
157, memory_percent: 4.11030455845782, cpu_percent: 12.8
158, memory_percent: 4.11030455845782, cpu_percent: 12.6
159, memory_percent: 4.11030455845782, cpu_percent: 12.6
160, memory_percent: 4.11030455845782, cpu_percent: 12.6
161, memory_percent: 4.11030455845782, cpu_percent: 12.7
162, memory_percent: 4.11030455845782, cpu_percent: 12.6
163, memory_percent: 4.11030455845782, cpu_percent: 12.6
164, memory_percent: 4.11030455845782, cpu_percent: 12.5
165, memory_percent: 4.11030455845782, cpu_percent: 12.7
166, memory_percent: 4.11030455845782, cpu_percent: 12.9
167, memory_percent: 4.11030455845782, cpu_percent: 12.6
168, memory_percent: 4.11030455845782, cpu_percent: 12.7
169, memory_percent: 4.11030455845782, cpu_percent: 12.5
170, memory_percent: 4.11030455845782, cpu_percent: 12.7
171, memory_percent: 4.11030455845782, cpu_percent: 12.5
172, memory_percent: 4.11030455845782, cpu_percent: 12.7
173, memory_percent: 4.11030455845782, cpu_percent: 12.6
174, memory_percent: 4.11030455845782, cpu_percent: 12.7
175, memory_percent: 4.11030455845782, cpu_percent: 12.5
176, memory_percent: 4.11030455845782, cpu_percent: 12.8
177, memory_percent: 4.11030455845782, cpu_percent: 12.5
178, memory_percent: 4.11030455845782, cpu_percent: 12.6
179, memory_percent: 4.11030455845782, cpu_percent: 12.5
180, memory_percent: 4.11030455845782, cpu_percent: 12.6
181, memory_percent: 4.11030455845782, cpu_percent: 12.7
182, memory_percent: 4.11030455845782, cpu_percent: 12.6
183, memory_percent: 4.11030455845782, cpu_percent: 12.7
184, memory_percent: 4.11030455845782, cpu_percent: 12.8
185, memory_percent: 4.11030455845782, cpu_percent: 12.5
186, memory_percent: 4.11030455845782, cpu_percent: 12.7
187, memory_percent: 4.11030455845782, cpu_percent: 12.8
188, memory_percent: 4.11030455845782, cpu_percent: 12.5
189, memory_percent: 4.11030455845782, cpu_percent: 12.6
190, memory_percent: 4.11030455845782, cpu_percent: 12.6
191, memory_percent: 4.11030455845782, cpu_percent: 12.6
192, memory_percent: 4.11030455845782, cpu_percent: 12.6
193, memory_percent: 4.11030455845782, cpu_percent: 12.6
194, memory_percent: 4.11030455845782, cpu_percent: 12.6
195, memory_percent: 4.11030455845782, cpu_percent: 12.6
196, memory_percent: 4.11030455845782, cpu_percent: 12.7
197, memory_percent: 4.11030455845782, cpu_percent: 13.1
198, memory_percent: 4.11030455845782, cpu_percent: 12.5
199, memory_percent: 4.11030455845782, cpu_percent: 12.7
200, memory_percent: 4.11030455845782, cpu_percent: 12.6
201, memory_percent: 4.11030455845782, cpu_percent: 12.7
202, memory_percent: 4.11030455845782, cpu_percent: 12.7
203, memory_percent: 4.11030455845782, cpu_percent: 12.6
204, memory_percent: 4.11030455845782, cpu_percent: 12.5
205, memory_percent: 4.11030455845782, cpu_percent: 12.7
206, memory_percent: 4.11030455845782, cpu_percent: 12.6
207, memory_percent: 4.11030455845782, cpu_percent: 12.7
208, memory_percent: 4.11030455845782, cpu_percent: 12.7
209, memory_percent: 4.11030455845782, cpu_percent: 12.6
210, memory_percent: 4.11030455845782, cpu_percent: 12.7
211, memory_percent: 4.11030455845782, cpu_percent: 12.6
212, memory_percent: 4.11030455845782, cpu_percent: 12.6
213, memory_percent: 4.11030455845782, cpu_percent: 12.5
214, memory_percent: 4.11030455845782, cpu_percent: 12.7
215, memory_percent: 4.11030455845782, cpu_percent: 12.5
216, memory_percent: 4.11030455845782, cpu_percent: 12.6
217, memory_percent: 4.11030455845782, cpu_percent: 12.7
218, memory_percent: 4.11030455845782, cpu_percent: 12.7
219, memory_percent: 4.11030455845782, cpu_percent: 12.8
220, memory_percent: 4.11030455845782, cpu_percent: 12.5
221, memory_percent: 4.11030455845782, cpu_percent: 12.6
222, memory_percent: 4.11030455845782, cpu_percent: 12.6
223, memory_percent: 4.11030455845782, cpu_percent: 12.5
224, memory_percent: 4.11030455845782, cpu_percent: 12.7
225, memory_percent: 4.11030455845782, cpu_percent: 12.6
226, memory_percent: 4.110358495640204, cpu_percent: 12.6
227, memory_percent: 4.110358495640204, cpu_percent: 12.6
228, memory_percent: 4.110358495640204, cpu_percent: 12.7
229, memory_percent: 4.110358495640204, cpu_percent: 12.5
230, memory_percent: 4.110358495640204, cpu_percent: 12.7
231, memory_percent: 4.110358495640204, cpu_percent: 12.6
232, memory_percent: 4.110358495640204, cpu_percent: 12.7
233, memory_percent: 4.110358495640204, cpu_percent: 12.7
234, memory_percent: 4.110358495640204, cpu_percent: 12.5
235, memory_percent: 4.110358495640204, cpu_percent: 12.7
236, memory_percent: 4.110358495640204, cpu_percent: 12.7
237, memory_percent: 4.110358495640204, cpu_percent: 12.6
238, memory_percent: 4.110358495640204, cpu_percent: 12.7
239, memory_percent: 4.110358495640204, cpu_percent: 12.5
240, memory_percent: 4.110358495640204, cpu_percent: 12.6
241, memory_percent: 4.110358495640204, cpu_percent: 12.8
242, memory_percent: 4.110358495640204, cpu_percent: 12.6
243, memory_percent: 4.110358495640204, cpu_percent: 12.6
244, memory_percent: 4.110358495640204, cpu_percent: 12.8
245, memory_percent: 4.110358495640204, cpu_percent: 12.6
246, memory_percent: 4.110358495640204, cpu_percent: 12.6
247, memory_percent: 4.110358495640204, cpu_percent: 12.6
248, memory_percent: 4.110358495640204, cpu_percent: 12.6
249, memory_percent: 4.110358495640204, cpu_percent: 12.6
250, memory_percent: 4.110358495640204, cpu_percent: 12.7
251, memory_percent: 4.110358495640204, cpu_percent: 12.5
252, memory_percent: 4.110358495640204, cpu_percent: 12.6
253, memory_percent: 4.110358495640204, cpu_percent: 12.7
254, memory_percent: 4.110358495640204, cpu_percent: 12.5
255, memory_percent: 4.110358495640204, cpu_percent: 12.9
256, memory_percent: 4.110358495640204, cpu_percent: 12.5
257, memory_percent: 4.110358495640204, cpu_percent: 12.6
258, memory_percent: 4.110358495640204, cpu_percent: 12.6
259, memory_percent: 4.110358495640204, cpu_percent: 12.8
260, memory_percent: 4.110358495640204, cpu_percent: 12.6
261, memory_percent: 4.110358495640204, cpu_percent: 12.6
262, memory_percent: 4.110358495640204, cpu_percent: 12.5
263, memory_percent: 4.110358495640204, cpu_percent: 12.7
264, memory_percent: 4.110358495640204, cpu_percent: 12.5
265, memory_percent: 4.110358495640204, cpu_percent: 12.7
266, memory_percent: 4.110358495640204, cpu_percent: 12.5
267, memory_percent: 4.110358495640204, cpu_percent: 12.6
268, memory_percent: 4.110358495640204, cpu_percent: 12.6
269, memory_percent: 4.110358495640204, cpu_percent: 12.7
270, memory_percent: 4.110358495640204, cpu_percent: 12.6
271, memory_percent: 4.110358495640204, cpu_percent: 12.6
272, memory_percent: 4.110358495640204, cpu_percent: 12.5
273, memory_percent: 4.110358495640204, cpu_percent: 12.8
274, memory_percent: 4.110358495640204, cpu_percent: 12.7
275, memory_percent: 4.110358495640204, cpu_percent: 12.5
276, memory_percent: 4.110358495640204, cpu_percent: 12.6
277, memory_percent: 4.110358495640204, cpu_percent: 12.6
278, memory_percent: 4.110358495640204, cpu_percent: 12.6
279, memory_percent: 4.110358495640204, cpu_percent: 12.6
280, memory_percent: 4.110358495640204, cpu_percent: 12.6
281, memory_percent: 4.110358495640204, cpu_percent: 12.6
282, memory_percent: 4.110358495640204, cpu_percent: 12.7
283, memory_percent: 4.110358495640204, cpu_percent: 12.6
284, memory_percent: 4.110358495640204, cpu_percent: 12.6
285, memory_percent: 4.110358495640204, cpu_percent: 12.7
286, memory_percent: 4.110358495640204, cpu_percent: 12.6
287, memory_percent: 4.110358495640204, cpu_percent: 12.6
288, memory_percent: 4.110358495640204, cpu_percent: 12.6
289, memory_percent: 4.110358495640204, cpu_percent: 12.6
290, memory_percent: 4.110358495640204, cpu_percent: 12.7
291, memory_percent: 4.110369283076681, cpu_percent: 12.6
292, memory_percent: 4.110369283076681, cpu_percent: 12.5
293, memory_percent: 4.110369283076681, cpu_percent: 12.6
294, memory_percent: 4.110369283076681, cpu_percent: 12.6
295, memory_percent: 4.110380070513157, cpu_percent: 12.7
296, memory_percent: 4.110380070513157, cpu_percent: 12.9
297, memory_percent: 4.110390857949634, cpu_percent: 12.7
298, memory_percent: 4.110390857949634, cpu_percent: 12.7
299, memory_percent: 4.110390857949634, cpu_percent: 12.6
300, memory_percent: 4.110390857949634, cpu_percent: 12.7
301, memory_percent: 4.110390857949634, cpu_percent: 12.5
302, memory_percent: 4.110390857949634, cpu_percent: 12.7
303, memory_percent: 4.110390857949634, cpu_percent: 12.5
304, memory_percent: 4.110390857949634, cpu_percent: 13.1
305, memory_percent: 4.110390857949634, cpu_percent: 12.6
306, memory_percent: 4.110390857949634, cpu_percent: 12.6
307, memory_percent: 4.110390857949634, cpu_percent: 12.6
308, memory_percent: 4.110390857949634, cpu_percent: 12.6
309, memory_percent: 4.110390857949634, cpu_percent: 12.7
310, memory_percent: 4.110390857949634, cpu_percent: 12.7
311, memory_percent: 4.110390857949634, cpu_percent: 12.5
312, memory_percent: 4.110390857949634, cpu_percent: 12.6
313, memory_percent: 4.110390857949634, cpu_percent: 12.6
314, memory_percent: 4.110390857949634, cpu_percent: 12.6
315, memory_percent: 4.110390857949634, cpu_percent: 12.6
316, memory_percent: 4.110390857949634, cpu_percent: 12.7
317, memory_percent: 4.110390857949634, cpu_percent: 12.6
318, memory_percent: 4.110390857949634, cpu_percent: 12.7
319, memory_percent: 4.110390857949634, cpu_percent: 12.7
320, memory_percent: 4.110390857949634, cpu_percent: 12.5
321, memory_percent: 4.110390857949634, cpu_percent: 12.7
322, memory_percent: 4.110390857949634, cpu_percent: 12.6
323, memory_percent: 4.110390857949634, cpu_percent: 12.6
324, memory_percent: 4.110390857949634, cpu_percent: 12.6
325, memory_percent: 4.110390857949634, cpu_percent: 12.7
326, memory_percent: 4.110390857949634, cpu_percent: 12.7
327, memory_percent: 4.110390857949634, cpu_percent: 12.6
328, memory_percent: 4.110390857949634, cpu_percent: 12.6
329, memory_percent: 4.110390857949634, cpu_percent: 12.6
330, memory_percent: 4.110390857949634, cpu_percent: 12.6
331, memory_percent: 4.110390857949634, cpu_percent: 12.6
332, memory_percent: 4.110390857949634, cpu_percent: 12.6
333, memory_percent: 4.110390857949634, cpu_percent: 12.6
334, memory_percent: 4.110390857949634, cpu_percent: 12.7
335, memory_percent: 4.110390857949634, cpu_percent: 12.5
336, memory_percent: 4.110390857949634, cpu_percent: 12.6
337, memory_percent: 4.110390857949634, cpu_percent: 12.7
338, memory_percent: 4.110390857949634, cpu_percent: 12.7
339, memory_percent: 4.110390857949634, cpu_percent: 12.6
340, memory_percent: 4.110390857949634, cpu_percent: 12.6
341, memory_percent: 4.110390857949634, cpu_percent: 12.6
342, memory_percent: 4.110390857949634, cpu_percent: 12.6
343, memory_percent: 4.110390857949634, cpu_percent: 12.7
344, memory_percent: 4.110390857949634, cpu_percent: 12.6
345, memory_percent: 4.110390857949634, cpu_percent: 12.6
346, memory_percent: 4.110390857949634, cpu_percent: 12.6
347, memory_percent: 4.110390857949634, cpu_percent: 12.6
348, memory_percent: 4.110390857949634, cpu_percent: 12.7
349, memory_percent: 4.110434007695542, cpu_percent: 12.6
350, memory_percent: 4.110434007695542, cpu_percent: 12.6
351, memory_percent: 4.110434007695542, cpu_percent: 12.6
352, memory_percent: 4.110434007695542, cpu_percent: 12.6
353, memory_percent: 4.110434007695542, cpu_percent: 12.7
354, memory_percent: 4.110434007695542, cpu_percent: 12.6
355, memory_percent: 4.110434007695542, cpu_percent: 12.6
356, memory_percent: 4.110434007695542, cpu_percent: 12.6
357, memory_percent: 4.110434007695542, cpu_percent: 12.5
358, memory_percent: 4.110434007695542, cpu_percent: 12.6
359, memory_percent: 4.110434007695542, cpu_percent: 12.6
360, memory_percent: 4.110434007695542, cpu_percent: 12.6
361, memory_percent: 4.110434007695542, cpu_percent: 12.7
362, memory_percent: 4.110434007695542, cpu_percent: 12.5
363, memory_percent: 4.110434007695542, cpu_percent: 12.6
364, memory_percent: 4.110434007695542, cpu_percent: 12.6
365, memory_percent: 4.110434007695542, cpu_percent: 12.6
366, memory_percent: 4.110444795132018, cpu_percent: 12.6
367, memory_percent: 4.110444795132018, cpu_percent: 12.6
368, memory_percent: 4.110444795132018, cpu_percent: 12.6
369, memory_percent: 4.110444795132018, cpu_percent: 12.6
370, memory_percent: 4.110444795132018, cpu_percent: 12.8
371, memory_percent: 4.110444795132018, cpu_percent: 12.7
372, memory_percent: 4.110444795132018, cpu_percent: 12.7
373, memory_percent: 4.110444795132018, cpu_percent: 13.0
374, memory_percent: 4.110444795132018, cpu_percent: 12.6
375, memory_percent: 4.110444795132018, cpu_percent: 12.6
376, memory_percent: 4.110520307187357, cpu_percent: 12.6
377, memory_percent: 4.110520307187357, cpu_percent: 12.5
378, memory_percent: 4.110520307187357, cpu_percent: 12.7
379, memory_percent: 4.110520307187357, cpu_percent: 12.7
380, memory_percent: 4.110520307187357, cpu_percent: 12.6
381, memory_percent: 4.110520307187357, cpu_percent: 12.7
382, memory_percent: 4.110520307187357, cpu_percent: 12.6
383, memory_percent: 4.110520307187357, cpu_percent: 12.8
384, memory_percent: 4.110520307187357, cpu_percent: 12.6
385, memory_percent: 4.110520307187357, cpu_percent: 12.6
386, memory_percent: 4.110520307187357, cpu_percent: 12.6
387, memory_percent: 4.110520307187357, cpu_percent: 12.7
388, memory_percent: 4.110520307187357, cpu_percent: 12.7
389, memory_percent: 4.110520307187357, cpu_percent: 12.6
390, memory_percent: 4.110520307187357, cpu_percent: 12.5
391, memory_percent: 4.110520307187357, cpu_percent: 12.6
392, memory_percent: 4.110520307187357, cpu_percent: 12.6
393, memory_percent: 4.110520307187357, cpu_percent: 12.6
394, memory_percent: 4.110520307187357, cpu_percent: 12.8
395, memory_percent: 4.110520307187357, cpu_percent: 12.6
396, memory_percent: 4.110520307187357, cpu_percent: 12.7
397, memory_percent: 4.110520307187357, cpu_percent: 12.6
398, memory_percent: 4.110520307187357, cpu_percent: 12.6
399, memory_percent: 4.110520307187357, cpu_percent: 12.7
400, memory_percent: 4.110520307187357, cpu_percent: 12.5
401, memory_percent: 4.110520307187357, cpu_percent: 12.6
402, memory_percent: 4.110520307187357, cpu_percent: 12.6
403, memory_percent: 4.110520307187357, cpu_percent: 12.6
404, memory_percent: 4.110520307187357, cpu_percent: 12.7
405, memory_percent: 4.110520307187357, cpu_percent: 12.6
406, memory_percent: 4.110520307187357, cpu_percent: 12.7
407, memory_percent: 4.110520307187357, cpu_percent: 12.6
408, memory_percent: 4.110520307187357, cpu_percent: 12.5
409, memory_percent: 4.110520307187357, cpu_percent: 12.7
410, memory_percent: 4.110520307187357, cpu_percent: 12.6
411, memory_percent: 4.110520307187357, cpu_percent: 12.6
412, memory_percent: 4.110520307187357, cpu_percent: 12.7
413, memory_percent: 4.110520307187357, cpu_percent: 12.6
414, memory_percent: 4.110520307187357, cpu_percent: 12.6
415, memory_percent: 4.110520307187357, cpu_percent: 12.7
416, memory_percent: 4.110520307187357, cpu_percent: 12.4
417, memory_percent: 4.110520307187357, cpu_percent: 12.7
418, memory_percent: 4.110520307187357, cpu_percent: 12.6
419, memory_percent: 4.110520307187357, cpu_percent: 12.7
420, memory_percent: 4.110520307187357, cpu_percent: 12.6
421, memory_percent: 4.110520307187357, cpu_percent: 12.7
422, memory_percent: 4.110520307187357, cpu_percent: 12.6
423, memory_percent: 4.110520307187357, cpu_percent: 12.7
424, memory_percent: 4.110520307187357, cpu_percent: 12.7
425, memory_percent: 4.110520307187357, cpu_percent: 12.6
426, memory_percent: 4.110520307187357, cpu_percent: 12.6
427, memory_percent: 4.110520307187357, cpu_percent: 12.6
428, memory_percent: 4.110520307187357, cpu_percent: 12.7
429, memory_percent: 4.110520307187357, cpu_percent: 12.5
430, memory_percent: 4.110520307187357, cpu_percent: 12.6
431, memory_percent: 4.110520307187357, cpu_percent: 12.7
432, memory_percent: 4.110520307187357, cpu_percent: 12.5
433, memory_percent: 4.110520307187357, cpu_percent: 12.7
434, memory_percent: 4.110520307187357, cpu_percent: 12.6
435, memory_percent: 4.110520307187357, cpu_percent: 12.7
436, memory_percent: 4.110520307187357, cpu_percent: 12.6
437, memory_percent: 4.110520307187357, cpu_percent: 12.6
438, memory_percent: 4.110520307187357, cpu_percent: 12.6
439, memory_percent: 4.110520307187357, cpu_percent: 12.6
440, memory_percent: 4.110520307187357, cpu_percent: 12.6
441, memory_percent: 4.110520307187357, cpu_percent: 12.7
442, memory_percent: 4.110520307187357, cpu_percent: 12.5
443, memory_percent: 4.110520307187357, cpu_percent: 12.6
444, memory_percent: 4.110520307187357, cpu_percent: 12.8
445, memory_percent: 4.110520307187357, cpu_percent: 12.4
446, memory_percent: 4.110520307187357, cpu_percent: 12.6
447, memory_percent: 4.110520307187357, cpu_percent: 12.6
448, memory_percent: 4.110520307187357, cpu_percent: 12.6
449, memory_percent: 4.110520307187357, cpu_percent: 12.6
450, memory_percent: 4.110520307187357, cpu_percent: 12.8
451, memory_percent: 4.110520307187357, cpu_percent: 12.5
452, memory_percent: 4.110520307187357, cpu_percent: 12.7
453, memory_percent: 4.110520307187357, cpu_percent: 12.6
454, memory_percent: 4.110520307187357, cpu_percent: 12.5
