1, gpu_percent:    0% | 525MB
2, gpu_percent:   70% | 525MB
3, gpu_percent:   70% | 525MB
4, gpu_percent:   69% | 525MB
5, gpu_percent:   70% | 525MB
6, gpu_percent:   70% | 525MB
7, gpu_percent:   69% | 525MB
8, gpu_percent:   70% | 525MB
9, gpu_percent:   70% | 525MB
10, gpu_percent:   69% | 525MB
11, gpu_percent:   70% | 525MB
12, gpu_percent:   70% | 525MB
13, gpu_percent:   70% | 525MB
14, gpu_percent:   69% | 525MB
15, gpu_percent:   70% | 525MB
16, gpu_percent:   70% | 525MB
17, gpu_percent:   69% | 525MB
18, gpu_percent:   70% | 525MB
19, gpu_percent:   69% | 525MB
20, gpu_percent:   69% | 525MB
21, gpu_percent:   70% | 525MB
22, gpu_percent:   70% | 525MB
23, gpu_percent:   70% | 525MB
24, gpu_percent:   69% | 525MB
25, gpu_percent:   69% | 525MB
26, gpu_percent:   69% | 525MB
27, gpu_percent:   70% | 525MB
28, gpu_percent:   70% | 525MB
29, gpu_percent:   69% | 525MB
30, gpu_percent:   70% | 525MB
31, gpu_percent:   69% | 525MB
32, gpu_percent:   69% | 525MB
33, gpu_percent:   70% | 525MB
34, gpu_percent:   70% | 525MB
35, gpu_percent:   70% | 525MB
36, gpu_percent:   70% | 525MB
37, gpu_percent:   69% | 525MB
38, gpu_percent:   69% | 525MB
39, gpu_percent:   70% | 525MB
40, gpu_percent:   70% | 525MB
41, gpu_percent:   70% | 525MB
42, gpu_percent:   70% | 525MB
43, gpu_percent:   70% | 525MB
44, gpu_percent:   70% | 525MB
45, gpu_percent:   69% | 525MB
46, gpu_percent:   70% | 525MB
47, gpu_percent:   69% | 525MB
48, gpu_percent:   70% | 525MB
49, gpu_percent:   69% | 525MB
50, gpu_percent:   70% | 525MB
51, gpu_percent:   70% | 525MB
52, gpu_percent:   70% | 525MB
53, gpu_percent:   70% | 525MB
54, gpu_percent:   70% | 525MB
55, gpu_percent:   70% | 525MB
56, gpu_percent:   70% | 525MB
57, gpu_percent:   70% | 525MB
58, gpu_percent:   70% | 525MB
59, gpu_percent:   70% | 525MB
60, gpu_percent:   69% | 525MB
61, gpu_percent:   70% | 525MB
62, gpu_percent:   69% | 525MB
63, gpu_percent:   69% | 525MB
64, gpu_percent:   70% | 525MB
65, gpu_percent:   69% | 525MB
66, gpu_percent:   49% | 525MB
67, gpu_percent:   47% | 525MB
68, gpu_percent:   47% | 525MB
69, gpu_percent:   47% | 525MB
70, gpu_percent:   47% | 525MB
71, gpu_percent:   47% | 525MB
72, gpu_percent:   47% | 525MB
73, gpu_percent:   47% | 525MB
74, gpu_percent:   46% | 525MB
75, gpu_percent:   47% | 525MB
76, gpu_percent:   70% | 525MB
77, gpu_percent:   70% | 525MB
78, gpu_percent:   70% | 525MB
79, gpu_percent:   70% | 525MB
80, gpu_percent:   70% | 525MB
81, gpu_percent:   70% | 525MB
82, gpu_percent:   62% | 525MB
83, gpu_percent:   70% | 525MB
84, gpu_percent:   70% | 525MB
85, gpu_percent:   70% | 525MB
86, gpu_percent:   70% | 525MB
87, gpu_percent:   70% | 525MB
88, gpu_percent:   70% | 525MB
89, gpu_percent:   69% | 525MB
90, gpu_percent:   69% | 525MB
91, gpu_percent:   70% | 525MB
92, gpu_percent:   69% | 525MB
93, gpu_percent:   70% | 525MB
94, gpu_percent:   70% | 525MB
95, gpu_percent:   70% | 525MB
96, gpu_percent:   70% | 525MB
97, gpu_percent:   69% | 525MB
98, gpu_percent:   70% | 525MB
99, gpu_percent:   70% | 525MB
100, gpu_percent:   70% | 525MB
101, gpu_percent:   70% | 525MB
102, gpu_percent:   70% | 525MB
103, gpu_percent:   70% | 525MB
104, gpu_percent:   70% | 525MB
105, gpu_percent:   70% | 525MB
106, gpu_percent:   70% | 525MB
107, gpu_percent:   70% | 525MB
108, gpu_percent:   70% | 525MB
109, gpu_percent:   70% | 525MB
110, gpu_percent:   69% | 525MB
111, gpu_percent:   69% | 525MB
112, gpu_percent:   70% | 525MB
113, gpu_percent:   69% | 525MB
114, gpu_percent:   70% | 525MB
115, gpu_percent:   69% | 525MB
116, gpu_percent:   69% | 525MB
117, gpu_percent:   69% | 525MB
118, gpu_percent:   70% | 525MB
119, gpu_percent:   70% | 525MB
120, gpu_percent:   70% | 525MB
121, gpu_percent:   69% | 525MB
122, gpu_percent:   69% | 525MB
123, gpu_percent:   70% | 525MB
124, gpu_percent:   70% | 525MB
125, gpu_percent:   69% | 525MB
126, gpu_percent:   70% | 525MB
127, gpu_percent:   70% | 525MB
128, gpu_percent:   70% | 525MB
129, gpu_percent:   70% | 525MB
130, gpu_percent:   69% | 525MB
131, gpu_percent:   70% | 525MB
132, gpu_percent:   70% | 525MB
133, gpu_percent:   70% | 525MB
134, gpu_percent:   69% | 525MB
135, gpu_percent:   69% | 525MB
136, gpu_percent:   69% | 525MB
137, gpu_percent:   69% | 525MB
138, gpu_percent:   69% | 525MB
139, gpu_percent:   69% | 525MB
140, gpu_percent:   54% | 525MB
141, gpu_percent:   47% | 525MB
142, gpu_percent:   47% | 525MB
143, gpu_percent:   47% | 525MB
144, gpu_percent:   46% | 525MB
145, gpu_percent:   47% | 525MB
146, gpu_percent:   46% | 525MB
147, gpu_percent:   46% | 525MB
148, gpu_percent:   47% | 525MB
149, gpu_percent:   50% | 525MB
150, gpu_percent:   70% | 525MB
151, gpu_percent:   69% | 525MB
152, gpu_percent:   70% | 525MB
153, gpu_percent:   70% | 525MB
154, gpu_percent:   70% | 525MB
155, gpu_percent:   69% | 525MB
156, gpu_percent:   70% | 525MB
157, gpu_percent:   70% | 525MB
158, gpu_percent:   70% | 525MB
159, gpu_percent:   70% | 525MB
160, gpu_percent:   69% | 525MB
161, gpu_percent:   70% | 525MB
162, gpu_percent:   69% | 525MB
163, gpu_percent:   70% | 525MB
164, gpu_percent:   69% | 525MB
165, gpu_percent:   57% | 525MB
166, gpu_percent:   70% | 525MB
167, gpu_percent:   70% | 525MB
168, gpu_percent:   70% | 525MB
169, gpu_percent:   70% | 525MB
170, gpu_percent:   70% | 525MB
171, gpu_percent:   70% | 525MB
172, gpu_percent:   69% | 525MB
173, gpu_percent:   70% | 525MB
174, gpu_percent:   70% | 525MB
175, gpu_percent:   70% | 525MB
176, gpu_percent:   69% | 525MB
177, gpu_percent:   70% | 525MB
178, gpu_percent:   70% | 525MB
179, gpu_percent:   70% | 525MB
180, gpu_percent:   70% | 525MB
181, gpu_percent:   70% | 525MB
182, gpu_percent:   70% | 525MB
183, gpu_percent:   70% | 525MB
184, gpu_percent:   70% | 525MB
185, gpu_percent:   70% | 525MB
186, gpu_percent:   70% | 525MB
187, gpu_percent:   69% | 525MB
188, gpu_percent:   70% | 525MB
189, gpu_percent:   70% | 525MB
190, gpu_percent:   67% | 525MB
191, gpu_percent:   70% | 525MB
192, gpu_percent:   69% | 525MB
193, gpu_percent:   67% | 525MB
194, gpu_percent:   69% | 525MB
195, gpu_percent:   70% | 525MB
196, gpu_percent:   70% | 525MB
197, gpu_percent:   69% | 525MB
198, gpu_percent:   69% | 525MB
199, gpu_percent:   70% | 525MB
200, gpu_percent:   70% | 525MB
201, gpu_percent:   70% | 525MB
202, gpu_percent:   69% | 525MB
203, gpu_percent:   70% | 525MB
204, gpu_percent:   70% | 525MB
205, gpu_percent:   70% | 525MB
206, gpu_percent:   69% | 525MB
207, gpu_percent:   69% | 525MB
208, gpu_percent:   69% | 525MB
209, gpu_percent:   69% | 525MB
210, gpu_percent:   69% | 525MB
211, gpu_percent:   69% | 525MB
212, gpu_percent:   70% | 525MB
213, gpu_percent:   70% | 525MB
214, gpu_percent:   46% | 525MB
215, gpu_percent:   47% | 525MB
216, gpu_percent:   47% | 525MB
217, gpu_percent:   47% | 525MB
218, gpu_percent:   47% | 525MB
219, gpu_percent:   47% | 525MB
220, gpu_percent:   47% | 525MB
221, gpu_percent:   47% | 525MB
222, gpu_percent:   47% | 525MB
223, gpu_percent:   58% | 525MB
224, gpu_percent:   70% | 525MB
225, gpu_percent:   70% | 525MB
226, gpu_percent:   70% | 525MB
227, gpu_percent:   70% | 525MB
228, gpu_percent:   69% | 525MB
229, gpu_percent:   70% | 525MB
230, gpu_percent:   70% | 525MB
231, gpu_percent:   70% | 525MB
232, gpu_percent:   70% | 525MB
233, gpu_percent:   64% | 525MB
234, gpu_percent:   70% | 525MB
235, gpu_percent:   70% | 525MB
236, gpu_percent:   69% | 525MB
237, gpu_percent:   70% | 525MB
238, gpu_percent:   70% | 525MB
239, gpu_percent:   69% | 525MB
240, gpu_percent:   69% | 525MB
241, gpu_percent:   69% | 525MB
242, gpu_percent:   70% | 525MB
243, gpu_percent:   70% | 525MB
244, gpu_percent:   69% | 525MB
245, gpu_percent:   70% | 525MB
246, gpu_percent:   69% | 525MB
247, gpu_percent:   70% | 525MB
248, gpu_percent:   69% | 525MB
249, gpu_percent:   70% | 525MB
250, gpu_percent:   69% | 525MB
251, gpu_percent:   70% | 525MB
252, gpu_percent:   70% | 525MB
253, gpu_percent:   67% | 525MB
254, gpu_percent:   70% | 525MB
255, gpu_percent:   69% | 525MB
256, gpu_percent:   69% | 525MB
257, gpu_percent:   70% | 525MB
258, gpu_percent:   70% | 525MB
259, gpu_percent:   69% | 525MB
260, gpu_percent:   67% | 525MB
261, gpu_percent:   70% | 525MB
262, gpu_percent:   70% | 525MB
263, gpu_percent:   70% | 525MB
264, gpu_percent:   70% | 525MB
265, gpu_percent:   70% | 525MB
266, gpu_percent:   69% | 525MB
267, gpu_percent:   69% | 525MB
268, gpu_percent:   69% | 525MB
269, gpu_percent:   69% | 525MB
