1, gpu_percent:    3% | 159MB
2, gpu_percent:   11% | 441MB
3, gpu_percent:   89% | 441MB
4, gpu_percent:   88% | 441MB
5, gpu_percent:   88% | 441MB
6, gpu_percent:   84% | 477MB
7, gpu_percent:   88% | 477MB
8, gpu_percent:   88% | 477MB
9, gpu_percent:   88% | 477MB
10, gpu_percent:   88% | 477MB
11, gpu_percent:   88% | 477MB
12, gpu_percent:   88% | 477MB
13, gpu_percent:   88% | 477MB
14, gpu_percent:   88% | 477MB
15, gpu_percent:   87% | 495MB
16, gpu_percent:   88% | 495MB
17, gpu_percent:   88% | 495MB
18, gpu_percent:   88% | 495MB
19, gpu_percent:   89% | 495MB
20, gpu_percent:   88% | 495MB
21, gpu_percent:   87% | 495MB
22, gpu_percent:   89% | 495MB
23, gpu_percent:   88% | 495MB
24, gpu_percent:   88% | 495MB
25, gpu_percent:   88% | 495MB
26, gpu_percent:   89% | 495MB
27, gpu_percent:   83% | 495MB
28, gpu_percent:   88% | 495MB
29, gpu_percent:   89% | 495MB
30, gpu_percent:   88% | 495MB
31, gpu_percent:   73% | 495MB
32, gpu_percent:   89% | 495MB
33, gpu_percent:   89% | 495MB
34, gpu_percent:   88% | 495MB
35, gpu_percent:   73% | 495MB
36, gpu_percent:   89% | 495MB
37, gpu_percent:   89% | 495MB
38, gpu_percent:   88% | 495MB
39, gpu_percent:   76% | 495MB
40, gpu_percent:   88% | 495MB
41, gpu_percent:   88% | 495MB
42, gpu_percent:   88% | 495MB
43, gpu_percent:   88% | 495MB
44, gpu_percent:   89% | 495MB
45, gpu_percent:   88% | 495MB
46, gpu_percent:   88% | 495MB
47, gpu_percent:   88% | 495MB
48, gpu_percent:   88% | 495MB
49, gpu_percent:   89% | 495MB
50, gpu_percent:   89% | 495MB
51, gpu_percent:   88% | 495MB
52, gpu_percent:   88% | 495MB
53, gpu_percent:   89% | 495MB
54, gpu_percent:   89% | 495MB
55, gpu_percent:   88% | 495MB
56, gpu_percent:   89% | 495MB
57, gpu_percent:   88% | 495MB
58, gpu_percent:   88% | 495MB
59, gpu_percent:   89% | 495MB
60, gpu_percent:   89% | 495MB
61, gpu_percent:   89% | 495MB
62, gpu_percent:   88% | 495MB
63, gpu_percent:   88% | 495MB
64, gpu_percent:    0% | 495MB
65, gpu_percent:    0% | 495MB
66, gpu_percent:    0% | 495MB
67, gpu_percent:    0% | 495MB
68, gpu_percent:    0% | 495MB
69, gpu_percent:    0% | 495MB
70, gpu_percent:    0% | 495MB
71, gpu_percent:    0% | 495MB
72, gpu_percent:    0% | 495MB
73, gpu_percent:    0% | 495MB
74, gpu_percent:    0% | 495MB
75, gpu_percent:    0% | 495MB
76, gpu_percent:    0% | 495MB
77, gpu_percent:    0% | 495MB
78, gpu_percent:    0% | 495MB
79, gpu_percent:    0% | 495MB
80, gpu_percent:    0% | 495MB
81, gpu_percent:    0% | 495MB
82, gpu_percent:    0% | 495MB
83, gpu_percent:    0% | 495MB
84, gpu_percent:    0% | 495MB
85, gpu_percent:    0% | 495MB
86, gpu_percent:    0% | 495MB
87, gpu_percent:    0% | 495MB
88, gpu_percent:    0% | 495MB
89, gpu_percent:    0% | 495MB
90, gpu_percent:    0% | 495MB
91, gpu_percent:    0% | 495MB
92, gpu_percent:    0% | 495MB
93, gpu_percent:    0% | 495MB
94, gpu_percent:    0% | 495MB
95, gpu_percent:    0% | 495MB
96, gpu_percent:    0% | 495MB
97, gpu_percent:    0% | 495MB
98, gpu_percent:    0% | 495MB
99, gpu_percent:    0% | 495MB
100, gpu_percent:    0% | 495MB
101, gpu_percent:    0% | 495MB
102, gpu_percent:    0% | 495MB
103, gpu_percent:    0% | 495MB
104, gpu_percent:    0% | 495MB
105, gpu_percent:    0% | 495MB
106, gpu_percent:    0% | 495MB
107, gpu_percent:    0% | 495MB
108, gpu_percent:    0% | 495MB
109, gpu_percent:    0% | 495MB
110, gpu_percent:    0% | 495MB
111, gpu_percent:    0% | 495MB
112, gpu_percent:    0% | 495MB
113, gpu_percent:    0% | 495MB
114, gpu_percent:    0% | 495MB
115, gpu_percent:    0% | 495MB
116, gpu_percent:    0% | 495MB
117, gpu_percent:    0% | 495MB
118, gpu_percent:    0% | 495MB
