1, memory_percent: 3.324623914824109, cpu_percent: 50.0
2, memory_percent: 4.4175209149560395, cpu_percent: 16.8
3, memory_percent: 5.593772454728086, cpu_percent: 13.1
4, memory_percent: 5.59590836761132, cpu_percent: 14.0
5, memory_percent: 5.59590836761132, cpu_percent: 13.8
6, memory_percent: 5.596393802357508, cpu_percent: 14.2
7, memory_percent: 5.596393802357508, cpu_percent: 14.6
8, memory_percent: 5.600870589461255, cpu_percent: 13.5
9, memory_percent: 5.600870589461255, cpu_percent: 13.6
10, memory_percent: 5.600870589461255, cpu_percent: 16.1
11, memory_percent: 5.600870589461255, cpu_percent: 15.1
12, memory_percent: 5.600870589461255, cpu_percent: 16.2
13, memory_percent: 5.600870589461255, cpu_percent: 14.7
14, memory_percent: 5.600870589461255, cpu_percent: 14.8
15, memory_percent: 5.600870589461255, cpu_percent: 12.8
16, memory_percent: 5.600870589461255, cpu_percent: 13.9
17, memory_percent: 5.600870589461255, cpu_percent: 13.2
18, memory_percent: 5.600870589461255, cpu_percent: 14.9
19, memory_percent: 5.600870589461255, cpu_percent: 14.5
20, memory_percent: 5.600870589461255, cpu_percent: 14.3
21, memory_percent: 5.600870589461255, cpu_percent: 13.3
22, memory_percent: 5.600870589461255, cpu_percent: 14.6
23, memory_percent: 5.600870589461255, cpu_percent: 14.8
24, memory_percent: 5.600870589461255, cpu_percent: 12.8
25, memory_percent: 5.600870589461255, cpu_percent: 13.9
26, memory_percent: 5.600870589461255, cpu_percent: 13.6
27, memory_percent: 5.600870589461255, cpu_percent: 13.6
28, memory_percent: 5.600870589461255, cpu_percent: 13.7
29, memory_percent: 5.600870589461255, cpu_percent: 12.6
30, memory_percent: 5.600870589461255, cpu_percent: 13.2
31, memory_percent: 5.600870589461255, cpu_percent: 14.0
32, memory_percent: 5.600870589461255, cpu_percent: 15.4
33, memory_percent: 5.600870589461255, cpu_percent: 13.5
34, memory_percent: 5.600870589461255, cpu_percent: 13.7
35, memory_percent: 5.600870589461255, cpu_percent: 13.9
36, memory_percent: 5.600870589461255, cpu_percent: 15.6
37, memory_percent: 5.600870589461255, cpu_percent: 14.2
38, memory_percent: 5.600870589461255, cpu_percent: 14.2
39, memory_percent: 5.600870589461255, cpu_percent: 13.1
40, memory_percent: 5.600870589461255, cpu_percent: 13.8
41, memory_percent: 5.600870589461255, cpu_percent: 15.9
42, memory_percent: 5.600870589461255, cpu_percent: 13.8
43, memory_percent: 5.600870589461255, cpu_percent: 12.4
44, memory_percent: 5.600870589461255, cpu_percent: 15.0
