1, gpu_percent:    0% | 7241MB
2, gpu_percent:    6% | 7315MB
3, gpu_percent:   73% | 7399MB
4, gpu_percent:   72% | 7399MB
5, gpu_percent:   73% | 7399MB
6, gpu_percent:   72% | 7399MB
7, gpu_percent:   72% | 7399MB
8, gpu_percent:   73% | 7399MB
9, gpu_percent:   72% | 7399MB
10, gpu_percent:   73% | 7399MB
11, gpu_percent:   74% | 7399MB
12, gpu_percent:   73% | 7399MB
13, gpu_percent:   70% | 7399MB
14, gpu_percent:   74% | 7399MB
15, gpu_percent:   72% | 7399MB
16, gpu_percent:   73% | 7399MB
17, gpu_percent:   73% | 7399MB
18, gpu_percent:   62% | 7399MB
19, gpu_percent:   72% | 7399MB
20, gpu_percent:   73% | 7399MB
21, gpu_percent:   72% | 7399MB
22, gpu_percent:   73% | 7399MB
23, gpu_percent:   68% | 7399MB
24, gpu_percent:   72% | 7399MB
25, gpu_percent:   73% | 7399MB
26, gpu_percent:   73% | 7399MB
27, gpu_percent:   72% | 7399MB
28, gpu_percent:   68% | 7399MB
29, gpu_percent:   73% | 7399MB
30, gpu_percent:   73% | 7399MB
31, gpu_percent:   73% | 7399MB
32, gpu_percent:   73% | 7399MB
33, gpu_percent:   73% | 7399MB
34, gpu_percent:   73% | 7399MB
35, gpu_percent:   73% | 7399MB
36, gpu_percent:   72% | 7399MB
37, gpu_percent:   72% | 7399MB
38, gpu_percent:   72% | 7399MB
39, gpu_percent:   73% | 7399MB
40, gpu_percent:   73% | 7399MB
41, gpu_percent:   73% | 7399MB
42, gpu_percent:   73% | 7399MB
43, gpu_percent:   72% | 7399MB
44, gpu_percent:   73% | 7399MB
45, gpu_percent:   72% | 7399MB
46, gpu_percent:   73% | 7399MB
47, gpu_percent:   73% | 7399MB
48, gpu_percent:   73% | 7399MB
49, gpu_percent:   73% | 7399MB
50, gpu_percent:   73% | 7399MB
51, gpu_percent:   73% | 7399MB
52, gpu_percent:   72% | 7399MB
53, gpu_percent:   73% | 7399MB
54, gpu_percent:   72% | 7399MB
55, gpu_percent:   73% | 7399MB
56, gpu_percent:   73% | 7399MB
57, gpu_percent:   73% | 7399MB
58, gpu_percent:   73% | 7399MB
59, gpu_percent:   65% | 7399MB
60, gpu_percent:   73% | 7399MB
61, gpu_percent:   73% | 7399MB
62, gpu_percent:   74% | 7399MB
63, gpu_percent:   73% | 7399MB
64, gpu_percent:   67% | 7399MB
65, gpu_percent:   74% | 7399MB
66, gpu_percent:   72% | 7399MB
67, gpu_percent:   73% | 7399MB
68, gpu_percent:   73% | 7399MB
69, gpu_percent:   64% | 7399MB
70, gpu_percent:   73% | 7399MB
71, gpu_percent:   73% | 7399MB
72, gpu_percent:   74% | 7399MB
73, gpu_percent:   73% | 7399MB
74, gpu_percent:   68% | 7399MB
75, gpu_percent:   72% | 7399MB
76, gpu_percent:   72% | 7399MB
77, gpu_percent:   72% | 7399MB
78, gpu_percent:   73% | 7399MB
79, gpu_percent:   73% | 7399MB
80, gpu_percent:   17% | 7399MB
81, gpu_percent:   17% | 7399MB
82, gpu_percent:   17% | 7399MB
83, gpu_percent:   21% | 7399MB
84, gpu_percent:   21% | 7399MB
85, gpu_percent:   21% | 7399MB
86, gpu_percent:   21% | 7399MB
87, gpu_percent:   20% | 7399MB
88, gpu_percent:   20% | 7399MB
89, gpu_percent:   21% | 7399MB
90, gpu_percent:   22% | 7399MB
91, gpu_percent:   21% | 7399MB
92, gpu_percent:   20% | 7399MB
93, gpu_percent:   20% | 7399MB
94, gpu_percent:    0% | 7399MB
95, gpu_percent:    0% | 7399MB
96, gpu_percent:    0% | 7399MB
97, gpu_percent:    0% | 7399MB
98, gpu_percent:    0% | 7399MB
99, gpu_percent:    0% | 7399MB
100, gpu_percent:    0% | 7399MB
101, gpu_percent:    0% | 7399MB
102, gpu_percent:    0% | 7399MB
103, gpu_percent:    0% | 7399MB
104, gpu_percent:    0% | 7399MB
105, gpu_percent:    0% | 7399MB
106, gpu_percent:    0% | 7399MB
107, gpu_percent:    0% | 7399MB
108, gpu_percent:    0% | 7399MB
109, gpu_percent:    0% | 7399MB
110, gpu_percent:    0% | 7399MB
111, gpu_percent:    0% | 7399MB
112, gpu_percent:    0% | 7399MB
113, gpu_percent:    0% | 7399MB
114, gpu_percent:    0% | 7399MB
115, gpu_percent:    0% | 7399MB
116, gpu_percent:    0% | 7399MB
117, gpu_percent:    0% | 7399MB
118, gpu_percent:    0% | 7399MB
119, gpu_percent:    0% | 7399MB
120, gpu_percent:    0% | 7399MB
121, gpu_percent:    0% | 7399MB
122, gpu_percent:    0% | 7399MB
123, gpu_percent:    0% | 7399MB
124, gpu_percent:    0% | 7399MB
125, gpu_percent:    0% | 7399MB
126, gpu_percent:    0% | 7399MB
127, gpu_percent:    0% | 7399MB
