1, memory_percent: 4.93459415453, cpu_percent: 50.0
2, memory_percent: 4.98456156029, cpu_percent: 16.9
3, memory_percent: 5.04223119569, cpu_percent: 15.7
4, memory_percent: 5.09705294787, cpu_percent: 14.6
5, memory_percent: 5.15187470004, cpu_percent: 15.6
6, memory_percent: 5.20812039383, cpu_percent: 15.8
7, memory_percent: 5.26933909584, cpu_percent: 16.1
8, memory_percent: 5.33484041013, cpu_percent: 15.9
9, memory_percent: 5.39179807472, cpu_percent: 15.9
10, memory_percent: 5.46615587436, cpu_percent: 16.2
11, memory_percent: 5.46702965671, cpu_percent: 18.6
12, memory_percent: 5.46702965671, cpu_percent: 20.1
13, memory_percent: 5.46707280646, cpu_percent: 19.4
14, memory_percent: 5.46707280646, cpu_percent: 19.6
15, memory_percent: 5.46707280646, cpu_percent: 19.5
16, memory_percent: 5.46707280646, cpu_percent: 19.7
17, memory_percent: 5.33365379211, cpu_percent: 16.1
18, memory_percent: 5.33365379211, cpu_percent: 14.7
19, memory_percent: 5.33404213983, cpu_percent: 15.4
20, memory_percent: 5.33435497548, cpu_percent: 15.8
21, memory_percent: 5.33435497548, cpu_percent: 15.0
22, memory_percent: 5.33440891267, cpu_percent: 15.8
23, memory_percent: 5.33440891267, cpu_percent: 14.8
24, memory_percent: 5.33440891267, cpu_percent: 15.5
25, memory_percent: 5.33440891267, cpu_percent: 15.3
26, memory_percent: 5.33440891267, cpu_percent: 15.2
27, memory_percent: 5.33440891267, cpu_percent: 16.5
28, memory_percent: 5.33440891267, cpu_percent: 15.9
29, memory_percent: 5.33440891267, cpu_percent: 15.5
30, memory_percent: 5.33440891267, cpu_percent: 15.6
31, memory_percent: 5.33440891267, cpu_percent: 16.3
32, memory_percent: 5.33440891267, cpu_percent: 16.0
33, memory_percent: 5.33440891267, cpu_percent: 15.5
34, memory_percent: 5.33440891267, cpu_percent: 15.3
35, memory_percent: 5.35094605279, cpu_percent: 16.5
36, memory_percent: 5.41502342546, cpu_percent: 15.6
37, memory_percent: 5.45631773229, cpu_percent: 17.9
38, memory_percent: 5.45631773229, cpu_percent: 19.4
39, memory_percent: 5.45631773229, cpu_percent: 19.9
40, memory_percent: 5.45631773229, cpu_percent: 19.9
41, memory_percent: 5.45631773229, cpu_percent: 19.7
42, memory_percent: 5.45631773229, cpu_percent: 19.4
43, memory_percent: 5.45631773229, cpu_percent: 19.5
44, memory_percent: 5.32203572303, cpu_percent: 16.0
45, memory_percent: 5.32203572303, cpu_percent: 14.8
46, memory_percent: 5.32203572303, cpu_percent: 15.8
47, memory_percent: 5.32203572303, cpu_percent: 15.5
48, memory_percent: 5.32203572303, cpu_percent: 15.8
49, memory_percent: 5.32203572303, cpu_percent: 15.2
50, memory_percent: 5.32203572303, cpu_percent: 16.5
51, memory_percent: 5.32203572303, cpu_percent: 16.2
52, memory_percent: 5.32203572303, cpu_percent: 15.2
53, memory_percent: 5.32203572303, cpu_percent: 14.9
54, memory_percent: 5.32203572303, cpu_percent: 15.6
55, memory_percent: 5.32203572303, cpu_percent: 16.0
56, memory_percent: 5.32203572303, cpu_percent: 15.9
57, memory_percent: 5.32203572303, cpu_percent: 15.8
58, memory_percent: 5.32203572303, cpu_percent: 15.4
59, memory_percent: 5.32203572303, cpu_percent: 16.1
60, memory_percent: 5.32203572303, cpu_percent: 15.7
61, memory_percent: 5.33485119756, cpu_percent: 15.7
62, memory_percent: 5.39892857023, cpu_percent: 16.0
63, memory_percent: 5.45659820564, cpu_percent: 16.4
64, memory_percent: 5.45659820564, cpu_percent: 20.4
65, memory_percent: 5.45659820564, cpu_percent: 20.3
66, memory_percent: 5.45659820564, cpu_percent: 19.9
67, memory_percent: 5.45659820564, cpu_percent: 20.8
68, memory_percent: 5.45659820564, cpu_percent: 19.6
69, memory_percent: 5.32189548635, cpu_percent: 19.7
70, memory_percent: 5.32189548635, cpu_percent: 15.7
71, memory_percent: 5.32189548635, cpu_percent: 15.1
72, memory_percent: 5.32189548635, cpu_percent: 15.7
73, memory_percent: 5.32189548635, cpu_percent: 15.7
74, memory_percent: 5.32189548635, cpu_percent: 15.9
75, memory_percent: 5.32189548635, cpu_percent: 14.9
76, memory_percent: 5.32189548635, cpu_percent: 15.7
77, memory_percent: 5.32189548635, cpu_percent: 16.4
78, memory_percent: 5.32189548635, cpu_percent: 14.9
79, memory_percent: 5.32189548635, cpu_percent: 15.2
80, memory_percent: 5.32189548635, cpu_percent: 15.1
81, memory_percent: 5.32189548635, cpu_percent: 16.6
82, memory_percent: 5.32189548635, cpu_percent: 15.5
83, memory_percent: 5.32189548635, cpu_percent: 15.4
84, memory_percent: 5.32189548635, cpu_percent: 15.1
85, memory_percent: 5.32189548635, cpu_percent: 15.5
86, memory_percent: 5.32189548635, cpu_percent: 16.3
87, memory_percent: 5.35322220188, cpu_percent: 15.6
88, memory_percent: 5.42085942859, cpu_percent: 15.9
89, memory_percent: 5.45645796897, cpu_percent: 16.3
90, memory_percent: 5.45645796897, cpu_percent: 20.7
91, memory_percent: 5.45645796897, cpu_percent: 21.1
92, memory_percent: 5.45645796897, cpu_percent: 20.9
93, memory_percent: 5.45645796897, cpu_percent: 21.4
94, memory_percent: 5.45645796897, cpu_percent: 21.2
95, memory_percent: 5.32174446224, cpu_percent: 18.7
96, memory_percent: 5.32174446224, cpu_percent: 15.8
97, memory_percent: 5.32174446224, cpu_percent: 15.0
98, memory_percent: 5.32174446224, cpu_percent: 14.5
99, memory_percent: 5.32174446224, cpu_percent: 15.3
100, memory_percent: 5.32174446224, cpu_percent: 15.5
101, memory_percent: 5.32174446224, cpu_percent: 15.2
102, memory_percent: 5.32174446224, cpu_percent: 15.1
103, memory_percent: 5.32174446224, cpu_percent: 14.6
104, memory_percent: 5.32174446224, cpu_percent: 15.1
105, memory_percent: 5.32174446224, cpu_percent: 15.3
106, memory_percent: 5.32174446224, cpu_percent: 14.3
107, memory_percent: 5.32174446224, cpu_percent: 15.4
108, memory_percent: 5.32174446224, cpu_percent: 14.8
109, memory_percent: 5.32174446224, cpu_percent: 15.5
110, memory_percent: 5.32174446224, cpu_percent: 15.8
111, memory_percent: 5.32174446224, cpu_percent: 15.7
112, memory_percent: 5.32174446224, cpu_percent: 16.1
113, memory_percent: 5.32174446224, cpu_percent: 14.7
114, memory_percent: 5.35235920696, cpu_percent: 15.5
115, memory_percent: 5.41572460883, cpu_percent: 15.3
116, memory_percent: 5.45630694485, cpu_percent: 18.0
117, memory_percent: 5.45630694485, cpu_percent: 21.1
118, memory_percent: 5.45630694485, cpu_percent: 20.1
119, memory_percent: 5.45630694485, cpu_percent: 20.9
120, memory_percent: 5.45630694485, cpu_percent: 20.7
121, memory_percent: 5.45630694485, cpu_percent: 21.1
122, memory_percent: 5.32159343813, cpu_percent: 18.4
123, memory_percent: 5.32159343813, cpu_percent: 16.0
124, memory_percent: 5.32159343813, cpu_percent: 15.0
125, memory_percent: 5.32159343813, cpu_percent: 15.8
126, memory_percent: 5.32159343813, cpu_percent: 16.6
127, memory_percent: 5.32159343813, cpu_percent: 15.7
128, memory_percent: 5.32159343813, cpu_percent: 15.9
129, memory_percent: 5.32159343813, cpu_percent: 15.8
130, memory_percent: 5.32159343813, cpu_percent: 16.0
131, memory_percent: 5.32159343813, cpu_percent: 15.6
132, memory_percent: 5.32159343813, cpu_percent: 15.4
133, memory_percent: 5.32159343813, cpu_percent: 15.6
134, memory_percent: 5.32159343813, cpu_percent: 15.6
135, memory_percent: 5.32159343813, cpu_percent: 15.9
136, memory_percent: 5.32159343813, cpu_percent: 14.7
137, memory_percent: 5.32159343813, cpu_percent: 15.7
138, memory_percent: 5.32159343813, cpu_percent: 15.4
139, memory_percent: 5.32159343813, cpu_percent: 15.3
140, memory_percent: 5.36715956981, cpu_percent: 15.7
141, memory_percent: 5.43052497167, cpu_percent: 16.6
142, memory_percent: 5.45686789155, cpu_percent: 17.9
143, memory_percent: 5.45686789155, cpu_percent: 19.6
144, memory_percent: 5.45686789155, cpu_percent: 20.2
145, memory_percent: 5.45686789155, cpu_percent: 20.9
