1, gpu_percent:    8% | 383MB
2, gpu_percent:    0% | 383MB
3, gpu_percent:    0% | 383MB
4, gpu_percent:    0% | 383MB
5, gpu_percent:    0% | 383MB
6, gpu_percent:    0% | 383MB
7, gpu_percent:    0% | 383MB
8, gpu_percent:    0% | 383MB
9, gpu_percent:    0% | 383MB
10, gpu_percent:   87% | 551MB
11, gpu_percent:   87% | 551MB
12, gpu_percent:   89% | 551MB
13, gpu_percent:   89% | 551MB
14, gpu_percent:   87% | 551MB
15, gpu_percent:   87% | 551MB
16, gpu_percent:   87% | 583MB
17, gpu_percent:    0% | 641MB
18, gpu_percent:   80% | 649MB
19, gpu_percent:   13% | 649MB
20, gpu_percent:   11% | 653MB
21, gpu_percent:   11% | 653MB
22, gpu_percent:   13% | 653MB
23, gpu_percent:   12% | 653MB
24, gpu_percent:   11% | 653MB
25, gpu_percent:   11% | 653MB
26, gpu_percent:   11% | 653MB
27, gpu_percent:   11% | 653MB
28, gpu_percent:   12% | 653MB
29, gpu_percent:    0% | 653MB
30, gpu_percent:    0% | 653MB
31, gpu_percent:    0% | 653MB
32, gpu_percent:    0% | 653MB
33, gpu_percent:    0% | 653MB
34, gpu_percent:    0% | 653MB
35, gpu_percent:    0% | 653MB
36, gpu_percent:    0% | 653MB
37, gpu_percent:   87% | 653MB
38, gpu_percent:   88% | 653MB
39, gpu_percent:   89% | 653MB
40, gpu_percent:   90% | 653MB
41, gpu_percent:   89% | 653MB
42, gpu_percent:   90% | 653MB
43, gpu_percent:    0% | 653MB
44, gpu_percent:   87% | 653MB
45, gpu_percent:   10% | 653MB
46, gpu_percent:   11% | 653MB
47, gpu_percent:   11% | 653MB
48, gpu_percent:   12% | 653MB
49, gpu_percent:   11% | 653MB
50, gpu_percent:   11% | 653MB
51, gpu_percent:   12% | 653MB
52, gpu_percent:   12% | 653MB
53, gpu_percent:   12% | 653MB
54, gpu_percent:   11% | 653MB
55, gpu_percent:    0% | 653MB
56, gpu_percent:    0% | 653MB
57, gpu_percent:    0% | 653MB
58, gpu_percent:    0% | 653MB
59, gpu_percent:    0% | 653MB
60, gpu_percent:    0% | 653MB
61, gpu_percent:    0% | 653MB
62, gpu_percent:    0% | 653MB
63, gpu_percent:   86% | 653MB
64, gpu_percent:   87% | 653MB
65, gpu_percent:   87% | 653MB
66, gpu_percent:   86% | 653MB
67, gpu_percent:   88% | 653MB
68, gpu_percent:   89% | 653MB
69, gpu_percent:    0% | 653MB
70, gpu_percent:   42% | 653MB
71, gpu_percent:   11% | 653MB
72, gpu_percent:   13% | 653MB
73, gpu_percent:   11% | 653MB
74, gpu_percent:   12% | 653MB
75, gpu_percent:   11% | 653MB
76, gpu_percent:   10% | 653MB
77, gpu_percent:   11% | 653MB
78, gpu_percent:   12% | 653MB
79, gpu_percent:   11% | 653MB
80, gpu_percent:   11% | 653MB
81, gpu_percent:    0% | 653MB
82, gpu_percent:    0% | 653MB
83, gpu_percent:    0% | 653MB
84, gpu_percent:    0% | 653MB
85, gpu_percent:    0% | 653MB
86, gpu_percent:    0% | 653MB
87, gpu_percent:    0% | 653MB
88, gpu_percent:   88% | 653MB
89, gpu_percent:   86% | 653MB
90, gpu_percent:   88% | 653MB
91, gpu_percent:   86% | 653MB
92, gpu_percent:   88% | 653MB
93, gpu_percent:   87% | 653MB
94, gpu_percent:    0% | 653MB
95, gpu_percent:   86% | 653MB
96, gpu_percent:   10% | 653MB
97, gpu_percent:   10% | 653MB
98, gpu_percent:   10% | 653MB
99, gpu_percent:   12% | 653MB
100, gpu_percent:    9% | 653MB
101, gpu_percent:    9% | 653MB
102, gpu_percent:    8% | 653MB
103, gpu_percent:   11% | 653MB
104, gpu_percent:    9% | 653MB
105, gpu_percent:    8% | 653MB
106, gpu_percent:   12% | 653MB
107, gpu_percent:    0% | 653MB
108, gpu_percent:    0% | 653MB
109, gpu_percent:    0% | 653MB
110, gpu_percent:    0% | 653MB
111, gpu_percent:    0% | 653MB
112, gpu_percent:    0% | 653MB
113, gpu_percent:    0% | 653MB
114, gpu_percent:    0% | 653MB
115, gpu_percent:   89% | 653MB
116, gpu_percent:   88% | 653MB
117, gpu_percent:   88% | 653MB
118, gpu_percent:   88% | 653MB
119, gpu_percent:   86% | 653MB
120, gpu_percent:   88% | 653MB
121, gpu_percent:    0% | 653MB
122, gpu_percent:   10% | 653MB
123, gpu_percent:   11% | 653MB
124, gpu_percent:   10% | 653MB
125, gpu_percent:   11% | 653MB
126, gpu_percent:   11% | 653MB
127, gpu_percent:   11% | 653MB
128, gpu_percent:   11% | 653MB
129, gpu_percent:   11% | 653MB
130, gpu_percent:   11% | 653MB
131, gpu_percent:   11% | 653MB
132, gpu_percent:   11% | 653MB
133, gpu_percent:    0% | 653MB
134, gpu_percent:    0% | 653MB
135, gpu_percent:    0% | 653MB
136, gpu_percent:    0% | 653MB
137, gpu_percent:    0% | 653MB
138, gpu_percent:    0% | 653MB
139, gpu_percent:    0% | 653MB
140, gpu_percent:   87% | 653MB
141, gpu_percent:   86% | 653MB
142, gpu_percent:   89% | 653MB
143, gpu_percent:   89% | 653MB
144, gpu_percent:   89% | 653MB
145, gpu_percent:   86% | 653MB
146, gpu_percent:    0% | 653MB
147, gpu_percent:   87% | 653MB
148, gpu_percent:   12% | 653MB
149, gpu_percent:   11% | 653MB
150, gpu_percent:   11% | 653MB
151, gpu_percent:   12% | 653MB
152, gpu_percent:   11% | 653MB
153, gpu_percent:   13% | 653MB
154, gpu_percent:   12% | 653MB
155, gpu_percent:   12% | 653MB
156, gpu_percent:   11% | 653MB
157, gpu_percent:   12% | 653MB
158, gpu_percent:    0% | 653MB
159, gpu_percent:    0% | 653MB
160, gpu_percent:    0% | 653MB
161, gpu_percent:    0% | 653MB
162, gpu_percent:    0% | 653MB
163, gpu_percent:    0% | 653MB
164, gpu_percent:    0% | 653MB
165, gpu_percent:    0% | 653MB
166, gpu_percent:   86% | 653MB
167, gpu_percent:   88% | 653MB
168, gpu_percent:   86% | 653MB
169, gpu_percent:   86% | 653MB
170, gpu_percent:   86% | 653MB
171, gpu_percent:   86% | 653MB
172, gpu_percent:    0% | 653MB
173, gpu_percent:   63% | 653MB
174, gpu_percent:   11% | 653MB
175, gpu_percent:    8% | 653MB
176, gpu_percent:   11% | 653MB
177, gpu_percent:   11% | 653MB
178, gpu_percent:   11% | 653MB
179, gpu_percent:   11% | 653MB
180, gpu_percent:   11% | 653MB
181, gpu_percent:   11% | 653MB
182, gpu_percent:   11% | 653MB
183, gpu_percent:   11% | 653MB
184, gpu_percent:    0% | 653MB
185, gpu_percent:    0% | 653MB
186, gpu_percent:    0% | 653MB
187, gpu_percent:    0% | 653MB
188, gpu_percent:    0% | 653MB
189, gpu_percent:    0% | 653MB
190, gpu_percent:    0% | 653MB
191, gpu_percent:   49% | 653MB
192, gpu_percent:   87% | 653MB
193, gpu_percent:   87% | 653MB
194, gpu_percent:   86% | 653MB
195, gpu_percent:   86% | 653MB
196, gpu_percent:   89% | 653MB
197, gpu_percent:    0% | 653MB
198, gpu_percent:   84% | 653MB
199, gpu_percent:   11% | 653MB
200, gpu_percent:   12% | 653MB
201, gpu_percent:   11% | 653MB
202, gpu_percent:   12% | 653MB
203, gpu_percent:   12% | 653MB
204, gpu_percent:   12% | 653MB
205, gpu_percent:   13% | 653MB
206, gpu_percent:   12% | 653MB
207, gpu_percent:   11% | 653MB
208, gpu_percent:   12% | 653MB
209, gpu_percent:    0% | 653MB
210, gpu_percent:    0% | 653MB
211, gpu_percent:    0% | 653MB
212, gpu_percent:    0% | 653MB
213, gpu_percent:    0% | 653MB
214, gpu_percent:    0% | 653MB
215, gpu_percent:    0% | 653MB
216, gpu_percent:    0% | 653MB
217, gpu_percent:   88% | 653MB
218, gpu_percent:   88% | 653MB
219, gpu_percent:   89% | 653MB
220, gpu_percent:   89% | 653MB
221, gpu_percent:   86% | 653MB
222, gpu_percent:   74% | 653MB
223, gpu_percent:    0% | 653MB
224, gpu_percent:   10% | 653MB
225, gpu_percent:   10% | 653MB
226, gpu_percent:   11% | 653MB
227, gpu_percent:   10% | 653MB
228, gpu_percent:   11% | 653MB
229, gpu_percent:   11% | 653MB
230, gpu_percent:   11% | 653MB
231, gpu_percent:   11% | 653MB
232, gpu_percent:   12% | 653MB
233, gpu_percent:   11% | 653MB
234, gpu_percent:   10% | 653MB
235, gpu_percent:    0% | 653MB
236, gpu_percent:    0% | 653MB
237, gpu_percent:    0% | 653MB
238, gpu_percent:    0% | 653MB
239, gpu_percent:    0% | 653MB
240, gpu_percent:    0% | 653MB
241, gpu_percent:    0% | 653MB
242, gpu_percent:   88% | 653MB
243, gpu_percent:   88% | 653MB
244, gpu_percent:   86% | 653MB
245, gpu_percent:   88% | 653MB
246, gpu_percent:   86% | 653MB
247, gpu_percent:   86% | 653MB
248, gpu_percent:    0% | 653MB
249, gpu_percent:   85% | 653MB
250, gpu_percent:   11% | 653MB
251, gpu_percent:   11% | 653MB
252, gpu_percent:   11% | 653MB
253, gpu_percent:   12% | 653MB
254, gpu_percent:   12% | 653MB
255, gpu_percent:   11% | 653MB
256, gpu_percent:   12% | 653MB
257, gpu_percent:   11% | 653MB
258, gpu_percent:   14% | 653MB
259, gpu_percent:   11% | 653MB
260, gpu_percent:    0% | 653MB
261, gpu_percent:    0% | 653MB
262, gpu_percent:    0% | 653MB
263, gpu_percent:    0% | 653MB
264, gpu_percent:    0% | 653MB
265, gpu_percent:    0% | 653MB
266, gpu_percent:    0% | 653MB
267, gpu_percent:   74% | 653MB
268, gpu_percent:   88% | 653MB
269, gpu_percent:   88% | 653MB
270, gpu_percent:   86% | 653MB
271, gpu_percent:   86% | 653MB
272, gpu_percent:   87% | 653MB
273, gpu_percent:    0% | 653MB
274, gpu_percent:   24% | 653MB
275, gpu_percent:   10% | 653MB
276, gpu_percent:   11% | 653MB
277, gpu_percent:   12% | 653MB
278, gpu_percent:   11% | 653MB
279, gpu_percent:   11% | 653MB
280, gpu_percent:   10% | 653MB
281, gpu_percent:   11% | 653MB
282, gpu_percent:   10% | 653MB
283, gpu_percent:   10% | 653MB
284, gpu_percent:   11% | 653MB
285, gpu_percent:    0% | 653MB
286, gpu_percent:    0% | 653MB
287, gpu_percent:    0% | 653MB
288, gpu_percent:    0% | 653MB
289, gpu_percent:    0% | 653MB
290, gpu_percent:    0% | 653MB
291, gpu_percent:    0% | 653MB
292, gpu_percent:    0% | 653MB
293, gpu_percent:   86% | 653MB
294, gpu_percent:   86% | 653MB
295, gpu_percent:   86% | 653MB
296, gpu_percent:   88% | 653MB
