1, memory_percent: 5.29769926634, cpu_percent: 50.0
2, memory_percent: 5.32581132579, cpu_percent: 22.2
3, memory_percent: 5.32581132579, cpu_percent: 18.5
4, memory_percent: 5.32581132579, cpu_percent: 18.3
5, memory_percent: 5.32581132579, cpu_percent: 18.9
6, memory_percent: 5.32581132579, cpu_percent: 18.4
7, memory_percent: 5.3236538385, cpu_percent: 20.5
8, memory_percent: 5.3236538385, cpu_percent: 24.8
9, memory_percent: 5.3236538385, cpu_percent: 24.1
10, memory_percent: 5.3236538385, cpu_percent: 23.0
11, memory_percent: 5.3236538385, cpu_percent: 24.6
12, memory_percent: 5.3236538385, cpu_percent: 23.0
13, memory_percent: 5.3236538385, cpu_percent: 24.2
14, memory_percent: 5.32366462594, cpu_percent: 23.3
15, memory_percent: 5.32366462594, cpu_percent: 25.0
16, memory_percent: 5.32366462594, cpu_percent: 23.8
17, memory_percent: 5.32366462594, cpu_percent: 24.1
18, memory_percent: 5.32366462594, cpu_percent: 21.8
19, memory_percent: 5.32366462594, cpu_percent: 23.1
20, memory_percent: 5.32366462594, cpu_percent: 24.1
21, memory_percent: 5.32366462594, cpu_percent: 25.6
22, memory_percent: 5.32366462594, cpu_percent: 26.0
23, memory_percent: 5.32366462594, cpu_percent: 24.0
24, memory_percent: 5.32366462594, cpu_percent: 24.1
25, memory_percent: 5.32686849457, cpu_percent: 21.3
26, memory_percent: 5.32686849457, cpu_percent: 19.6
27, memory_percent: 5.32686849457, cpu_percent: 19.0
28, memory_percent: 5.32686849457, cpu_percent: 18.9
29, memory_percent: 5.32686849457, cpu_percent: 18.2
30, memory_percent: 5.32686849457, cpu_percent: 18.8
31, memory_percent: 5.32491596857, cpu_percent: 23.0
32, memory_percent: 5.32491596857, cpu_percent: 25.6
33, memory_percent: 5.32491596857, cpu_percent: 25.2
34, memory_percent: 5.32491596857, cpu_percent: 23.6
35, memory_percent: 5.32491596857, cpu_percent: 24.5
36, memory_percent: 5.32491596857, cpu_percent: 20.2
37, memory_percent: 5.32491596857, cpu_percent: 21.3
38, memory_percent: 5.32491596857, cpu_percent: 22.4
39, memory_percent: 5.32491596857, cpu_percent: 23.1
40, memory_percent: 5.32491596857, cpu_percent: 20.6
41, memory_percent: 5.32491596857, cpu_percent: 21.2
42, memory_percent: 5.32491596857, cpu_percent: 21.5
43, memory_percent: 5.32491596857, cpu_percent: 22.1
44, memory_percent: 5.32491596857, cpu_percent: 22.0
45, memory_percent: 5.32491596857, cpu_percent: 20.5
46, memory_percent: 5.32491596857, cpu_percent: 22.2
47, memory_percent: 5.32491596857, cpu_percent: 23.2
48, memory_percent: 5.32491596857, cpu_percent: 23.2
49, memory_percent: 5.32491596857, cpu_percent: 23.7
50, memory_percent: 5.32699794381, cpu_percent: 21.8
51, memory_percent: 5.32700873124, cpu_percent: 18.7
52, memory_percent: 5.32700873124, cpu_percent: 18.3
53, memory_percent: 5.32700873124, cpu_percent: 19.1
