1, gpu_percent:    0% | 7241MB
2, gpu_percent:    8% | 7387MB
3, gpu_percent:   83% | 7397MB
4, gpu_percent:   82% | 7397MB
5, gpu_percent:   81% | 7397MB
6, gpu_percent:   82% | 7397MB
7, gpu_percent:   64% | 7397MB
8, gpu_percent:   81% | 7397MB
9, gpu_percent:   82% | 7397MB
10, gpu_percent:   83% | 7397MB
11, gpu_percent:   83% | 7397MB
12, gpu_percent:   81% | 7397MB
13, gpu_percent:   81% | 7397MB
14, gpu_percent:   81% | 7397MB
15, gpu_percent:   81% | 7397MB
16, gpu_percent:   81% | 7397MB
17, gpu_percent:   81% | 7397MB
18, gpu_percent:   82% | 7397MB
19, gpu_percent:   81% | 7397MB
20, gpu_percent:   83% | 7397MB
21, gpu_percent:   52% | 7397MB
22, gpu_percent:   82% | 7397MB
23, gpu_percent:   81% | 7397MB
24, gpu_percent:   83% | 7397MB
25, gpu_percent:   82% | 7397MB
26, gpu_percent:   66% | 7397MB
27, gpu_percent:   82% | 7397MB
28, gpu_percent:   82% | 7397MB
29, gpu_percent:   83% | 7397MB
30, gpu_percent:   80% | 7397MB
31, gpu_percent:   82% | 7397MB
32, gpu_percent:   82% | 7397MB
33, gpu_percent:   82% | 7397MB
34, gpu_percent:   83% | 7397MB
35, gpu_percent:   82% | 7397MB
36, gpu_percent:   82% | 7397MB
37, gpu_percent:   82% | 7397MB
38, gpu_percent:   82% | 7397MB
39, gpu_percent:   81% | 7397MB
40, gpu_percent:   47% | 7397MB
41, gpu_percent:   81% | 7397MB
42, gpu_percent:   81% | 7397MB
43, gpu_percent:   81% | 7397MB
44, gpu_percent:   82% | 7397MB
45, gpu_percent:   65% | 7397MB
46, gpu_percent:   81% | 7397MB
47, gpu_percent:   82% | 7397MB
48, gpu_percent:   81% | 7397MB
49, gpu_percent:   81% | 7397MB
50, gpu_percent:   82% | 7397MB
51, gpu_percent:   83% | 7397MB
52, gpu_percent:   82% | 7397MB
53, gpu_percent:   82% | 7397MB
54, gpu_percent:   82% | 7397MB
55, gpu_percent:   81% | 7397MB
56, gpu_percent:   83% | 7397MB
57, gpu_percent:   83% | 7397MB
58, gpu_percent:   81% | 7397MB
59, gpu_percent:   58% | 7397MB
60, gpu_percent:   82% | 7397MB
61, gpu_percent:   82% | 7397MB
62, gpu_percent:   82% | 7397MB
63, gpu_percent:   82% | 7397MB
64, gpu_percent:   73% | 7397MB
65, gpu_percent:   82% | 7397MB
66, gpu_percent:   83% | 7397MB
67, gpu_percent:   81% | 7397MB
68, gpu_percent:   81% | 7397MB
69, gpu_percent:   81% | 7397MB
70, gpu_percent:   81% | 7397MB
71, gpu_percent:   82% | 7397MB
72, gpu_percent:   83% | 7397MB
73, gpu_percent:   76% | 7397MB
74, gpu_percent:    0% | 7397MB
75, gpu_percent:    0% | 7397MB
76, gpu_percent:    0% | 7397MB
77, gpu_percent:    0% | 7397MB
78, gpu_percent:    0% | 7397MB
79, gpu_percent:    0% | 7397MB
80, gpu_percent:    0% | 7397MB
81, gpu_percent:    0% | 7397MB
82, gpu_percent:    0% | 7397MB
83, gpu_percent:    0% | 7397MB
84, gpu_percent:    0% | 7397MB
85, gpu_percent:    0% | 7397MB
86, gpu_percent:    0% | 7397MB
87, gpu_percent:    0% | 7397MB
88, gpu_percent:    0% | 7397MB
89, gpu_percent:    0% | 7397MB
90, gpu_percent:    0% | 7397MB
91, gpu_percent:    0% | 7397MB
92, gpu_percent:    0% | 7397MB
93, gpu_percent:    0% | 7397MB
94, gpu_percent:    0% | 7397MB
95, gpu_percent:    0% | 7397MB
96, gpu_percent:    0% | 7397MB
97, gpu_percent:    0% | 7397MB
98, gpu_percent:    0% | 7397MB
99, gpu_percent:    0% | 7397MB
100, gpu_percent:    0% | 7397MB
101, gpu_percent:    0% | 7397MB
102, gpu_percent:    0% | 7397MB
103, gpu_percent:    0% | 7397MB
104, gpu_percent:    0% | 7397MB
105, gpu_percent:    0% | 7397MB
106, gpu_percent:    0% | 7397MB
107, gpu_percent:    0% | 7397MB
108, gpu_percent:    0% | 7397MB
109, gpu_percent:    0% | 7397MB
110, gpu_percent:    0% | 7397MB
111, gpu_percent:    0% | 7397MB
112, gpu_percent:    0% | 7397MB
113, gpu_percent:    0% | 7397MB
114, gpu_percent:    0% | 7397MB
115, gpu_percent:    0% | 7397MB
116, gpu_percent:    0% | 7397MB
117, gpu_percent:    0% | 7397MB
118, gpu_percent:    0% | 7397MB
119, gpu_percent:    0% | 7397MB
