1, gpu_percent:   11% | 7517MB
2, gpu_percent:   95% | 7517MB
3, gpu_percent:   95% | 7517MB
4, gpu_percent:   95% | 7517MB
5, gpu_percent:   95% | 7517MB
6, gpu_percent:   95% | 7517MB
7, gpu_percent:   96% | 7517MB
8, gpu_percent:   95% | 7517MB
9, gpu_percent:   95% | 7517MB
10, gpu_percent:   95% | 7517MB
11, gpu_percent:   94% | 7517MB
12, gpu_percent:   95% | 7517MB
13, gpu_percent:   95% | 7517MB
14, gpu_percent:   95% | 7517MB
15, gpu_percent:   95% | 7517MB
16, gpu_percent:   96% | 7517MB
17, gpu_percent:   96% | 7517MB
18, gpu_percent:   96% | 7517MB
19, gpu_percent:   95% | 7517MB
20, gpu_percent:   95% | 7517MB
21, gpu_percent:   96% | 7517MB
22, gpu_percent:   96% | 7517MB
23, gpu_percent:   95% | 7517MB
24, gpu_percent:   96% | 7517MB
25, gpu_percent:   95% | 7517MB
26, gpu_percent:   95% | 7517MB
27, gpu_percent:   95% | 7517MB
28, gpu_percent:   96% | 7517MB
29, gpu_percent:   95% | 7517MB
30, gpu_percent:   95% | 7517MB
31, gpu_percent:   95% | 7517MB
32, gpu_percent:   95% | 7517MB
33, gpu_percent:   88% | 7517MB
34, gpu_percent:   96% | 7517MB
35, gpu_percent:   95% | 7517MB
36, gpu_percent:   95% | 7517MB
37, gpu_percent:   95% | 7517MB
38, gpu_percent:   95% | 7517MB
39, gpu_percent:   95% | 7517MB
40, gpu_percent:   95% | 7517MB
41, gpu_percent:   95% | 7517MB
42, gpu_percent:   95% | 7517MB
43, gpu_percent:   89% | 7517MB
44, gpu_percent:   95% | 7517MB
45, gpu_percent:   95% | 7517MB
46, gpu_percent:   85% | 7517MB
47, gpu_percent:   95% | 7517MB
48, gpu_percent:   95% | 7517MB
49, gpu_percent:   96% | 7517MB
50, gpu_percent:   95% | 7517MB
51, gpu_percent:   95% | 7517MB
52, gpu_percent:   96% | 7517MB
53, gpu_percent:   96% | 7517MB
54, gpu_percent:   95% | 7517MB
55, gpu_percent:   95% | 7517MB
56, gpu_percent:   95% | 7517MB
57, gpu_percent:   96% | 7517MB
58, gpu_percent:   95% | 7517MB
59, gpu_percent:   95% | 7517MB
60, gpu_percent:   95% | 7517MB
61, gpu_percent:   95% | 7517MB
62, gpu_percent:   96% | 7517MB
63, gpu_percent:   96% | 7517MB
64, gpu_percent:   95% | 7517MB
65, gpu_percent:   95% | 7517MB
66, gpu_percent:   95% | 7517MB
67, gpu_percent:   95% | 7517MB
68, gpu_percent:   95% | 7517MB
69, gpu_percent:   95% | 7517MB
70, gpu_percent:   96% | 7517MB
71, gpu_percent:   96% | 7517MB
72, gpu_percent:   96% | 7517MB
73, gpu_percent:   96% | 7517MB
74, gpu_percent:   95% | 7517MB
75, gpu_percent:   95% | 7517MB
76, gpu_percent:   95% | 7517MB
77, gpu_percent:   96% | 7517MB
78, gpu_percent:   87% | 7517MB
79, gpu_percent:   95% | 7517MB
80, gpu_percent:   95% | 7517MB
81, gpu_percent:   96% | 7517MB
82, gpu_percent:   96% | 7517MB
83, gpu_percent:   95% | 7517MB
84, gpu_percent:   95% | 7517MB
85, gpu_percent:   95% | 7517MB
86, gpu_percent:   95% | 7517MB
87, gpu_percent:   95% | 7517MB
88, gpu_percent:   95% | 7517MB
89, gpu_percent:   96% | 7517MB
90, gpu_percent:   96% | 7517MB
91, gpu_percent:   94% | 7517MB
92, gpu_percent:   95% | 7517MB
93, gpu_percent:   95% | 7517MB
94, gpu_percent:   96% | 7517MB
95, gpu_percent:   95% | 7517MB
96, gpu_percent:   95% | 7517MB
97, gpu_percent:   95% | 7517MB
98, gpu_percent:    0% | 7517MB
99, gpu_percent:    0% | 7517MB
100, gpu_percent:    0% | 7517MB
101, gpu_percent:    0% | 7517MB
102, gpu_percent:    0% | 7517MB
103, gpu_percent:    0% | 7517MB
104, gpu_percent:    0% | 7517MB
105, gpu_percent:    0% | 7517MB
106, gpu_percent:    0% | 7517MB
107, gpu_percent:    0% | 7517MB
108, gpu_percent:    0% | 7517MB
109, gpu_percent:    0% | 7517MB
110, gpu_percent:    0% | 7517MB
111, gpu_percent:    0% | 7517MB
112, gpu_percent:    0% | 7517MB
113, gpu_percent:    0% | 7517MB
114, gpu_percent:    0% | 7517MB
115, gpu_percent:    0% | 7517MB
116, gpu_percent:    0% | 7517MB
117, gpu_percent:    0% | 7517MB
118, gpu_percent:    0% | 7517MB
119, gpu_percent:    0% | 7517MB
120, gpu_percent:    0% | 7517MB
121, gpu_percent:    0% | 7517MB
122, gpu_percent:    0% | 7517MB
123, gpu_percent:    0% | 7517MB
124, gpu_percent:    0% | 7517MB
125, gpu_percent:    0% | 7517MB
126, gpu_percent:    0% | 7517MB
127, gpu_percent:    0% | 7517MB
128, gpu_percent:    0% | 7517MB
129, gpu_percent:    0% | 7517MB
130, gpu_percent:    0% | 7517MB
131, gpu_percent:    0% | 7517MB
132, gpu_percent:    0% | 7517MB
133, gpu_percent:    0% | 7517MB
134, gpu_percent:    0% | 7517MB
135, gpu_percent:    0% | 7517MB
136, gpu_percent:    0% | 7517MB
137, gpu_percent:    0% | 7517MB
138, gpu_percent:    0% | 7517MB
139, gpu_percent:    0% | 7517MB
140, gpu_percent:    0% | 7517MB
141, gpu_percent:    0% | 7517MB
142, gpu_percent:    0% | 7517MB
143, gpu_percent:    0% | 7517MB
144, gpu_percent:    0% | 7517MB
145, gpu_percent:    0% | 7517MB
