1, memory_percent: 5.88352179164649, cpu_percent: 33.3
2, memory_percent: 5.894751513018872, cpu_percent: 21.3
3, memory_percent: 5.894751513018872, cpu_percent: 16.0
4, memory_percent: 5.894751513018872, cpu_percent: 16.2
5, memory_percent: 5.894751513018872, cpu_percent: 15.4
6, memory_percent: 5.894751513018872, cpu_percent: 16.3
7, memory_percent: 5.894751513018872, cpu_percent: 15.5
8, memory_percent: 5.894751513018872, cpu_percent: 15.9
9, memory_percent: 5.894751513018872, cpu_percent: 15.8
10, memory_percent: 5.894751513018872, cpu_percent: 15.4
11, memory_percent: 5.894751513018872, cpu_percent: 16.1
12, memory_percent: 5.894751513018872, cpu_percent: 15.7
13, memory_percent: 5.894751513018872, cpu_percent: 15.2
14, memory_percent: 5.894751513018872, cpu_percent: 15.5
15, memory_percent: 5.894751513018872, cpu_percent: 15.7
16, memory_percent: 5.894751513018872, cpu_percent: 16.0
17, memory_percent: 5.894751513018872, cpu_percent: 15.6
18, memory_percent: 5.894751513018872, cpu_percent: 15.9
19, memory_percent: 5.894751513018872, cpu_percent: 15.7
20, memory_percent: 5.894751513018872, cpu_percent: 16.2
21, memory_percent: 5.894751513018872, cpu_percent: 16.1
22, memory_percent: 5.894751513018872, cpu_percent: 15.5
23, memory_percent: 5.894751513018872, cpu_percent: 15.4
24, memory_percent: 5.894751513018872, cpu_percent: 15.3
25, memory_percent: 5.894751513018872, cpu_percent: 16.1
26, memory_percent: 5.909055653787151, cpu_percent: 16.9
27, memory_percent: 5.909055653787151, cpu_percent: 16.5
28, memory_percent: 5.909055653787151, cpu_percent: 18.4
29, memory_percent: 5.909077228660104, cpu_percent: 16.2
30, memory_percent: 5.909077228660104, cpu_percent: 15.8
31, memory_percent: 5.909077228660104, cpu_percent: 15.0
32, memory_percent: 5.909077228660104, cpu_percent: 15.6
33, memory_percent: 5.909077228660104, cpu_percent: 16.2
34, memory_percent: 5.909077228660104, cpu_percent: 16.2
35, memory_percent: 5.909077228660104, cpu_percent: 15.5
36, memory_percent: 5.909077228660104, cpu_percent: 15.8
37, memory_percent: 5.909077228660104, cpu_percent: 15.5
38, memory_percent: 5.909077228660104, cpu_percent: 15.7
39, memory_percent: 5.909077228660104, cpu_percent: 16.0
40, memory_percent: 5.909077228660104, cpu_percent: 15.7
41, memory_percent: 5.909077228660104, cpu_percent: 15.6
42, memory_percent: 5.909077228660104, cpu_percent: 16.0
43, memory_percent: 5.909077228660104, cpu_percent: 15.3
44, memory_percent: 5.909077228660104, cpu_percent: 16.0
45, memory_percent: 5.909077228660104, cpu_percent: 15.8
46, memory_percent: 5.909077228660104, cpu_percent: 15.9
47, memory_percent: 5.909077228660104, cpu_percent: 16.2
48, memory_percent: 5.909077228660104, cpu_percent: 15.8
49, memory_percent: 5.909077228660104, cpu_percent: 15.8
50, memory_percent: 5.909077228660104, cpu_percent: 15.8
51, memory_percent: 5.909077228660104, cpu_percent: 15.8
52, memory_percent: 5.909077228660104, cpu_percent: 15.6
53, memory_percent: 5.939842997492029, cpu_percent: 16.9
54, memory_percent: 5.939842997492029, cpu_percent: 15.9
55, memory_percent: 5.939842997492029, cpu_percent: 17.8
56, memory_percent: 5.940252920078148, cpu_percent: 16.2
57, memory_percent: 5.940252920078148, cpu_percent: 15.9
58, memory_percent: 5.940252920078148, cpu_percent: 16.0
59, memory_percent: 5.940252920078148, cpu_percent: 16.4
60, memory_percent: 5.940252920078148, cpu_percent: 16.1
61, memory_percent: 5.940252920078148, cpu_percent: 15.5
62, memory_percent: 5.940252920078148, cpu_percent: 16.0
63, memory_percent: 5.940252920078148, cpu_percent: 15.5
64, memory_percent: 5.940252920078148, cpu_percent: 14.7
65, memory_percent: 5.940252920078148, cpu_percent: 15.9
66, memory_percent: 5.940252920078148, cpu_percent: 15.4
67, memory_percent: 5.940252920078148, cpu_percent: 15.4
68, memory_percent: 5.940252920078148, cpu_percent: 16.0
69, memory_percent: 5.940252920078148, cpu_percent: 15.9
70, memory_percent: 5.940252920078148, cpu_percent: 15.6
71, memory_percent: 5.940252920078148, cpu_percent: 15.8
72, memory_percent: 5.940252920078148, cpu_percent: 16.0
73, memory_percent: 5.940252920078148, cpu_percent: 16.6
74, memory_percent: 5.940252920078148, cpu_percent: 16.1
75, memory_percent: 5.940252920078148, cpu_percent: 15.5
76, memory_percent: 5.940252920078148, cpu_percent: 15.6
77, memory_percent: 5.940252920078148, cpu_percent: 16.1
78, memory_percent: 5.940252920078148, cpu_percent: 16.3
79, memory_percent: 5.940252920078148, cpu_percent: 15.4
80, memory_percent: 5.942270170699316, cpu_percent: 16.5
81, memory_percent: 5.942270170699316, cpu_percent: 18.1
82, memory_percent: 5.942270170699316, cpu_percent: 17.6
83, memory_percent: 5.942270170699316, cpu_percent: 16.9
84, memory_percent: 5.942270170699316, cpu_percent: 15.3
85, memory_percent: 5.942270170699316, cpu_percent: 16.1
86, memory_percent: 5.942270170699316, cpu_percent: 15.5
87, memory_percent: 5.942270170699316, cpu_percent: 15.5
88, memory_percent: 5.942270170699316, cpu_percent: 16.0
89, memory_percent: 5.942270170699316, cpu_percent: 15.7
90, memory_percent: 5.942270170699316, cpu_percent: 15.1
91, memory_percent: 5.942270170699316, cpu_percent: 15.6
92, memory_percent: 5.942270170699316, cpu_percent: 15.5
93, memory_percent: 5.942270170699316, cpu_percent: 15.7
94, memory_percent: 5.942270170699316, cpu_percent: 15.8
95, memory_percent: 5.942270170699316, cpu_percent: 15.3
96, memory_percent: 5.942270170699316, cpu_percent: 15.2
97, memory_percent: 5.942270170699316, cpu_percent: 15.9
98, memory_percent: 5.942270170699316, cpu_percent: 14.7
99, memory_percent: 5.942270170699316, cpu_percent: 15.8
100, memory_percent: 5.942270170699316, cpu_percent: 15.0
101, memory_percent: 5.942270170699316, cpu_percent: 15.2
102, memory_percent: 5.942270170699316, cpu_percent: 15.5
103, memory_percent: 5.942270170699316, cpu_percent: 15.2
104, memory_percent: 5.942270170699316, cpu_percent: 15.6
