1, memory_percent: 7.73597274575749, cpu_percent: 0.0
2, memory_percent: 7.73597274575749, cpu_percent: 19.4
3, memory_percent: 7.73597274575749, cpu_percent: 15.3
4, memory_percent: 7.73597274575749, cpu_percent: 14.7
5, memory_percent: 7.73597274575749, cpu_percent: 14.5
6, memory_percent: 7.73597274575749, cpu_percent: 15.7
7, memory_percent: 7.73597274575749, cpu_percent: 15.4
8, memory_percent: 7.73597274575749, cpu_percent: 14.9
9, memory_percent: 7.73597274575749, cpu_percent: 15.2
10, memory_percent: 7.73597274575749, cpu_percent: 15.0
11, memory_percent: 7.73597274575749, cpu_percent: 15.1
12, memory_percent: 7.73597274575749, cpu_percent: 14.7
13, memory_percent: 7.73597274575749, cpu_percent: 15.0
14, memory_percent: 7.73597274575749, cpu_percent: 14.7
15, memory_percent: 7.73597274575749, cpu_percent: 14.5
16, memory_percent: 7.73597274575749, cpu_percent: 14.9
17, memory_percent: 7.73597274575749, cpu_percent: 15.3
18, memory_percent: 7.73597274575749, cpu_percent: 15.4
19, memory_percent: 7.73597274575749, cpu_percent: 15.0
20, memory_percent: 7.73597274575749, cpu_percent: 14.9
21, memory_percent: 7.73597274575749, cpu_percent: 15.1
22, memory_percent: 7.73597274575749, cpu_percent: 15.4
23, memory_percent: 7.73597274575749, cpu_percent: 15.2
24, memory_percent: 7.73597274575749, cpu_percent: 15.2
25, memory_percent: 7.73597274575749, cpu_percent: 14.8
26, memory_percent: 7.73597274575749, cpu_percent: 14.8
27, memory_percent: 7.73597274575749, cpu_percent: 14.9
28, memory_percent: 7.73597274575749, cpu_percent: 15.5
29, memory_percent: 7.73597274575749, cpu_percent: 14.5
30, memory_percent: 7.73597274575749, cpu_percent: 15.0
31, memory_percent: 7.73597274575749, cpu_percent: 15.6
32, memory_percent: 7.73597274575749, cpu_percent: 15.4
33, memory_percent: 7.73597274575749, cpu_percent: 15.0
34, memory_percent: 7.73597274575749, cpu_percent: 15.3
35, memory_percent: 7.73597274575749, cpu_percent: 15.4
36, memory_percent: 7.73597274575749, cpu_percent: 15.0
37, memory_percent: 7.73597274575749, cpu_percent: 15.8
38, memory_percent: 7.73597274575749, cpu_percent: 15.1
39, memory_percent: 7.73597274575749, cpu_percent: 15.0
40, memory_percent: 7.73597274575749, cpu_percent: 15.5
41, memory_percent: 7.73597274575749, cpu_percent: 15.3
42, memory_percent: 7.73597274575749, cpu_percent: 15.0
43, memory_percent: 7.73597274575749, cpu_percent: 15.4
44, memory_percent: 7.73597274575749, cpu_percent: 15.3
45, memory_percent: 7.73597274575749, cpu_percent: 15.0
46, memory_percent: 7.73597274575749, cpu_percent: 14.8
47, memory_percent: 7.73597274575749, cpu_percent: 14.9
48, memory_percent: 7.73597274575749, cpu_percent: 15.3
49, memory_percent: 7.73597274575749, cpu_percent: 15.5
50, memory_percent: 7.73597274575749, cpu_percent: 15.9
51, memory_percent: 7.73597274575749, cpu_percent: 15.5
52, memory_percent: 7.73597274575749, cpu_percent: 15.9
53, memory_percent: 7.73597274575749, cpu_percent: 15.9
54, memory_percent: 7.73597274575749, cpu_percent: 16.3
55, memory_percent: 7.73597274575749, cpu_percent: 15.2
56, memory_percent: 7.73597274575749, cpu_percent: 15.1
57, memory_percent: 7.73597274575749, cpu_percent: 14.9
58, memory_percent: 7.73597274575749, cpu_percent: 15.2
59, memory_percent: 7.73597274575749, cpu_percent: 15.4
60, memory_percent: 7.73597274575749, cpu_percent: 15.3
61, memory_percent: 7.73597274575749, cpu_percent: 14.8
62, memory_percent: 7.73597274575749, cpu_percent: 15.4
63, memory_percent: 7.73597274575749, cpu_percent: 15.6
64, memory_percent: 7.73597274575749, cpu_percent: 15.4
65, memory_percent: 7.73597274575749, cpu_percent: 15.3
66, memory_percent: 7.73597274575749, cpu_percent: 1.5
67, memory_percent: 7.73597274575749, cpu_percent: 1.0
68, memory_percent: 7.73597274575749, cpu_percent: 1.0
69, memory_percent: 7.73597274575749, cpu_percent: 0.6
70, memory_percent: 7.73597274575749, cpu_percent: 1.1
71, memory_percent: 7.73597274575749, cpu_percent: 1.0
72, memory_percent: 7.73597274575749, cpu_percent: 1.0
73, memory_percent: 7.73597274575749, cpu_percent: 1.2
74, memory_percent: 7.73597274575749, cpu_percent: 1.1
75, memory_percent: 7.73597274575749, cpu_percent: 0.8
76, memory_percent: 7.73597274575749, cpu_percent: 1.0
77, memory_percent: 7.73597274575749, cpu_percent: 0.7
78, memory_percent: 7.73597274575749, cpu_percent: 0.5
79, memory_percent: 7.73597274575749, cpu_percent: 0.7
80, memory_percent: 7.73597274575749, cpu_percent: 0.7
81, memory_percent: 7.73597274575749, cpu_percent: 0.9
82, memory_percent: 7.73597274575749, cpu_percent: 1.0
83, memory_percent: 7.73597274575749, cpu_percent: 1.1
84, memory_percent: 7.73597274575749, cpu_percent: 1.0
85, memory_percent: 7.73597274575749, cpu_percent: 0.9
86, memory_percent: 7.73597274575749, cpu_percent: 1.2
87, memory_percent: 7.73597274575749, cpu_percent: 1.1
88, memory_percent: 7.73597274575749, cpu_percent: 0.9
89, memory_percent: 7.73597274575749, cpu_percent: 0.9
90, memory_percent: 7.73597274575749, cpu_percent: 1.5
91, memory_percent: 7.73597274575749, cpu_percent: 1.0
92, memory_percent: 7.73597274575749, cpu_percent: 0.8
93, memory_percent: 7.73597274575749, cpu_percent: 1.4
94, memory_percent: 7.73597274575749, cpu_percent: 1.0
95, memory_percent: 7.73597274575749, cpu_percent: 0.9
96, memory_percent: 7.73597274575749, cpu_percent: 1.0
97, memory_percent: 7.73597274575749, cpu_percent: 1.0
98, memory_percent: 7.73597274575749, cpu_percent: 1.0
99, memory_percent: 7.73597274575749, cpu_percent: 1.0
100, memory_percent: 7.73597274575749, cpu_percent: 1.0
101, memory_percent: 7.73597274575749, cpu_percent: 0.5
102, memory_percent: 7.73597274575749, cpu_percent: 1.0
103, memory_percent: 7.73597274575749, cpu_percent: 1.2
104, memory_percent: 7.73597274575749, cpu_percent: 1.2
105, memory_percent: 7.73597274575749, cpu_percent: 1.4
106, memory_percent: 7.73597274575749, cpu_percent: 1.0
107, memory_percent: 7.73597274575749, cpu_percent: 1.1
108, memory_percent: 7.73597274575749, cpu_percent: 1.0
109, memory_percent: 7.73597274575749, cpu_percent: 0.9
110, memory_percent: 7.73597274575749, cpu_percent: 0.9
111, memory_percent: 7.73597274575749, cpu_percent: 0.9
112, memory_percent: 7.73597274575749, cpu_percent: 1.1
113, memory_percent: 7.73597274575749, cpu_percent: 0.9
114, memory_percent: 7.73597274575749, cpu_percent: 1.0
115, memory_percent: 7.73597274575749, cpu_percent: 1.4
116, memory_percent: 7.73597274575749, cpu_percent: 1.2
117, memory_percent: 7.73597274575749, cpu_percent: 1.0
118, memory_percent: 7.73597274575749, cpu_percent: 1.0
119, memory_percent: 7.73597274575749, cpu_percent: 1.1
120, memory_percent: 7.73597274575749, cpu_percent: 1.4
121, memory_percent: 7.73597274575749, cpu_percent: 0.9
122, memory_percent: 7.73597274575749, cpu_percent: 1.0
123, memory_percent: 7.73597274575749, cpu_percent: 1.7
124, memory_percent: 7.73597274575749, cpu_percent: 0.6
125, memory_percent: 7.73597274575749, cpu_percent: 1.5
126, memory_percent: 7.73597274575749, cpu_percent: 0.8
127, memory_percent: 7.73597274575749, cpu_percent: 1.0
128, memory_percent: 7.73597274575749, cpu_percent: 1.1
129, memory_percent: 7.73597274575749, cpu_percent: 0.9
130, memory_percent: 7.73597274575749, cpu_percent: 1.2
131, memory_percent: 7.73597274575749, cpu_percent: 1.1
132, memory_percent: 7.73597274575749, cpu_percent: 1.0
133, memory_percent: 7.73597274575749, cpu_percent: 1.1
134, memory_percent: 7.73597274575749, cpu_percent: 1.0
135, memory_percent: 7.73597274575749, cpu_percent: 1.4
136, memory_percent: 7.73597274575749, cpu_percent: 1.1
137, memory_percent: 7.73597274575749, cpu_percent: 1.2
138, memory_percent: 7.73597274575749, cpu_percent: 0.9
139, memory_percent: 7.73597274575749, cpu_percent: 1.1
140, memory_percent: 7.73597274575749, cpu_percent: 0.9
141, memory_percent: 7.73597274575749, cpu_percent: 0.6
142, memory_percent: 7.73597274575749, cpu_percent: 1.0
143, memory_percent: 7.73597274575749, cpu_percent: 0.6
144, memory_percent: 7.73597274575749, cpu_percent: 0.6
145, memory_percent: 7.73597274575749, cpu_percent: 0.9
146, memory_percent: 7.73597274575749, cpu_percent: 0.9
147, memory_percent: 7.73597274575749, cpu_percent: 0.9
148, memory_percent: 7.73597274575749, cpu_percent: 1.6
149, memory_percent: 7.73597274575749, cpu_percent: 1.1
150, memory_percent: 7.73597274575749, cpu_percent: 0.9
151, memory_percent: 7.73597274575749, cpu_percent: 0.8
152, memory_percent: 7.73597274575749, cpu_percent: 1.0
153, memory_percent: 7.73597274575749, cpu_percent: 0.8
154, memory_percent: 7.73597274575749, cpu_percent: 1.1
155, memory_percent: 7.73597274575749, cpu_percent: 1.0
156, memory_percent: 7.73597274575749, cpu_percent: 1.0
157, memory_percent: 7.73597274575749, cpu_percent: 1.1
158, memory_percent: 7.73597274575749, cpu_percent: 1.2
159, memory_percent: 7.73597274575749, cpu_percent: 0.9
160, memory_percent: 7.73597274575749, cpu_percent: 1.0
161, memory_percent: 7.73597274575749, cpu_percent: 0.6
162, memory_percent: 7.73597274575749, cpu_percent: 1.2
163, memory_percent: 7.73597274575749, cpu_percent: 1.4
164, memory_percent: 7.73597274575749, cpu_percent: 1.0
165, memory_percent: 7.73597274575749, cpu_percent: 0.9
166, memory_percent: 7.73597274575749, cpu_percent: 1.2
167, memory_percent: 7.73597274575749, cpu_percent: 1.2
168, memory_percent: 7.73597274575749, cpu_percent: 1.0
169, memory_percent: 7.73597274575749, cpu_percent: 1.1
170, memory_percent: 7.73597274575749, cpu_percent: 1.1
171, memory_percent: 7.73597274575749, cpu_percent: 1.4
172, memory_percent: 7.73597274575749, cpu_percent: 1.1
173, memory_percent: 7.73597274575749, cpu_percent: 1.0
174, memory_percent: 7.73597274575749, cpu_percent: 0.6
175, memory_percent: 7.73597274575749, cpu_percent: 0.9
176, memory_percent: 7.73597274575749, cpu_percent: 0.6
177, memory_percent: 7.73597274575749, cpu_percent: 0.4
178, memory_percent: 7.73597274575749, cpu_percent: 0.9
179, memory_percent: 7.73597274575749, cpu_percent: 0.7
180, memory_percent: 7.73597274575749, cpu_percent: 1.0
181, memory_percent: 7.73597274575749, cpu_percent: 1.1
182, memory_percent: 7.73597274575749, cpu_percent: 1.4
183, memory_percent: 7.73597274575749, cpu_percent: 1.1
184, memory_percent: 7.73597274575749, cpu_percent: 1.1
185, memory_percent: 7.73597274575749, cpu_percent: 1.0
186, memory_percent: 7.73597274575749, cpu_percent: 1.1
187, memory_percent: 7.73597274575749, cpu_percent: 1.1
188, memory_percent: 7.73597274575749, cpu_percent: 1.1
189, memory_percent: 7.73597274575749, cpu_percent: 1.2
190, memory_percent: 7.73597274575749, cpu_percent: 1.1
191, memory_percent: 7.73597274575749, cpu_percent: 1.1
192, memory_percent: 7.73597274575749, cpu_percent: 0.8
193, memory_percent: 7.73597274575749, cpu_percent: 1.2
194, memory_percent: 7.73597274575749, cpu_percent: 1.2
195, memory_percent: 7.73597274575749, cpu_percent: 1.2
196, memory_percent: 7.73597274575749, cpu_percent: 1.0
197, memory_percent: 7.73597274575749, cpu_percent: 0.8
198, memory_percent: 7.73597274575749, cpu_percent: 1.5
199, memory_percent: 7.73597274575749, cpu_percent: 0.9
200, memory_percent: 7.73597274575749, cpu_percent: 1.4
201, memory_percent: 7.73597274575749, cpu_percent: 0.9
202, memory_percent: 7.73597274575749, cpu_percent: 1.7
203, memory_percent: 7.73597274575749, cpu_percent: 1.1
204, memory_percent: 7.73597274575749, cpu_percent: 1.1
205, memory_percent: 7.73597274575749, cpu_percent: 0.9
206, memory_percent: 7.73597274575749, cpu_percent: 1.0
207, memory_percent: 7.73597274575749, cpu_percent: 0.9
208, memory_percent: 7.73597274575749, cpu_percent: 0.9
209, memory_percent: 7.73597274575749, cpu_percent: 0.7
210, memory_percent: 7.73597274575749, cpu_percent: 0.5
211, memory_percent: 7.73597274575749, cpu_percent: 1.1
212, memory_percent: 7.73597274575749, cpu_percent: 0.8
213, memory_percent: 7.73597274575749, cpu_percent: 1.0
214, memory_percent: 7.73597274575749, cpu_percent: 1.0
215, memory_percent: 7.73597274575749, cpu_percent: 0.9
216, memory_percent: 7.73597274575749, cpu_percent: 1.1
217, memory_percent: 7.73597274575749, cpu_percent: 1.4
218, memory_percent: 7.73597274575749, cpu_percent: 0.8
219, memory_percent: 7.73597274575749, cpu_percent: 1.0
220, memory_percent: 7.73597274575749, cpu_percent: 1.1
221, memory_percent: 7.73597274575749, cpu_percent: 1.2
222, memory_percent: 7.73597274575749, cpu_percent: 1.0
223, memory_percent: 7.73597274575749, cpu_percent: 1.1
224, memory_percent: 7.73597274575749, cpu_percent: 1.2
225, memory_percent: 7.73597274575749, cpu_percent: 1.1
226, memory_percent: 7.73597274575749, cpu_percent: 1.0
227, memory_percent: 7.73597274575749, cpu_percent: 1.1
228, memory_percent: 7.73597274575749, cpu_percent: 1.0
229, memory_percent: 7.73597274575749, cpu_percent: 0.9
230, memory_percent: 7.73597274575749, cpu_percent: 0.8
231, memory_percent: 7.73597274575749, cpu_percent: 1.1
232, memory_percent: 7.73597274575749, cpu_percent: 1.0
233, memory_percent: 7.73597274575749, cpu_percent: 0.8
234, memory_percent: 7.73597274575749, cpu_percent: 1.4
235, memory_percent: 7.73597274575749, cpu_percent: 0.9
236, memory_percent: 7.73597274575749, cpu_percent: 1.0
237, memory_percent: 7.73597274575749, cpu_percent: 1.0
238, memory_percent: 7.73597274575749, cpu_percent: 0.6
239, memory_percent: 7.73597274575749, cpu_percent: 0.6
240, memory_percent: 7.73597274575749, cpu_percent: 0.9
241, memory_percent: 7.73597274575749, cpu_percent: 0.6
242, memory_percent: 7.73597274575749, cpu_percent: 0.9
243, memory_percent: 7.73597274575749, cpu_percent: 0.9
244, memory_percent: 7.73597274575749, cpu_percent: 0.7
245, memory_percent: 7.73597274575749, cpu_percent: 1.1
246, memory_percent: 7.73597274575749, cpu_percent: 1.1
247, memory_percent: 7.73597274575749, cpu_percent: 1.4
248, memory_percent: 7.73597274575749, cpu_percent: 1.2
249, memory_percent: 7.73597274575749, cpu_percent: 1.0
250, memory_percent: 7.73597274575749, cpu_percent: 1.0
251, memory_percent: 7.73597274575749, cpu_percent: 0.8
252, memory_percent: 7.73597274575749, cpu_percent: 1.1
253, memory_percent: 7.73597274575749, cpu_percent: 1.4
254, memory_percent: 7.73597274575749, cpu_percent: 1.1
255, memory_percent: 7.73597274575749, cpu_percent: 1.0
256, memory_percent: 7.73597274575749, cpu_percent: 1.4
257, memory_percent: 7.73597274575749, cpu_percent: 1.1
258, memory_percent: 7.73597274575749, cpu_percent: 1.2
259, memory_percent: 7.73597274575749, cpu_percent: 1.2
260, memory_percent: 7.73597274575749, cpu_percent: 0.9
261, memory_percent: 7.73597274575749, cpu_percent: 1.4
262, memory_percent: 7.73597274575749, cpu_percent: 1.0
263, memory_percent: 7.73597274575749, cpu_percent: 1.4
264, memory_percent: 7.73597274575749, cpu_percent: 1.0
265, memory_percent: 7.73597274575749, cpu_percent: 0.9
266, memory_percent: 7.73597274575749, cpu_percent: 0.8
267, memory_percent: 7.73597274575749, cpu_percent: 1.0
268, memory_percent: 7.73597274575749, cpu_percent: 1.1
269, memory_percent: 7.73597274575749, cpu_percent: 1.2
270, memory_percent: 7.73597274575749, cpu_percent: 1.0
271, memory_percent: 7.73597274575749, cpu_percent: 0.8
272, memory_percent: 7.73597274575749, cpu_percent: 0.9
273, memory_percent: 7.73597274575749, cpu_percent: 1.0
274, memory_percent: 7.73597274575749, cpu_percent: 0.7
275, memory_percent: 7.73597274575749, cpu_percent: 1.0
276, memory_percent: 7.73597274575749, cpu_percent: 1.1
277, memory_percent: 7.73597274575749, cpu_percent: 0.8
278, memory_percent: 7.73597274575749, cpu_percent: 1.7
279, memory_percent: 7.73597274575749, cpu_percent: 0.8
280, memory_percent: 7.73597274575749, cpu_percent: 1.1
281, memory_percent: 7.73597274575749, cpu_percent: 1.4
282, memory_percent: 7.73597274575749, cpu_percent: 1.2
283, memory_percent: 7.73597274575749, cpu_percent: 1.2
284, memory_percent: 7.73597274575749, cpu_percent: 1.1
285, memory_percent: 7.73597274575749, cpu_percent: 1.0
286, memory_percent: 7.73597274575749, cpu_percent: 1.2
287, memory_percent: 7.73597274575749, cpu_percent: 1.4
288, memory_percent: 7.73597274575749, cpu_percent: 1.1
289, memory_percent: 7.73597274575749, cpu_percent: 0.8
290, memory_percent: 7.73597274575749, cpu_percent: 0.8
291, memory_percent: 7.73597274575749, cpu_percent: 1.5
292, memory_percent: 7.73597274575749, cpu_percent: 1.0
293, memory_percent: 7.73597274575749, cpu_percent: 1.1
294, memory_percent: 7.73597274575749, cpu_percent: 1.0
295, memory_percent: 7.73597274575749, cpu_percent: 0.9
296, memory_percent: 7.73597274575749, cpu_percent: 1.1
297, memory_percent: 7.73597274575749, cpu_percent: 0.8
298, memory_percent: 7.73597274575749, cpu_percent: 0.7
299, memory_percent: 7.73597274575749, cpu_percent: 0.9
300, memory_percent: 7.73597274575749, cpu_percent: 1.1
301, memory_percent: 7.73597274575749, cpu_percent: 1.0
302, memory_percent: 7.73597274575749, cpu_percent: 1.1
303, memory_percent: 7.73597274575749, cpu_percent: 1.0
304, memory_percent: 7.73597274575749, cpu_percent: 0.9
305, memory_percent: 7.73597274575749, cpu_percent: 0.6
306, memory_percent: 7.73597274575749, cpu_percent: 0.9
307, memory_percent: 7.73597274575749, cpu_percent: 1.0
308, memory_percent: 7.73597274575749, cpu_percent: 0.7
309, memory_percent: 7.73597274575749, cpu_percent: 0.6
310, memory_percent: 7.73597274575749, cpu_percent: 1.2
311, memory_percent: 7.73597274575749, cpu_percent: 1.2
312, memory_percent: 7.73597274575749, cpu_percent: 1.1
313, memory_percent: 7.73597274575749, cpu_percent: 0.6
314, memory_percent: 7.73597274575749, cpu_percent: 1.1
315, memory_percent: 7.73597274575749, cpu_percent: 1.1
316, memory_percent: 7.73597274575749, cpu_percent: 1.1
317, memory_percent: 7.73597274575749, cpu_percent: 0.8
318, memory_percent: 7.73597274575749, cpu_percent: 1.2
319, memory_percent: 7.73597274575749, cpu_percent: 1.1
320, memory_percent: 7.73597274575749, cpu_percent: 0.8
321, memory_percent: 7.73597274575749, cpu_percent: 1.2
322, memory_percent: 7.73597274575749, cpu_percent: 1.1
323, memory_percent: 7.73597274575749, cpu_percent: 0.9
324, memory_percent: 7.73597274575749, cpu_percent: 0.8
325, memory_percent: 7.73597274575749, cpu_percent: 1.1
326, memory_percent: 7.73597274575749, cpu_percent: 1.1
327, memory_percent: 7.73597274575749, cpu_percent: 1.0
328, memory_percent: 7.73597274575749, cpu_percent: 0.9
329, memory_percent: 7.73597274575749, cpu_percent: 1.2
330, memory_percent: 7.73597274575749, cpu_percent: 1.1
331, memory_percent: 7.73597274575749, cpu_percent: 1.0
332, memory_percent: 7.73597274575749, cpu_percent: 1.4
333, memory_percent: 7.73597274575749, cpu_percent: 0.9
334, memory_percent: 7.73597274575749, cpu_percent: 1.0
335, memory_percent: 7.73597274575749, cpu_percent: 1.0
336, memory_percent: 7.73597274575749, cpu_percent: 1.0
337, memory_percent: 7.73597274575749, cpu_percent: 0.6
338, memory_percent: 7.73597274575749, cpu_percent: 1.0
339, memory_percent: 7.73597274575749, cpu_percent: 0.9
340, memory_percent: 7.73597274575749, cpu_percent: 0.6
341, memory_percent: 7.73597274575749, cpu_percent: 0.9
342, memory_percent: 7.73597274575749, cpu_percent: 1.1
343, memory_percent: 7.73597274575749, cpu_percent: 1.1
344, memory_percent: 7.73597274575749, cpu_percent: 1.2
345, memory_percent: 7.73597274575749, cpu_percent: 1.0
346, memory_percent: 7.73597274575749, cpu_percent: 1.1
347, memory_percent: 7.73597274575749, cpu_percent: 0.9
348, memory_percent: 7.73597274575749, cpu_percent: 1.1
349, memory_percent: 7.73597274575749, cpu_percent: 1.4
350, memory_percent: 7.73597274575749, cpu_percent: 0.6
351, memory_percent: 7.73597274575749, cpu_percent: 0.9
352, memory_percent: 7.73597274575749, cpu_percent: 1.0
353, memory_percent: 7.73597274575749, cpu_percent: 1.0
354, memory_percent: 7.73597274575749, cpu_percent: 1.1
355, memory_percent: 7.73597274575749, cpu_percent: 1.2
356, memory_percent: 7.73597274575749, cpu_percent: 1.1
357, memory_percent: 7.73597274575749, cpu_percent: 1.1
358, memory_percent: 7.73597274575749, cpu_percent: 0.9
359, memory_percent: 7.73597274575749, cpu_percent: 1.1
360, memory_percent: 7.73597274575749, cpu_percent: 1.6
