1, memory_percent: 3.488797193281628, cpu_percent: 40.0
2, memory_percent: 3.8162066777899515, cpu_percent: 13.8
3, memory_percent: 3.8162066777899515, cpu_percent: 16.5
4, memory_percent: 3.8162066777899515, cpu_percent: 15.0
5, memory_percent: 3.9591617859809283, cpu_percent: 15.1
6, memory_percent: 3.9591617859809283, cpu_percent: 14.7
7, memory_percent: 3.9591617859809283, cpu_percent: 15.3
8, memory_percent: 3.9591617859809283, cpu_percent: 15.2
9, memory_percent: 3.9591617859809283, cpu_percent: 15.7
10, memory_percent: 3.9591617859809283, cpu_percent: 15.2
11, memory_percent: 3.9591617859809283, cpu_percent: 15.0
12, memory_percent: 3.9591617859809283, cpu_percent: 15.5
13, memory_percent: 3.9591617859809283, cpu_percent: 14.6
14, memory_percent: 3.9591617859809283, cpu_percent: 15.2
15, memory_percent: 3.9591617859809283, cpu_percent: 15.7
16, memory_percent: 3.9591617859809283, cpu_percent: 15.2
17, memory_percent: 3.9597335201142005, cpu_percent: 14.9
18, memory_percent: 3.9597335201142005, cpu_percent: 14.6
19, memory_percent: 3.9597335201142005, cpu_percent: 14.9
20, memory_percent: 3.9597335201142005, cpu_percent: 15.2
21, memory_percent: 3.9597335201142005, cpu_percent: 15.3
22, memory_percent: 3.9597335201142005, cpu_percent: 15.6
23, memory_percent: 3.9597335201142005, cpu_percent: 14.5
24, memory_percent: 3.9597335201142005, cpu_percent: 15.7
25, memory_percent: 3.9597335201142005, cpu_percent: 16.2
26, memory_percent: 3.9630236882396335, cpu_percent: 16.1
27, memory_percent: 3.9630236882396335, cpu_percent: 18.3
28, memory_percent: 3.9630236882396335, cpu_percent: 18.4
29, memory_percent: 3.963390461079846, cpu_percent: 17.6
30, memory_percent: 3.963390461079846, cpu_percent: 15.3
31, memory_percent: 3.963390461079846, cpu_percent: 15.3
32, memory_percent: 3.963390461079846, cpu_percent: 15.2
33, memory_percent: 3.963390461079846, cpu_percent: 15.2
34, memory_percent: 3.963390461079846, cpu_percent: 15.5
35, memory_percent: 3.9639729826495955, cpu_percent: 15.9
36, memory_percent: 3.9639729826495955, cpu_percent: 15.8
37, memory_percent: 3.9639729826495955, cpu_percent: 15.6
38, memory_percent: 3.9639729826495955, cpu_percent: 14.8
39, memory_percent: 3.9639729826495955, cpu_percent: 15.8
40, memory_percent: 3.9639729826495955, cpu_percent: 16.6
41, memory_percent: 3.9639729826495955, cpu_percent: 14.1
42, memory_percent: 3.9639729826495955, cpu_percent: 16.1
43, memory_percent: 3.9639729826495955, cpu_percent: 16.3
44, memory_percent: 3.9639729826495955, cpu_percent: 15.8
45, memory_percent: 3.9639729826495955, cpu_percent: 15.3
46, memory_percent: 3.9639729826495955, cpu_percent: 14.6
47, memory_percent: 3.964221093688562, cpu_percent: 14.4
48, memory_percent: 3.964221093688562, cpu_percent: 16.4
49, memory_percent: 3.964221093688562, cpu_percent: 16.2
50, memory_percent: 3.964221093688562, cpu_percent: 16.2
51, memory_percent: 3.964221093688562, cpu_percent: 17.3
52, memory_percent: 3.964221093688562, cpu_percent: 17.7
53, memory_percent: 3.964221093688562, cpu_percent: 17.6
54, memory_percent: 3.964221093688562, cpu_percent: 15.9
55, memory_percent: 3.964221093688562, cpu_percent: 15.0
56, memory_percent: 3.964221093688562, cpu_percent: 15.4
57, memory_percent: 3.964221093688562, cpu_percent: 16.4
58, memory_percent: 3.964221093688562, cpu_percent: 15.1
59, memory_percent: 3.964221093688562, cpu_percent: 15.0
60, memory_percent: 3.964221093688562, cpu_percent: 15.7
61, memory_percent: 3.964221093688562, cpu_percent: 14.7
62, memory_percent: 3.964221093688562, cpu_percent: 13.8
63, memory_percent: 3.964221093688562, cpu_percent: 15.0
64, memory_percent: 3.964221093688562, cpu_percent: 14.7
65, memory_percent: 3.964221093688562, cpu_percent: 15.2
66, memory_percent: 3.964221093688562, cpu_percent: 14.5
67, memory_percent: 3.964221093688562, cpu_percent: 15.3
68, memory_percent: 3.964221093688562, cpu_percent: 14.4
69, memory_percent: 3.964221093688562, cpu_percent: 15.3
70, memory_percent: 3.964221093688562, cpu_percent: 15.3
71, memory_percent: 3.964221093688562, cpu_percent: 15.7
72, memory_percent: 3.964221093688562, cpu_percent: 15.5
73, memory_percent: 3.964221093688562, cpu_percent: 15.2
74, memory_percent: 3.964221093688562, cpu_percent: 15.3
75, memory_percent: 3.964221093688562, cpu_percent: 17.8
76, memory_percent: 3.964221093688562, cpu_percent: 17.6
77, memory_percent: 3.964221093688562, cpu_percent: 16.4
78, memory_percent: 3.964221093688562, cpu_percent: 15.5
79, memory_percent: 3.964221093688562, cpu_percent: 14.4
80, memory_percent: 3.964221093688562, cpu_percent: 15.4
81, memory_percent: 3.964221093688562, cpu_percent: 14.3
82, memory_percent: 3.964221093688562, cpu_percent: 14.8
83, memory_percent: 3.964221093688562, cpu_percent: 15.1
84, memory_percent: 3.964221093688562, cpu_percent: 13.9
85, memory_percent: 3.964221093688562, cpu_percent: 15.1
86, memory_percent: 3.964221093688562, cpu_percent: 14.2
87, memory_percent: 3.964221093688562, cpu_percent: 14.5
