1, gpu_percent:    0% | 7319MB
2, gpu_percent:   75% | 7353MB
3, gpu_percent:   75% | 7353MB
4, gpu_percent:   74% | 7353MB
5, gpu_percent:   87% | 7353MB
6, gpu_percent:   84% | 7353MB
7, gpu_percent:   83% | 7353MB
8, gpu_percent:   83% | 7353MB
9, gpu_percent:   86% | 7353MB
10, gpu_percent:   85% | 7353MB
11, gpu_percent:   83% | 7353MB
12, gpu_percent:   86% | 7353MB
13, gpu_percent:   86% | 7353MB
14, gpu_percent:   86% | 7353MB
15, gpu_percent:   86% | 7353MB
16, gpu_percent:   85% | 7353MB
17, gpu_percent:   85% | 7353MB
18, gpu_percent:   87% | 7353MB
19, gpu_percent:   86% | 7353MB
20, gpu_percent:   83% | 7353MB
21, gpu_percent:   83% | 7353MB
22, gpu_percent:   85% | 7353MB
23, gpu_percent:   73% | 7353MB
24, gpu_percent:   74% | 7353MB
25, gpu_percent:   72% | 7353MB
26, gpu_percent:   80% | 7353MB
27, gpu_percent:   81% | 7353MB
28, gpu_percent:   81% | 7353MB
29, gpu_percent:   82% | 7353MB
30, gpu_percent:   85% | 7353MB
31, gpu_percent:   82% | 7353MB
32, gpu_percent:   86% | 7353MB
33, gpu_percent:   82% | 7353MB
34, gpu_percent:   84% | 7353MB
35, gpu_percent:   85% | 7353MB
36, gpu_percent:   83% | 7353MB
37, gpu_percent:   85% | 7353MB
38, gpu_percent:   83% | 7353MB
39, gpu_percent:   83% | 7353MB
40, gpu_percent:   85% | 7353MB
41, gpu_percent:   84% | 7353MB
42, gpu_percent:   83% | 7353MB
43, gpu_percent:   85% | 7353MB
44, gpu_percent:   83% | 7353MB
45, gpu_percent:   85% | 7353MB
46, gpu_percent:   82% | 7353MB
47, gpu_percent:   77% | 7353MB
48, gpu_percent:   73% | 7353MB
49, gpu_percent:   74% | 7353MB
50, gpu_percent:   80% | 7353MB
51, gpu_percent:   80% | 7353MB
52, gpu_percent:   80% | 7353MB
53, gpu_percent:   86% | 7353MB
54, gpu_percent:   83% | 7353MB
55, gpu_percent:   84% | 7353MB
56, gpu_percent:   85% | 7353MB
57, gpu_percent:   84% | 7353MB
58, gpu_percent:   84% | 7353MB
59, gpu_percent:   84% | 7353MB
60, gpu_percent:   84% | 7353MB
61, gpu_percent:   86% | 7353MB
62, gpu_percent:   85% | 7353MB
63, gpu_percent:   84% | 7353MB
64, gpu_percent:   84% | 7353MB
65, gpu_percent:   84% | 7353MB
66, gpu_percent:   84% | 7353MB
67, gpu_percent:   86% | 7353MB
68, gpu_percent:   86% | 7353MB
69, gpu_percent:   85% | 7353MB
70, gpu_percent:   85% | 7353MB
71, gpu_percent:   85% | 7353MB
72, gpu_percent:   72% | 7353MB
73, gpu_percent:   73% | 7353MB
74, gpu_percent:   80% | 7353MB
75, gpu_percent:   81% | 7353MB
76, gpu_percent:   79% | 7353MB
77, gpu_percent:   81% | 7353MB
78, gpu_percent:   81% | 7353MB
79, gpu_percent:   81% | 7353MB
80, gpu_percent:   81% | 7353MB
81, gpu_percent:   80% | 7353MB
82, gpu_percent:   82% | 7353MB
83, gpu_percent:   82% | 7353MB
84, gpu_percent:   79% | 7353MB
85, gpu_percent:   79% | 7353MB
86, gpu_percent:   85% | 7353MB
87, gpu_percent:   83% | 7353MB
88, gpu_percent:   85% | 7353MB
89, gpu_percent:   84% | 7353MB
90, gpu_percent:   83% | 7353MB
91, gpu_percent:   83% | 7353MB
92, gpu_percent:   84% | 7353MB
93, gpu_percent:   87% | 7353MB
94, gpu_percent:   83% | 7353MB
95, gpu_percent:   84% | 7353MB
96, gpu_percent:   74% | 7353MB
97, gpu_percent:   73% | 7353MB
98, gpu_percent:   75% | 7353MB
99, gpu_percent:   81% | 7353MB
100, gpu_percent:   81% | 7353MB
101, gpu_percent:   81% | 7353MB
102, gpu_percent:   84% | 7353MB
103, gpu_percent:   85% | 7353MB
104, gpu_percent:   82% | 7353MB
105, gpu_percent:   82% | 7353MB
106, gpu_percent:   86% | 7353MB
107, gpu_percent:   84% | 7353MB
108, gpu_percent:   85% | 7353MB
109, gpu_percent:   84% | 7353MB
110, gpu_percent:   86% | 7353MB
111, gpu_percent:   83% | 7353MB
112, gpu_percent:   84% | 7353MB
113, gpu_percent:   82% | 7353MB
114, gpu_percent:   86% | 7353MB
115, gpu_percent:   84% | 7353MB
116, gpu_percent:   84% | 7353MB
117, gpu_percent:   85% | 7353MB
118, gpu_percent:   83% | 7353MB
119, gpu_percent:   85% | 7353MB
120, gpu_percent:   71% | 7353MB
121, gpu_percent:   74% | 7353MB
122, gpu_percent:   74% | 7353MB
123, gpu_percent:   82% | 7353MB
124, gpu_percent:   79% | 7353MB
125, gpu_percent:   80% | 7353MB
126, gpu_percent:   84% | 7353MB
127, gpu_percent:   83% | 7353MB
128, gpu_percent:   83% | 7353MB
129, gpu_percent:   82% | 7353MB
130, gpu_percent:   81% | 7353MB
