1, memory_percent: 3.947652017110602, cpu_percent: 0.0
2, memory_percent: 3.9478246161128503, cpu_percent: 16.8
3, memory_percent: 3.9478246161128503, cpu_percent: 13.7
4, memory_percent: 3.9478246161128503, cpu_percent: 13.5
5, memory_percent: 3.9478246161128503, cpu_percent: 13.5
6, memory_percent: 3.9478246161128503, cpu_percent: 13.0
7, memory_percent: 3.9478246161128503, cpu_percent: 13.5
8, memory_percent: 3.9478246161128503, cpu_percent: 16.2
9, memory_percent: 3.9478246161128503, cpu_percent: 19.2
10, memory_percent: 3.9478246161128503, cpu_percent: 13.0
11, memory_percent: 3.9478246161128503, cpu_percent: 13.7
12, memory_percent: 3.9478246161128503, cpu_percent: 13.5
13, memory_percent: 3.9478246161128503, cpu_percent: 13.3
14, memory_percent: 3.9478246161128503, cpu_percent: 13.5
15, memory_percent: 3.9478246161128503, cpu_percent: 13.4
16, memory_percent: 3.9478246161128503, cpu_percent: 13.5
17, memory_percent: 3.9478246161128503, cpu_percent: 13.4
18, memory_percent: 3.9478246161128503, cpu_percent: 13.0
19, memory_percent: 3.9478246161128503, cpu_percent: 13.4
20, memory_percent: 3.9478246161128503, cpu_percent: 13.2
21, memory_percent: 3.9478246161128503, cpu_percent: 13.4
22, memory_percent: 3.9478246161128503, cpu_percent: 13.5
23, memory_percent: 3.9478246161128503, cpu_percent: 13.5
24, memory_percent: 3.9478246161128503, cpu_percent: 13.3
25, memory_percent: 3.9478246161128503, cpu_percent: 13.4
26, memory_percent: 3.9478246161128503, cpu_percent: 13.2
27, memory_percent: 3.9478246161128503, cpu_percent: 13.4
28, memory_percent: 3.9478246161128503, cpu_percent: 13.6
29, memory_percent: 3.9478246161128503, cpu_percent: 13.2
30, memory_percent: 3.9478246161128503, cpu_percent: 13.2
31, memory_percent: 3.9478246161128503, cpu_percent: 13.4
32, memory_percent: 3.9478246161128503, cpu_percent: 13.4
33, memory_percent: 3.9478246161128503, cpu_percent: 13.7
34, memory_percent: 3.9478246161128503, cpu_percent: 13.0
35, memory_percent: 3.9478246161128503, cpu_percent: 13.3
36, memory_percent: 3.9478246161128503, cpu_percent: 13.7
37, memory_percent: 3.9478246161128503, cpu_percent: 13.5
38, memory_percent: 3.9478246161128503, cpu_percent: 13.7
39, memory_percent: 3.9478246161128503, cpu_percent: 13.4
40, memory_percent: 3.9478246161128503, cpu_percent: 13.6
41, memory_percent: 3.9478246161128503, cpu_percent: 13.0
42, memory_percent: 3.9478246161128503, cpu_percent: 13.8
43, memory_percent: 3.9478246161128503, cpu_percent: 13.5
44, memory_percent: 3.9478246161128503, cpu_percent: 13.4
45, memory_percent: 3.9478246161128503, cpu_percent: 13.9
46, memory_percent: 3.9478246161128503, cpu_percent: 13.5
47, memory_percent: 3.9478246161128503, cpu_percent: 13.4
48, memory_percent: 3.9478246161128503, cpu_percent: 13.6
49, memory_percent: 3.9478246161128503, cpu_percent: 13.4
50, memory_percent: 3.9478246161128503, cpu_percent: 13.6
51, memory_percent: 3.9478246161128503, cpu_percent: 13.6
52, memory_percent: 3.9478246161128503, cpu_percent: 13.4
53, memory_percent: 3.9478246161128503, cpu_percent: 13.1
54, memory_percent: 3.9478246161128503, cpu_percent: 13.8
55, memory_percent: 3.9478246161128503, cpu_percent: 13.5
56, memory_percent: 3.9478246161128503, cpu_percent: 13.4
57, memory_percent: 3.9478246161128503, cpu_percent: 13.6
58, memory_percent: 3.9478246161128503, cpu_percent: 13.6
59, memory_percent: 3.9478246161128503, cpu_percent: 13.7
60, memory_percent: 3.9478246161128503, cpu_percent: 13.4
61, memory_percent: 3.9478246161128503, cpu_percent: 13.5
62, memory_percent: 3.9478246161128503, cpu_percent: 13.2
63, memory_percent: 3.9478246161128503, cpu_percent: 13.8
64, memory_percent: 3.9478246161128503, cpu_percent: 13.5
65, memory_percent: 3.9478246161128503, cpu_percent: 13.5
66, memory_percent: 3.9478246161128503, cpu_percent: 13.4
67, memory_percent: 3.9478246161128503, cpu_percent: 13.4
68, memory_percent: 3.9478246161128503, cpu_percent: 13.4
69, memory_percent: 3.9478246161128503, cpu_percent: 13.6
70, memory_percent: 3.9478246161128503, cpu_percent: 13.5
71, memory_percent: 3.9478246161128503, cpu_percent: 13.3
72, memory_percent: 3.9478246161128503, cpu_percent: 13.4
73, memory_percent: 3.9478246161128503, cpu_percent: 13.5
74, memory_percent: 3.9478246161128503, cpu_percent: 13.6
75, memory_percent: 3.9478246161128503, cpu_percent: 13.4
76, memory_percent: 3.9478246161128503, cpu_percent: 13.3
77, memory_percent: 3.9478246161128503, cpu_percent: 13.4
78, memory_percent: 3.9478246161128503, cpu_percent: 13.6
79, memory_percent: 3.9478246161128503, cpu_percent: 13.6
80, memory_percent: 3.9478246161128503, cpu_percent: 13.4
81, memory_percent: 3.9478246161128503, cpu_percent: 13.4
82, memory_percent: 3.9478246161128503, cpu_percent: 13.5
83, memory_percent: 3.9478246161128503, cpu_percent: 13.5
84, memory_percent: 3.9478246161128503, cpu_percent: 13.4
85, memory_percent: 3.9478246161128503, cpu_percent: 13.7
86, memory_percent: 3.9478246161128503, cpu_percent: 13.5
87, memory_percent: 3.9478246161128503, cpu_percent: 13.8
88, memory_percent: 3.9478246161128503, cpu_percent: 13.1
89, memory_percent: 3.9478246161128503, cpu_percent: 13.4
90, memory_percent: 3.9478246161128503, cpu_percent: 13.2
91, memory_percent: 3.9478246161128503, cpu_percent: 13.7
92, memory_percent: 3.9478246161128503, cpu_percent: 13.7
93, memory_percent: 3.9478246161128503, cpu_percent: 13.5
94, memory_percent: 3.9478246161128503, cpu_percent: 13.6
95, memory_percent: 3.9478246161128503, cpu_percent: 13.6
96, memory_percent: 3.9478246161128503, cpu_percent: 13.5
97, memory_percent: 3.9478246161128503, cpu_percent: 13.5
98, memory_percent: 3.9478246161128503, cpu_percent: 13.5
99, memory_percent: 3.9478246161128503, cpu_percent: 13.8
100, memory_percent: 3.9478246161128503, cpu_percent: 13.5
101, memory_percent: 3.9478246161128503, cpu_percent: 13.7
102, memory_percent: 3.9478246161128503, cpu_percent: 13.3
103, memory_percent: 3.9478246161128503, cpu_percent: 13.5
104, memory_percent: 3.9478246161128503, cpu_percent: 13.5
105, memory_percent: 3.9478246161128503, cpu_percent: 13.7
106, memory_percent: 3.9478246161128503, cpu_percent: 13.9
107, memory_percent: 3.9478246161128503, cpu_percent: 13.2
108, memory_percent: 3.9478246161128503, cpu_percent: 13.4
109, memory_percent: 3.9478246161128503, cpu_percent: 13.8
110, memory_percent: 3.9478246161128503, cpu_percent: 13.5
111, memory_percent: 3.9478246161128503, cpu_percent: 13.5
112, memory_percent: 3.9478677658634123, cpu_percent: 13.0
113, memory_percent: 3.9478677658634123, cpu_percent: 13.7
114, memory_percent: 3.9478677658634123, cpu_percent: 13.0
115, memory_percent: 3.9478677658634123, cpu_percent: 14.7
116, memory_percent: 3.9478677658634123, cpu_percent: 13.4
117, memory_percent: 3.9478677658634123, cpu_percent: 13.6
118, memory_percent: 3.9478677658634123, cpu_percent: 13.3
119, memory_percent: 3.9478677658634123, cpu_percent: 13.5
120, memory_percent: 3.9478677658634123, cpu_percent: 13.6
121, memory_percent: 3.9478677658634123, cpu_percent: 13.4
122, memory_percent: 3.9478677658634123, cpu_percent: 13.4
123, memory_percent: 3.9478677658634123, cpu_percent: 12.9
124, memory_percent: 3.9478677658634123, cpu_percent: 13.8
125, memory_percent: 3.9478677658634123, cpu_percent: 12.9
126, memory_percent: 3.9478677658634123, cpu_percent: 13.3
127, memory_percent: 3.9478677658634123, cpu_percent: 13.2
128, memory_percent: 3.9478677658634123, cpu_percent: 13.6
129, memory_percent: 3.9478677658634123, cpu_percent: 13.7
130, memory_percent: 3.9478677658634123, cpu_percent: 13.0
131, memory_percent: 3.9478677658634123, cpu_percent: 13.6
132, memory_percent: 3.9478677658634123, cpu_percent: 13.5
133, memory_percent: 3.9478677658634123, cpu_percent: 13.6
134, memory_percent: 3.9478677658634123, cpu_percent: 13.4
135, memory_percent: 3.9478677658634123, cpu_percent: 13.7
136, memory_percent: 3.9478677658634123, cpu_percent: 13.4
137, memory_percent: 3.9478677658634123, cpu_percent: 13.7
138, memory_percent: 3.9478677658634123, cpu_percent: 13.8
139, memory_percent: 3.9478677658634123, cpu_percent: 13.5
140, memory_percent: 3.9478677658634123, cpu_percent: 13.8
141, memory_percent: 3.9478677658634123, cpu_percent: 13.7
142, memory_percent: 3.9478677658634123, cpu_percent: 13.5
143, memory_percent: 3.9478677658634123, cpu_percent: 13.4
144, memory_percent: 3.9478677658634123, cpu_percent: 13.7
145, memory_percent: 3.9478677658634123, cpu_percent: 13.5
146, memory_percent: 3.9478677658634123, cpu_percent: 13.5
147, memory_percent: 3.9478677658634123, cpu_percent: 13.5
148, memory_percent: 3.9478677658634123, cpu_percent: 13.5
149, memory_percent: 3.9478677658634123, cpu_percent: 13.7
150, memory_percent: 3.9478677658634123, cpu_percent: 13.4
151, memory_percent: 3.9478677658634123, cpu_percent: 13.5
152, memory_percent: 3.9478677658634123, cpu_percent: 13.6
153, memory_percent: 3.9478677658634123, cpu_percent: 13.7
154, memory_percent: 3.9478677658634123, cpu_percent: 13.5
155, memory_percent: 3.9478677658634123, cpu_percent: 13.6
156, memory_percent: 3.9478677658634123, cpu_percent: 13.5
157, memory_percent: 3.9478677658634123, cpu_percent: 13.5
158, memory_percent: 3.9478677658634123, cpu_percent: 13.5
159, memory_percent: 3.9478677658634123, cpu_percent: 13.6
160, memory_percent: 3.9478677658634123, cpu_percent: 13.6
161, memory_percent: 3.9478677658634123, cpu_percent: 13.9
162, memory_percent: 3.9478677658634123, cpu_percent: 13.5
163, memory_percent: 3.947932490489255, cpu_percent: 13.4
164, memory_percent: 3.947932490489255, cpu_percent: 13.4
165, memory_percent: 3.947932490489255, cpu_percent: 13.2
166, memory_percent: 3.947932490489255, cpu_percent: 13.6
167, memory_percent: 3.947932490489255, cpu_percent: 13.8
168, memory_percent: 3.947932490489255, cpu_percent: 13.4
169, memory_percent: 3.947932490489255, cpu_percent: 13.5
170, memory_percent: 3.947932490489255, cpu_percent: 13.5
171, memory_percent: 3.947932490489255, cpu_percent: 13.3
172, memory_percent: 3.947932490489255, cpu_percent: 13.6
173, memory_percent: 3.947932490489255, cpu_percent: 13.6
174, memory_percent: 3.947932490489255, cpu_percent: 13.7
175, memory_percent: 3.947932490489255, cpu_percent: 13.5
176, memory_percent: 3.947932490489255, cpu_percent: 13.7
177, memory_percent: 3.947932490489255, cpu_percent: 13.6
178, memory_percent: 3.947932490489255, cpu_percent: 13.6
179, memory_percent: 3.947932490489255, cpu_percent: 13.7
180, memory_percent: 3.947932490489255, cpu_percent: 13.6
181, memory_percent: 3.947932490489255, cpu_percent: 13.3
182, memory_percent: 3.947932490489255, cpu_percent: 13.5
183, memory_percent: 3.947932490489255, cpu_percent: 13.5
184, memory_percent: 3.947932490489255, cpu_percent: 13.5
185, memory_percent: 3.947932490489255, cpu_percent: 13.6
186, memory_percent: 3.947932490489255, cpu_percent: 13.7
187, memory_percent: 3.947932490489255, cpu_percent: 14.0
188, memory_percent: 3.947932490489255, cpu_percent: 13.7
189, memory_percent: 3.947932490489255, cpu_percent: 13.8
190, memory_percent: 3.947932490489255, cpu_percent: 13.7
191, memory_percent: 3.947932490489255, cpu_percent: 13.2
192, memory_percent: 3.947932490489255, cpu_percent: 13.7
193, memory_percent: 3.947932490489255, cpu_percent: 13.7
194, memory_percent: 3.947932490489255, cpu_percent: 13.6
195, memory_percent: 3.947932490489255, cpu_percent: 13.7
196, memory_percent: 3.947932490489255, cpu_percent: 13.5
197, memory_percent: 3.947932490489255, cpu_percent: 13.5
198, memory_percent: 3.947932490489255, cpu_percent: 13.5
199, memory_percent: 3.947932490489255, cpu_percent: 13.7
200, memory_percent: 3.947932490489255, cpu_percent: 13.9
201, memory_percent: 3.947932490489255, cpu_percent: 13.8
202, memory_percent: 3.947932490489255, cpu_percent: 13.4
203, memory_percent: 3.947932490489255, cpu_percent: 13.6
204, memory_percent: 3.947932490489255, cpu_percent: 13.7
205, memory_percent: 3.947932490489255, cpu_percent: 13.8
206, memory_percent: 3.947932490489255, cpu_percent: 13.5
207, memory_percent: 3.947932490489255, cpu_percent: 13.6
208, memory_percent: 3.947932490489255, cpu_percent: 13.6
209, memory_percent: 3.947932490489255, cpu_percent: 13.6
210, memory_percent: 3.947932490489255, cpu_percent: 13.8
211, memory_percent: 3.947932490489255, cpu_percent: 13.7
212, memory_percent: 3.947932490489255, cpu_percent: 13.6
213, memory_percent: 3.947932490489255, cpu_percent: 13.5
214, memory_percent: 3.947932490489255, cpu_percent: 13.6
215, memory_percent: 3.947932490489255, cpu_percent: 13.5
216, memory_percent: 3.947932490489255, cpu_percent: 13.8
217, memory_percent: 3.947932490489255, cpu_percent: 13.8
218, memory_percent: 3.947932490489255, cpu_percent: 13.5
219, memory_percent: 3.947932490489255, cpu_percent: 13.6
220, memory_percent: 3.947932490489255, cpu_percent: 13.3
221, memory_percent: 3.947932490489255, cpu_percent: 13.5
222, memory_percent: 3.947932490489255, cpu_percent: 13.7
223, memory_percent: 3.947932490489255, cpu_percent: 13.5
224, memory_percent: 3.947932490489255, cpu_percent: 13.7
225, memory_percent: 3.947932490489255, cpu_percent: 13.5
226, memory_percent: 3.947932490489255, cpu_percent: 13.8
227, memory_percent: 3.947932490489255, cpu_percent: 14.2
228, memory_percent: 3.947932490489255, cpu_percent: 13.5
229, memory_percent: 3.947932490489255, cpu_percent: 13.7
230, memory_percent: 3.947932490489255, cpu_percent: 13.6
231, memory_percent: 3.947932490489255, cpu_percent: 14.0
232, memory_percent: 3.947932490489255, cpu_percent: 13.7
233, memory_percent: 3.947932490489255, cpu_percent: 13.7
234, memory_percent: 3.947932490489255, cpu_percent: 13.5
235, memory_percent: 3.947932490489255, cpu_percent: 13.6
236, memory_percent: 3.947932490489255, cpu_percent: 13.5
237, memory_percent: 3.947932490489255, cpu_percent: 13.7
238, memory_percent: 3.947932490489255, cpu_percent: 13.7
239, memory_percent: 3.947932490489255, cpu_percent: 13.5
240, memory_percent: 3.947932490489255, cpu_percent: 13.7
241, memory_percent: 3.947932490489255, cpu_percent: 13.6
242, memory_percent: 3.947932490489255, cpu_percent: 13.4
243, memory_percent: 3.947932490489255, cpu_percent: 13.7
244, memory_percent: 3.947932490489255, cpu_percent: 13.4
245, memory_percent: 3.947932490489255, cpu_percent: 13.0
