1, gpu_percent:    0% | 1885MB
2, gpu_percent:   94% | 1885MB
3, gpu_percent:   93% | 1885MB
4, gpu_percent:   92% | 1885MB
5, gpu_percent:   94% | 1885MB
6, gpu_percent:   94% | 1885MB
7, gpu_percent:   94% | 1885MB
8, gpu_percent:   92% | 1885MB
9, gpu_percent:   92% | 1885MB
10, gpu_percent:   94% | 1885MB
11, gpu_percent:   94% | 1885MB
12, gpu_percent:   95% | 1885MB
13, gpu_percent:   92% | 1885MB
14, gpu_percent:   93% | 1885MB
15, gpu_percent:   94% | 1885MB
16, gpu_percent:   94% | 1885MB
17, gpu_percent:   94% | 1885MB
18, gpu_percent:   92% | 1885MB
19, gpu_percent:   94% | 1885MB
20, gpu_percent:   95% | 1885MB
21, gpu_percent:   94% | 1885MB
22, gpu_percent:   93% | 1885MB
23, gpu_percent:   92% | 1885MB
24, gpu_percent:   95% | 1885MB
25, gpu_percent:   94% | 1885MB
26, gpu_percent:   95% | 1885MB
27, gpu_percent:   92% | 1885MB
28, gpu_percent:   92% | 1885MB
29, gpu_percent:   94% | 1885MB
30, gpu_percent:   94% | 1885MB
31, gpu_percent:   94% | 1885MB
32, gpu_percent:   93% | 1885MB
33, gpu_percent:   92% | 1885MB
34, gpu_percent:   94% | 1885MB
35, gpu_percent:   94% | 1885MB
36, gpu_percent:   94% | 1885MB
37, gpu_percent:   92% | 1885MB
38, gpu_percent:   94% | 1885MB
39, gpu_percent:   94% | 1885MB
40, gpu_percent:   94% | 1885MB
41, gpu_percent:   93% | 1885MB
42, gpu_percent:   91% | 1885MB
43, gpu_percent:   94% | 1885MB
44, gpu_percent:   94% | 1885MB
45, gpu_percent:   95% | 1885MB
46, gpu_percent:   92% | 1885MB
47, gpu_percent:   94% | 1885MB
48, gpu_percent:   94% | 1885MB
49, gpu_percent:   94% | 1885MB
50, gpu_percent:   92% | 1885MB
51, gpu_percent:   93% | 1885MB
52, gpu_percent:   94% | 1885MB
53, gpu_percent:   94% | 1885MB
54, gpu_percent:   94% | 1885MB
55, gpu_percent:   92% | 1885MB
56, gpu_percent:   94% | 1885MB
57, gpu_percent:   94% | 1885MB
58, gpu_percent:   94% | 1885MB
59, gpu_percent:   93% | 1885MB
60, gpu_percent:   92% | 1885MB
61, gpu_percent:   94% | 1885MB
62, gpu_percent:   94% | 1885MB
63, gpu_percent:   94% | 1885MB
64, gpu_percent:   92% | 1885MB
65, gpu_percent:   94% | 1885MB
66, gpu_percent:   94% | 1885MB
67, gpu_percent:   94% | 1885MB
68, gpu_percent:   92% | 1885MB
69, gpu_percent:   94% | 1885MB
70, gpu_percent:   94% | 1885MB
71, gpu_percent:   94% | 1885MB
72, gpu_percent:   92% | 1885MB
73, gpu_percent:   93% | 1885MB
74, gpu_percent:   94% | 1885MB
75, gpu_percent:   94% | 1885MB
76, gpu_percent:   93% | 1885MB
77, gpu_percent:   92% | 1885MB
78, gpu_percent:   95% | 1885MB
79, gpu_percent:   94% | 1885MB
80, gpu_percent:   94% | 1885MB
81, gpu_percent:   93% | 1885MB
82, gpu_percent:   95% | 1885MB
83, gpu_percent:   94% | 1885MB
84, gpu_percent:   94% | 1885MB
85, gpu_percent:   92% | 1885MB
86, gpu_percent:   94% | 1885MB
87, gpu_percent:   94% | 1885MB
88, gpu_percent:   95% | 1885MB
89, gpu_percent:   92% | 1885MB
90, gpu_percent:   95% | 1885MB
91, gpu_percent:   94% | 1885MB
92, gpu_percent:   95% | 1885MB
93, gpu_percent:   93% | 1885MB
94, gpu_percent:   95% | 1885MB
95, gpu_percent:   94% | 1885MB
96, gpu_percent:   93% | 1885MB
97, gpu_percent:   92% | 1885MB
98, gpu_percent:   94% | 1885MB
99, gpu_percent:   94% | 1885MB
100, gpu_percent:   92% | 1885MB
101, gpu_percent:   92% | 1885MB
102, gpu_percent:   95% | 1885MB
103, gpu_percent:   94% | 1885MB
104, gpu_percent:   94% | 1885MB
105, gpu_percent:   92% | 1885MB
106, gpu_percent:   94% | 1885MB
107, gpu_percent:   94% | 1885MB
108, gpu_percent:   94% | 1885MB
