1, memory_percent: 1.5175226263783241, cpu_percent: 66.7
2, memory_percent: 3.5862185321038966, cpu_percent: 19.4
3, memory_percent: 3.699756301022552, cpu_percent: 13.0
4, memory_percent: 3.699756301022552, cpu_percent: 13.9
5, memory_percent: 3.699756301022552, cpu_percent: 12.9
6, memory_percent: 3.7001014989898104, cpu_percent: 13.0
7, memory_percent: 3.7001014989898104, cpu_percent: 14.2
8, memory_percent: 3.7001014989898104, cpu_percent: 12.8
9, memory_percent: 3.7001014989898104, cpu_percent: 13.2
10, memory_percent: 3.7001014989898104, cpu_percent: 13.8
11, memory_percent: 3.7001014989898104, cpu_percent: 12.9
12, memory_percent: 3.7001014989898104, cpu_percent: 13.9
13, memory_percent: 3.7001014989898104, cpu_percent: 13.0
14, memory_percent: 3.7001014989898104, cpu_percent: 13.0
15, memory_percent: 3.7001014989898104, cpu_percent: 14.0
16, memory_percent: 3.7001014989898104, cpu_percent: 13.0
17, memory_percent: 3.7001014989898104, cpu_percent: 12.9
18, memory_percent: 3.7001014989898104, cpu_percent: 14.2
19, memory_percent: 3.7001014989898104, cpu_percent: 12.6
20, memory_percent: 3.7001014989898104, cpu_percent: 13.4
21, memory_percent: 3.7001014989898104, cpu_percent: 13.7
22, memory_percent: 3.7001014989898104, cpu_percent: 12.7
23, memory_percent: 3.7001014989898104, cpu_percent: 14.4
24, memory_percent: 3.7001014989898104, cpu_percent: 12.8
25, memory_percent: 3.7001014989898104, cpu_percent: 12.9
26, memory_percent: 3.7001014989898104, cpu_percent: 14.0
27, memory_percent: 3.7001014989898104, cpu_percent: 12.8
28, memory_percent: 3.7001014989898104, cpu_percent: 13.6
29, memory_percent: 3.7001014989898104, cpu_percent: 13.6
30, memory_percent: 3.7001014989898104, cpu_percent: 12.9
31, memory_percent: 3.7001014989898104, cpu_percent: 13.8
32, memory_percent: 3.7001014989898104, cpu_percent: 13.0
33, memory_percent: 3.7001014989898104, cpu_percent: 13.7
34, memory_percent: 3.7001014989898104, cpu_percent: 12.8
35, memory_percent: 3.7001014989898104, cpu_percent: 13.7
36, memory_percent: 3.7001014989898104, cpu_percent: 12.8
37, memory_percent: 3.7001014989898104, cpu_percent: 13.6
38, memory_percent: 3.7001014989898104, cpu_percent: 12.8
39, memory_percent: 3.7001014989898104, cpu_percent: 14.0
40, memory_percent: 3.7001014989898104, cpu_percent: 12.9
41, memory_percent: 3.7001014989898104, cpu_percent: 13.2
42, memory_percent: 3.7001014989898104, cpu_percent: 13.6
43, memory_percent: 3.7001014989898104, cpu_percent: 12.8
44, memory_percent: 3.7001014989898104, cpu_percent: 13.8
45, memory_percent: 3.7001014989898104, cpu_percent: 12.8
46, memory_percent: 3.7001014989898104, cpu_percent: 13.8
47, memory_percent: 3.7001014989898104, cpu_percent: 13.2
48, memory_percent: 3.7001014989898104, cpu_percent: 13.0
49, memory_percent: 3.7001014989898104, cpu_percent: 13.7
50, memory_percent: 3.7001014989898104, cpu_percent: 13.0
51, memory_percent: 3.7001014989898104, cpu_percent: 12.9
52, memory_percent: 3.7001014989898104, cpu_percent: 13.7
53, memory_percent: 3.7001014989898104, cpu_percent: 13.2
54, memory_percent: 3.7001014989898104, cpu_percent: 12.8
55, memory_percent: 3.7001014989898104, cpu_percent: 14.1
56, memory_percent: 3.7001014989898104, cpu_percent: 12.8
57, memory_percent: 3.7001014989898104, cpu_percent: 12.8
58, memory_percent: 3.7001014989898104, cpu_percent: 14.0
59, memory_percent: 3.7001014989898104, cpu_percent: 12.9
60, memory_percent: 3.7001014989898104, cpu_percent: 13.2
61, memory_percent: 3.7001014989898104, cpu_percent: 13.4
62, memory_percent: 3.7001014989898104, cpu_percent: 12.9
63, memory_percent: 3.7001014989898104, cpu_percent: 13.5
64, memory_percent: 3.7001014989898104, cpu_percent: 13.1
65, memory_percent: 3.7001014989898104, cpu_percent: 13.6
66, memory_percent: 3.7001014989898104, cpu_percent: 14.0
67, memory_percent: 3.7001014989898104, cpu_percent: 12.8
68, memory_percent: 3.7001014989898104, cpu_percent: 13.5
69, memory_percent: 3.7001014989898104, cpu_percent: 13.2
70, memory_percent: 3.7001014989898104, cpu_percent: 12.9
71, memory_percent: 3.7001014989898104, cpu_percent: 13.4
72, memory_percent: 3.7001014989898104, cpu_percent: 13.1
73, memory_percent: 3.7001014989898104, cpu_percent: 13.7
74, memory_percent: 3.7001014989898104, cpu_percent: 13.1
75, memory_percent: 3.7001014989898104, cpu_percent: 13.2
76, memory_percent: 3.7001014989898104, cpu_percent: 13.6
77, memory_percent: 3.7001014989898104, cpu_percent: 13.0
78, memory_percent: 3.7005222090124072, cpu_percent: 13.3
79, memory_percent: 3.7005222090124072, cpu_percent: 13.7
80, memory_percent: 3.7005222090124072, cpu_percent: 13.4
81, memory_percent: 3.7005222090124072, cpu_percent: 13.3
82, memory_percent: 3.7005222090124072, cpu_percent: 13.6
83, memory_percent: 3.7005222090124072, cpu_percent: 13.2
84, memory_percent: 3.7005222090124072, cpu_percent: 13.4
85, memory_percent: 3.7005222090124072, cpu_percent: 12.8
86, memory_percent: 3.7005222090124072, cpu_percent: 13.1
87, memory_percent: 3.7005222090124072, cpu_percent: 13.6
88, memory_percent: 3.7005222090124072, cpu_percent: 12.8
89, memory_percent: 3.7005222090124072, cpu_percent: 14.1
90, memory_percent: 3.7005222090124072, cpu_percent: 13.2
91, memory_percent: 3.7005222090124072, cpu_percent: 12.8
92, memory_percent: 3.7005222090124072, cpu_percent: 13.9
93, memory_percent: 3.7005222090124072, cpu_percent: 12.8
94, memory_percent: 3.7005222090124072, cpu_percent: 13.4
95, memory_percent: 3.7005222090124072, cpu_percent: 13.6
96, memory_percent: 3.7005222090124072, cpu_percent: 13.2
97, memory_percent: 3.7005222090124072, cpu_percent: 13.7
98, memory_percent: 3.7005222090124072, cpu_percent: 12.9
99, memory_percent: 3.7005222090124072, cpu_percent: 12.9
100, memory_percent: 3.7005222090124072, cpu_percent: 13.7
101, memory_percent: 3.7005222090124072, cpu_percent: 12.9
102, memory_percent: 3.7005222090124072, cpu_percent: 13.3
103, memory_percent: 3.7005222090124072, cpu_percent: 14.0
104, memory_percent: 3.7005222090124072, cpu_percent: 12.8
105, memory_percent: 3.7005222090124072, cpu_percent: 13.7
106, memory_percent: 3.7005222090124072, cpu_percent: 13.2
107, memory_percent: 3.7005222090124072, cpu_percent: 12.9
108, memory_percent: 3.7005222090124072, cpu_percent: 14.1
109, memory_percent: 3.7005222090124072, cpu_percent: 12.8
110, memory_percent: 3.7005222090124072, cpu_percent: 12.8
111, memory_percent: 3.7005222090124072, cpu_percent: 13.9
112, memory_percent: 3.7005222090124072, cpu_percent: 12.8
113, memory_percent: 3.7005222090124072, cpu_percent: 13.7
114, memory_percent: 3.7005222090124072, cpu_percent: 12.8
115, memory_percent: 3.7005222090124072, cpu_percent: 13.3
116, memory_percent: 3.7005222090124072, cpu_percent: 13.6
117, memory_percent: 3.7005222090124072, cpu_percent: 12.9
118, memory_percent: 3.7005222090124072, cpu_percent: 13.8
119, memory_percent: 3.7005222090124072, cpu_percent: 12.9
120, memory_percent: 3.7005222090124072, cpu_percent: 13.7
121, memory_percent: 3.7005222090124072, cpu_percent: 12.9
122, memory_percent: 3.7005222090124072, cpu_percent: 13.4
123, memory_percent: 3.7005222090124072, cpu_percent: 12.9
124, memory_percent: 3.7005222090124072, cpu_percent: 13.4
125, memory_percent: 3.7005222090124072, cpu_percent: 13.1
126, memory_percent: 3.7005222090124072, cpu_percent: 13.4
127, memory_percent: 3.7005222090124072, cpu_percent: 13.4
128, memory_percent: 3.7005222090124072, cpu_percent: 12.9
129, memory_percent: 3.7005222090124072, cpu_percent: 14.2
130, memory_percent: 3.7005222090124072, cpu_percent: 12.9
131, memory_percent: 3.7005222090124072, cpu_percent: 13.2
132, memory_percent: 3.7005222090124072, cpu_percent: 13.3
133, memory_percent: 3.7005222090124072, cpu_percent: 12.8
134, memory_percent: 3.7005222090124072, cpu_percent: 13.7
135, memory_percent: 3.7005222090124072, cpu_percent: 12.8
136, memory_percent: 3.7005222090124072, cpu_percent: 13.7
137, memory_percent: 3.7005222090124072, cpu_percent: 13.1
138, memory_percent: 3.7005222090124072, cpu_percent: 13.2
139, memory_percent: 3.7005222090124072, cpu_percent: 13.8
140, memory_percent: 3.7005222090124072, cpu_percent: 13.0
141, memory_percent: 3.7005222090124072, cpu_percent: 13.4
142, memory_percent: 3.7005222090124072, cpu_percent: 12.9
143, memory_percent: 3.7005222090124072, cpu_percent: 13.0
144, memory_percent: 3.7005222090124072, cpu_percent: 13.3
145, memory_percent: 3.7005222090124072, cpu_percent: 13.1
146, memory_percent: 3.7005222090124072, cpu_percent: 13.0
147, memory_percent: 3.7005222090124072, cpu_percent: 13.6
148, memory_percent: 3.7005222090124072, cpu_percent: 13.1
149, memory_percent: 3.7005222090124072, cpu_percent: 13.4
150, memory_percent: 3.7005222090124072, cpu_percent: 13.2
151, memory_percent: 3.7005222090124072, cpu_percent: 13.3
152, memory_percent: 3.7005222090124072, cpu_percent: 14.2
153, memory_percent: 3.7005222090124072, cpu_percent: 12.8
154, memory_percent: 3.7005222090124072, cpu_percent: 12.9
155, memory_percent: 3.7005222090124072, cpu_percent: 13.9
156, memory_percent: 3.7005222090124072, cpu_percent: 13.3
157, memory_percent: 3.7005222090124072, cpu_percent: 13.2
158, memory_percent: 3.7005222090124072, cpu_percent: 13.7
159, memory_percent: 3.7005222090124072, cpu_percent: 12.9
160, memory_percent: 3.7005222090124072, cpu_percent: 13.2
161, memory_percent: 3.7005222090124072, cpu_percent: 14.1
162, memory_percent: 3.7005222090124072, cpu_percent: 12.7
163, memory_percent: 3.7005222090124072, cpu_percent: 13.7
164, memory_percent: 3.7005222090124072, cpu_percent: 12.9
165, memory_percent: 3.7005222090124072, cpu_percent: 13.6
166, memory_percent: 3.7005222090124072, cpu_percent: 13.0
167, memory_percent: 3.7005222090124072, cpu_percent: 13.3
168, memory_percent: 3.7005222090124072, cpu_percent: 13.3
169, memory_percent: 3.7005222090124072, cpu_percent: 12.9
170, memory_percent: 3.7005222090124072, cpu_percent: 13.3
171, memory_percent: 3.7005222090124072, cpu_percent: 13.4
172, memory_percent: 3.7005222090124072, cpu_percent: 13.2
173, memory_percent: 3.7005222090124072, cpu_percent: 13.2
174, memory_percent: 3.7005222090124072, cpu_percent: 13.3
175, memory_percent: 3.7005222090124072, cpu_percent: 13.4
176, memory_percent: 3.7005222090124072, cpu_percent: 13.2
177, memory_percent: 3.7005222090124072, cpu_percent: 13.6
178, memory_percent: 3.7005222090124072, cpu_percent: 13.2
179, memory_percent: 3.7005222090124072, cpu_percent: 13.0
180, memory_percent: 3.7005222090124072, cpu_percent: 14.4
181, memory_percent: 3.7005222090124072, cpu_percent: 12.8
182, memory_percent: 3.7005222090124072, cpu_percent: 13.0
183, memory_percent: 3.7005222090124072, cpu_percent: 14.1
184, memory_percent: 3.7005222090124072, cpu_percent: 12.8
185, memory_percent: 3.7005222090124072, cpu_percent: 13.5
186, memory_percent: 3.7005222090124072, cpu_percent: 13.9
187, memory_percent: 3.7005222090124072, cpu_percent: 12.9
188, memory_percent: 3.7005222090124072, cpu_percent: 13.9
189, memory_percent: 3.7005222090124072, cpu_percent: 12.9
190, memory_percent: 3.7005222090124072, cpu_percent: 12.9
191, memory_percent: 3.7005222090124072, cpu_percent: 13.8
192, memory_percent: 3.7005222090124072, cpu_percent: 12.9
193, memory_percent: 3.7005222090124072, cpu_percent: 12.9
194, memory_percent: 3.7005222090124072, cpu_percent: 14.2
195, memory_percent: 3.7005222090124072, cpu_percent: 12.9
196, memory_percent: 3.7005222090124072, cpu_percent: 13.0
197, memory_percent: 3.7005222090124072, cpu_percent: 13.6
198, memory_percent: 3.7005222090124072, cpu_percent: 13.0
199, memory_percent: 3.7005222090124072, cpu_percent: 13.5
200, memory_percent: 3.7005222090124072, cpu_percent: 13.3
201, memory_percent: 3.7005222090124072, cpu_percent: 12.8
202, memory_percent: 3.7005222090124072, cpu_percent: 13.8
203, memory_percent: 3.7005222090124072, cpu_percent: 12.9
204, memory_percent: 3.7005222090124072, cpu_percent: 13.4
205, memory_percent: 3.7005222090124072, cpu_percent: 13.7
206, memory_percent: 3.7005222090124072, cpu_percent: 13.0
207, memory_percent: 3.7005222090124072, cpu_percent: 13.8
208, memory_percent: 3.7005222090124072, cpu_percent: 13.0
209, memory_percent: 3.7005222090124072, cpu_percent: 13.4
210, memory_percent: 3.7005222090124072, cpu_percent: 13.3
211, memory_percent: 3.7005222090124072, cpu_percent: 13.8
212, memory_percent: 3.7005222090124072, cpu_percent: 13.0
213, memory_percent: 3.7005222090124072, cpu_percent: 13.4
214, memory_percent: 3.7005222090124072, cpu_percent: 13.2
215, memory_percent: 3.7005222090124072, cpu_percent: 13.2
216, memory_percent: 3.7005222090124072, cpu_percent: 13.3
217, memory_percent: 3.7005222090124072, cpu_percent: 13.5
218, memory_percent: 3.7005222090124072, cpu_percent: 13.4
219, memory_percent: 3.7005222090124072, cpu_percent: 13.0
220, memory_percent: 3.7005222090124072, cpu_percent: 13.0
221, memory_percent: 3.7005222090124072, cpu_percent: 13.8
222, memory_percent: 3.7005222090124072, cpu_percent: 13.3
223, memory_percent: 3.7005222090124072, cpu_percent: 13.4
224, memory_percent: 3.7005222090124072, cpu_percent: 13.2
225, memory_percent: 3.7005222090124072, cpu_percent: 12.9
226, memory_percent: 3.7005222090124072, cpu_percent: 13.6
227, memory_percent: 3.7005222090124072, cpu_percent: 12.8
228, memory_percent: 3.7005222090124072, cpu_percent: 13.9
229, memory_percent: 3.7005222090124072, cpu_percent: 12.8
230, memory_percent: 3.7005222090124072, cpu_percent: 13.1
231, memory_percent: 3.7005222090124072, cpu_percent: 13.6
232, memory_percent: 3.7005222090124072, cpu_percent: 13.0
233, memory_percent: 3.7005222090124072, cpu_percent: 13.7
234, memory_percent: 3.7005222090124072, cpu_percent: 12.9
235, memory_percent: 3.7005222090124072, cpu_percent: 13.4
236, memory_percent: 3.7005222090124072, cpu_percent: 13.1
237, memory_percent: 3.7005222090124072, cpu_percent: 13.2
238, memory_percent: 3.7005222090124072, cpu_percent: 13.7
239, memory_percent: 3.7005222090124072, cpu_percent: 12.9
240, memory_percent: 3.7005222090124072, cpu_percent: 13.3
241, memory_percent: 3.7005222090124072, cpu_percent: 13.6
242, memory_percent: 3.7005222090124072, cpu_percent: 13.1
243, memory_percent: 3.7005222090124072, cpu_percent: 13.1
244, memory_percent: 3.7005222090124072, cpu_percent: 13.3
245, memory_percent: 3.7005222090124072, cpu_percent: 13.6
246, memory_percent: 3.7005222090124072, cpu_percent: 13.0
247, memory_percent: 3.7005222090124072, cpu_percent: 13.7
248, memory_percent: 3.7005222090124072, cpu_percent: 13.0
249, memory_percent: 3.7005222090124072, cpu_percent: 14.0
250, memory_percent: 3.7005222090124072, cpu_percent: 13.2
251, memory_percent: 3.7005222090124072, cpu_percent: 12.8
252, memory_percent: 3.7005222090124072, cpu_percent: 13.9
253, memory_percent: 3.7005222090124072, cpu_percent: 12.9
254, memory_percent: 3.7005222090124072, cpu_percent: 13.6
255, memory_percent: 3.7005222090124072, cpu_percent: 12.9
256, memory_percent: 3.7005222090124072, cpu_percent: 13.6
257, memory_percent: 3.7005222090124072, cpu_percent: 12.8
258, memory_percent: 3.7005222090124072, cpu_percent: 13.4
259, memory_percent: 3.7005222090124072, cpu_percent: 13.0
260, memory_percent: 3.7005222090124072, cpu_percent: 13.0
261, memory_percent: 3.7005222090124072, cpu_percent: 13.9
262, memory_percent: 3.7005222090124072, cpu_percent: 12.9
263, memory_percent: 3.7005222090124072, cpu_percent: 13.6
264, memory_percent: 3.7005222090124072, cpu_percent: 13.4
265, memory_percent: 3.7005222090124072, cpu_percent: 12.9
266, memory_percent: 3.7005222090124072, cpu_percent: 14.0
267, memory_percent: 3.7005222090124072, cpu_percent: 13.2
268, memory_percent: 3.7005222090124072, cpu_percent: 12.9
269, memory_percent: 3.7005222090124072, cpu_percent: 13.9
270, memory_percent: 3.7005222090124072, cpu_percent: 12.9
271, memory_percent: 3.7005222090124072, cpu_percent: 12.9
272, memory_percent: 3.7005222090124072, cpu_percent: 13.9
273, memory_percent: 3.7005222090124072, cpu_percent: 12.8
274, memory_percent: 3.7005222090124072, cpu_percent: 13.1
275, memory_percent: 3.7005222090124072, cpu_percent: 13.7
276, memory_percent: 3.7005222090124072, cpu_percent: 12.8
277, memory_percent: 3.7005222090124072, cpu_percent: 13.2
278, memory_percent: 3.7005222090124072, cpu_percent: 13.6
279, memory_percent: 3.7005222090124072, cpu_percent: 13.0
280, memory_percent: 3.7005222090124072, cpu_percent: 13.6
281, memory_percent: 3.7005222090124072, cpu_percent: 13.0
282, memory_percent: 3.7005222090124072, cpu_percent: 13.1
283, memory_percent: 3.7005222090124072, cpu_percent: 13.7
284, memory_percent: 3.7005222090124072, cpu_percent: 13.0
285, memory_percent: 3.7005222090124072, cpu_percent: 13.4
286, memory_percent: 3.7005222090124072, cpu_percent: 13.3
287, memory_percent: 3.7005222090124072, cpu_percent: 13.0
288, memory_percent: 3.7005222090124072, cpu_percent: 13.8
289, memory_percent: 3.7005222090124072, cpu_percent: 12.8
290, memory_percent: 3.7005222090124072, cpu_percent: 13.3
291, memory_percent: 3.7005222090124072, cpu_percent: 13.7
292, memory_percent: 3.7005222090124072, cpu_percent: 13.0
293, memory_percent: 3.7005222090124072, cpu_percent: 13.0
294, memory_percent: 3.7005222090124072, cpu_percent: 13.5
295, memory_percent: 3.7005222090124072, cpu_percent: 13.0
296, memory_percent: 3.7005222090124072, cpu_percent: 13.4
297, memory_percent: 3.7005222090124072, cpu_percent: 13.1
298, memory_percent: 3.7005222090124072, cpu_percent: 13.6
299, memory_percent: 3.7005222090124072, cpu_percent: 13.3
300, memory_percent: 3.7005222090124072, cpu_percent: 13.1
301, memory_percent: 3.7005222090124072, cpu_percent: 13.7
302, memory_percent: 3.7005222090124072, cpu_percent: 12.9
303, memory_percent: 3.7005222090124072, cpu_percent: 13.1
304, memory_percent: 3.7005222090124072, cpu_percent: 13.6
305, memory_percent: 3.7005222090124072, cpu_percent: 13.0
306, memory_percent: 3.7005222090124072, cpu_percent: 13.6
307, memory_percent: 3.7005222090124072, cpu_percent: 13.4
