1, gpu_percent:    6% | 233MB
2, gpu_percent:   18% | 501MB
3, gpu_percent:   54% | 1001MB
4, gpu_percent:   55% | 1091MB
5, gpu_percent:   55% | 1091MB
6, gpu_percent:   54% | 1091MB
7, gpu_percent:   55% | 1091MB
8, gpu_percent:   54% | 1091MB
9, gpu_percent:   54% | 1091MB
10, gpu_percent:   55% | 1091MB
11, gpu_percent:   54% | 1091MB
12, gpu_percent:   53% | 1091MB
13, gpu_percent:   52% | 1091MB
14, gpu_percent:   53% | 1091MB
15, gpu_percent:   53% | 1091MB
16, gpu_percent:   54% | 1091MB
17, gpu_percent:   55% | 1091MB
18, gpu_percent:   55% | 1091MB
19, gpu_percent:   55% | 1091MB
20, gpu_percent:   54% | 1091MB
21, gpu_percent:   55% | 1091MB
22, gpu_percent:   54% | 1091MB
23, gpu_percent:   54% | 1091MB
24, gpu_percent:   54% | 1091MB
25, gpu_percent:   55% | 1091MB
26, gpu_percent:   54% | 1091MB
27, gpu_percent:   55% | 1091MB
28, gpu_percent:   50% | 1091MB
29, gpu_percent:   54% | 1091MB
30, gpu_percent:   54% | 1091MB
31, gpu_percent:   54% | 1091MB
32, gpu_percent:   55% | 1091MB
33, gpu_percent:   54% | 1091MB
34, gpu_percent:   55% | 1091MB
35, gpu_percent:   52% | 1091MB
36, gpu_percent:   55% | 1091MB
37, gpu_percent:   53% | 1091MB
38, gpu_percent:   53% | 1091MB
39, gpu_percent:   52% | 1091MB
40, gpu_percent:   52% | 1091MB
41, gpu_percent:   54% | 1091MB
42, gpu_percent:   55% | 1091MB
43, gpu_percent:   55% | 1091MB
44, gpu_percent:   54% | 1091MB
45, gpu_percent:   54% | 1091MB
46, gpu_percent:   54% | 1091MB
47, gpu_percent:   55% | 1091MB
48, gpu_percent:   55% | 1091MB
49, gpu_percent:   55% | 1091MB
50, gpu_percent:   54% | 1091MB
51, gpu_percent:   54% | 1091MB
52, gpu_percent:   54% | 1091MB
53, gpu_percent:   55% | 1091MB
54, gpu_percent:   54% | 1091MB
55, gpu_percent:   54% | 1091MB
56, gpu_percent:   53% | 1091MB
57, gpu_percent:   53% | 1091MB
58, gpu_percent:   53% | 1091MB
59, gpu_percent:   38% | 1091MB
60, gpu_percent:   33% | 1091MB
61, gpu_percent:   56% | 1091MB
62, gpu_percent:   55% | 1091MB
63, gpu_percent:   54% | 1091MB
64, gpu_percent:   36% | 1091MB
65, gpu_percent:   47% | 1091MB
66, gpu_percent:   57% | 1091MB
67, gpu_percent:   56% | 1091MB
68, gpu_percent:   38% | 1091MB
69, gpu_percent:   37% | 1091MB
70, gpu_percent:   57% | 1091MB
71, gpu_percent:   56% | 1091MB
72, gpu_percent:   55% | 1091MB
73, gpu_percent:   38% | 1091MB
74, gpu_percent:   47% | 1091MB
