1, memory_percent: 0.7038910175497568, cpu_percent: 75.0
2, memory_percent: 0.7284647978439798, cpu_percent: 23.9
3, memory_percent: 1.0813326324376273, cpu_percent: 12.9
4, memory_percent: 3.3019156437569928, cpu_percent: 12.9
5, memory_percent: 3.5248811682966306, cpu_percent: 12.6
6, memory_percent: 3.799540088433247, cpu_percent: 22.0
7, memory_percent: 3.804523884085543, cpu_percent: 24.6
8, memory_percent: 3.805235854893014, cpu_percent: 23.1
9, memory_percent: 3.8055163282414117, cpu_percent: 22.8
10, memory_percent: 3.8062282990488825, cpu_percent: 22.3
11, memory_percent: 3.8076953904097315, cpu_percent: 23.2
12, memory_percent: 3.8076953904097315, cpu_percent: 23.2
13, memory_percent: 3.8084073612172022, cpu_percent: 22.8
14, memory_percent: 3.8084073612172022, cpu_percent: 23.5
15, memory_percent: 3.8084073612172022, cpu_percent: 23.6
16, memory_percent: 3.8084073612172022, cpu_percent: 23.5
17, memory_percent: 3.8091193320246735, cpu_percent: 22.3
18, memory_percent: 3.8091193320246735, cpu_percent: 23.2
19, memory_percent: 3.8091193320246735, cpu_percent: 23.9
20, memory_percent: 3.809831302832144, cpu_percent: 23.2
21, memory_percent: 3.809831302832144, cpu_percent: 23.0
22, memory_percent: 3.809831302832144, cpu_percent: 23.5
23, memory_percent: 3.809831302832144, cpu_percent: 23.2
24, memory_percent: 3.809831302832144, cpu_percent: 22.8
25, memory_percent: 3.809831302832144, cpu_percent: 23.9
26, memory_percent: 3.811255244447086, cpu_percent: 22.5
27, memory_percent: 3.811255244447086, cpu_percent: 23.1
28, memory_percent: 3.811255244447086, cpu_percent: 24.1
29, memory_percent: 3.8119672152545574, cpu_percent: 23.5
30, memory_percent: 3.8119672152545574, cpu_percent: 23.4
31, memory_percent: 3.8119672152545574, cpu_percent: 23.3
32, memory_percent: 3.8119672152545574, cpu_percent: 23.4
33, memory_percent: 3.8119672152545574, cpu_percent: 23.3
34, memory_percent: 3.8119672152545574, cpu_percent: 23.7
35, memory_percent: 3.8119672152545574, cpu_percent: 22.7
36, memory_percent: 3.8119672152545574, cpu_percent: 23.5
37, memory_percent: 3.8119672152545574, cpu_percent: 24.5
38, memory_percent: 3.8119672152545574, cpu_percent: 22.6
39, memory_percent: 3.8119672152545574, cpu_percent: 22.0
40, memory_percent: 3.8119672152545574, cpu_percent: 22.7
41, memory_percent: 3.8119672152545574, cpu_percent: 23.2
42, memory_percent: 3.8119672152545574, cpu_percent: 22.5
43, memory_percent: 3.8119672152545574, cpu_percent: 24.0
44, memory_percent: 3.8119672152545574, cpu_percent: 23.7
45, memory_percent: 3.8119672152545574, cpu_percent: 23.5
46, memory_percent: 3.8119672152545574, cpu_percent: 23.4
47, memory_percent: 3.8119672152545574, cpu_percent: 24.4
48, memory_percent: 3.8119672152545574, cpu_percent: 22.7
49, memory_percent: 3.8119672152545574, cpu_percent: 24.3
50, memory_percent: 3.8119672152545574, cpu_percent: 23.9
51, memory_percent: 3.8119672152545574, cpu_percent: 23.2
52, memory_percent: 3.8119672152545574, cpu_percent: 23.7
53, memory_percent: 3.8119672152545574, cpu_percent: 22.9
54, memory_percent: 3.8119672152545574, cpu_percent: 24.3
55, memory_percent: 3.8126791860620277, cpu_percent: 23.4
56, memory_percent: 3.8126791860620277, cpu_percent: 23.0
57, memory_percent: 3.8126791860620277, cpu_percent: 22.7
58, memory_percent: 3.8126791860620277, cpu_percent: 23.6
59, memory_percent: 3.8126791860620277, cpu_percent: 23.6
60, memory_percent: 3.8126791860620277, cpu_percent: 23.5
61, memory_percent: 3.8126791860620277, cpu_percent: 23.7
62, memory_percent: 3.8133911568694985, cpu_percent: 22.9
63, memory_percent: 3.8133911568694985, cpu_percent: 22.9
64, memory_percent: 3.8133911568694985, cpu_percent: 23.5
65, memory_percent: 3.8133911568694985, cpu_percent: 22.6
66, memory_percent: 3.8133911568694985, cpu_percent: 24.0
67, memory_percent: 3.8133911568694985, cpu_percent: 23.1
68, memory_percent: 3.8133911568694985, cpu_percent: 23.2
69, memory_percent: 3.8133911568694985, cpu_percent: 24.3
