1, gpu_percent:    4% |   0MB
2, gpu_percent:    4% |   0MB
3, gpu_percent:    9% | 7317MB
4, gpu_percent:    0% | 7321MB
5, gpu_percent:   61% | 7353MB
6, gpu_percent:   57% | 7353MB
7, gpu_percent:   55% | 7353MB
8, gpu_percent:   63% | 7353MB
9, gpu_percent:   61% | 7353MB
10, gpu_percent:   56% | 7353MB
11, gpu_percent:   54% | 7353MB
12, gpu_percent:   63% | 7353MB
13, gpu_percent:   61% | 7353MB
14, gpu_percent:   55% | 7353MB
15, gpu_percent:   60% | 7353MB
16, gpu_percent:   61% | 7353MB
17, gpu_percent:   55% | 7353MB
18, gpu_percent:   57% | 7353MB
19, gpu_percent:   63% | 7353MB
20, gpu_percent:   60% | 7353MB
21, gpu_percent:   52% | 7353MB
22, gpu_percent:   63% | 7353MB
23, gpu_percent:   61% | 7353MB
24, gpu_percent:   55% | 7353MB
25, gpu_percent:   56% | 7353MB
26, gpu_percent:   62% | 7353MB
27, gpu_percent:   61% | 7353MB
28, gpu_percent:   55% | 7353MB
29, gpu_percent:   57% | 7353MB
30, gpu_percent:   60% | 7353MB
31, gpu_percent:   53% | 7353MB
32, gpu_percent:   63% | 7353MB
33, gpu_percent:   62% | 7353MB
34, gpu_percent:   56% | 7353MB
35, gpu_percent:   54% | 7353MB
36, gpu_percent:   61% | 7353MB
37, gpu_percent:   55% | 7353MB
38, gpu_percent:   62% | 7353MB
39, gpu_percent:   60% | 7353MB
40, gpu_percent:   56% | 7353MB
41, gpu_percent:   56% | 7353MB
42, gpu_percent:   60% | 7353MB
43, gpu_percent:   58% | 7353MB
44, gpu_percent:   55% | 7353MB
45, gpu_percent:   63% | 7353MB
46, gpu_percent:   61% | 7353MB
47, gpu_percent:   54% | 7353MB
48, gpu_percent:   61% | 7353MB
49, gpu_percent:   61% | 7353MB
50, gpu_percent:   57% | 7353MB
51, gpu_percent:   57% | 7353MB
52, gpu_percent:   62% | 7353MB
53, gpu_percent:   56% | 7353MB
54, gpu_percent:   63% | 7353MB
55, gpu_percent:   60% | 7353MB
56, gpu_percent:   54% | 7353MB
57, gpu_percent:   60% | 7353MB
58, gpu_percent:   57% | 7353MB
59, gpu_percent:   56% | 7353MB
60, gpu_percent:   61% | 7353MB
61, gpu_percent:   56% | 7353MB
62, gpu_percent:   60% | 7353MB
63, gpu_percent:   59% | 7353MB
64, gpu_percent:   56% | 7353MB
65, gpu_percent:   60% | 7353MB
66, gpu_percent:   58% | 7353MB
67, gpu_percent:   55% | 7353MB
68, gpu_percent:   63% | 7353MB
69, gpu_percent:   59% | 7353MB
70, gpu_percent:   62% | 7353MB
71, gpu_percent:   60% | 7353MB
