1, memory_percent: 5.5482482659465555, cpu_percent: 40.0
2, memory_percent: 5.561063740481032, cpu_percent: 48.0
3, memory_percent: 5.561063740481032, cpu_percent: 48.2
4, memory_percent: 5.561063740481032, cpu_percent: 46.6
5, memory_percent: 5.5610961027904615, cpu_percent: 49.3
6, memory_percent: 5.5610961027904615, cpu_percent: 48.8
7, memory_percent: 5.5610961027904615, cpu_percent: 49.8
8, memory_percent: 5.5610961027904615, cpu_percent: 49.0
9, memory_percent: 5.5610961027904615, cpu_percent: 50.4
10, memory_percent: 5.5610961027904615, cpu_percent: 47.9
11, memory_percent: 5.5610961027904615, cpu_percent: 49.2
12, memory_percent: 5.5610961027904615, cpu_percent: 49.4
13, memory_percent: 5.5610961027904615, cpu_percent: 49.3
14, memory_percent: 5.5610961027904615, cpu_percent: 50.1
15, memory_percent: 5.5610961027904615, cpu_percent: 47.3
16, memory_percent: 5.5610961027904615, cpu_percent: 49.8
17, memory_percent: 5.5610961027904615, cpu_percent: 48.9
18, memory_percent: 5.5610961027904615, cpu_percent: 50.0
19, memory_percent: 5.5610961027904615, cpu_percent: 47.6
20, memory_percent: 5.5610961027904615, cpu_percent: 48.2
21, memory_percent: 5.5610961027904615, cpu_percent: 47.2
22, memory_percent: 5.5610961027904615, cpu_percent: 49.4
23, memory_percent: 5.5610961027904615, cpu_percent: 49.1
24, memory_percent: 5.5610961027904615, cpu_percent: 46.6
25, memory_percent: 5.5610961027904615, cpu_percent: 49.8
26, memory_percent: 5.5610961027904615, cpu_percent: 48.3
27, memory_percent: 5.5610961027904615, cpu_percent: 50.1
28, memory_percent: 5.5610961027904615, cpu_percent: 49.9
29, memory_percent: 5.5610961027904615, cpu_percent: 49.2
30, memory_percent: 5.5610961027904615, cpu_percent: 48.5
31, memory_percent: 5.5610961027904615, cpu_percent: 47.2
32, memory_percent: 5.5610961027904615, cpu_percent: 46.1
33, memory_percent: 5.5610961027904615, cpu_percent: 49.3
34, memory_percent: 5.5610961027904615, cpu_percent: 49.7
35, memory_percent: 5.5610961027904615, cpu_percent: 48.8
36, memory_percent: 5.5610961027904615, cpu_percent: 46.9
37, memory_percent: 5.5610961027904615, cpu_percent: 47.6
38, memory_percent: 5.5610961027904615, cpu_percent: 48.7
39, memory_percent: 5.561419725884767, cpu_percent: 49.5
40, memory_percent: 5.561419725884767, cpu_percent: 49.7
41, memory_percent: 5.561419725884767, cpu_percent: 50.9
42, memory_percent: 5.561419725884767, cpu_percent: 48.4
43, memory_percent: 5.561419725884767, cpu_percent: 49.4
44, memory_percent: 5.561419725884767, cpu_percent: 49.3
45, memory_percent: 5.561419725884767, cpu_percent: 46.4
46, memory_percent: 5.561419725884767, cpu_percent: 47.8
47, memory_percent: 5.561419725884767, cpu_percent: 49.1
48, memory_percent: 5.561419725884767, cpu_percent: 51.3
49, memory_percent: 5.561419725884767, cpu_percent: 50.9
50, memory_percent: 5.561419725884767, cpu_percent: 49.6
51, memory_percent: 5.561419725884767, cpu_percent: 48.8
52, memory_percent: 5.561419725884767, cpu_percent: 49.3
53, memory_percent: 5.561419725884767, cpu_percent: 49.5
54, memory_percent: 5.561419725884767, cpu_percent: 53.0
55, memory_percent: 5.561419725884767, cpu_percent: 51.8
56, memory_percent: 5.561419725884767, cpu_percent: 47.2
57, memory_percent: 5.561419725884767, cpu_percent: 48.8
58, memory_percent: 5.561419725884767, cpu_percent: 48.6
59, memory_percent: 5.561419725884767, cpu_percent: 48.8
60, memory_percent: 5.561419725884767, cpu_percent: 48.1
61, memory_percent: 5.561419725884767, cpu_percent: 47.2
62, memory_percent: 5.561419725884767, cpu_percent: 46.4
63, memory_percent: 5.561419725884767, cpu_percent: 45.2
64, memory_percent: 5.561419725884767, cpu_percent: 46.5
65, memory_percent: 5.561419725884767, cpu_percent: 47.8
66, memory_percent: 5.561419725884767, cpu_percent: 48.9
67, memory_percent: 5.561419725884767, cpu_percent: 48.3
68, memory_percent: 5.561419725884767, cpu_percent: 50.3
69, memory_percent: 5.561419725884767, cpu_percent: 47.1
70, memory_percent: 5.561419725884767, cpu_percent: 49.0
71, memory_percent: 5.561419725884767, cpu_percent: 48.4
72, memory_percent: 5.561419725884767, cpu_percent: 50.1
73, memory_percent: 5.561419725884767, cpu_percent: 48.3
74, memory_percent: 5.561419725884767, cpu_percent: 49.6
75, memory_percent: 5.561419725884767, cpu_percent: 47.8
76, memory_percent: 5.561419725884767, cpu_percent: 47.0
77, memory_percent: 5.561419725884767, cpu_percent: 49.3
78, memory_percent: 5.561419725884767, cpu_percent: 48.6
79, memory_percent: 5.561419725884767, cpu_percent: 48.5
80, memory_percent: 5.561419725884767, cpu_percent: 48.1
81, memory_percent: 5.561419725884767, cpu_percent: 50.9
82, memory_percent: 5.561419725884767, cpu_percent: 49.4
83, memory_percent: 5.561419725884767, cpu_percent: 47.6
84, memory_percent: 5.561419725884767, cpu_percent: 45.5
85, memory_percent: 5.561419725884767, cpu_percent: 49.0
86, memory_percent: 5.561419725884767, cpu_percent: 49.1
87, memory_percent: 5.561419725884767, cpu_percent: 49.8
88, memory_percent: 5.561419725884767, cpu_percent: 47.9
89, memory_percent: 5.561419725884767, cpu_percent: 46.9
90, memory_percent: 5.561419725884767, cpu_percent: 48.6
91, memory_percent: 5.561419725884767, cpu_percent: 49.9
92, memory_percent: 5.561419725884767, cpu_percent: 47.1
93, memory_percent: 5.561419725884767, cpu_percent: 49.6
94, memory_percent: 5.561419725884767, cpu_percent: 49.4
95, memory_percent: 5.561419725884767, cpu_percent: 47.8
96, memory_percent: 5.561419725884767, cpu_percent: 47.3
97, memory_percent: 5.561419725884767, cpu_percent: 46.0
98, memory_percent: 5.561419725884767, cpu_percent: 50.7
99, memory_percent: 5.561419725884767, cpu_percent: 49.4
100, memory_percent: 5.561419725884767, cpu_percent: 46.6
101, memory_percent: 5.561419725884767, cpu_percent: 48.5
102, memory_percent: 5.561419725884767, cpu_percent: 47.8
103, memory_percent: 5.561419725884767, cpu_percent: 50.2
104, memory_percent: 5.561419725884767, cpu_percent: 49.8
105, memory_percent: 5.561419725884767, cpu_percent: 47.7
106, memory_percent: 5.561419725884767, cpu_percent: 48.2
107, memory_percent: 5.561419725884767, cpu_percent: 48.9
108, memory_percent: 5.561419725884767, cpu_percent: 45.3
109, memory_percent: 5.561419725884767, cpu_percent: 48.3
110, memory_percent: 5.561419725884767, cpu_percent: 47.9
111, memory_percent: 5.561419725884767, cpu_percent: 47.9
112, memory_percent: 5.561419725884767, cpu_percent: 48.1
113, memory_percent: 5.561419725884767, cpu_percent: 46.9
114, memory_percent: 5.561419725884767, cpu_percent: 48.8
115, memory_percent: 5.561419725884767, cpu_percent: 48.8
116, memory_percent: 5.561419725884767, cpu_percent: 49.2
117, memory_percent: 5.561419725884767, cpu_percent: 48.7
118, memory_percent: 5.561419725884767, cpu_percent: 46.4
119, memory_percent: 5.561419725884767, cpu_percent: 45.0
120, memory_percent: 5.561419725884767, cpu_percent: 46.2
121, memory_percent: 5.561419725884767, cpu_percent: 48.6
122, memory_percent: 5.561419725884767, cpu_percent: 49.4
123, memory_percent: 5.561419725884767, cpu_percent: 49.9
124, memory_percent: 5.561419725884767, cpu_percent: 45.8
125, memory_percent: 5.561419725884767, cpu_percent: 47.7
126, memory_percent: 5.561419725884767, cpu_percent: 49.9
127, memory_percent: 5.561419725884767, cpu_percent: 45.1
128, memory_percent: 5.561419725884767, cpu_percent: 48.1
129, memory_percent: 5.561419725884767, cpu_percent: 48.4
130, memory_percent: 5.561419725884767, cpu_percent: 48.8
131, memory_percent: 5.561419725884767, cpu_percent: 48.2
132, memory_percent: 5.561419725884767, cpu_percent: 49.2
133, memory_percent: 5.561419725884767, cpu_percent: 48.7
134, memory_percent: 5.561419725884767, cpu_percent: 49.3
135, memory_percent: 5.561419725884767, cpu_percent: 49.7
136, memory_percent: 5.561419725884767, cpu_percent: 48.6
137, memory_percent: 5.561419725884767, cpu_percent: 46.8
138, memory_percent: 5.561419725884767, cpu_percent: 48.2
139, memory_percent: 5.561419725884767, cpu_percent: 47.1
140, memory_percent: 5.561419725884767, cpu_percent: 46.8
141, memory_percent: 5.561419725884767, cpu_percent: 48.3
142, memory_percent: 5.561419725884767, cpu_percent: 48.9
143, memory_percent: 5.561419725884767, cpu_percent: 48.0
144, memory_percent: 5.561419725884767, cpu_percent: 48.4
145, memory_percent: 5.561419725884767, cpu_percent: 46.9
146, memory_percent: 5.561419725884767, cpu_percent: 46.8
147, memory_percent: 5.561419725884767, cpu_percent: 46.7
148, memory_percent: 5.561419725884767, cpu_percent: 48.1
