1, memory_percent: 6.127177619348691, cpu_percent: 50.0
2, memory_percent: 6.137900331206662, cpu_percent: 16.8
3, memory_percent: 6.137900331206662, cpu_percent: 13.1
4, memory_percent: 6.137900331206662, cpu_percent: 13.0
5, memory_percent: 6.137900331206662, cpu_percent: 13.3
6, memory_percent: 6.137900331206662, cpu_percent: 14.5
7, memory_percent: 6.137921906079616, cpu_percent: 12.9
8, memory_percent: 6.137921906079616, cpu_percent: 13.3
9, memory_percent: 6.137921906079616, cpu_percent: 12.7
10, memory_percent: 6.137921906079616, cpu_percent: 13.6
11, memory_percent: 6.137921906079616, cpu_percent: 14.0
12, memory_percent: 6.137921906079616, cpu_percent: 13.4
13, memory_percent: 6.137921906079616, cpu_percent: 12.7
14, memory_percent: 6.137921906079616, cpu_percent: 13.3
15, memory_percent: 6.137921906079616, cpu_percent: 13.0
16, memory_percent: 6.137921906079616, cpu_percent: 12.9
17, memory_percent: 6.137921906079616, cpu_percent: 13.2
18, memory_percent: 6.137921906079616, cpu_percent: 12.6
19, memory_percent: 6.137921906079616, cpu_percent: 13.3
20, memory_percent: 6.137921906079616, cpu_percent: 13.2
21, memory_percent: 6.137921906079616, cpu_percent: 12.7
22, memory_percent: 6.137921906079616, cpu_percent: 13.6
23, memory_percent: 6.137921906079616, cpu_percent: 13.1
24, memory_percent: 6.137921906079616, cpu_percent: 12.7
25, memory_percent: 6.137921906079616, cpu_percent: 13.4
26, memory_percent: 6.137921906079616, cpu_percent: 12.9
27, memory_percent: 6.137921906079616, cpu_percent: 12.6
28, memory_percent: 6.137921906079616, cpu_percent: 13.2
29, memory_percent: 6.137921906079616, cpu_percent: 13.0
30, memory_percent: 6.137921906079616, cpu_percent: 13.1
31, memory_percent: 6.137921906079616, cpu_percent: 12.8
32, memory_percent: 6.137921906079616, cpu_percent: 13.0
33, memory_percent: 6.137921906079616, cpu_percent: 13.1
34, memory_percent: 6.137921906079616, cpu_percent: 13.0
35, memory_percent: 6.137921906079616, cpu_percent: 13.0
36, memory_percent: 6.137921906079616, cpu_percent: 13.4
37, memory_percent: 6.137921906079616, cpu_percent: 12.9
38, memory_percent: 6.137921906079616, cpu_percent: 13.1
39, memory_percent: 6.137921906079616, cpu_percent: 13.1
40, memory_percent: 6.137921906079616, cpu_percent: 13.2
41, memory_percent: 6.137921906079616, cpu_percent: 13.0
42, memory_percent: 6.137921906079616, cpu_percent: 13.1
43, memory_percent: 6.137921906079616, cpu_percent: 13.0
44, memory_percent: 6.137921906079616, cpu_percent: 13.1
45, memory_percent: 6.137921906079616, cpu_percent: 13.1
46, memory_percent: 6.137921906079616, cpu_percent: 13.3
47, memory_percent: 6.137921906079616, cpu_percent: 12.7
48, memory_percent: 6.137921906079616, cpu_percent: 13.4
49, memory_percent: 6.137921906079616, cpu_percent: 13.0
50, memory_percent: 6.137921906079616, cpu_percent: 12.8
51, memory_percent: 6.137921906079616, cpu_percent: 12.9
52, memory_percent: 6.137921906079616, cpu_percent: 13.2
53, memory_percent: 6.137921906079616, cpu_percent: 13.4
54, memory_percent: 6.137921906079616, cpu_percent: 12.7
55, memory_percent: 6.137921906079616, cpu_percent: 13.7
56, memory_percent: 6.137921906079616, cpu_percent: 12.6
57, memory_percent: 6.137921906079616, cpu_percent: 12.8
