1, memory_percent: 3.1756486997956754, cpu_percent: 0.0
2, memory_percent: 3.638537599016531, cpu_percent: 21.9
3, memory_percent: 3.6389906713485582, cpu_percent: 21.9
4, memory_percent: 3.6389906713485582, cpu_percent: 22.4
5, memory_percent: 3.6389906713485582, cpu_percent: 21.6
6, memory_percent: 3.6389906713485582, cpu_percent: 22.2
7, memory_percent: 3.6389906713485582, cpu_percent: 21.6
8, memory_percent: 3.6389906713485582, cpu_percent: 22.3
9, memory_percent: 3.6389906713485582, cpu_percent: 22.6
10, memory_percent: 3.6389906713485582, cpu_percent: 22.4
11, memory_percent: 3.6389906713485582, cpu_percent: 20.8
12, memory_percent: 3.6389906713485582, cpu_percent: 21.6
13, memory_percent: 3.6389906713485582, cpu_percent: 21.8
14, memory_percent: 3.6389906713485582, cpu_percent: 21.7
15, memory_percent: 3.6389906713485582, cpu_percent: 21.5
16, memory_percent: 3.6389906713485582, cpu_percent: 21.5
17, memory_percent: 3.6389906713485582, cpu_percent: 21.2
18, memory_percent: 3.6389906713485582, cpu_percent: 22.2
19, memory_percent: 3.6389906713485582, cpu_percent: 21.8
20, memory_percent: 3.6389906713485582, cpu_percent: 21.6
21, memory_percent: 3.6389906713485582, cpu_percent: 22.6
22, memory_percent: 3.6389906713485582, cpu_percent: 21.2
23, memory_percent: 3.6389906713485582, cpu_percent: 21.7
24, memory_percent: 3.6389906713485582, cpu_percent: 21.8
25, memory_percent: 3.6395624054818296, cpu_percent: 21.4
26, memory_percent: 3.6395624054818296, cpu_percent: 21.5
27, memory_percent: 3.6395624054818296, cpu_percent: 22.0
28, memory_percent: 3.6395624054818296, cpu_percent: 22.4
29, memory_percent: 3.6395624054818296, cpu_percent: 22.2
30, memory_percent: 3.6395624054818296, cpu_percent: 22.4
31, memory_percent: 3.6395624054818296, cpu_percent: 20.9
32, memory_percent: 3.6395624054818296, cpu_percent: 21.9
33, memory_percent: 3.6395624054818296, cpu_percent: 22.3
34, memory_percent: 3.6395624054818296, cpu_percent: 21.7
35, memory_percent: 3.6395624054818296, cpu_percent: 23.4
36, memory_percent: 3.6395624054818296, cpu_percent: 22.2
37, memory_percent: 3.6395624054818296, cpu_percent: 21.3
38, memory_percent: 3.6395624054818296, cpu_percent: 21.2
39, memory_percent: 3.6395624054818296, cpu_percent: 21.7
40, memory_percent: 3.6395624054818296, cpu_percent: 21.9
41, memory_percent: 3.6395624054818296, cpu_percent: 21.5
42, memory_percent: 3.6395624054818296, cpu_percent: 21.8
43, memory_percent: 3.6395624054818296, cpu_percent: 21.4
44, memory_percent: 3.6395624054818296, cpu_percent: 21.2
45, memory_percent: 3.6395624054818296, cpu_percent: 21.8
46, memory_percent: 3.6395624054818296, cpu_percent: 22.1
47, memory_percent: 3.6395624054818296, cpu_percent: 21.7
48, memory_percent: 3.6395624054818296, cpu_percent: 22.3
49, memory_percent: 3.6395624054818296, cpu_percent: 22.0
50, memory_percent: 3.6395624054818296, cpu_percent: 21.6
51, memory_percent: 3.6395624054818296, cpu_percent: 22.3
52, memory_percent: 3.6395624054818296, cpu_percent: 21.3
53, memory_percent: 3.6395624054818296, cpu_percent: 22.4
54, memory_percent: 3.6395624054818296, cpu_percent: 22.8
55, memory_percent: 3.6395624054818296, cpu_percent: 22.3
56, memory_percent: 3.6395624054818296, cpu_percent: 21.3
57, memory_percent: 3.6395624054818296, cpu_percent: 21.7
58, memory_percent: 3.6395624054818296, cpu_percent: 22.0
59, memory_percent: 3.6395624054818296, cpu_percent: 21.0
60, memory_percent: 3.6395624054818296, cpu_percent: 22.7
61, memory_percent: 3.6395624054818296, cpu_percent: 20.8
62, memory_percent: 3.6395624054818296, cpu_percent: 21.2
63, memory_percent: 3.6395624054818296, cpu_percent: 21.2
64, memory_percent: 3.6395624054818296, cpu_percent: 21.0
65, memory_percent: 3.6395624054818296, cpu_percent: 21.5
