1, memory_percent: 3.374558605020344, cpu_percent: 0.0
2, memory_percent: 3.3750224648388865, cpu_percent: 23.7
3, memory_percent: 3.3750224648388865, cpu_percent: 12.9
4, memory_percent: 3.3750224648388865, cpu_percent: 13.1
5, memory_percent: 3.3750224648388865, cpu_percent: 12.8
6, memory_percent: 3.3750224648388865, cpu_percent: 12.7
7, memory_percent: 3.3750224648388865, cpu_percent: 12.7
8, memory_percent: 3.3751842764034943, cpu_percent: 12.8
9, memory_percent: 3.3751842764034943, cpu_percent: 12.7
10, memory_percent: 3.3751842764034943, cpu_percent: 12.6
11, memory_percent: 3.3751842764034943, cpu_percent: 12.8
12, memory_percent: 3.3751842764034943, cpu_percent: 12.8
13, memory_percent: 3.3751842764034943, cpu_percent: 12.7
14, memory_percent: 3.3751842764034943, cpu_percent: 12.6
15, memory_percent: 3.3751842764034943, cpu_percent: 13.0
16, memory_percent: 3.3751842764034943, cpu_percent: 12.7
17, memory_percent: 3.3751842764034943, cpu_percent: 12.7
18, memory_percent: 3.3751842764034943, cpu_percent: 12.8
19, memory_percent: 3.3751842764034943, cpu_percent: 12.7
20, memory_percent: 3.3751842764034943, cpu_percent: 12.8
21, memory_percent: 3.3751842764034943, cpu_percent: 12.7
22, memory_percent: 3.3751842764034943, cpu_percent: 12.7
23, memory_percent: 3.3751842764034943, cpu_percent: 12.7
24, memory_percent: 3.3751842764034943, cpu_percent: 12.5
25, memory_percent: 3.3751842764034943, cpu_percent: 12.6
26, memory_percent: 3.3751842764034943, cpu_percent: 12.7
27, memory_percent: 3.3751842764034943, cpu_percent: 12.8
28, memory_percent: 3.3751842764034943, cpu_percent: 12.6
29, memory_percent: 3.3751842764034943, cpu_percent: 12.7
30, memory_percent: 3.3751842764034943, cpu_percent: 12.8
31, memory_percent: 3.3751842764034943, cpu_percent: 12.9
32, memory_percent: 3.37550789953271, cpu_percent: 12.7
33, memory_percent: 3.37550789953271, cpu_percent: 13.0
34, memory_percent: 3.37550789953271, cpu_percent: 12.6
35, memory_percent: 3.37550789953271, cpu_percent: 12.7
36, memory_percent: 3.37550789953271, cpu_percent: 12.6
37, memory_percent: 3.37550789953271, cpu_percent: 12.6
38, memory_percent: 3.37550789953271, cpu_percent: 12.8
39, memory_percent: 3.37550789953271, cpu_percent: 12.7
40, memory_percent: 3.37550789953271, cpu_percent: 12.7
41, memory_percent: 3.37550789953271, cpu_percent: 12.6
42, memory_percent: 3.37550789953271, cpu_percent: 12.8
43, memory_percent: 3.37550789953271, cpu_percent: 12.6
44, memory_percent: 3.37550789953271, cpu_percent: 12.6
45, memory_percent: 3.37550789953271, cpu_percent: 12.8
46, memory_percent: 3.37550789953271, cpu_percent: 12.7
47, memory_percent: 3.37550789953271, cpu_percent: 12.6
48, memory_percent: 3.37550789953271, cpu_percent: 12.9
49, memory_percent: 3.37550789953271, cpu_percent: 12.7
50, memory_percent: 3.37550789953271, cpu_percent: 12.7
51, memory_percent: 3.37550789953271, cpu_percent: 12.6
52, memory_percent: 3.37550789953271, cpu_percent: 12.8
53, memory_percent: 3.37550789953271, cpu_percent: 12.6
54, memory_percent: 3.37550789953271, cpu_percent: 12.7
55, memory_percent: 3.37550789953271, cpu_percent: 12.9
56, memory_percent: 3.37550789953271, cpu_percent: 12.5
57, memory_percent: 3.37550789953271, cpu_percent: 12.7
58, memory_percent: 3.37550789953271, cpu_percent: 12.7
59, memory_percent: 3.37550789953271, cpu_percent: 12.5
60, memory_percent: 3.37550789953271, cpu_percent: 13.0
61, memory_percent: 3.37550789953271, cpu_percent: 12.8
62, memory_percent: 3.37550789953271, cpu_percent: 12.6
63, memory_percent: 3.37550789953271, cpu_percent: 12.6
64, memory_percent: 3.37550789953271, cpu_percent: 12.6
65, memory_percent: 3.37550789953271, cpu_percent: 12.7
66, memory_percent: 3.37550789953271, cpu_percent: 12.7
67, memory_percent: 3.37550789953271, cpu_percent: 12.9
68, memory_percent: 3.37550789953271, cpu_percent: 12.6
69, memory_percent: 3.37550789953271, cpu_percent: 12.7
70, memory_percent: 3.37550789953271, cpu_percent: 12.6
71, memory_percent: 3.37550789953271, cpu_percent: 12.7
72, memory_percent: 3.37550789953271, cpu_percent: 12.6
73, memory_percent: 3.37550789953271, cpu_percent: 12.7
74, memory_percent: 3.37550789953271, cpu_percent: 12.7
75, memory_percent: 3.37550789953271, cpu_percent: 12.7
76, memory_percent: 3.37550789953271, cpu_percent: 12.7
77, memory_percent: 3.37550789953271, cpu_percent: 12.7
78, memory_percent: 3.37550789953271, cpu_percent: 12.8
79, memory_percent: 3.37550789953271, cpu_percent: 12.8
80, memory_percent: 3.37550789953271, cpu_percent: 12.7
81, memory_percent: 3.376198295541703, cpu_percent: 12.9
82, memory_percent: 3.376198295541703, cpu_percent: 12.6
83, memory_percent: 3.376198295541703, cpu_percent: 12.7
84, memory_percent: 3.376198295541703, cpu_percent: 12.6
85, memory_percent: 3.376198295541703, cpu_percent: 12.5
86, memory_percent: 3.376198295541703, cpu_percent: 12.6
87, memory_percent: 3.376198295541703, cpu_percent: 12.7
88, memory_percent: 3.376198295541703, cpu_percent: 12.7
89, memory_percent: 3.376198295541703, cpu_percent: 12.7
90, memory_percent: 3.376198295541703, cpu_percent: 12.8
91, memory_percent: 3.376198295541703, cpu_percent: 12.6
92, memory_percent: 3.376198295541703, cpu_percent: 12.7
93, memory_percent: 3.376198295541703, cpu_percent: 12.7
94, memory_percent: 3.376198295541703, cpu_percent: 12.7
95, memory_percent: 3.376198295541703, cpu_percent: 12.7
96, memory_percent: 3.376198295541703, cpu_percent: 12.6
97, memory_percent: 3.376198295541703, cpu_percent: 12.9
98, memory_percent: 3.376198295541703, cpu_percent: 12.7
99, memory_percent: 3.376198295541703, cpu_percent: 12.6
100, memory_percent: 3.376198295541703, cpu_percent: 12.6
101, memory_percent: 3.376198295541703, cpu_percent: 12.6
102, memory_percent: 3.376198295541703, cpu_percent: 12.8
103, memory_percent: 3.376198295541703, cpu_percent: 12.7
104, memory_percent: 3.376198295541703, cpu_percent: 12.7
105, memory_percent: 3.376198295541703, cpu_percent: 12.7
106, memory_percent: 3.376198295541703, cpu_percent: 13.0
107, memory_percent: 3.376198295541703, cpu_percent: 12.8
108, memory_percent: 3.376198295541703, cpu_percent: 12.6
109, memory_percent: 3.376198295541703, cpu_percent: 12.7
110, memory_percent: 3.376198295541703, cpu_percent: 13.0
111, memory_percent: 3.376198295541703, cpu_percent: 12.8
112, memory_percent: 3.376198295541703, cpu_percent: 12.7
113, memory_percent: 3.376198295541703, cpu_percent: 12.7
114, memory_percent: 3.376198295541703, cpu_percent: 13.0
115, memory_percent: 3.376198295541703, cpu_percent: 12.8
116, memory_percent: 3.376198295541703, cpu_percent: 12.7
117, memory_percent: 3.3766513679226047, cpu_percent: 12.7
118, memory_percent: 3.3766513679226047, cpu_percent: 12.7
119, memory_percent: 3.3766513679226047, cpu_percent: 12.6
120, memory_percent: 3.376888691550696, cpu_percent: 12.7
121, memory_percent: 3.376888691550696, cpu_percent: 12.6
122, memory_percent: 3.376888691550696, cpu_percent: 12.6
123, memory_percent: 3.376888691550696, cpu_percent: 12.8
124, memory_percent: 3.376888691550696, cpu_percent: 12.8
125, memory_percent: 3.376888691550696, cpu_percent: 12.7
126, memory_percent: 3.376888691550696, cpu_percent: 12.7
127, memory_percent: 3.376888691550696, cpu_percent: 12.5
128, memory_percent: 3.376888691550696, cpu_percent: 12.9
129, memory_percent: 3.376888691550696, cpu_percent: 12.7
130, memory_percent: 3.376888691550696, cpu_percent: 12.6
131, memory_percent: 3.376888691550696, cpu_percent: 12.6
132, memory_percent: 3.376888691550696, cpu_percent: 12.5
133, memory_percent: 3.376888691550696, cpu_percent: 12.8
134, memory_percent: 3.376888691550696, cpu_percent: 12.8
135, memory_percent: 3.376888691550696, cpu_percent: 12.8
136, memory_percent: 3.376888691550696, cpu_percent: 12.7
137, memory_percent: 3.376888691550696, cpu_percent: 12.7
138, memory_percent: 3.376888691550696, cpu_percent: 13.0
139, memory_percent: 3.376888691550696, cpu_percent: 12.8
140, memory_percent: 3.376888691550696, cpu_percent: 12.6
141, memory_percent: 3.376888691550696, cpu_percent: 12.8
142, memory_percent: 3.376888691550696, cpu_percent: 12.6
143, memory_percent: 3.376888691550696, cpu_percent: 12.5
144, memory_percent: 3.376888691550696, cpu_percent: 12.7
145, memory_percent: 3.376888691550696, cpu_percent: 12.7
146, memory_percent: 3.376888691550696, cpu_percent: 12.7
147, memory_percent: 3.376888691550696, cpu_percent: 12.7
148, memory_percent: 3.376888691550696, cpu_percent: 12.7
149, memory_percent: 3.376888691550696, cpu_percent: 12.7
150, memory_percent: 3.376888691550696, cpu_percent: 12.9
151, memory_percent: 3.376888691550696, cpu_percent: 12.8
152, memory_percent: 3.376888691550696, cpu_percent: 13.3
153, memory_percent: 3.376888691550696, cpu_percent: 12.8
154, memory_percent: 3.376888691550696, cpu_percent: 12.6
155, memory_percent: 3.376888691550696, cpu_percent: 12.7
156, memory_percent: 3.376888691550696, cpu_percent: 12.8
157, memory_percent: 3.376888691550696, cpu_percent: 12.8
158, memory_percent: 3.376888691550696, cpu_percent: 13.0
159, memory_percent: 3.376888691550696, cpu_percent: 13.0
160, memory_percent: 3.376888691550696, cpu_percent: 12.7
161, memory_percent: 3.376888691550696, cpu_percent: 12.8
162, memory_percent: 3.376888691550696, cpu_percent: 13.0
163, memory_percent: 3.376888691550696, cpu_percent: 12.5
164, memory_percent: 3.376888691550696, cpu_percent: 12.8
165, memory_percent: 3.376888691550696, cpu_percent: 12.8
166, memory_percent: 3.376888691550696, cpu_percent: 12.6
167, memory_percent: 3.376888691550696, cpu_percent: 12.7
168, memory_percent: 3.376888691550696, cpu_percent: 12.6
169, memory_percent: 3.376888691550696, cpu_percent: 12.6
170, memory_percent: 3.376888691550696, cpu_percent: 12.8
171, memory_percent: 3.376888691550696, cpu_percent: 12.7
172, memory_percent: 3.376888691550696, cpu_percent: 12.8
173, memory_percent: 3.376888691550696, cpu_percent: 12.7
174, memory_percent: 3.376888691550696, cpu_percent: 12.8
175, memory_percent: 3.376888691550696, cpu_percent: 13.0
176, memory_percent: 3.377579087559689, cpu_percent: 12.6
177, memory_percent: 3.377579087559689, cpu_percent: 12.7
178, memory_percent: 3.377579087559689, cpu_percent: 12.8
179, memory_percent: 3.377579087559689, cpu_percent: 12.7
180, memory_percent: 3.377579087559689, cpu_percent: 12.7
181, memory_percent: 3.377579087559689, cpu_percent: 12.9
182, memory_percent: 3.377579087559689, cpu_percent: 12.6
183, memory_percent: 3.377579087559689, cpu_percent: 12.8
184, memory_percent: 3.377579087559689, cpu_percent: 12.8
185, memory_percent: 3.377579087559689, cpu_percent: 12.7
186, memory_percent: 3.377579087559689, cpu_percent: 12.8
187, memory_percent: 3.377579087559689, cpu_percent: 12.9
188, memory_percent: 3.377579087559689, cpu_percent: 17.8
189, memory_percent: 3.377579087559689, cpu_percent: 16.1
190, memory_percent: 3.377579087559689, cpu_percent: 12.7
191, memory_percent: 3.377579087559689, cpu_percent: 12.7
192, memory_percent: 3.377579087559689, cpu_percent: 12.7
193, memory_percent: 3.377579087559689, cpu_percent: 12.5
194, memory_percent: 3.377579087559689, cpu_percent: 13.2
195, memory_percent: 3.377579087559689, cpu_percent: 12.7
196, memory_percent: 3.377579087559689, cpu_percent: 12.6
197, memory_percent: 3.377579087559689, cpu_percent: 12.6
198, memory_percent: 3.377579087559689, cpu_percent: 12.7
