1, gpu_percent:    0% | 343MB
2, gpu_percent:   75% | 419MB
3, gpu_percent:   77% | 419MB
4, gpu_percent:   77% | 427MB
5, gpu_percent:   77% | 427MB
6, gpu_percent:   78% | 427MB
7, gpu_percent:   78% | 427MB
8, gpu_percent:   78% | 427MB
9, gpu_percent:   78% | 427MB
10, gpu_percent:   77% | 427MB
11, gpu_percent:   78% | 427MB
12, gpu_percent:   77% | 427MB
13, gpu_percent:   78% | 427MB
14, gpu_percent:   79% | 427MB
15, gpu_percent:   78% | 427MB
16, gpu_percent:   78% | 427MB
17, gpu_percent:   79% | 427MB
18, gpu_percent:   75% | 427MB
19, gpu_percent:   78% | 427MB
20, gpu_percent:   79% | 427MB
21, gpu_percent:   78% | 427MB
22, gpu_percent:   78% | 427MB
23, gpu_percent:   78% | 427MB
24, gpu_percent:   78% | 427MB
25, gpu_percent:   79% | 427MB
26, gpu_percent:   78% | 427MB
27, gpu_percent:   79% | 427MB
28, gpu_percent:   79% | 427MB
29, gpu_percent:   77% | 427MB
30, gpu_percent:   77% | 427MB
31, gpu_percent:   77% | 427MB
32, gpu_percent:   74% | 427MB
33, gpu_percent:   76% | 427MB
34, gpu_percent:   74% | 427MB
35, gpu_percent:   77% | 427MB
36, gpu_percent:   79% | 427MB
37, gpu_percent:   78% | 427MB
38, gpu_percent:   78% | 427MB
39, gpu_percent:   78% | 427MB
40, gpu_percent:   78% | 427MB
41, gpu_percent:   78% | 427MB
42, gpu_percent:   78% | 427MB
43, gpu_percent:   79% | 427MB
44, gpu_percent:   79% | 427MB
45, gpu_percent:   78% | 427MB
46, gpu_percent:   78% | 427MB
47, gpu_percent:   78% | 427MB
48, gpu_percent:   78% | 427MB
49, gpu_percent:   77% | 427MB
50, gpu_percent:   79% | 427MB
51, gpu_percent:   79% | 427MB
52, gpu_percent:   78% | 427MB
53, gpu_percent:   77% | 427MB
54, gpu_percent:   78% | 427MB
55, gpu_percent:   78% | 427MB
56, gpu_percent:   77% | 427MB
57, gpu_percent:   78% | 427MB
58, gpu_percent:   78% | 427MB
59, gpu_percent:   78% | 427MB
60, gpu_percent:   79% | 427MB
61, gpu_percent:   77% | 427MB
62, gpu_percent:   74% | 427MB
63, gpu_percent:   77% | 427MB
64, gpu_percent:   78% | 427MB
65, gpu_percent:   79% | 427MB
66, gpu_percent:   79% | 427MB
67, gpu_percent:   78% | 427MB
68, gpu_percent:   78% | 427MB
69, gpu_percent:   78% | 427MB
70, gpu_percent:   78% | 427MB
71, gpu_percent:   78% | 427MB
72, gpu_percent:   77% | 427MB
73, gpu_percent:   78% | 427MB
74, gpu_percent:   78% | 427MB
75, gpu_percent:   78% | 427MB
76, gpu_percent:   78% | 427MB
77, gpu_percent:   78% | 427MB
78, gpu_percent:   78% | 427MB
79, gpu_percent:   77% | 427MB
80, gpu_percent:   77% | 427MB
81, gpu_percent:   68% | 427MB
82, gpu_percent:   78% | 427MB
83, gpu_percent:   79% | 427MB
84, gpu_percent:   76% | 427MB
85, gpu_percent:   78% | 427MB
86, gpu_percent:   77% | 427MB
87, gpu_percent:   79% | 427MB
88, gpu_percent:   78% | 427MB
89, gpu_percent:   78% | 427MB
90, gpu_percent:   77% | 427MB
91, gpu_percent:   78% | 427MB
92, gpu_percent:   79% | 427MB
93, gpu_percent:   78% | 427MB
94, gpu_percent:   78% | 427MB
95, gpu_percent:   78% | 427MB
96, gpu_percent:   79% | 427MB
97, gpu_percent:   79% | 427MB
98, gpu_percent:   75% | 427MB
99, gpu_percent:   76% | 427MB
100, gpu_percent:   79% | 427MB
101, gpu_percent:   77% | 427MB
102, gpu_percent:   76% | 427MB
103, gpu_percent:   79% | 427MB
104, gpu_percent:   79% | 427MB
105, gpu_percent:   79% | 427MB
106, gpu_percent:   80% | 427MB
107, gpu_percent:   74% | 427MB
108, gpu_percent:   78% | 427MB
109, gpu_percent:   78% | 427MB
110, gpu_percent:   79% | 427MB
111, gpu_percent:   79% | 427MB
112, gpu_percent:   76% | 427MB
113, gpu_percent:   78% | 427MB
114, gpu_percent:   79% | 427MB
115, gpu_percent:   78% | 443MB
116, gpu_percent:   79% | 443MB
117, gpu_percent:   79% | 443MB
