1, memory_percent: 18.8539578511, cpu_percent: 37.5
2, memory_percent: 20.5518679903, cpu_percent: 13.1
3, memory_percent: 20.9669685459, cpu_percent: 13.7
4, memory_percent: 20.9669685459, cpu_percent: 13.6
5, memory_percent: 20.9671842946, cpu_percent: 13.2
6, memory_percent: 20.9671842946, cpu_percent: 13.6
7, memory_percent: 20.9671842946, cpu_percent: 13.3
8, memory_percent: 20.9671842946, cpu_percent: 12.9
9, memory_percent: 20.9671842946, cpu_percent: 13.1
10, memory_percent: 20.9671842946, cpu_percent: 13.4
11, memory_percent: 20.9671842946, cpu_percent: 13.4
12, memory_percent: 20.9671842946, cpu_percent: 13.5
13, memory_percent: 20.9671842946, cpu_percent: 13.4
14, memory_percent: 20.9671842946, cpu_percent: 13.1
15, memory_percent: 20.9671842946, cpu_percent: 13.1
16, memory_percent: 20.9671842946, cpu_percent: 13.6
17, memory_percent: 20.9671842946, cpu_percent: 13.4
18, memory_percent: 20.9671842946, cpu_percent: 13.4
19, memory_percent: 20.9671842946, cpu_percent: 13.1
20, memory_percent: 20.9671842946, cpu_percent: 13.6
21, memory_percent: 20.9671842946, cpu_percent: 13.0
22, memory_percent: 20.9671842946, cpu_percent: 13.4
23, memory_percent: 20.9671842946, cpu_percent: 13.1
24, memory_percent: 20.9671842946, cpu_percent: 13.6
25, memory_percent: 20.9671842946, cpu_percent: 13.6
26, memory_percent: 20.9671842946, cpu_percent: 13.4
27, memory_percent: 20.9674108308, cpu_percent: 13.4
28, memory_percent: 20.9674108308, cpu_percent: 13.5
29, memory_percent: 20.9674108308, cpu_percent: 13.1
30, memory_percent: 20.9674108308, cpu_percent: 13.6
31, memory_percent: 20.9674108308, cpu_percent: 13.2
32, memory_percent: 20.9674108308, cpu_percent: 13.2
33, memory_percent: 20.9674108308, cpu_percent: 13.1
34, memory_percent: 20.9674108308, cpu_percent: 13.4
35, memory_percent: 20.9674108308, cpu_percent: 13.2
36, memory_percent: 20.9674108308, cpu_percent: 13.4
37, memory_percent: 20.9674108308, cpu_percent: 13.6
38, memory_percent: 20.9674108308, cpu_percent: 13.5
39, memory_percent: 20.9674108308, cpu_percent: 13.2
40, memory_percent: 20.9674108308, cpu_percent: 13.4
41, memory_percent: 20.9674108308, cpu_percent: 13.7
42, memory_percent: 20.9674108308, cpu_percent: 13.0
43, memory_percent: 20.9674108308, cpu_percent: 13.2
44, memory_percent: 20.9674108308, cpu_percent: 13.3
45, memory_percent: 20.9674108308, cpu_percent: 13.0
46, memory_percent: 20.9674108308, cpu_percent: 13.5
47, memory_percent: 20.9674108308, cpu_percent: 13.2
48, memory_percent: 20.9674108308, cpu_percent: 13.6
49, memory_percent: 20.9674108308, cpu_percent: 13.4
50, memory_percent: 20.9674108308, cpu_percent: 13.4
51, memory_percent: 20.9674108308, cpu_percent: 13.2
52, memory_percent: 20.9674108308, cpu_percent: 13.4
53, memory_percent: 20.9674108308, cpu_percent: 13.1
54, memory_percent: 20.9674108308, cpu_percent: 13.6
55, memory_percent: 20.9674108308, cpu_percent: 13.2
56, memory_percent: 20.9674108308, cpu_percent: 13.2
57, memory_percent: 20.9674108308, cpu_percent: 13.4
58, memory_percent: 20.9674108308, cpu_percent: 13.5
59, memory_percent: 20.9674108308, cpu_percent: 13.4
60, memory_percent: 20.9674108308, cpu_percent: 13.0
61, memory_percent: 20.9674108308, cpu_percent: 13.3
62, memory_percent: 20.9677452413, cpu_percent: 13.5
63, memory_percent: 20.9677452413, cpu_percent: 13.1
64, memory_percent: 20.9677452413, cpu_percent: 13.2
65, memory_percent: 20.9677452413, cpu_percent: 13.3
66, memory_percent: 20.9677452413, cpu_percent: 13.6
67, memory_percent: 20.9677452413, cpu_percent: 13.4
68, memory_percent: 20.9677452413, cpu_percent: 13.3
69, memory_percent: 20.9677452413, cpu_percent: 13.4
70, memory_percent: 20.9677452413, cpu_percent: 13.2
71, memory_percent: 20.9677452413, cpu_percent: 13.3
72, memory_percent: 20.9677452413, cpu_percent: 13.5
73, memory_percent: 20.9677452413, cpu_percent: 13.6
74, memory_percent: 20.9678746905, cpu_percent: 13.2
75, memory_percent: 20.967885478, cpu_percent: 13.0
76, memory_percent: 20.9678962654, cpu_percent: 13.2
77, memory_percent: 20.9679070529, cpu_percent: 13.1
78, memory_percent: 20.96796099, cpu_percent: 13.4
79, memory_percent: 20.96796099, cpu_percent: 13.4
80, memory_percent: 20.96796099, cpu_percent: 13.1
81, memory_percent: 20.96796099, cpu_percent: 13.6
82, memory_percent: 20.96796099, cpu_percent: 13.8
83, memory_percent: 20.96796099, cpu_percent: 13.3
84, memory_percent: 20.96796099, cpu_percent: 13.6
85, memory_percent: 20.96796099, cpu_percent: 13.1
86, memory_percent: 20.96796099, cpu_percent: 13.4
87, memory_percent: 20.96796099, cpu_percent: 13.6
88, memory_percent: 20.96796099, cpu_percent: 13.2
89, memory_percent: 20.96796099, cpu_percent: 13.4
90, memory_percent: 20.96796099, cpu_percent: 13.3
91, memory_percent: 20.96796099, cpu_percent: 13.1
92, memory_percent: 20.96796099, cpu_percent: 13.4
93, memory_percent: 20.96796099, cpu_percent: 13.2
94, memory_percent: 20.96796099, cpu_percent: 13.4
95, memory_percent: 20.96796099, cpu_percent: 13.4
96, memory_percent: 20.96796099, cpu_percent: 13.4
97, memory_percent: 20.96796099, cpu_percent: 13.3
98, memory_percent: 20.96796099, cpu_percent: 13.2
99, memory_percent: 20.96796099, cpu_percent: 13.0
100, memory_percent: 20.96796099, cpu_percent: 13.2
101, memory_percent: 20.96796099, cpu_percent: 13.4
102, memory_percent: 20.96796099, cpu_percent: 13.4
103, memory_percent: 20.96796099, cpu_percent: 13.5
104, memory_percent: 20.96796099, cpu_percent: 13.4
105, memory_percent: 20.96796099, cpu_percent: 13.4
106, memory_percent: 20.96796099, cpu_percent: 13.6
107, memory_percent: 20.96796099, cpu_percent: 13.4
108, memory_percent: 20.96796099, cpu_percent: 13.7
109, memory_percent: 20.9686621734, cpu_percent: 13.6
110, memory_percent: 20.9686621734, cpu_percent: 13.6
111, memory_percent: 20.9686621734, cpu_percent: 13.5
112, memory_percent: 20.9686621734, cpu_percent: 13.5
113, memory_percent: 20.9686621734, cpu_percent: 13.2
114, memory_percent: 20.9686621734, cpu_percent: 13.3
115, memory_percent: 20.9686621734, cpu_percent: 13.4
116, memory_percent: 20.9686621734, cpu_percent: 13.5
117, memory_percent: 20.9686621734, cpu_percent: 13.3
118, memory_percent: 20.9686621734, cpu_percent: 13.4
119, memory_percent: 20.9686621734, cpu_percent: 13.2
120, memory_percent: 20.9686621734, cpu_percent: 13.3
121, memory_percent: 20.9686621734, cpu_percent: 13.4
122, memory_percent: 20.9686621734, cpu_percent: 13.2
123, memory_percent: 20.9686621734, cpu_percent: 13.2
124, memory_percent: 20.9686621734, cpu_percent: 13.6
125, memory_percent: 20.9686621734, cpu_percent: 13.5
126, memory_percent: 20.9686621734, cpu_percent: 13.9
127, memory_percent: 20.9686621734, cpu_percent: 13.4
128, memory_percent: 20.9686621734, cpu_percent: 13.7
129, memory_percent: 20.9686621734, cpu_percent: 13.4
130, memory_percent: 20.9686621734, cpu_percent: 13.3
131, memory_percent: 20.9686621734, cpu_percent: 13.6
132, memory_percent: 20.9686621734, cpu_percent: 13.5
133, memory_percent: 20.9686621734, cpu_percent: 13.0
134, memory_percent: 20.9686621734, cpu_percent: 13.5
135, memory_percent: 20.9686621734, cpu_percent: 13.2
136, memory_percent: 20.9686621734, cpu_percent: 13.6
137, memory_percent: 20.9686621734, cpu_percent: 13.1
138, memory_percent: 20.9686621734, cpu_percent: 13.4
139, memory_percent: 20.9686621734, cpu_percent: 13.5
140, memory_percent: 20.9693633568, cpu_percent: 13.1
141, memory_percent: 20.9697085547, cpu_percent: 13.4
142, memory_percent: 20.9697085547, cpu_percent: 13.5
143, memory_percent: 20.9746707755, cpu_percent: 13.4
144, memory_percent: 20.9746707755, cpu_percent: 13.4
145, memory_percent: 20.9746707755, cpu_percent: 13.4
146, memory_percent: 20.9746707755, cpu_percent: 13.7
147, memory_percent: 20.9746707755, cpu_percent: 13.3
148, memory_percent: 20.9746707755, cpu_percent: 13.3
149, memory_percent: 20.9746707755, cpu_percent: 13.4
150, memory_percent: 20.9746707755, cpu_percent: 13.1
151, memory_percent: 20.9746707755, cpu_percent: 13.5
152, memory_percent: 20.9746707755, cpu_percent: 13.5
153, memory_percent: 20.9746707755, cpu_percent: 13.1
154, memory_percent: 20.9746707755, cpu_percent: 13.5
155, memory_percent: 20.9746707755, cpu_percent: 13.5
156, memory_percent: 20.9746707755, cpu_percent: 13.3
157, memory_percent: 20.9746707755, cpu_percent: 13.5
158, memory_percent: 20.9746707755, cpu_percent: 13.6
159, memory_percent: 20.9746707755, cpu_percent: 13.5
160, memory_percent: 20.9746707755, cpu_percent: 13.1
161, memory_percent: 20.9746707755, cpu_percent: 13.5
162, memory_percent: 20.9746707755, cpu_percent: 13.6
163, memory_percent: 20.9746707755, cpu_percent: 13.4
