1, memory_percent: 20.8519205359, cpu_percent: 14.3
2, memory_percent: 20.890108061, cpu_percent: 13.3
3, memory_percent: 21.078187016, cpu_percent: 12.9
4, memory_percent: 22.5067348663, cpu_percent: 12.6
5, memory_percent: 23.2723515953, cpu_percent: 12.8
6, memory_percent: 23.2726967933, cpu_percent: 12.2
7, memory_percent: 23.2726967933, cpu_percent: 11.5
8, memory_percent: 23.2726967933, cpu_percent: 12.7
9, memory_percent: 23.2728046677, cpu_percent: 12.1
10, memory_percent: 23.2731930154, cpu_percent: 11.7
11, memory_percent: 23.2731930154, cpu_percent: 11.4
12, memory_percent: 23.2731930154, cpu_percent: 11.2
13, memory_percent: 23.2731930154, cpu_percent: 11.3
14, memory_percent: 23.2731930154, cpu_percent: 11.8
15, memory_percent: 23.2749297927, cpu_percent: 11.5
16, memory_percent: 23.2749297927, cpu_percent: 11.4
17, memory_percent: 23.2749297927, cpu_percent: 11.3
18, memory_percent: 23.2752426283, cpu_percent: 10.6
19, memory_percent: 23.2752426283, cpu_percent: 11.1
20, memory_percent: 23.2752426283, cpu_percent: 11.8
21, memory_percent: 23.2752426283, cpu_percent: 11.7
22, memory_percent: 23.2752426283, cpu_percent: 11.8
23, memory_percent: 23.2752749906, cpu_percent: 11.2
24, memory_percent: 23.2752749906, cpu_percent: 11.9
25, memory_percent: 23.2752857781, cpu_percent: 11.6
26, memory_percent: 23.2752857781, cpu_percent: 11.4
27, memory_percent: 23.2752857781, cpu_percent: 11.2
28, memory_percent: 23.2752857781, cpu_percent: 11.7
29, memory_percent: 23.2760085363, cpu_percent: 10.9
30, memory_percent: 23.2760085363, cpu_percent: 11.9
31, memory_percent: 23.2760085363, cpu_percent: 11.4
32, memory_percent: 23.2760085363, cpu_percent: 11.5
33, memory_percent: 23.2760085363, cpu_percent: 11.5
34, memory_percent: 23.2760085363, cpu_percent: 12.1
35, memory_percent: 23.2760085363, cpu_percent: 11.2
36, memory_percent: 23.2760085363, cpu_percent: 11.6
37, memory_percent: 23.2760085363, cpu_percent: 11.4
38, memory_percent: 23.2763321594, cpu_percent: 12.0
39, memory_percent: 23.2763321594, cpu_percent: 11.4
40, memory_percent: 23.2763321594, cpu_percent: 11.8
41, memory_percent: 23.2763321594, cpu_percent: 10.8
42, memory_percent: 23.2763753092, cpu_percent: 12.2
43, memory_percent: 23.2763753092, cpu_percent: 10.9
